,series,HH_index,works_in_series
316,thefairlyoddparents,1.0,2
317,theflintstonesthe,1.0,2
318,thegetaway,1.0,2
319,theidolmaster,0.375,4
320,thekingoffighters,0.7551020408163265,7
321,thelastofus,0.5,2
322,thelegendofheroes,1.0,5
323,thelegendofzelda,0.29629629629629634,18
324,thelordoftherings,0.6800000000000002,5
325,theperfecttower,0.5,2
326,thescorpionking,0.5,2
327,thesimpsons,0.2361111111111111,12
328,thesims,1.0,6
329,thesmurfs,1.0,2
330,thesurge,0.5,2
331,thewalkingdead,0.28,5
332,thewitchandthehundredknight,0.5,2
333,thewitcher,0.5555555555555556,3
334,thief,0.5555555555555556,3
335,thisisthepolice,1.0,2
336,tinytoonadventures,0.7222222222222223,6
337,titanfall,1.0,2
338,tombraider,0.35802469135802467,9
339,torchlight,0.5555555555555556,3
340,totalannihilation,1.0,2
341,totalwar,0.5555555555555556,6
342,totalwarwarhammer,1.0,2
343,touhou,0.2933333333333334,30
344,toystory,0.5,2
345,transformers,0.38842975206611563,11
346,ultima,0.2781065088757397,13
347,uncharted,0.3888888888888889,6
348,unrealchampionship,0.5,2
349,unreali,0.5,2
350,unrealtournament,0.25,4
351,utawarerumono,0.625,4
352,valkyriachronicles,1.0,4
353,valkyrieprofile,0.5555555555555556,3
354,valthirianarc,0.5,2
355,wwf,1.0,3
356,warhammer,0.46875,8
357,warioland,1.0,6
358,wasteland,0.5,2
359,watchdogs,1.0,3
360,waynesworld,1.0,2
361,welcometothegame,1.0,2
362,wherein,0.52,5
363,wiisports,0.5,2
364,wildarms,0.53125,8
365,winniethepoohs,1.0,2
366,wolfenstein,0.34375,8
367,wonderboy,0.3888888888888889,6
368,xc,0.40625,8
369,xmenmutantacademy,1.0,2
370,xenobladechronicles,1.0,3
371,yakuza,0.4545454545454545,11
372,yonoid,0.5,2
373,yokaiwatch,0.40625,8
374,yoshis,0.5555555555555556,3
375,ys,0.3979591836734694,14
376,yugioh,0.4044444444444444,15
