,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
16,1989.0,63,0.046648982802755055,0.3619652385131538,0.09679163917259767,0.22173702183493696,0.05694482070248788,0.08501740548956149,0.046354609906775854,0.08454028157773112
17,1990.0,82,0.037135158367839205,0.3981089336578802,0.10882413652039165,0.22149127032119292,0.04638626543661031,0.07171073056420514,0.04733134598282321,0.06901215914905691
18,1991.0,81,0.04641921686403555,0.39518824534388686,0.10667821168816934,0.2174640125820541,0.045894697044742014,0.08144348034626316,0.046743170557897784,0.06016896557295069
19,1992.0,104,0.04554181047613319,0.36924769910134625,0.12828368536724385,0.22289231081117153,0.05740396552359857,0.07447319559453222,0.039576159693221716,0.06258117343275228
20,1993.0,137,0.047183687597872184,0.34104110765520185,0.10976278663186986,0.26005442243830407,0.06538418150949002,0.06895954477756125,0.04327045790838866,0.06434381148131177
21,1994.0,109,0.04482805370615764,0.35603392694523406,0.10272832571998773,0.2631147130050365,0.060307065804236996,0.06571789209437663,0.047491142868835594,0.05977887985613441
22,1995.0,123,0.05177421511981122,0.32725795772627597,0.09337404102547438,0.27744866617295505,0.05976094884584057,0.07457942068096342,0.04897073009263135,0.06683402033604761
23,1996.0,117,0.061259314397679454,0.3145607588854028,0.08230779504670425,0.279420016138885,0.07926714541747423,0.07479177103715198,0.051960602653886565,0.05643259642281541
24,1997.0,113,0.05069157052873852,0.3319314001104419,0.08307721761050499,0.275204574936273,0.0702705637778502,0.08232531179920388,0.04815098934452498,0.058348371892462274
25,1998.0,108,0.06137501831923279,0.2849207599023853,0.07234109222864911,0.30285351075854766,0.07435026385847877,0.08569512186222286,0.06335750425785067,0.05510672881263236
26,1999.0,131,0.05409667706452032,0.30853337888140075,0.07598820518321034,0.30769427901284346,0.07094590481067262,0.09292861763684586,0.051321506809910586,0.03849143060059587
27,2000.0,118,0.05999304176523061,0.3011478708010161,0.08137149482068526,0.29469123847965717,0.07007213397412007,0.09806917998649484,0.05186086841732738,0.04279417175546808
28,2001.0,127,0.06187190103488441,0.31326054529077907,0.07818236784664906,0.31125737731952857,0.06641610799333636,0.0865908321347724,0.042365624914346936,0.04005524346570245
29,2002.0,115,0.0580662438045965,0.2933231476825309,0.0820986471781128,0.3138166474210323,0.07466922430587239,0.09646721448195657,0.04175925064698501,0.03979962447891309
30,2003.0,145,0.055479756954383064,0.30025773800507105,0.07287076695962558,0.32333091009944015,0.07444823284774532,0.08759057718545227,0.045098755101097,0.040923262847184935
31,2004.0,146,0.05761022152642393,0.29934388686146635,0.07753390620623828,0.31537528487566824,0.074668831653145,0.08315604509801997,0.04885204848852175,0.043459775290516256
32,2005.0,145,0.06717516105790619,0.2993227419014164,0.0750205464069707,0.3143009754170183,0.07526131023061777,0.08451011090196835,0.04008135609791139,0.04432779798619052
33,2006.0,144,0.06279194062008615,0.29868434154988327,0.07704265408682935,0.309848445251907,0.07746432401077047,0.07990436087432387,0.046486410648778766,0.047777522957420576
34,2007.0,159,0.06364235747264076,0.312180031631551,0.08323622822614511,0.30012512065176034,0.061012108044864184,0.08919197712640603,0.039254290743658604,0.05135788610297375
35,2008.0,172,0.07074686764443913,0.3132454858050259,0.07533055174571401,0.2954518565899802,0.060835382123393573,0.09260416231872917,0.04173689822099424,0.05004879555172373
36,2009.0,241,0.06619576321355308,0.3038570289615448,0.07620817305493613,0.2884716168494397,0.07223878201413686,0.09013305890896857,0.04732022946070336,0.05557534753671714
37,2010.0,227,0.06069124834239005,0.2969779769963628,0.0740491989719307,0.31687709695885435,0.07615727239028164,0.08542987085390602,0.043782747474891456,0.046034588011382924
38,2011.0,229,0.06286679648435507,0.3071413218901809,0.07882154228144113,0.2875810322447808,0.06944848467868385,0.09366791206369803,0.04754103418936348,0.05293187616749638
39,2012.0,257,0.06522001918499112,0.29657598001218916,0.07242419582978084,0.31895953016795203,0.0755565735593799,0.08591101383115707,0.041566203184075896,0.043786484230473335
