,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,ENI,KL
32,1973.0,51,0.0284681166754703,0.0231755049617448,0.102747379177948,0.0438965309163675,0.0969933591942072,0.0686445948396434,0.0707223388244692,0.0618300030145288,0.0287493650577055,0.0164855765618342,0.0642067255227542,0.0442472588478123,0.0817073081516799,0.070038643221021,0.057612996654127,0.0497018506277197,0.0179043230314157,0.0191814954101876,0.0465420405810869,0.0071445887282754,7.177959283416602,0.0890398770478007
33,1974.0,46,0.0382504528755815,0.0224059411216465,0.1099774935051079,0.0477832895611023,0.095242575555191,0.0718067835401668,0.043845292218997,0.0519033381282429,0.0199565891026779,0.0157190986998893,0.0396529226018186,0.0425191514133787,0.1176009987355107,0.0371270114889807,0.0666893529834175,0.0598601619231204,0.0090238504439697,0.072760522519003,0.034532802052187,0.0033423715300091,6.959407365183529,0.08281660407546924
34,1975.0,50,0.0236112780786581,0.0202656630929107,0.11548995159912,0.0609934723673742,0.0885024678266878,0.0725816285279074,0.0350745978282658,0.0394173853134683,0.0130946731147742,0.0184607454977513,0.0396291305450416,0.0410690968018844,0.1001826756091136,0.0403631777362444,0.048572829385794,0.0614302417718719,0.0127749038011008,0.1226599496077823,0.044552416050254,0.0012737154439938,6.799120052188183,0.03084842008122075
35,1976.0,58,0.031971954623319,0.0191422348261552,0.1088785211125507,0.0706289814720821,0.1073007650182991,0.0711908001689966,0.0342928265814525,0.0589751361438141,0.0196675659850137,0.0163489800714341,0.0334231611015802,0.0422450139343868,0.1049659464774289,0.0502002495032334,0.050608730354269,0.0602198442205675,0.0169030586313311,0.0565363005504657,0.0440399040905271,0.0024600251330918,6.998869255788442,0.03511066476659669
36,1977.0,50,0.0410729504588027,0.0176236879553457,0.0848381497437227,0.0473806559589281,0.0831583565111618,0.0778865786946446,0.0573705549192128,0.0563520401369786,0.0227018458983986,0.0258626294978769,0.0454724855644129,0.0353684601239664,0.1079809006940069,0.0503709558964996,0.0781810693167073,0.0556885304971462,0.0162073699181854,0.0516063944107839,0.0405819364686559,0.0042944473345616,7.2157093894504625,0.030906018431449394
37,1978.0,51,0.0278938058532192,0.0246545860314248,0.1159509195969597,0.0423572859326388,0.0891206705331868,0.0879825530997824,0.0611930490303128,0.0634214601659477,0.0190494877062105,0.0234867919546695,0.0327584336170047,0.0483911638183035,0.0938002288040849,0.0502354380378115,0.061569765122438,0.0668385814108351,0.0232054087504791,0.0297935505048217,0.0332793888194368,0.0050174312104312,7.104272550476116,0.026413447886253206
38,1979.0,62,0.046769391608383,0.0263117326994246,0.1123485517922047,0.0440407880568739,0.0941302104515427,0.0811889669565998,0.02919797304653,0.0401726347717721,0.0190896142565811,0.018720764121569,0.0316690951072045,0.0533490434923081,0.1224087837560049,0.0365816323647173,0.0574123842914868,0.0596720702237875,0.0248270516303904,0.0607852009966007,0.0369789350795017,0.0043451752965158,7.034119510783287,0.041149964093601776
39,1980.0,44,0.0113305035604068,0.0192628632023942,0.1259034793988725,0.0496258850348439,0.1026011602445072,0.0565779979881348,0.0474430727300505,0.0499205162395942,0.0239497644609257,0.0181327807427305,0.0407748865648485,0.0393842042640484,0.112565313655731,0.0422907123659257,0.0680247784480842,0.0830548006894447,0.0153007590452721,0.0486344464597605,0.0421934761573773,0.0030285987470459,6.860684216017065,0.04560053578424073
40,1981.0,61,0.0265953195308489,0.0295931920094271,0.0961075192258771,0.0453956359951905,0.1106966935235598,0.081879811838354,0.0479356852792972,0.0746414776921958,0.0358127869679229,0.0230746533505498,0.0366738542164808,0.0390543993430531,0.0837800322385778,0.0362104280340163,0.0605369384577584,0.0535750662062735,0.020036528475222,0.053072204692,0.042867373037839,0.0024603998855547,7.1926193305914135,0.03964096837391684
41,1982.0,56,0.0154971416508687,0.0243925791854292,0.0993290472108647,0.0638524585195757,0.0992680883234824,0.0853254080244656,0.0480509851350147,0.0741355641326008,0.0329185874790447,0.0166406767969394,0.0391137746435743,0.0453795241276338,0.0909393842593163,0.0433644612391471,0.0554123744047227,0.0647444783729796,0.0194242286473935,0.0422591898936687,0.0362147693312056,0.0037372786220709,7.105306235636989,0.013261800081439071
