,year,total_works,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,ENI,KL
18,1991.0,81,0.0464192168640355,0.3951882453438868,0.1066782116881693,0.2174640125820541,0.045894697044742,0.0814434803462631,0.0467431705578977,0.0601689655729506,3.3354581128656204,0.0023744530672235344
19,1992.0,104,0.0455418104761331,0.3692476991013462,0.1282836853672438,0.2228923108111715,0.0574039655235985,0.0744731955945322,0.0395761596932217,0.0625811734327522,3.3994061739139525,0.005270161376582901
20,1993.0,137,0.0471836875978721,0.3410411076552018,0.1097627866318698,0.260054422438304,0.06538418150949,0.0689595447775612,0.0432704579083886,0.0643438114813117,3.4316205911700424,0.006412242146119431
21,1994.0,109,0.0448280537061576,0.356033926945234,0.1027283257199877,0.2631147130050365,0.0603070658042369,0.0657178920943766,0.0474911428688355,0.0597788798561344,3.371382219423816,0.001278171052607361
22,1995.0,123,0.0517742151198112,0.3272579577262759,0.0933740410254743,0.277448666172955,0.0597609488458405,0.0745794206809634,0.0489707300926313,0.0668340203360476,3.4497357552635486,0.0035292853370728055
23,1996.0,117,0.0612593143976794,0.3145607588854028,0.0823077950467042,0.279420016138885,0.0792671454174742,0.0747917710371519,0.0519606026538865,0.0564325964228154,3.500282232692201,0.005589296293663459
24,1997.0,113,0.0506915705287385,0.3319314001104419,0.0830772176105049,0.275204574936273,0.0702705637778502,0.0823253117992038,0.0481509893445249,0.0583483718924622,3.441452525754955,0.002549219760255801
25,1998.0,108,0.0613750183192327,0.2849207599023853,0.0723410922286491,0.3028535107585476,0.0743502638584787,0.0856951218622228,0.0633575042578506,0.0551067288126323,3.5285554284689464,0.00908080104842219
26,1999.0,131,0.0540966770645203,0.3085333788814007,0.0759882051832103,0.3076942790128434,0.0709459048106726,0.0929286176368458,0.0513215068099105,0.0384914306005958,3.399677635389316,0.0059338858664351665
27,2000.0,118,0.0599930417652306,0.3011478708010161,0.0813714948206852,0.2946912384796571,0.07007213397412,0.0980691799864948,0.0518608684173273,0.042794171755468,3.47433047694767,0.0012442711261993027
