,year,total_works,topic_1,topic_2,topic_3,topic_4,ENI,KL
30,1995.0,14,0.2333690497416133,0.3091796426991506,0.4441190597946125,0.0133322477646233,2.1742927854144125,0.0014800756357618995
31,1996.0,12,0.2254851776192676,0.3194272169076986,0.4409429875606678,0.0141446179123658,2.17602376955644,0.00033832030923824463
32,1997.0,10,0.2352645311465783,0.3227403524518563,0.4300364245115237,0.0119586918900413,2.1753715567614815,0.0005405503922864823
33,1998.0,7,0.2276400928441659,0.3125294919657263,0.4448406279025287,0.0149897872875789,2.1790444300273624,0.0008953641097668237
34,1999.0,14,0.2267978592724667,0.3327863047671077,0.4274249186508037,0.0129909173096216,2.1770523800098887,0.0011293803852595603
35,2000.0,12,0.2245653410889378,0.3316138686405217,0.4296801210473495,0.0141406692231907,2.1804351948483207,6.847217317721322e-05
36,2001.0,18,0.2238948208478184,0.3205533088714692,0.4410098871484803,0.0145419831322319,2.1770045040432886,0.00034126000218822505
37,2002.0,15,0.2398384692562709,0.3112434356509209,0.4310922342068907,0.0178258608859173,2.2041736758391175,0.0011491996848410893
38,2003.0,17,0.2181738527694917,0.3420080451242094,0.4259225328178684,0.0138955692884302,2.176565173841831,0.0029823485278273327
39,2004.0,23,0.2259140416505522,0.3263754218128912,0.4304993603111963,0.01721117622536,2.1950576331847986,0.0008904435757473351
40,2005.0,28,0.2314131473432986,0.3361522846841716,0.4186006473823262,0.0138339205902035,2.186928862125422,0.000732799134881573
41,2006.0,20,0.2316688428012454,0.333651705781708,0.4181794494364917,0.0165000019805546,2.1997637950313003,0.0002515050132785505
42,2007.0,21,0.2351467086035285,0.3260522761694909,0.4221109592679289,0.0166900559590516,2.201013910805927,0.0001326983424679647
43,2008.0,23,0.2407681832351171,0.3070805741110751,0.4351935668830548,0.0169576757707529,2.1986082268973357,0.0008324455114338129
44,2009.0,27,0.223119617049688,0.3541143337651206,0.4079763993396583,0.0147896498455329,2.189193128597753,0.005108506949044012
45,2010.0,19,0.2281720318039476,0.3239578359483776,0.430730731481878,0.0171394007657967,2.195871786795685,0.0021794945700124033
46,2011.0,17,0.2217923336842799,0.3100484771910703,0.4514198611722259,0.0167393279524236,2.1804126852258676,0.0008868162091381648
47,2012.0,20,0.2162304883590108,0.3360604423709893,0.4295022064786485,0.0182068627913512,2.193933693867588,0.0017356221025470844
48,2013.0,14,0.2234425395312322,0.3270484900915265,0.432129166277679,0.017379804099562,2.193715290605102,0.0002679807728625585
49,2014.0,12,0.2161293977413573,0.3332338972626645,0.435968690530139,0.0146680144658388,2.175191416007434,0.0004196516730226047
50,2015.0,15,0.2314239911355481,0.3319669994434484,0.4181869101499054,0.0184220992710979,2.2082823156885905,0.0013428871621894841
