Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
,1988/9.945840378303601e-05,,2108/0.0009305636276961856,1284/1.3769552764926195e-05,,,
,2265/8.589589417625838e-05,,2424/0.0009272984921604096,2274/1.3769552764926195e-05,,,
,2861/4.972920189151801e-05,,463/0.0009272984921604096,2752/1.3769552764926195e-05,,,
,2776/4.5208365355925464e-05,,322/0.0009272984921604096,2806/1.3769552764926195e-05,,,
,1684/3.616669228474037e-05,,136/0.0009240333566246335,,,,
,1403/3.164585574914782e-05,,1640/0.0009240333566246335,,,,
,2145/3.164585574914782e-05,,1122/0.0009240333566246335,,,,
,2759/1.8083346142370185e-05,,946/0.0009240333566246335,,,,
,2071/1.8083346142370185e-05,,199/0.0009207682210888574,,,,
,2750/9.041673071185092e-06,,2680/0.0009207682210888574,,,,
,679/9.041673071185092e-06,,1250/0.0009207682210888574,,,,
,1056/9.041673071185092e-06,,774/0.0009207682210888574,,,,
,,,2543/0.0009142379500173052,,,,
,,,704/0.0009142379500173052,,,,
,,,1061/0.0009109728144815291,,,,
,,,651/0.0009109728144815291,,,,
,,,1454/0.000907707678945753,,,,
,,,1404/0.0009044425434099769,,,,
,,,793/0.0009011774078742009,,,,
,,,72/0.0009011774078742009,,,,
,,,2827/0.0009011774078742009,,,,
,,,2046/0.0008946471368026487,,,,
,,,2859/0.0008913820012668726,,,,
,,,1531/0.0008881168657310965,,,,
,,,83/0.0008881168657310965,,,,
,,,75/0.0008881168657310965,,,,
,,,182/0.0008848517301953204,,,,
,,,2960/0.0008848517301953204,,,,
,,,572/0.0008815865946595443,,,,
,,,2112/0.0008783214591237682,,,,
,,,1196/0.0008783214591237682,,,,
,,,1264/0.0008783214591237682,,,,
,,,152/0.0008750563235879922,,,,
,,,1494/0.0008717911880522161,,,,
,,,1846/0.0008717911880522161,,,,
,,,2982/0.00086852605251644,,,,
,,,1293/0.0008619957814448878,,,,
,,,1929/0.0008619957814448878,,,,
,,,2426/0.0008587306459091117,,,,
,,,2338/0.0008587306459091117,,,,
,,,2383/0.0008554655103733356,,,,
,,,380/0.0008554655103733356,,,,
,,,919/0.0008522003748375595,,,,
,,,1569/0.0008522003748375595,,,,
,,,217/0.0008522003748375595,,,,
,,,376/0.0008489352393017835,,,,
,,,1141/0.0008489352393017835,,,,
,,,2091/0.0008456701037660074,,,,
,,,315/0.0008391398326944552,,,,
,,,549/0.000832609561622903,,,,
,,,2755/0.0008293444260871268,,,,
,,,2731/0.0008260792905513507,,,,
,,,257/0.0008260792905513507,,,,
,,,2144/0.0008228141550155746,,,,
,,,1971/0.0008228141550155746,,,,
,,,897/0.0008228141550155746,,,,
,,,1887/0.0008162838839440225,,,,
,,,632/0.0008130187484082464,,,,
,,,1689/0.0008130187484082464,,,,
,,,497/0.0008130187484082464,,,,
,,,1950/0.0008130187484082464,,,,
,,,996/0.0008097536128724703,,,,
,,,149/0.0008064884773366942,,,,
,,,1577/0.0008032233418009181,,,,
,,,2317/0.0008032233418009181,,,,
,,,1282/0.000799958206265142,,,,
,,,1409/0.000799958206265142,,,,
,,,758/0.000799958206265142,,,,
,,,1752/0.000799958206265142,,,,
,,,2243/0.000796693070729366,,,,
,,,1254/0.0007934279351935899,,,,
,,,2690/0.0007901627996578138,,,,
,,,2330/0.0007803673930504855,,,,
,,,1709/0.0007771022575147094,,,,
,,,694/0.0007738371219789333,,,,
,,,164/0.0007738371219789333,,,,
,,,2146/0.0007738371219789333,,,,
,,,1976/0.0007705719864431573,,,,
,,,2178/0.0007705719864431573,,,,
,,,347/0.0007705719864431573,,,,
,,,949/0.0007673068509073812,,,,
,,,1158/0.0007640417153716051,,,,
,,,1872/0.0007640417153716051,,,,
,,,2109/0.0007640417153716051,,,,
,,,1620/0.0007640417153716051,,,,
,,,2724/0.000760776579835829,,,,
,,,1014/0.0007575114443000529,,,,
,,,310/0.0007575114443000529,,,,
,,,785/0.0007542463087642768,,,,
,,,828/0.0007509811732285007,,,,
,,,775/0.0007411857666211725,,,,
,,,367/0.0007411857666211725,,,,
,,,415/0.0007411857666211725,,,,
,,,510/0.0007379206310853964,,,,
,,,2683/0.0007379206310853964,,,,
,,,2432/0.0007346554955496203,,,,
,,,1832/0.0007346554955496203,,,,
,,,455/0.0007346554955496203,,,,
,,,524/0.0007346554955496203,,,,
,,,1055/0.0007346554955496203,,,,
,,,360/0.0007313903600138442,,,,
,,,849/0.0007313903600138442,,,,
,,,1343/0.0007313903600138442,,,,
,,,1208/0.0007313903600138442,,,,
,,,2401/0.0007281252244780681,,,,
,,,1278/0.0007281252244780681,,,,
,,,2640/0.000724860088942292,,,,
,,,2264/0.000724860088942292,,,,
,,,1190/0.000724860088942292,,,,
,,,2287/0.0007215949534065159,,,,
,,,355/0.0007183298178707399,,,,
,,,132/0.0007150646823349638,,,,
,,,2095/0.0007150646823349638,,,,
,,,1678/0.0007150646823349638,,,,
,,,663/0.0007150646823349638,,,,
,,,899/0.0007117995467991877,,,,
,,,1587/0.0007117995467991877,,,,
,,,659/0.0007085344112634116,,,,
,,,1660/0.0007085344112634116,,,,
,,,127/0.0007052692757276355,,,,
,,,130/0.0007052692757276355,,,,
,,,1945/0.0007020041401918593,,,,
,,,738/0.0007020041401918593,,,,
,,,108/0.0006954738691203071,,,,
,,,1294/0.0006954738691203071,,,,
,,,2477/0.0006954738691203071,,,,
,,,56/0.000692208733584531,,,,
,,,2029/0.0006856784625129789,,,,
,,,576/0.0006856784625129789,,,,
,,,148/0.0006856784625129789,,,,
,,,2473/0.0006824133269772028,,,,
,,,489/0.0006824133269772028,,,,
,,,2248/0.0006824133269772028,,,,
,,,1082/0.0006791481914414267,,,,
,,,617/0.0006791481914414267,,,,
,,,1890/0.0006758830559056506,,,,
,,,1262/0.0006726179203698745,,,,
,,,3016/0.0006693527848340984,,,,
,,,115/0.0006693527848340984,,,,
,,,2823/0.0006693527848340984,,,,
,,,2279/0.0006660876492983224,,,,
,,,1341/0.0006628225137625463,,,,
,,,1279/0.0006628225137625463,,,,
,,,327/0.0006628225137625463,,,,
,,,947/0.0006595573782267702,,,,
,,,2741/0.0006562922426909941,,,,
,,,1837/0.0006562922426909941,,,,
,,,2185/0.0006562922426909941,,,,
,,,1592/0.0006562922426909941,,,,
,,,2517/0.000653027107155218,,,,
,,,1892/0.000653027107155218,,,,
,,,1182/0.0006497619716194419,,,,
,,,76/0.0006497619716194419,,,,
,,,1653/0.0006497619716194419,,,,
,,,649/0.0006497619716194419,,,,
,,,460/0.0006497619716194419,,,,
,,,1948/0.0006497619716194419,,,,
,,,2026/0.0006464968360836658,,,,
,,,1769/0.0006464968360836658,,,,
,,,1039/0.0006464968360836658,,,,
,,,2083/0.0006432317005478897,,,,
,,,1227/0.0006399665650121137,,,,
,,,1762/0.0006367014294763376,,,,
,,,1914/0.0006334362939405615,,,,
,,,261/0.0006269060228690093,,,,
,,,1829/0.0006269060228690093,,,,
,,,1999/0.0006269060228690093,,,,
,,,52/0.0006236408873332332,,,,
,,,1679/0.0006236408873332332,,,,
,,,1856/0.0006203757517974571,,,,
,,,151/0.0006203757517974571,,,,
,,,1333/0.0006203757517974571,,,,
,,,1090/0.000617110616261681,,,,
,,,2403/0.000617110616261681,,,,
,,,343/0.000617110616261681,,,,
,,,2809/0.000617110616261681,,,,
,,,202/0.000617110616261681,,,,
,,,2139/0.000617110616261681,,,,
,,,495/0.000613845480725905,,,,
,,,2619/0.000613845480725905,,,,
,,,1386/0.000613845480725905,,,,
,,,815/0.0006105803451901289,,,,
,,,1558/0.0006105803451901289,,,,
,,,2997/0.0006105803451901289,,,,
,,,3021/0.0006105803451901289,,,,
,,,1530/0.0006073152096543528,,,,
,,,2795/0.0006073152096543528,,,,
,,,2156/0.0006073152096543528,,,,
,,,1465/0.0006073152096543528,,,,
,,,492/0.0006040500741185767,,,,
,,,1234/0.0006040500741185767,,,,
,,,1736/0.0005975198030470245,,,,
,,,2814/0.0005975198030470245,,,,
,,,1103/0.0005942546675112484,,,,
,,,248/0.0005909895319754723,,,,
,,,1325/0.0005909895319754723,,,,
,,,2784/0.0005909895319754723,,,,
,,,831/0.0005909895319754723,,,,
,,,3023/0.0005877243964396963,,,,
,,,1479/0.0005844592609039202,,,,
,,,2461/0.0005844592609039202,,,,
,,,340/0.0005844592609039202,,,,
,,,1925/0.0005811941253681441,,,,
,,,2364/0.0005811941253681441,,,,
,,,1144/0.0005746638542965918,,,,
,,,2519/0.0005681335832250396,,,,
,,,1072/0.0005681335832250396,,,,
,,,2546/0.0005648684476892635,,,,
,,,473/0.0005616033121534874,,,,
,,,744/0.0005616033121534874,,,,
,,,1143/0.0005616033121534874,,,,
,,,2515/0.0005616033121534874,,,,
,,,42/0.0005583381766177114,,,,
,,,2895/0.0005550730410819353,,,,
,,,2102/0.0005518079055461592,,,,
,,,2591/0.0005518079055461592,,,,
,,,1285/0.0005485427700103831,,,,
,,,1034/0.000545277634474607,,,,
,,,1615/0.000545277634474607,,,,
,,,759/0.0005420124989388309,,,,
,,,1854/0.0005420124989388309,,,,
,,,1335/0.0005420124989388309,,,,
,,,2954/0.0005420124989388309,,,,
,,,1441/0.0005387473634030548,,,,
,,,782/0.0005387473634030548,,,,
,,,2027/0.0005387473634030548,,,,
,,,833/0.0005387473634030548,,,,
,,,2878/0.0005354822278672788,,,,
,,,2915/0.0005354822278672788,,,,
,,,2002/0.0005322170923315027,,,,
,,,371/0.0005322170923315027,,,,
,,,1692/0.0005322170923315027,,,,
,,,979/0.0005289519567957266,,,,
,,,293/0.0005289519567957266,,,,
,,,693/0.0005256868212599505,,,,
,,,2662/0.0005256868212599505,,,,
,,,2738/0.0005224216857241744,,,,
,,,363/0.0005224216857241744,,,,
,,,87/0.0005224216857241744,,,,
,,,1438/0.0005224216857241744,,,,
,,,2104/0.0005191565501883983,,,,
,,,1984/0.0005191565501883983,,,,
,,,2735/0.0005191565501883983,,,,
,,,205/0.0005158914146526222,,,,
,,,2045/0.0005158914146526222,,,,
,,,1015/0.0005158914146526222,,,,
,,,690/0.0005126262791168461,,,,
,,,2056/0.00050936114358107,,,,
,,,1216/0.000506096008045294,,,,
,,,1789/0.000506096008045294,,,,
,,,421/0.0005028308725095179,,,,
,,,2371/0.0005028308725095179,,,,
,,,713/0.0005028308725095179,,,,
,,,2194/0.0004995657369737418,,,,
,,,2533/0.0004995657369737418,,,,
,,,207/0.0004963006014379657,,,,
,,,1964/0.0004963006014379657,,,,
,,,238/0.0004963006014379657,,,,
,,,2206/0.0004963006014379657,,,,
,,,1590/0.0004963006014379657,,,,
,,,189/0.0004963006014379657,,,,
,,,1908/0.0004930354659021896,,,,
,,,1598/0.0004930354659021896,,,,
,,,900/0.0004930354659021896,,,,
,,,656/0.0004930354659021896,,,,
,,,2366/0.0004930354659021896,,,,
,,,2468/0.0004930354659021896,,,,
,,,2565/0.0004897703303664135,,,,
,,,2365/0.0004897703303664135,,,,
,,,931/0.00048650519483063744,,,,
,,,424/0.00048650519483063744,,,,
,,,736/0.00048324005929486135,,,,
,,,2550/0.00048324005929486135,,,,
,,,3017/0.00048324005929486135,,,,
,,,526/0.00048324005929486135,,,,
,,,964/0.00047997492375908527,,,,
,,,1283/0.0004767097882233091,,,,
,,,888/0.0004767097882233091,,,,
,,,710/0.0004767097882233091,,,,
,,,2076/0.0004767097882233091,,,,
,,,1249/0.00047344465268753304,,,,
,,,2133/0.00047017951715175695,,,,
,,,498/0.00047017951715175695,,,,
,,,2718/0.00047017951715175695,,,,
,,,2532/0.00046691438161598086,,,,
,,,2160/0.00046691438161598086,,,,
,,,2980/0.0004636492460802048,,,,
,,,866/0.0004636492460802048,,,,
,,,1889/0.0004636492460802048,,,,
,,,2291/0.0004603841105444287,,,,
,,,1543/0.0004571189750086526,,,,
,,,2821/0.0004571189750086526,,,,
,,,1456/0.0004571189750086526,,,,
,,,930/0.0004571189750086526,,,,
,,,1635/0.0004571189750086526,,,,
,,,453/0.0004538538394728765,,,,
,,,1232/0.0004538538394728765,,,,
,,,658/0.0004538538394728765,,,,
,,,2646/0.0004538538394728765,,,,
,,,1502/0.0004538538394728765,,,,
,,,2216/0.0004505887039371004,,,,
,,,2869/0.00044732356840132434,,,,
,,,1802/0.00044732356840132434,,,,
,,,657/0.00044732356840132434,,,,
,,,1960/0.00044732356840132434,,,,
,,,2931/0.00044405843286554825,,,,
,,,1369/0.00044405843286554825,,,,
,,,548/0.00044405843286554825,,,,
,,,923/0.00044079329732977216,,,,
,,,2763/0.00044079329732977216,,,,
,,,1300/0.00044079329732977216,,,,
,,,699/0.00044079329732977216,,,,
,,,918/0.00044079329732977216,,,,
,,,971/0.00044079329732977216,,,,
,,,2113/0.0004375281617939961,,,,
,,,17/0.0004375281617939961,,,,
,,,2441/0.0004375281617939961,,,,
,,,2885/0.0004375281617939961,,,,
,,,771/0.00043426302625822,,,,
,,,2892/0.00043426302625822,,,,
,,,2908/0.00043426302625822,,,,
,,,1100/0.0004309978907224439,,,,
,,,2183/0.0004309978907224439,,,,
,,,1585/0.0004277327551866678,,,,
,,,126/0.0004277327551866678,,,,
,,,434/0.0004277327551866678,,,,
,,,2374/0.0004277327551866678,,,,
,,,1873/0.0004277327551866678,,,,
,,,2257/0.00042446761965089173,,,,
,,,2728/0.00042120248411511564,,,,
,,,2925/0.00042120248411511564,,,,
,,,2508/0.00042120248411511564,,,,
,,,2384/0.00042120248411511564,,,,
,,,111/0.00041793734857933955,,,,
,,,2335/0.00041793734857933955,,,,
,,,2961/0.00041793734857933955,,,,
,,,926/0.00041793734857933955,,,,
,,,2340/0.0004146722130435634,,,,
,,,677/0.0004146722130435634,,,,
,,,388/0.0004146722130435634,,,,
,,,1810/0.0004114070775077873,,,,
,,,2609/0.0004114070775077873,,,,
,,,1029/0.0004114070775077873,,,,
,,,2094/0.0004114070775077873,,,,
,,,2526/0.00040814194197201124,,,,
,,,1698/0.00040814194197201124,,,,
,,,1020/0.00040814194197201124,,,,
,,,1774/0.00040161167090045906,,,,
,,,875/0.000398346535364683,,,,
,,,123/0.000398346535364683,,,,
,,,2117/0.000398346535364683,,,,
,,,539/0.000398346535364683,,,,
,,,1761/0.000398346535364683,,,,
,,,936/0.0003950813998289069,,,,
,,,1400/0.0003950813998289069,,,,
,,,1193/0.0003950813998289069,,,,
,,,1162/0.0003918162642931308,,,,
,,,1891/0.0003918162642931308,,,,
,,,906/0.0003885511287573547,,,,
,,,601/0.0003852859932215786,,,,
,,,2427/0.0003852859932215786,,,,
,,,1390/0.0003852859932215786,,,,
,,,2199/0.00038202085768580254,,,,
,,,2770/0.00038202085768580254,,,,
,,,1867/0.00038202085768580254,,,,
,,,466/0.00038202085768580254,,,,
,,,2693/0.00037549058661425036,,,,
,,,2179/0.00037549058661425036,,,,
,,,1050/0.00037549058661425036,,,,
,,,2005/0.00037549058661425036,,,,
,,,2727/0.00037549058661425036,,,,
,,,161/0.00037549058661425036,,,,
,,,559/0.00037549058661425036,,,,
,,,1772/0.00037549058661425036,,,,
,,,493/0.00037549058661425036,,,,
,,,1231/0.00037549058661425036,,,,
,,,1912/0.00037549058661425036,,,,
,,,1130/0.00037549058661425036,,,,
,,,153/0.0003722254510784743,,,,
,,,2643/0.0003722254510784743,,,,
,,,2033/0.0003722254510784743,,,,
,,,1784/0.0003689603155426982,,,,
,,,1894/0.0003689603155426982,,,,
,,,1694/0.0003689603155426982,,,,
,,,119/0.0003689603155426982,,,,
,,,2487/0.0003656951800069221,,,,
,,,2070/0.0003656951800069221,,,,
,,,967/0.0003656951800069221,,,,
,,,1420/0.0003656951800069221,,,,
,,,788/0.000362430044471146,,,,
,,,800/0.000362430044471146,,,,
,,,1025/0.000362430044471146,,,,
,,,1508/0.000362430044471146,,,,
,,,1480/0.00035916490893536993,,,,
,,,1748/0.00035916490893536993,,,,
,,,1291/0.00035589977339959384,,,,
,,,66/0.00035589977339959384,,,,
,,,711/0.00035589977339959384,,,,
,,,1878/0.00035589977339959384,,,,
,,,2705/0.00035263463786381775,,,,
,,,2836/0.00035263463786381775,,,,
,,,1064/0.0003493695023280416,,,,
,,,2101/0.0003493695023280416,,,,
,,,81/0.0003461043667922655,,,,
,,,449/0.0003461043667922655,,,,
,,,1958/0.0003461043667922655,,,,
,,,1346/0.00034283923125648944,,,,
,,,1207/0.00034283923125648944,,,,
,,,2402/0.00034283923125648944,,,,
,,,177/0.00034283923125648944,,,,
,,,48/0.00033957409572071335,,,,
,,,2494/0.00033957409572071335,,,,
,,,1721/0.00033957409572071335,,,,
,,,671/0.00033957409572071335,,,,
,,,2399/0.00033630896018493726,,,,
,,,2598/0.00033630896018493726,,,,
,,,1629/0.00033630896018493726,,,,
,,,1128/0.00033630896018493726,,,,
,,,2603/0.0003330438246491612,,,,
,,,45/0.0003297786891133851,,,,
,,,62/0.0003297786891133851,,,,
,,,1275/0.0003232484180418329,,,,
,,,2554/0.0003232484180418329,,,,
,,,1148/0.0003232484180418329,,,,
,,,599/0.0003232484180418329,,,,
,,,2792/0.0003232484180418329,,,,
,,,1355/0.0003232484180418329,,,,
,,,292/0.0003232484180418329,,,,
,,,2480/0.0003232484180418329,,,,
,,,2837/0.00031671814697028074,,,,
,,,1940/0.00031671814697028074,,,,
,,,720/0.00031671814697028074,,,,
,,,2746/0.00031671814697028074,,,,
,,,1497/0.00031345301143450465,,,,
,,,2894/0.00031345301143450465,,,,
,,,2734/0.00031345301143450465,,,,
,,,959/0.00031018787589872856,,,,
,,,1526/0.00031018787589872856,,,,
,,,204/0.00031018787589872856,,,,
,,,1136/0.0003069227403629525,,,,
,,,409/0.0003069227403629525,,,,
,,,1812/0.0003069227403629525,,,,
,,,2704/0.0003069227403629525,,,,
,,,2686/0.0003036576048271764,,,,
,,,1627/0.0003036576048271764,,,,
,,,1719/0.0003036576048271764,,,,
,,,2459/0.0003036576048271764,,,,
,,,2890/0.0003036576048271764,,,,
,,,773/0.0003036576048271764,,,,
,,,2684/0.0003036576048271764,,,,
,,,1257/0.0003036576048271764,,,,
,,,156/0.0003036576048271764,,,,
,,,2715/0.0003003924692914003,,,,
,,,2947/0.0003003924692914003,,,,
,,,1974/0.0003003924692914003,,,,
,,,385/0.0003003924692914003,,,,
,,,412/0.0003003924692914003,,,,
,,,251/0.0002971273337556242,,,,
,,,714/0.0002971273337556242,,,,
,,,2285/0.00029386219821984813,,,,
,,,2410/0.00029386219821984813,,,,
,,,1094/0.00029386219821984813,,,,
,,,1057/0.00029386219821984813,,,,
,,,1589/0.00029059706268407204,,,,
,,,2678/0.00029059706268407204,,,,
,,,2756/0.00029059706268407204,,,,
,,,2610/0.00029059706268407204,,,,
,,,2417/0.00029059706268407204,,,,
,,,422/0.00029059706268407204,,,,
,,,2571/0.0002873319271482959,,,,
,,,2220/0.0002873319271482959,,,,
,,,1768/0.0002873319271482959,,,,
,,,2665/0.0002873319271482959,,,,
,,,249/0.0002873319271482959,,,,
,,,993/0.0002873319271482959,,,,
,,,2155/0.0002873319271482959,,,,
,,,2717/0.0002873319271482959,,,,
,,,419/0.0002840667916125198,,,,
,,,1657/0.0002840667916125198,,,,
,,,2729/0.0002840667916125198,,,,
,,,1036/0.0002840667916125198,,,,
,,,1383/0.0002840667916125198,,,,
,,,57/0.0002840667916125198,,,,
,,,2414/0.0002808016560767437,,,,
,,,1321/0.0002808016560767437,,,,
,,,218/0.00027753652054096764,,,,
,,,1344/0.00027753652054096764,,,,
,,,1473/0.00027753652054096764,,,,
,,,970/0.00027753652054096764,,,,
,,,2495/0.00027427138500519155,,,,
,,,2280/0.00027427138500519155,,,,
,,,2596/0.00027427138500519155,,,,
,,,2295/0.00027427138500519155,,,,
,,,1450/0.00027427138500519155,,,,
,,,1849/0.00027100624946941546,,,,
,,,2615/0.00027100624946941546,,,,
,,,50/0.00027100624946941546,,,,
,,,630/0.00027100624946941546,,,,
,,,1874/0.0002677411139336394,,,,
,,,769/0.0002644759783978633,,,,
,,,1266/0.0002644759783978633,,,,
,,,550/0.0002644759783978633,,,,
,,,2484/0.0002612108428620872,,,,
,,,1882/0.0002612108428620872,,,,
,,,1391/0.0002612108428620872,,,,
,,,518/0.0002612108428620872,,,,
,,,491/0.0002579457073263111,,,,
,,,88/0.0002579457073263111,,,,
,,,1821/0.00025141543625475894,,,,
,,,2979/0.00025141543625475894,,,,
,,,2034/0.00025141543625475894,,,,
,,,1712/0.00025141543625475894,,,,
,,,2131/0.00024815030071898285,,,,
,,,2422/0.00024815030071898285,,,,
,,,2382/0.00024488516518320676,,,,
,,,2314/0.00024488516518320676,,,,
,,,1221/0.00024488516518320676,,,,
,,,513/0.00024488516518320676,,,,
,,,1841/0.00024488516518320676,,,,
,,,1474/0.00024162002964743068,,,,
,,,594/0.00024162002964743068,,,,
,,,1154/0.00023835489411165456,,,,
,,,1811/0.00023835489411165456,,,,
,,,1481/0.00023835489411165456,,,,
,,,2856/0.00023508975857587848,,,,
,,,2713/0.00023508975857587848,,,,
,,,2236/0.00023508975857587848,,,,
,,,1263/0.00023508975857587848,,,,
,,,464/0.00023508975857587848,,,,
,,,924/0.00023508975857587848,,,,
,,,2475/0.00023508975857587848,,,,
,,,2520/0.0002318246230401024,,,,
,,,1225/0.0002318246230401024,,,,
,,,1688/0.0002285594875043263,,,,
,,,2970/0.0002285594875043263,,,,
,,,1921/0.0002285594875043263,,,,
,,,89/0.0002285594875043263,,,,
,,,1680/0.0002285594875043263,,,,
,,,2965/0.0002285594875043263,,,,
,,,2407/0.0002252943519685502,,,,
,,,2521/0.0002252943519685502,,,,
,,,1906/0.0002252943519685502,,,,
,,,1697/0.0002252943519685502,,,,
,,,1472/0.0002252943519685502,,,,
,,,1603/0.00022202921643277413,,,,
,,,2395/0.00022202921643277413,,,,
,,,1352/0.00021876408089699804,,,,
,,,1009/0.00021876408089699804,,,,
,,,2788/0.00021876408089699804,,,,
,,,643/0.00021876408089699804,,,,
,,,1937/0.00021549894536122195,,,,
,,,247/0.00021549894536122195,,,,
,,,853/0.00021549894536122195,,,,
,,,1215/0.00021549894536122195,,,,
,,,397/0.00021549894536122195,,,,
,,,920/0.00021549894536122195,,,,
,,,1717/0.00021223380982544586,,,,
,,,2409/0.00021223380982544586,,,,
,,,379/0.00021223380982544586,,,,
,,,2730/0.00021223380982544586,,,,
,,,957/0.00021223380982544586,,,,
,,,2211/0.00020896867428966978,,,,
,,,2613/0.00020896867428966978,,,,
,,,405/0.00020570353875389366,,,,
,,,1412/0.00020570353875389366,,,,
,,,2860/0.00020570353875389366,,,,
,,,2418/0.00020570353875389366,,,,
,,,568/0.00020570353875389366,,,,
,,,2035/0.00020243840321811758,,,,
,,,78/0.00020243840321811758,,,,
,,,2874/0.00020243840321811758,,,,
,,,1896/0.00020243840321811758,,,,
,,,1605/0.00020243840321811758,,,,
,,,1147/0.0001991732676823415,,,,
,,,730/0.0001991732676823415,,,,
,,,1482/0.0001959081321465654,,,,
,,,1775/0.0001959081321465654,,,,
,,,1711/0.0001959081321465654,,,,
,,,986/0.0001959081321465654,,,,
,,,137/0.0001959081321465654,,,,
,,,872/0.0001959081321465654,,,,
,,,2202/0.0001959081321465654,,,,
,,,1012/0.0001959081321465654,,,,
,,,352/0.0001959081321465654,,,,
,,,1845/0.0001926429966107893,,,,
,,,2663/0.0001926429966107893,,,,
,,,420/0.0001926429966107893,,,,
,,,2714/0.0001926429966107893,,,,
,,,2229/0.0001926429966107893,,,,
,,,634/0.0001926429966107893,,,,
,,,1801/0.0001926429966107893,,,,
,,,2038/0.00018937786107501323,,,,
,,,2322/0.00018937786107501323,,,,
,,,1580/0.00018937786107501323,,,,
,,,1626/0.00018937786107501323,,,,
,,,2992/0.00018937786107501323,,,,
,,,1536/0.00018937786107501323,,,,
,,,501/0.00018611272553923714,,,,
,,,1088/0.00018611272553923714,,,,
,,,2527/0.00018611272553923714,,,,
,,,2790/0.00018284759000346105,,,,
,,,1975/0.00018284759000346105,,,,
,,,2634/0.00018284759000346105,,,,
,,,128/0.00018284759000346105,,,,
,,,2578/0.00018284759000346105,,,,
,,,1374/0.00018284759000346105,,,,
,,,2450/0.00018284759000346105,,,,
,,,1990/0.00018284759000346105,,,,
,,,2283/0.00017958245446768496,,,,
,,,1110/0.00017958245446768496,,,,
,,,2174/0.00017958245446768496,,,,
,,,483/0.00017958245446768496,,,,
,,,1707/0.00017958245446768496,,,,
,,,0/0.00017958245446768496,,,,
,,,1330/0.00017631731893190888,,,,
,,,1377/0.00017631731893190888,,,,
,,,1338/0.00017631731893190888,,,,
,,,2900/0.00017631731893190888,,,,
,,,2375/0.00017631731893190888,,,,
,,,1831/0.00017631731893190888,,,,
,,,567/0.00017305218339613276,,,,
,,,1116/0.00017305218339613276,,,,
,,,826/0.00017305218339613276,,,,
,,,1160/0.00017305218339613276,,,,
,,,1043/0.00017305218339613276,,,,
,,,1557/0.00017305218339613276,,,,
,,,825/0.00017305218339613276,,,,
,,,2943/0.00016978704786035667,,,,
,,,2621/0.00016978704786035667,,,,
,,,961/0.00016978704786035667,,,,
,,,2436/0.00016978704786035667,,,,
,,,1737/0.0001665219123245806,,,,
,,,320/0.0001665219123245806,,,,
,,,2857/0.0001665219123245806,,,,
,,,1981/0.0001665219123245806,,,,
,,,2668/0.0001665219123245806,,,,
,,,2726/0.0001665219123245806,,,,
,,,533/0.0001665219123245806,,,,
,,,1631/0.0001665219123245806,,,,
,,,707/0.0001665219123245806,,,,
,,,2698/0.0001632567767888045,,,,
,,,212/0.0001632567767888045,,,,
,,,1195/0.0001632567767888045,,,,
,,,862/0.0001632567767888045,,,,
,,,1016/0.0001632567767888045,,,,
,,,1545/0.0001632567767888045,,,,
,,,962/0.0001632567767888045,,,,
,,,2293/0.0001599916412530284,,,,
,,,2553/0.0001599916412530284,,,,
,,,2067/0.0001599916412530284,,,,
,,,1532/0.00015672650571725233,,,,
,,,2241/0.00015672650571725233,,,,
,,,2620/0.00015672650571725233,,,,
,,,600/0.00015672650571725233,,,,
,,,2153/0.00015346137018147624,,,,
,,,954/0.00015346137018147624,,,,
,,,2830/0.00015346137018147624,,,,
,,,787/0.00015346137018147624,,,,
,,,1432/0.00015346137018147624,,,,
,,,1544/0.00015346137018147624,,,,
,,,2124/0.00015346137018147624,,,,
,,,1659/0.00015019623464570015,,,,
,,,467/0.00015019623464570015,,,,
,,,2942/0.00015019623464570015,,,,
,,,2367/0.00015019623464570015,,,,
,,,692/0.00014693109910992406,,,,
,,,1770/0.00014693109910992406,,,,
,,,2531/0.00014693109910992406,,,,
,,,2780/0.00014693109910992406,,,,
,,,2078/0.00014693109910992406,,,,
,,,1176/0.00014693109910992406,,,,
,,,2799/0.00014693109910992406,,,,
,,,806/0.00014693109910992406,,,,
,,,1922/0.00014693109910992406,,,,
,,,2917/0.00014366596357414795,,,,
,,,2479/0.00014366596357414795,,,,
,,,3025/0.00014366596357414795,,,,
,,,978/0.00014366596357414795,,,,
,,,797/0.00014366596357414795,,,,
,,,2176/0.00014366596357414795,,,,
,,,1836/0.00014366596357414795,,,,
,,,2209/0.00014040082803837186,,,,
,,,903/0.00014040082803837186,,,,
,,,2503/0.00014040082803837186,,,,
,,,2009/0.00014040082803837186,,,,
,,,2498/0.00014040082803837186,,,,
,,,628/0.00014040082803837186,,,,
,,,1519/0.00014040082803837186,,,,
,,,1006/0.00013713569250259577,,,,
,,,2974/0.00013713569250259577,,,,
,,,2939/0.00013713569250259577,,,,
,,,1022/0.00013713569250259577,,,,
,,,485/0.00013713569250259577,,,,
,,,1187/0.00013713569250259577,,,,
,,,2574/0.00013713569250259577,,,,
,,,2645/0.00013713569250259577,,,,
,,,206/0.00013713569250259577,,,,
,,,752/0.00013713569250259577,,,,
,,,928/0.00013713569250259577,,,,
,,,1608/0.00013713569250259577,,,,
