Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
1436/0.0040853454191468646,1926/0.004037107026284144,1972/0.0048609401919763725,814/0.002311715959329472,764/0.003883013879709187,1862/0.005496379473187113,1367/0.0047376464595007646,
369/0.00405342865805978,1099/0.004000940333999403,1826/0.0047532611370908195,291/0.0023084508237936957,317/0.0038554747741793346,2120/0.005470143771644453,1510/0.004635761589403974,
2245/0.00405342865805978,2370/0.003951211132107885,2573/0.004676347526458282,1037/0.00230518568825792,595/0.0038554747741793346,2069/0.005352083114702487,2672/0.004584819154355578,
431/0.00405342865805978,1624/0.003928606949429922,94/0.004599433915825744,2159/0.0022627389262928304,811/0.0038417052214144085,2737/0.005286493860845839,603/0.004584819154355578,
1280/0.0039736367553420675,39/0.003815586036040109,2223/0.004599433915825744,1727/0.00224641324861395,187/0.0037866270103547035,608/0.005102843950047224,1622/0.004584819154355578,
2539/0.003941719994254983,1599/0.0037975026898977387,1253/0.004491754860940192,579/0.0022333527064708454,902/0.0037590879048248513,1324/0.004827369083849302,2833/0.004533876719307183,
2390/0.0038778864720808133,890/0.0037522943245418133,1827/0.004414841250307654,254/0.0022268224353992933,1349/0.003745318352059925,887/0.004801133382306643,1153/0.004533876719307183,
2694/0.003861928091537271,1455/0.0037161276322570727,387/0.004322544917548609,1729/0.0022170270287919652,1167/0.003717779246530073,1986/0.004748661979221324,1265/0.0044829342842587876,
1570/0.003830011330450186,2853/0.003661877593829962,2397/0.004307162195422102,272/0.002210496757720413,454/0.003717779246530073,1539/0.0046306013222793575,2944/0.0044829342842587876,
1840/0.0038140529499066434,1870/0.003625710901545222,1623/0.004199483140536549,1732/0.0021941710800415324,1142/0.003662701035470368,1909/0.004512540665337391,2085/0.00445746306673459,
867/0.003734261047188931,1992/0.0035488566804401486,2358/0.0041841004184100415,210/0.0021876408089699802,2093/0.003621392377175589,2132/0.004394480008395424,748/0.00445746306673459,
2866/0.003734261047188931,1822/0.003521731661226593,1123/0.004168717696283534,216/0.0021843756734342044,2490/0.003621392377175589,375/0.004342008605310106,2995/0.004431991849210393,
1485/0.003622552383384134,1782/0.003508169151619816,2173/0.004168717696283534,805/0.002141928911469115,1302/0.003607622824410663,1725/0.004342008605310106,2812/0.004381049414161997,
1646/0.003622552383384134,393/0.003494606642013038,1146/0.004153334974157027,2024/0.002132133504861787,105/0.0035663141661158846,1517/0.004328890754538776,925/0.004381049414161997,
15/0.0036065940028405918,2638/0.003485564968941853,1087/0.004137952252030519,1075/0.0021288683693260107,1360/0.0035525446133509585,983/0.004289537202224788,1359/0.004330106979113602,
855/0.0036065940028405918,2212/0.0034674816227994827,913/0.004061038641397982,1813/0.0021125426916471304,994/0.0034836968495263274,2389/0.0042764193514534575,1069/0.004279164544065206,
609/0.0035268021001228795,1118/0.0034539191131927054,2779/0.003968742308638936,972/0.0021060124205755783,1038/0.0034836968495263274,2444/0.004250183649910799,844/0.004228222109016811,
1172/0.0034948853390357948,227/0.0034448774401215202,716/0.0039379768643859215,2089/0.002102747285039802,938/0.0034836968495263274,941/0.004237065799139469,992/0.004177279673968416,
2575/0.0034789269584922524,1786/0.0034313149305147425,823/0.003891828698006399,2060/0.002092951878432474,1365/0.0034286186384666225,2021/0.00419771224682548,733/0.0041008660213958225,
1405/0.0034470101974051672,880/0.0033996690747655945,165/0.0038764459758798917,2652/0.002092951878432474,2271/0.0034148490857016964,1419/0.004145240843740162,1018/0.004075394803871625,
1210/0.0034150934363180825,195/0.003354460709409669,2928/0.0038610632537533843,2914/0.0020798913362893696,786/0.0034010795329367702,742/0.004079651589883514,1276/0.004049923586347428,
2535/0.0033831766752309977,1342/0.0033318565267317062,1140/0.003845680531626877,1168/0.0020570353875389367,2560/0.003373540427406918,865/0.004040298037569524,2372/0.003948038716250637,
9/0.003367218294687455,1923/0.0033318565267317062,496/0.0038149150873738615,696/0.0020505051164673846,2074/0.0033597708746419914,1652/0.004027180186798195,1457/0.0038970962812022417,
614/0.0033512599141439126,2157/0.003327335690196114,2679/0.0037533841988678317,446/0.0020276491677169517,624/0.003304692663582287,267/0.003974708783712876,451/0.0038461538461538464,
377/0.0033512599141439126,587/0.0033002106709825586,1422/0.0036918533103618015,760/0.0020178537611096237,1791/0.0032909231108173608,2492/0.0038960016790848986,2994/0.003642384105960265,
551/0.003287426391969743,2628/0.003273085651769003,374/0.0036918533103618015,1880/0.0020113234900380715,1666/0.003263384005287508,2064/0.003882883828313569,2205/0.003565970453387672,
1746/0.003287426391969743,665/0.003268564815233411,344/0.003645705143982279,398/0.0020113234900380715,1518/0.003249614452522582,141/0.003882883828313569,1222/0.003489556800815079,
2110/0.003255509630882658,2708/0.0032640439786978184,1783/0.0035995569776027564,437/0.002001528083430743,1759/0.003249614452522582,2460/0.003817294574456921,1230/0.0034640855832908813,
1594/0.003223592869795573,2816/0.003245960632555448,2084/0.0035687915333497415,1048/0.001994997812359191,284/0.0032220753469927297,297/0.003672998215972295,2732/0.0033876719307182885,
2767/0.003223592869795573,669/0.0032052731037351154,213/0.0034764952005906964,170/0.001959081321465654,2164/0.0032220753469927297,1901/0.0035549375590303283,1728/0.0033622007131940907,
675/0.003223592869795573,802/0.003164585574914782,2654/0.003430347034211174,383/0.0019427556437867737,1952/0.0030981493721083937,2470/0.0035155840067163397,1260/0.0032603158430973,
228/0.003143800967077861,1127/0.0031510230653080044,1370/0.003399581589958159,1113/0.0019427556437867737,265/0.0030568407138136153,1581/0.0034893483051736804,2828/0.0032348446255731026,
1918/0.003143800967077861,883/0.0031419813922368197,2098/0.0033841988678316513,2653/0.0019264299661078932,28/0.003029301608283763,219/0.0034106412005457027,2030/0.003107488537952114,
51/0.003111884205990776,1371/0.003056085498060561,2967/0.0033841988678316513,2918/0.001919899695036341,2542/0.003015532055518837,2855/0.003397523349774373,2963/0.003056546102903719,
2513/0.003111884205990776,32/0.003038002151918191,1091/0.003338050701452129,1469/0.0019101042884290126,655/0.003015532055518837,2632/0.0033056983943750657,2378/0.0030056036678553235,
660/0.003079967444903691,1001/0.0030153979692402284,11/0.0033226679793256215,2323/0.0019035740173574604,701/0.0030017625027539104,418/0.0033056983943750657,1305/0.0030056036678553235,
1800/0.0030640090643601486,1287/0.0029927937865622655,289/0.003307285257199114,2127/0.0018937786107501322,2053/0.0029879929499889843,2949/0.003292580543603736,403/0.002980132450331126,
2054/0.0030640090643601486,789/0.0029792312769554878,2080/0.0032765198129460988,235/0.0018709226619996995,1957/0.0029879929499889843,817/0.003253226991289747,1794/0.002980132450331126,
