Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
435/0.004508100493073491,10/0.007769302413317457,2037/0.0053760454015153785,1212/0.006422893481717011,1645/0.0037855433348581583,75/0.008844966669260499,1521/0.007612169712347817,1063/0.005496638546718347,,2298/0.006502680018282295,1928/0.002773629187113292,2549/0.0004214582455295322,
1/0.004478750880488378,981/0.00766319661404605,2914/0.005329037055397199,194/0.006366366366366366,1600/0.003732505950131599,2389/0.008559645163800483,1250/0.007587771732500549,111/0.005287125418255988,,810/0.006502680018282295,2629/0.0024535950501386817,,
696/0.004467011035454332,794/0.007486353615260372,1877/0.00520937944709638,1165/0.006352234587528705,916/0.0036927279115866797,2517/0.008352138614375016,2204/0.00756337375265328,2724/0.005157720250676296,,1795/0.006357252669630615,2071/0.0012801365478984424,,
2036/0.004425921577835172,2722/0.007462774548755615,1723/0.005166644586988944,377/0.006345168698109875,832/0.00367946856540504,2569/0.008352138614375016,1246/0.007514577792958743,2046/0.00514539594900204,,2207/0.006315701998587277,1563/0.001173458502240239,,
1513/0.004414181732801127,1254/0.007462774548755615,264/0.005128183212892253,326/0.00628864158275923,76/0.0036529498730417604,2824/0.008118693746271367,2828/0.007514577792958743,427/0.005108423043979271,,2135/0.00627415132754394,684/0.000693407296778323,,
1406/0.004367222352664945,1340/0.007450985015503236,3000/0.005085448352784817,199/0.006260378025083908,494/0.0036065421614060213,1002/0.007781495603454984,306/0.0073925878937224,383/0.005089936591467886,,352/0.00627415132754394,,,
235/0.004349612585113877,2691/0.007439195482250857,1241/0.005046986978688125,566/0.006260378025083908,442/0.0035866531421335614,593/0.007781495603454984,1862/0.007368189913875131,1469/0.0050344772339337325,,1297/0.006232600656500603,,,
814/0.004337872740079831,1992/0.007120878084436637,23/0.004965790744483998,2162/0.006182653241476771,2127/0.0035866531421335614,1578/0.007548050735351334,338/0.0073437919340278626,650/0.004954369273051065,,2589/0.0061702746499355966,,,
1577/0.0043202629725287624,2991/0.007002982751912852,2758/0.00493160285639805,115/0.006006006006006006,308/0.0035800234690427416,889/0.007548050735351334,1188/0.007148608095249713,314/0.004948207122213937,,2418/0.0061079486433705905,,,
432/0.0041676449870861705,1825/0.006944035085650959,702/0.004927329370387306,1999/0.005970676558911853,2161/0.003546875103588642,2330/0.007444297460638602,2933/0.007124210115402444,2957/0.00483728840714563,,1691/0.0061079486433705905,,,
2112/0.004155905142052125,1646/0.006802560686622417,2866/0.004914508912355076,2827/0.005907083554142377,287/0.003507097065043723,1726/0.007236790911213135,1881/0.007099812135555176,242/0.004812639803797117,,2078/0.006024847301283916,,,
116/0.004120685606949988,299/0.006755402553612903,512/0.004794851304054256,1407/0.005864688217629394,1171/0.0035004673919529026,1900/0.007184914273856769,1522/0.006977822236318832,624/0.004794153351285733,,1054/0.005983296630240578,,,
2426/0.004050246536745715,2357/0.006720033953855767,77/0.004790577818043513,170/0.005829358770535241,2590/0.0034938377188620828,1271/0.007158975955178585,784/0.006953424256471564,2437/0.004794153351285733,,942/0.005567789919807205,,,
2652/0.00403850669171167,476/0.006684665354098631,694/0.004786304332032769,563/0.00581522699169758,586/0.003487208045771263,2875/0.0068736544497185696,866/0.006904628296777027,1488/0.004670910334543169,,987/0.005547014584285536,,,
805/0.004009157079126555,2445/0.006602138621331981,15/0.004777757360011282,1170/0.00581522699169758,1899/0.0034739486995896234,293/0.006614271262936736,239/0.006880230316929758,1396/0.0046524238820317846,,2843/0.005526239248763868,,,
1790/0.003973937544024419,1760/0.006566770021574846,1258/0.004764936901979051,549/0.005786963434022257,1408/0.0034739486995896234,2364/0.006458641350867636,196/0.006709444457998878,1042/0.0046154509770090155,,1944/0.005422362571155524,,,
2859/0.003962197698990373,2840/0.006437085155798682,2351/0.004760663415968308,1757/0.005765765765765766,680/0.0034606893534079833,291/0.006432703032189454,1138/0.006465464659526191,573/0.0045969645244976305,,1176/0.005422362571155524,,,
2473/0.003950457853956328,2279/0.006425295622546304,4/0.004760663415968308,1920/0.005709238650415121,325/0.0034540596803171635,2749/0.006432703032189454,1401/0.006367872740137117,171/0.0045969645244976305,,2886/0.005235384551460506,,,
458/0.003909368396337169,1085/0.0063781374895367894,1667/0.004717928555860873,2844/0.005666843313902137,100/0.003427540987953884,2598/0.006380826394833087,2622/0.006294678800595311,2390/0.004504532261940708,,2745/0.005193833880417169,,,
369/0.0038741488612350316,307/0.006342768889779654,1668/0.004675193695753437,1840/0.0055325914149443566,27/0.0033943926224997843,492/0.006277073120120354,3005/0.006294678800595311,1198/0.004442910753569426,,2038/0.005110732538330494,,,
517/0.0038565390936839633,1185/0.006283821223517761,1186/0.0046025444335707965,1800/0.0055325914149443566,541/0.0033811332763181447,21/0.006225196482763987,2412/0.006075096981969893,2027/0.00436280279268676,,467/0.005089957202808825,,,
2434/0.0038506691711669406,845/0.00621308402400349,922/0.004576903517506336,80/0.00546193252075605,316/0.003374503603227325,2734/0.006199258164085804,1515/0.005977505062580818,535/0.004356640641849631,,1451/0.005089957202808825,,,
1121/0.003838929326132895,2439/0.005989082892208297,475/0.004457245909205516,623/0.005384207737148913,990/0.003367873930136505,2008/0.006095504889373071,1895/0.00595310708273355,709/0.004307343435152606,,409/0.004944529854157145,,,
