Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13
2938/0.0013148626438131018,,2769/0.0013162336913090115,,1850/0.0014916764454344757,,,321/0.0011091871506830745,,,,,
1653/0.001308992721296079,,3026/0.0013076867192875245,,2760/0.0014850467723436557,,,2282/0.0011030249998459462,,,,,
2280/0.001303122798779056,,718/0.001303413233276781,,1610/0.0014850467723436557,,,2228/0.00109070069817169,,,,,
1937/0.0012972528762620332,,511/0.001303413233276781,,55/0.0014850467723436557,,,594/0.00109070069817169,,,,,
1657/0.0012679032636769194,,746/0.0012991397472660374,,2981/0.0014784170992528359,,,2763/0.0010845385473345617,,,,,
879/0.0012561634186428739,,485/0.0012863192892338068,,789/0.001471787426162016,,,53/0.0010783763964974334,,,,,
52/0.001250293496125851,,1634/0.0012692253451908324,,2679/0.001471787426162016,,,1889/0.0010722142456603052,,,,,
2738/0.0012444235736088283,,533/0.0012692253451908324,,2601/0.001465157753071196,,,509/0.0010537277931489206,,,,,
2634/0.0012444235736088283,,646/0.0012692253451908324,,1579/0.0014585280799803762,,,57/0.0010537277931489206,,,,,
2542/0.0012385536510918056,,122/0.0012692253451908324,,1829/0.0014585280799803762,,,750/0.0010475656423117926,,,,,
2202/0.0012385536510918056,,1837/0.0012606783731693454,,2654/0.0014386390607079166,,,2678/0.0010475656423117926,,,,,
2979/0.0012326837285747828,,460/0.0012564048871586018,,1615/0.0014386390607079166,,,2889/0.0010229170389632798,,,,,
2465/0.0012326837285747828,,714/0.0012521314011478583,,455/0.0014320093876170966,,,1955/0.000998268435614767,,,,,
2594/0.00122681380605776,,2074/0.0012521314011478583,,2/0.0014320093876170966,,,2757/0.0009736198322662542,,,,,
1442/0.001203334115989669,,971/0.0012435844291263712,,2977/0.0014320093876170966,,,104/0.0009736198322662542,,,,,
2026/0.0011915942709556234,,1518/0.0012350374571048841,,2704/0.0014187500414354567,,,2417/0.0009612955305919978,,,,,
1450/0.0011915942709556234,,61/0.00121794351306191,,2069/0.0014187500414354567,,,1777/0.0009612955305919978,,,,,
137/0.0011857243484386007,,2565/0.00121794351306191,,358/0.0014187500414354567,,,1132/0.0009551333797548696,,,,,
2857/0.0011857243484386007,,584/0.00121794351306191,,1457/0.001412120368344637,,,730/0.0009366469272434851,,,,,
1338/0.0011798544259215779,,1717/0.00121794351306191,,198/0.001398861022162997,,,518/0.0009366469272434851,,,,,
2257/0.0011622446583705096,,1410/0.001209396541040423,,647/0.001398861022162997,,,1131/0.0009243226255692287,,,,,
2898/0.0011622446583705096,,1289/0.0012008495690189358,,2777/0.0013922313490721773,,,34/0.0009243226255692287,,,,,
2311/0.0011622446583705096,,1630/0.0011965760830081923,,2319/0.0013922313490721773,,,1808/0.0009181604747321005,,,,,
2574/0.0011446348908194413,,365/0.0011880291109867052,,1520/0.0013922313490721773,,,683/0.0009119983238949723,,,,,
320/0.0011328950457853957,,2005/0.0011880291109867052,,2801/0.0013922313490721773,,,2703/0.0009119983238949723,,,,,
1147/0.0011328950457853957,,2494/0.0011794821389652182,,2643/0.0013922313490721773,,,986/0.0009058361730578441,,,,,
345/0.0011328950457853957,,1318/0.0011794821389652182,,2079/0.0013922313490721773,,,1177/0.0008811875697093313,,,,,
572/0.0011270251232683728,,1149/0.0011752086529544746,,2210/0.0013856016759813575,,,2051/0.0008688632680350749,,,,,
2034/0.0011270251232683728,,1605/0.0011581147089115005,,553/0.0013856016759813575,,,2684/0.0008565389663608186,,,,,
1526/0.00112115520075135,,954/0.0011452942508792697,,1856/0.0013723423297997176,,,1661/0.0008503768155236904,,,,,
1480/0.00112115520075135,,1008/0.0011196533348148084,,979/0.0013723423297997176,,,2120/0.000838052513849434,,,,,
2010/0.00112115520075135,,2367/0.0011196533348148084,,725/0.0013723423297997176,,,2773/0.000838052513849434,,,,,
2402/0.00112115520075135,,1967/0.0011111063627933214,,1581/0.0013657126567088976,,,813/0.0008257282121751777,,,,,
2004/0.0011094153557173045,,2180/0.0011111063627933214,,1367/0.0013590829836180778,,,578/0.0008195660613380494,,,,,
2286/0.0011035454332002817,,884/0.0011025593907718343,,229/0.0013590829836180778,,,2407/0.0008195660613380494,,,,,
1598/0.0010918055881662361,,2520/0.0010854654467288602,,474/0.001352453310527258,,,716/0.0008134039105009213,,,,,
2295/0.0010800657431321906,,926/0.0010811919607181166,,1286/0.001345823637436438,,,3017/0.0007887553071524085,,,,,
1195/0.001068325898098145,,821/0.0010811919607181166,,2676/0.0013391939643456181,,,2106/0.0007764310054781521,,,,,
1946/0.001068325898098145,,1352/0.0010427305866214248,,617/0.0013391939643456181,,,1213/0.0007702688546410239,,,,,
1433/0.0010624559755811223,,1674/0.0010341836145999375,,1738/0.0013325642912547983,,,569/0.0007641067038038957,,,,,
1580/0.0010624559755811223,,2566/0.0010256366425784504,,2551/0.0013325642912547983,,,1775/0.0007456202512925111,,,,,
710/0.0010507161305470768,,2410/0.0010213631565677069,,466/0.0013325642912547983,,,1832/0.0007456202512925111,,,,,
1546/0.0010507161305470768,,2890/0.0010170896705569634,,2212/0.0013193049450731585,,,2458/0.0007332959496182547,,,,,
2475/0.001044846208030054,,548/0.0010170896705569634,,2762/0.0013060455988915187,,,2743/0.0007271337987811266,,,,,
2819/0.001021366517961963,,1797/0.0010128161845462198,,1712/0.0012994159258006989,,,2830/0.0007271337987811266,,,,,
1964/0.001021366517961963,,2836/0.000982901782471015,,2665/0.0012927862527098788,,,1835/0.0007209716479439984,,,,,
1680/0.001021366517961963,,1940/0.0009658078384280409,,2680/0.001279526906528239,,,567/0.0007209716479439984,,,,,
666/0.0010154965954449402,,2086/0.0009572608664065538,,2211/0.001279526906528239,,,186/0.0006716744412469728,,,,,
600/0.0010154965954449402,,340/0.0009487138943850668,,2929/0.0012728972334374192,,,1767/0.0006716744412469728,,,,,
550/0.0010096266729279174,,2717/0.0009444404083743232,,3014/0.0012662675603465994,,,2398/0.0006655122904098447,,,,,
2022/0.0010037567504108946,,1567/0.0009444404083743232,,2262/0.0012530082141649595,,,2723/0.0006593501395727165,,,,,
571/0.0010037567504108946,,1804/0.0009358934363528361,,543/0.0012530082141649595,,,2927/0.0006531879887355883,,,,,
513/0.0009978868278938719,,1330/0.0009358934363528361,,1552/0.0012530082141649595,,,2336/0.0006408636870613319,,,,,
2531/0.0009978868278938719,,968/0.000927346464331349,,5/0.0012463785410741397,,,2671/0.0006347015362242037,,,,,
2837/0.000992016905376849,,1020/0.0009017055482668878,,2070/0.0012463785410741397,,,1292/0.0006347015362242037,,,,,
1220/0.0009861469828598263,,2860/0.0009017055482668878,,2119/0.0012397488679833197,,,839/0.0006162150837128192,,,,,
1561/0.0009861469828598263,,735/0.0008931585762454007,,2658/0.00121985984871086,,,1988/0.0006162150837128192,,,,,
500/0.0009744071378257807,,128/0.0008931585762454007,,829/0.0011933411563475806,,,2334/0.0006162150837128192,,,,,
1822/0.0009685372153087579,,1257/0.0008888850902346572,,1919/0.0011933411563475806,,,1826/0.0006100529328756909,,,,,
2714/0.0009685372153087579,,2802/0.0008888850902346572,,1103/0.0011933411563475806,,,1861/0.0006100529328756909,,,,,
2659/0.0009509274477576896,,222/0.0008846116042239136,,976/0.0011867114832567606,,,1431/0.0005977286312014345,,,,,
227/0.0009509274477576896,,2322/0.00088033811821317,,977/0.0011867114832567606,,,1933/0.0005915664803643064,,,,,
2179/0.0009509274477576896,,1237/0.0008675176601809394,,2728/0.0011867114832567606,,,2116/0.0005854043295271782,,,,,
2201/0.0009450575252406668,,761/0.0008418767441164782,,1694/0.0011800818101659408,,,2585/0.00057924217869005,,,,,
2984/0.0009391876027236441,,2395/0.0008333297720949911,,1029/0.0011800818101659408,,,2740/0.0005669178770157935,,,,,
2238/0.0009391876027236441,,2293/0.0008205093140627604,,2923/0.0011734521370751207,,,1155/0.0005669178770157935,,,,,
2698/0.0009391876027236441,,1421/0.0008205093140627604,,2784/0.0011734521370751207,,,14/0.0005422692736672808,,,,,
690/0.0009391876027236441,,1369/0.0008034153700197862,,1885/0.0011734521370751207,,,1187/0.0005361071228301526,,,,,
1300/0.0009215778351725758,,1824/0.0007948683979982991,,795/0.0011601927908934811,,,2999/0.0005299449719930244,,,,,
1721/0.000915707912655553,,1922/0.0007948683979982991,,405/0.0011601927908934811,,,2591/0.0005299449719930244,,,,,
2363/0.0009039680676215074,,2547/0.0007905949119875556,,3013/0.0011601927908934811,,,737/0.0005299449719930244,,,,,
1275/0.0009039680676215074,,1748/0.0007735009679445815,,451/0.001153563117802661,,,2507/0.0005299449719930244,,,,,
2247/0.0008922282225874618,,403/0.0007735009679445815,,890/0.0011403037716210213,,,2326/0.0005237828211558963,,,,,
1833/0.000886358300070439,,162/0.0007692274819338379,,2056/0.0011403037716210213,,,1548/0.0005237828211558963,,,,,
2712/0.0008746184550363935,,1892/0.0007649539959230944,,2834/0.0011336740985302015,,,1583/0.0005052963686445116,,,,,
734/0.0008687485325193707,,311/0.0007649539959230944,,2846/0.0011270444254393816,,,1479/0.0005052963686445116,,,,,
506/0.0008687485325193707,,2097/0.0007521335378908637,,294/0.0011270444254393816,,,2766/0.0004991342178073835,,,,,
1116/0.0008687485325193707,,124/0.0007478600518801201,,439/0.0011204147523485616,,,2888/0.0004991342178073835,,,,,
2366/0.0008570086874853252,,2748/0.0007264926218264025,,2460/0.0011137850792577418,,,956/0.0004929720669702553,,,,,
2674/0.0008511387649683024,,2655/0.0006965782197511976,,2526/0.0011137850792577418,,,1696/0.0004929720669702553,,,,,
1012/0.0008452688424512797,,2414/0.0006794842757082235,,1061/0.001107155406166922,,,1118/0.0004868099161331271,,,,,
1413/0.0008452688424512797,,411/0.0006794842757082235,,825/0.001100525733076102,,,2711/0.0004806477652959989,,,,,
1873/0.0008217891523831885,,2825/0.0006709373036867364,,1538/0.0010938960599852822,,,2052/0.00046832346362174254,,,,,
1162/0.0008217891523831885,,1045/0.0006581168456545058,,770/0.0010872663868944621,,,1017/0.00046832346362174254,,,,,
265/0.0008159192298661657,,1779/0.0006452963876222752,,375/0.0010806367138036423,,,1288/0.00046216131278461434,,,,,
2387/0.0008159192298661657,,2129/0.0006196554715578138,,1190/0.0010740070407128225,,,1644/0.00046216131278461434,,,,,
204/0.0008159192298661657,,420/0.0006153819855470703,,1232/0.0010607476945311827,,,1535/0.00045599916194748614,,,,,
1482/0.0008041793848321202,,2917/0.0006025615275148397,,2371/0.0010541180214403629,,,2369/0.00044983701111035794,,,,,
1379/0.0007983094623150974,,989/0.0005940145554933526,,2362/0.0010474883483495429,,,2344/0.0004436748602732298,,,,,
2663/0.0007983094623150974,,940/0.0005940145554933526,,295/0.0010474883483495429,,,1120/0.0004436748602732298,,,,,
2891/0.0007924395397980747,,1497/0.0005897410694826091,,961/0.0010474883483495429,,,2186/0.0004251884077618452,,,,,
1908/0.0007924395397980747,,1259/0.0005854675834718655,,2384/0.0010474883483495429,,,1947/0.00041286410608758884,,,,,
1484/0.0007924395397980747,,62/0.0005854675834718655,,1321/0.001034229002167903,,,1923/0.00039437765357620423,,,,,
2014/0.0007924395397980747,,2829/0.0005598266674074042,,82/0.001034229002167903,,,2105/0.00039437765357620423,,,,,
2451/0.0007865696172810519,,247/0.0005598266674074042,,1099/0.001034229002167903,,,2797/0.00038821550273907603,,,,,
118/0.0007865696172810519,,1474/0.0005555531813966607,,2897/0.0010275993290770832,,,1223/0.00038205335190194783,,,,,
2867/0.0007865696172810519,,190/0.0005427327233644301,,1197/0.0010275993290770832,,,2217/0.00038205335190194783,,,,,
1537/0.0007865696172810519,,88/0.0005427327233644301,,1299/0.0010209696559862634,,,2996/0.0003697290502276915,,,,,
2521/0.0007806996947640291,,2870/0.000534185751342943,,139/0.0010209696559862634,,,2170/0.0003635668993905633,,,,,
1143/0.0007806996947640291,,448/0.0004999978632569946,,2146/0.0010143399828954434,,,2839/0.0003635668993905633,,,,,
300/0.0007630899272129608,,1347/0.000487177405224764,,1893/0.0010077103098046236,,,1551/0.0003512425977163069,,,,,
597/0.000757220004695938,,803/0.0004786304332032769,,823/0.0010077103098046236,,,2699/0.0003512425977163069,,,,,
1473/0.0007513500821789153,,2000/0.0004615364891603027,,2660/0.0010077103098046236,,,408/0.00034508044687917873,,,,,
2583/0.0007513500821789153,,2251/0.0004615364891603027,,2427/0.0010010806367138035,,,1466/0.0003142696926935378,,,,,
846/0.0007513500821789153,,1290/0.0004572630031495592,,42/0.0009944509636229837,,,1584/0.0003019453910192814,,,,,
2009/0.0007454801596618925,,3011/0.00045298951713881565,,2482/0.0009944509636229837,,,236/0.0002649724859965122,,,,,
878/0.0007454801596618925,,1414/0.0004487160311280721,,2902/0.0009944509636229837,,,2848/0.0002649724859965122,,,,,
2970/0.0007337403146278469,,1415/0.0004444425451173286,,1911/0.000987821290532164,,,1897/0.0002464860334851277,,,,,
1044/0.0007278703921108241,,834/0.0004188016290528673,,219/0.000987821290532164,,,2353/0.0002464860334851277,,,,,
2408/0.0007220004695938013,,504/0.00041452814304212377,,1974/0.000981191617441344,,,2385/0.00020335097762523032,,,,,
2333/0.0007220004695938013,,251/0.0004017076850098931,,391/0.0009745619443505241,,,2776/0.00019718882678810212,,,,,
2835/0.0007161305470767786,,1236/0.0003974341989991496,,1402/0.0009745619443505241,,,1499/0.00016637807260246116,,,,,
2224/0.0007161305470767786,,610/0.0003589728249024577,,2296/0.0009745619443505241,,,2048/0.00014172946925394839,,,,,
1508/0.0007161305470767786,,2657/0.0003418788808594835,,724/0.0009679322712597042,,,2864/0.000129405167579692,,,,,
778/0.0007102606245597558,,2176/0.0003333319088379964,,2952/0.0009679322712597042,,,479/0.000129405167579692,,,,,
2273/0.0006985207795257103,,2259/0.0002735031046875868,,2664/0.0009679322712597042,,,1342/8.627011171979468e-05,,,,,
2620/0.0006985207795257103,,1684/0.00026495613266609973,,1278/0.0009613025981688842,,,283/8.627011171979468e-05,,,,,
470/0.0006985207795257103,,399/0.00022649475856940783,,2462/0.0009546729250780644,,,2872/8.010796088266648e-05,,,,,
2463/0.0006926508570086875,,1464/0.0002136743005371772,,2192/0.0009480432519872445,,,1818/7.39458100455383e-05,,,,,
1883/0.0006926508570086875,,1639/0.0002136743005371772,,332/0.0009281542327147849,,,1428/5.5459357534153724e-05,,,,,
2617/0.0006867809344916647,,2269/0.0002051273285156901,,1574/0.0009281542327147849,,,277/4.929720669702553e-05,,,,,
1346/0.000680911011974642,,765/0.0002051273285156901,,1828/0.0009281542327147849,,,1839/4.313505585989734e-05,,,,,
2988/0.000680911011974642,,2983/0.0001752129264404853,,3024/0.0009281542327147849,,,2817/3.697290502276915e-05,,,,,
1589/0.000680911011974642,,1994/0.00017093944042974175,,407/0.0009281542327147849,,,1109/3.697290502276915e-05,,,,,
1351/0.000680911011974642,,2240/0.00016239246840825467,,1196/0.0009281542327147849,,,2324/3.081075418564096e-05,,,,,
1093/0.0006633012444235737,,958/0.00014957201037602404,,1324/0.000921524559623965,,,2815/1.8486452511384573e-05,,,,,
1470/0.0006456914768725052,,928/0.0001452985243652805,,2045/0.0009082652134423251,,,2563/1.2324301674256382e-05,,,,,
40/0.0006280817093214369,,980/8.546972021487087e-05,,1423/0.0008950058672606854,,,,,,,,
2229/0.0006222117868044142,,2244/5.555531813966607e-05,,1364/0.0008950058672606854,,,,,,,,
1181/0.0006222117868044142,,589/2.9914402075204808e-05,,641/0.0008883761941698655,,,,,,,,
920/0.0006222117868044142,,1754/2.9914402075204808e-05,,1794/0.0008883761941698655,,,,,,,,
2774/0.0006222117868044142,,,,1164/0.0008817465210790456,,,,,,,,
193/0.0006163418642873914,,,,727/0.0008817465210790456,,,,,,,,
2615/0.0006104719417703686,,,,2316/0.0008817465210790456,,,,,,,,
629/0.0006046020192533459,,,,2812/0.0008751168479882256,,,,,,,,
2098/0.0005987320967363231,,,,2468/0.0008684871748974058,,,,,,,,
2880/0.0005928621742193003,,,,2963/0.0008618575018065859,,,,,,,,
1432/0.0005693824841512093,,,,2221/0.0008618575018065859,,,,,,,,
1211/0.0005635125616341864,,,,2040/0.000855227828715766,,,,,,,,
2568/0.0005576426391171636,,,,2578/0.000855227828715766,,,,,,,,
1801/0.0005517727166001408,,,,2208/0.000855227828715766,,,,,,,,
2032/0.0005459027940831181,,,,703/0.000855227828715766,,,,,,,,
2450/0.0005459027940831181,,,,1276/0.0008485981556249461,,,,,,,,
2553/0.000522423104015027,,,,1416/0.0008485981556249461,,,,,,,,
2873/0.0005165531814980042,,,,807/0.0008485981556249461,,,,,,,,
1755/0.0005048133364639587,,,,2552/0.0008485981556249461,,,,,,,,
2842/0.0004989434139469359,,,,685/0.0008485981556249461,,,,,,,,
1306/0.0004754637238788448,,,,872/0.0008485981556249461,,,,,,,,
850/0.0004754637238788448,,,,965/0.0008419684825341263,,,,,,,,
2301/0.0004754637238788448,,,,1709/0.0008419684825341263,,,,,,,,
2285/0.00046959380136182204,,,,2510/0.0008419684825341263,,,,,,,,
1209/0.00046959380136182204,,,,289/0.0008419684825341263,,,,,,,,
1006/0.00046372387884479927,,,,1787/0.0008353388094433064,,,,,,,,
2107/0.0004578539563277765,,,,213/0.0008353388094433064,,,,,,,,
2910/0.0004519840338107537,,,,1040/0.0008353388094433064,,,,,,,,
1993/0.0004519840338107537,,,,2142/0.0008287091363524864,,,,,,,,
2400/0.0004461141112937309,,,,1621/0.000795560770898387,,,,,,,,
1778/0.0004461141112937309,,,,1245/0.0007889310978075672,,,,,,,,
2780/0.0004461141112937309,,,,1183/0.0007889310978075672,,,,,,,,
2278/0.0004461141112937309,,,,1865/0.0007889310978075672,,,,,,,,
2099/0.00044024418877670814,,,,1735/0.0007823014247167472,,,,,,,,
2700/0.0004285043437426626,,,,2174/0.0007756717516259273,,,,,,,,
2373/0.00041676449870861707,,,,1445/0.0007756717516259273,,,,,,,,
2971/0.00041089457619159425,,,,1529/0.0007690420785351074,,,,,,,,
2883/0.00041089457619159425,,,,2922/0.0007557827323534677,,,,,,,,
2605/0.00041089457619159425,,,,2188/0.0007557827323534677,,,,,,,,
2122/0.00041089457619159425,,,,2974/0.0007425233861718278,,,,,,,,
2440/0.0004050246536745715,,,,905/0.0007425233861718278,,,,,,,,
2241/0.0003874148861235032,,,,1086/0.000735893713081008,,,,,,,,
2945/0.0003815449636064804,,,,2158/0.000735893713081008,,,,,,,,
2998/0.0003698051185724348,,,,2288/0.0007292640399901881,,,,,,,,
2919/0.00036393519605541205,,,,1031/0.0007292640399901881,,,,,,,,
478/0.00036393519605541205,,,,2415/0.0007226343668993682,,,,,,,,
1740/0.00034632542850434374,,,,1793/0.0007226343668993682,,,,,,,,
2524/0.00034632542850434374,,,,2492/0.0007226343668993682,,,,,,,,
2312/0.0003345855834702982,,,,2356/0.0007160046938085483,,,,,,,,
1023/0.0003111058934022071,,,,1852/0.0007160046938085483,,,,,,,,
978/0.0003052359708851843,,,,309/0.0007160046938085483,,,,,,,,
1831/0.0002934961258511388,,,,1166/0.0007093750207177284,,,,,,,,
2328/0.0002934961258511388,,,,2600/0.0007093750207177284,,,,,,,,
1314/0.000287626203334116,,,,2921/0.0007027453476269085,,,,,,,,
836/0.0002758863583000704,,,,2632/0.0007027453476269085,,,,,,,,
2386/0.0002758863583000704,,,,1975/0.0007027453476269085,,,,,,,,
2682/0.0002758863583000704,,,,2949/0.0006961156745360886,,,,,,,,
1690/0.0002758863583000704,,,,2751/0.0006961156745360886,,,,,,,,
1424/0.0002641465132660249,,,,1648/0.0006961156745360886,,,,,,,,
1932/0.0002465367457149566,,,,2826/0.0006894860014452687,,,,,,,,
1550/0.00024066682319793379,,,,2544/0.0006894860014452687,,,,,,,,
2023/0.00023479690068091102,,,,1669/0.0006894860014452687,,,,,,,,
2405/0.00022305705564686545,,,,676/0.0006828563283544488,,,,,,,,
1239/0.00022305705564686545,,,,661/0.0006828563283544488,,,,,,,,
238/0.00019957736557877436,,,,2786/0.000676226655263629,,,,,,,,
1323/0.0001937074430617516,,,,1728/0.000676226655263629,,,,,,,,
402/0.00018783752054472882,,,,2236/0.000676226655263629,,,,,,,,
1504/0.00016435783047663772,,,,1864/0.000676226655263629,,,,,,,,
1965/0.00015848790795961493,,,,2790/0.0006695969821728091,,,,,,,,
1057/0.0001467480629255694,,,,2958/0.0006695969821728091,,,,,,,,
751/0.0001467480629255694,,,,2429/0.0006695969821728091,,,,,,,,
2058/0.00013500821789152383,,,,2092/0.0006695969821728091,,,,,,,,
2199/0.0001232683728574783,,,,1986/0.0006629673090819892,,,,,,,,
1204/0.00010565860530640996,,,,2189/0.0006629673090819892,,,,,,,,
1104/9.978868278938718e-05,,,,2868/0.0006563376359911692,,,,,,,,
1206/8.804883775534163e-05,,,,1472/0.0006563376359911692,,,,,,,,
2152/7.630899272129608e-05,,,,692/0.0006563376359911692,,,,,,,,
2934/7.630899272129608e-05,,,,2994/0.0006430782898095295,,,,,,,,
25/6.456914768725053e-05,,,,1507/0.0006430782898095295,,,,,,,,
625/5.8699225170227754e-05,,,,992/0.0006364486167187096,,,,,,,,
245/5.282930265320498e-05,,,,2764/0.0006364486167187096,,,,,,,,
605/4.6959380136182205e-05,,,,1997/0.0006231892705370699,,,,,,,,
882/3.521953510213665e-05,,,,1153/0.00061655959744625,,,,,,,,
1604/3.521953510213665e-05,,,,2947/0.00061655959744625,,,,,,,,
1492/3.521953510213665e-05,,,,1921/0.00060992992435543,,,,,,,,
1612/3.521953510213665e-05,,,,2662/0.00060992992435543,,,,,,,,
1677/3.521953510213665e-05,,,,1081/0.0005966705781737903,,,,,,,,
2806/2.9349612585113877e-05,,,,2125/0.0005900409050829704,,,,,,,,
3007/2.9349612585113877e-05,,,,2638/0.0005900409050829704,,,,,,,,
545/2.3479690068091102e-05,,,,2906/0.0005900409050829704,,,,,,,,
2013/2.3479690068091102e-05,,,,1173/0.0005900409050829704,,,,,,,,
2138/1.7609767551068324e-05,,,,2992/0.0005834112319921505,,,,,,,,
2744/1.7609767551068324e-05,,,,2667/0.0005834112319921505,,,,,,,,
1056/1.7609767551068324e-05,,,,453/0.0005767815589013305,,,,,,,,
2849/1.1739845034045551e-05,,,,418/0.0005767815589013305,,,,,,,,
2474/1.1739845034045551e-05,,,,2916/0.0005701518858105106,,,,,,,,
2854/1.1739845034045551e-05,,,,2396/0.0005635222127196908,,,,,,,,
2759/5.869922517022776e-06,,,,2726/0.0005635222127196908,,,,,,,,
,,,,2085/0.000550262866538051,,,,,,,,
,,,,2404/0.000550262866538051,,,,,,,,
,,,,2055/0.000550262866538051,,,,,,,,
,,,,3018/0.0005436331934472311,,,,,,,,
,,,,1399/0.0005436331934472311,,,,,,,,
,,,,1867/0.0005436331934472311,,,,,,,,
,,,,1821/0.0005436331934472311,,,,,,,,
,,,,917/0.0005370035203564113,,,,,,,,
,,,,2644/0.0005370035203564113,,,,,,,,
,,,,2602/0.0005370035203564113,,,,,,,,
,,,,2619/0.0005303738472655913,,,,,,,,
,,,,743/0.0005303738472655913,,,,,,,,
,,,,1354/0.0005303738472655913,,,,,,,,
,,,,2935/0.0005171145010839515,,,,,,,,
,,,,2303/0.0005171145010839515,,,,,,,,
,,,,1688/0.0005171145010839515,,,,,,,,
,,,,1812/0.0005171145010839515,,,,,,,,
,,,,2951/0.0005171145010839515,,,,,,,,
,,,,2754/0.0004972254818114919,,,,,,,,
,,,,1374/0.0004839661356298521,,,,,,,,
,,,,2068/0.0004773364625390322,,,,,,,,
,,,,540/0.0004773364625390322,,,,,,,,
,,,,1860/0.0004707067894482123,,,,,,,,
,,,,1706/0.0004707067894482123,,,,,,,,
,,,,1452/0.00046407711635739244,,,,,,,,
,,,,2057/0.0004574474432665725,,,,,,,,
,,,,1350/0.00045081777017575266,,,,,,,,
,,,,1556/0.00045081777017575266,,,,,,,,
,,,,1527/0.00045081777017575266,,,,,,,,
,,,,1809/0.00044418809708493274,,,,,,,,
,,,,1783/0.00044418809708493274,,,,,,,,
,,,,2421/0.00044418809708493274,,,,,,,,
,,,,2498/0.00044418809708493274,,,,,,,,
,,,,3027/0.0004375584239941128,,,,,,,,
,,,,1366/0.00043092875090329296,,,,,,,,
,,,,1658/0.00042429907781247304,,,,,,,,
,,,,1743/0.00042429907781247304,,,,,,,,
,,,,1059/0.0004176694047216532,,,,,,,,
,,,,887/0.0004176694047216532,,,,,,,,
,,,,2381/0.0004044100585400134,,,,,,,,
,,,,2254/0.0003911507123583736,,,,,,,,
,,,,2939/0.00037789136617673384,,,,,,,,
,,,,2871/0.0003712616930859139,,,,,,,,
,,,,2419/0.0003712616930859139,,,,,,,,
,,,,1468/0.00035800234690427414,,,,,,,,
,,,,2941/0.00035800234690427414,,,,,,,,
,,,,107/0.0003381133276318145,,,,,,,,
,,,,2153/0.0003314836545409946,,,,,,,,
,,,,2486/0.0003248539814501747,,,,,,,,
,,,,806/0.0003248539814501747,,,,,,,,
,,,,2235/0.0003248539814501747,,,,,,,,
,,,,395/0.0003182243083593548,,,,,,,,
,,,,46/0.0003182243083593548,,,,,,,,
,,,,2031/0.00031159463526853493,,,,,,,,
,,,,2689/0.00031159463526853493,,,,,,,,
,,,,546/0.000304964962177715,,,,,,,,
,,,,2651/0.00029833528908689515,,,,,,,,
,,,,2209/0.00029833528908689515,,,,,,,,
,,,,1376/0.00029833528908689515,,,,,,,,
,,,,1523/0.00029833528908689515,,,,,,,,
,,,,1453/0.0002850759429052553,,,,,,,,
,,,,2454/0.0002850759429052553,,,,,,,,
,,,,2305/0.00027844626981443545,,,,,,,,
,,,,950/0.00026518692363279567,,,,,,,,
,,,,2586/0.00026518692363279567,,,,,,,,
,,,,1733/0.00025855725054197575,,,,,,,,
,,,,2930/0.00025855725054197575,,,,,,,,
,,,,1815/0.00025855725054197575,,,,,,,,
,,,,1916/0.0002519275774511559,,,,,,,,
,,,,2595/0.000245297904360336,,,,,,,,
,,,,297/0.000245297904360336,,,,,,,,
,,,,561/0.0002386682312695161,,,,,,,,
,,,,3025/0.0002386682312695161,,,,,,,,
,,,,2528/0.0002187792119970564,,,,,,,,
,,,,2375/0.0002187792119970564,,,,,,,,
,,,,705/0.00021214953890623652,,,,,,,,
,,,,2816/0.00021214953890623652,,,,,,,,
,,,,2019/0.00020551986581541663,,,,,,,,
,,,,1926/0.00020551986581541663,,,,,,,,
,,,,1253/0.00019889019272459674,,,,,,,,
,,,,1904/0.00019889019272459674,,,,,,,,
,,,,1977/0.00019889019272459674,,,,,,,,
,,,,2876/0.00019889019272459674,,,,,,,,
,,,,2253/0.00019226051963377685,,,,,,,,
,,,,1969/0.00018563084654295696,,,,,,,,
,,,,450/0.00018563084654295696,,,,,,,,
,,,,259/0.00017900117345213707,,,,,,,,
,,,,2289/0.0001657418272704973,,,,,,,,
,,,,2637/0.0001657418272704973,,,,,,,,
,,,,1533/0.0001591121541796774,,,,,,,,
,,,,2645/0.0001591121541796774,,,,,,,,
,,,,2616/0.0001524824810888575,,,,,,,,
,,,,1060/0.0001524824810888575,,,,,,,,
,,,,3006/0.00014585280799803762,,,,,,,,
,,,,2794/0.00014585280799803762,,,,,,,,
,,,,176/0.00014585280799803762,,,,,,,,
,,,,667/0.00013922313490721773,,,,,,,,
,,,,2772/0.00013259346181639784,,,,,,,,
,,,,874/0.00011933411563475806,,,,,,,,
,,,,1853/0.00011933411563475806,,,,,,,,
,,,,1638/0.00011933411563475806,,,,,,,,
,,,,2082/0.00011933411563475806,,,,,,,,
,,,,59/0.00010607476945311826,,,,,,,,
,,,,1378/0.00010607476945311826,,,,,,,,
,,,,1571/8.618575018065859e-05,,,,,,,,
,,,,2863/8.618575018065859e-05,,,,,,,,
,,,,2115/8.618575018065859e-05,,,,,,,,
,,,,1871/8.618575018065859e-05,,,,,,,,
