i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
104,daredevil2015,0.007100591715976331,0.20473372781065088,0.036686390532544376,0.17159763313609466,0.05325443786982249,0.1467455621301775,0.05562130177514793,0.04378698224852071,0.009467455621301775,0.0035502958579881655,0.046153846153846156,0.040236686390532544,0.015384615384615385,0.03076923076923077,0.0035502958579881655,0.014201183431952662,0.007100591715976331,0.002366863905325444,0.002366863905325444,0.023668639053254437,0.05562130177514793,0.0,0.002366863905325444,0.020118343195266272,0.002366863905325444,0.001183431952662722
105,starwarsrebels,0.009142857142857144,0.18857142857142858,0.027428571428571427,0.1737142857142857,0.029714285714285714,0.1417142857142857,0.017142857142857144,0.013714285714285714,0.0034285714285714284,0.010285714285714285,0.03542857142857143,0.04914285714285714,0.044571428571428574,0.018285714285714287,0.060571428571428575,0.027428571428571427,0.012571428571428572,0.005714285714285714,0.002285714285714286,0.046857142857142854,0.056,0.004571428571428572,0.004571428571428572,0.010285714285714285,0.0034285714285714284,0.0034285714285714284
106,tinytoonadventures,0.01698754246885617,0.2015855039637599,0.12004530011325028,0.16874292185730463,0.02378255945639864,0.06568516421291053,0.021517553793884484,0.020385050962627407,0.026047565118912798,0.020385050962627407,0.05889014722536806,0.031710079275198186,0.08607021517553794,0.004530011325028313,0.02378255945639864,0.0022650056625141564,0.010192525481313703,0.0011325028312570782,0.0,0.027180067950169876,0.006795016987542469,0.035107587768969425,0.007927519818799546,0.01698754246885617,0.0022650056625141564,0.0
107,seinfeld,0.009512485136741973,0.25921521997621877,0.09750297265160524,0.15695600475624258,0.0356718192627824,0.0713436385255648,0.023781212841854936,0.06658739595719382,0.04518430439952437,0.008323424494649227,0.07491082045184304,0.016646848989298454,0.03210463733650416,0.011890606420927468,0.01070154577883472,0.0035671819262782403,0.0035671819262782403,0.0023781212841854932,0.020214030915576695,0.008323424494649227,0.008323424494649227,0.0035671819262782403,0.0035671819262782403,0.026159334126040427,0.0,0.0
108,mash,0.017543859649122806,0.26198830409356727,0.08304093567251462,0.13567251461988303,0.04093567251461988,0.0912280701754386,0.03508771929824561,0.05964912280701754,0.029239766081871343,0.004678362573099415,0.06198830409356725,0.012865497076023392,0.03742690058479532,0.026900584795321637,0.008187134502923977,0.005847953216374269,0.004678362573099415,0.0011695906432748538,0.0152046783625731,0.00935672514619883,0.022222222222222223,0.0035087719298245615,0.0035087719298245615,0.025730994152046785,0.0023391812865497076,0.0
109,ducktales1987,0.017817371937639197,0.19710467706013363,0.08463251670378619,0.16146993318485522,0.021158129175946547,0.09910913140311804,0.02783964365256125,0.0200445434298441,0.017817371937639197,0.01893095768374165,0.045657015590200446,0.03897550111358575,0.07015590200445435,0.01002227171492205,0.031180400890868598,0.005567928730512249,0.01670378619153675,0.0011135857461024498,0.0022271714922048997,0.043429844097995544,0.030066815144766147,0.026726057906458798,0.0022271714922048997,0.008908685968819599,0.0,0.0011135857461024498
110,slayers,0.002328288707799767,0.1548311990686845,0.048894062863795114,0.15715948777648428,0.027939464493597205,0.11641443538998836,0.012805587892898719,0.03259604190919674,0.005820721769499418,0.010477299185098952,0.0779976717112922,0.03608847497089639,0.05587892898719441,0.012805587892898719,0.033760186263096625,0.02910360884749709,0.011641443538998836,0.009313154831199068,0.0011641443538998836,0.08731082654249127,0.04074505238649592,0.006984866123399301,0.017462165308498253,0.002328288707799767,0.004656577415599534,0.0034924330616996507
111,twentyfour,0.013563501849568433,0.20468557336621454,0.02342786683107275,0.17262638717632553,0.0468557336621455,0.15166461159062886,0.051787916152897656,0.02836004932182491,0.013563501849568433,0.0,0.027127003699136867,0.04315659679408138,0.02342786683107275,0.04315659679408138,0.02096177558569667,0.018495684340320593,0.012330456226880395,0.002466091245376079,0.004932182490752158,0.007398273736128237,0.05795314426633785,0.0,0.0012330456226880395,0.027127003699136867,0.002466091245376079,0.0012330456226880395
112,frasier,0.011655011655011656,0.23776223776223776,0.09324009324009325,0.16083916083916083,0.04195804195804196,0.06526806526806526,0.030303030303030304,0.08624708624708624,0.039627039627039624,0.005827505827505828,0.08857808857808858,0.023310023310023312,0.027972027972027972,0.011655011655011656,0.004662004662004662,0.0011655011655011655,0.002331002331002331,0.0011655011655011655,0.019813519813519812,0.004662004662004662,0.006993006993006993,0.0011655011655011655,0.0011655011655011655,0.029137529137529136,0.0034965034965034965,0.0
113,arrow,0.005868544600938967,0.19248826291079812,0.03051643192488263,0.11854460093896714,0.04929577464788732,0.13028169014084506,0.04812206572769953,0.0539906103286385,0.015258215962441314,0.0035211267605633804,0.057511737089201875,0.035211267605633804,0.03990610328638498,0.02699530516431925,0.01995305164319249,0.023474178403755867,0.015258215962441314,0.0,0.007042253521126761,0.045774647887323945,0.04460093896713615,0.0,0.0035211267605633804,0.023474178403755867,0.005868544600938967,0.0035211267605633804
