Topic 1,Topic 2
2840/0.000578497073080285,752/0.0003856309618814506
1836/0.00057743755463142,2428/0.0003802749762997638
2997/0.00057743755463142,820/0.000374918990718077
2279/0.00057743755463142,2501/0.000374918990718077
494/0.000576378036182555,1631/0.00036956300513639017
2110/0.00057531851773369,2252/0.00036956300513639017
775/0.0005731994808359601,611/0.00036956300513639017
2127/0.0005731994808359601,7/0.00036956300513639017
442/0.0005731994808359601,2956/0.00036956300513639017
2683/0.0005731994808359601,301/0.00036420701955470336
1141/0.0005731994808359601,1536/0.00036420701955470336
1085/0.0005731994808359601,2354/0.00035885103397301655
308/0.0005721399623870951,1670/0.00035885103397301655
2853/0.0005721399623870951,901/0.00035349504839132974
307/0.0005700209254893651,1958/0.0003481390628096429
1695/0.0005679018885916351,2044/0.0003374270916462693
626/0.0005679018885916351,1184/0.0003267151204828957
2161/0.0005668423701427701,2820/0.00032135913490120887
445/0.0005668423701427701,2377/0.00032135913490120887
622/0.0005657828516939051,1990/0.0003052911781561484
1558/0.0005647233332450401,2017/0.0003052911781561484
1185/0.0005647233332450401,1599/0.00029993519257446157
2193/0.0005647233332450401,2739/0.00029457920699277475
1601/0.0005626042963473102,74/0.00029457920699277475
2596/0.0005615447778984452,2505/0.00029457920699277475
937/0.0005615447778984452,2987/0.00029457920699277475
303/0.0005615447778984452,2491/0.00029457920699277475
287/0.0005604852594495802,2448/0.00029457920699277475
1167/0.0005604852594495802,1907/0.00028922322141108794
2530/0.0005594257410007152,1448/0.0002785112502477143
1171/0.0005594257410007152,2182/0.0002785112502477143
2555/0.0005594257410007152,1028/0.0002785112502477143
134/0.0005583662225518501,1928/0.0002785112502477143
2590/0.0005583662225518501,1440/0.0002731552646660275
367/0.0005583662225518501,2391/0.0002731552646660275
845/0.0005583662225518501,582/0.0002731552646660275
586/0.0005573067041029852,1868/0.0002677992790843407
2196/0.0005573067041029852,2143/0.0002624432935026539
1145/0.0005562471856541202,2850/0.0002624432935026539
2800/0.0005562471856541202,1065/0.00025708730792096707
1082/0.0005562471856541202,1841/0.00025173132233928026
1408/0.0005551876672052552,2629/0.00024637533675759345
1899/0.0005551876672052552,1565/0.00024637533675759345
430/0.0005551876672052552,2184/0.00024637533675759345
828/0.0005541281487563902,2382/0.00024101935117590664
680/0.0005530686303075252,2913/0.00023566336559421982
401/0.0005530686303075252,2469/0.00023566336559421982
881/0.0005530686303075252,2187/0.0002249513944308462
325/0.0005520091118586603,1807/0.0002195954088491594
258/0.0005520091118586603,1203/0.00021423942326747255
2905/0.0005509495934097953,1532/0.00020888343768578574
1159/0.0005488305565120653,1517/0.00020888343768578574
1531/0.0005488305565120653,2661/0.00020888343768578574
100/0.0005477710380632002,2567/0.00020352745210409893
896/0.0005456520011654703,2134/0.00020352745210409893
871/0.0005456520011654703,354/0.0001928154809407253
758/0.0005456520011654703,1876/0.0001928154809407253
1591/0.0005445924827166053,577/0.0001874594953590385
1762/0.0005424734458188753,2882/0.0001874594953590385
27/0.0005424734458188753,1312/0.0001874594953590385
1425/0.0005424734458188753,2936/0.00018210350977735168
1256/0.0005414139273700103,2218/0.00018210350977735168
541/0.0005403544089211454,1910/0.00017139153861397806
316/0.0005392948904722804,211/0.00017139153861397806
2439/0.0005382353720234154,2733/0.00016603555303229125
990/0.0005382353720234154,1806/0.00016067956745060443
1228/0.0005382353720234154,2145/0.00016067956745060443
1987/0.0005371758535745503,2742/0.00015532358186891762
189/0.0005361163351256853,2668/0.00015532358186891762
907/0.0005361163351256853,1663/0.00014461161070554397
502/0.0005350568166768204,2636/0.00013925562512385716
1227/0.0005339972982279554,2370/0.00013925562512385716
766/0.0005339972982279554,1819/0.00013925562512385716
56/0.0005297592244324955,2721/0.00013389963954217035
256/0.0005297592244324955,2071/0.00012854365396048354
497/0.0005297592244324955,1563/0.00011783168279710991
1924/0.0005276401875347654,607/0.00011783168279710991
2705/0.0005276401875347654,2149/0.00011783168279710991
2424/0.0005265806690859004,1001/0.0001124756972154231
165/0.0005255211506370354,717/0.00010711971163373628
1270/0.0005255211506370354,2861/9.640774047036265e-05
645/0.0005244616321881705,790/9.105175488867584e-05
1732/0.0005234021137393055,636/8.569576930698903e-05
1844/0.0005234021137393055,2471/8.569576930698903e-05
2287/0.0005223425952904405,741/8.569576930698903e-05
1009/0.0005202235583927105,1135/8.033978372530222e-05
1978/0.0005191640399438456,1284/7.498379814361539e-05
2793/0.0005191640399438456,684/6.962781256192858e-05
1310/0.0005191640399438456,2325/6.427182698024177e-05
595/0.0005181045214949806,278/6.427182698024177e-05
672/0.0005181045214949806,233/6.427182698024177e-05
371/0.0005181045214949806,2579/5.355985581686814e-05
1752/0.0005170450030461155,2538/4.8203870235181326e-05
2550/0.0005170450030461155,2452/4.8203870235181326e-05
1941/0.0005159854845972505,2729/4.8203870235181326e-05
1594/0.0005149259661483855,2752/4.8203870235181326e-05
1311/0.0005149259661483855,273/4.8203870235181326e-05
356/0.0005138664476995206,1731/4.2847884653494514e-05
2508/0.0005138664476995206,555/4.2847884653494514e-05
1100/0.0005128069292506556,2697/3.7491899071807696e-05
95/0.0005128069292506556,1956/3.7491899071807696e-05
2575/0.0005128069292506556,1229/3.7491899071807696e-05
2731/0.0005117474108017906,2456/3.7491899071807696e-05
2851/0.0005096283739040606,2549/3.7491899071807696e-05
2755/0.0005085688554551957,436/2.677992790843407e-05
1849/0.0005075093370063307,2372/2.677992790843407e-05
1273/0.0005075093370063307,2274/2.677992790843407e-05
123/0.0005064498185574656,969/2.677992790843407e-05
675/0.0005053903001086006,575/2.1423942326747257e-05
327/0.0005043307816597356,2151/2.1423942326747257e-05
698/0.0005032712632108706,246/2.1423942326747257e-05
83/0.0005022117447620057,2523/2.1423942326747257e-05
2167/0.0005011522263131407,2968/1.6067956745060442e-05
2166/0.0005011522263131407,1496/1.6067956745060442e-05
1405/0.0005011522263131407,2483/1.0711971163373629e-05
2545/0.0005011522263131407,2959/1.0711971163373629e-05
2485/0.0005011522263131407,
899/0.0005000927078642757,
1948/0.0004979736709665457,
1052/0.0004979736709665457,
1309/0.0004958546340688157,
520/0.0004947951156199507,
649/0.0004937355971710857,
2054/0.0004937355971710857,
1051/0.0004926760787222207,
2321/0.0004926760787222207,
261/0.0004926760787222207,
1614/0.0004916165602733558,
2845/0.0004916165602733558,
353/0.0004916165602733558,
2581/0.0004905570418244908,
1005/0.0004905570418244908,
169/0.0004894975233756258,
1467/0.0004894975233756258,
873/0.0004894975233756258,
697/0.0004894975233756258,
2264/0.0004884380049267608,
2029/0.0004873784864778958,
310/0.0004863189680290308,
774/0.00048525944958016583,
2821/0.00048525944958016583,
895/0.00048525944958016583,
2509/0.0004841999311313008,
1681/0.0004841999311313008,
2383/0.0004841999311313008,
809/0.0004841999311313008,
1796/0.0004841999311313008,
1398/0.0004831404126824358,
2765/0.0004831404126824358,
1454/0.00048208089423357084,
376/0.00048208089423357084,
29/0.00048102137578470586,
1851/0.0004799618573358409,
2546/0.0004799618573358409,
2490/0.00047890233888697584,
539/0.0004767833019892459,
1842/0.0004757237835403809,
1368/0.0004757237835403809,
2810/0.0004757237835403809,
2271/0.0004757237835403809,
1032/0.0004736047466426509,
2090/0.0004725452281937859,
996/0.0004725452281937859,
1866/0.0004725452281937859,
108/0.0004725452281937859,
2083/0.0004725452281937859,
2635/0.0004725452281937859,
988/0.00047148570974492093,
1606/0.00047148570974492093,
2768/0.000469366672847191,
121/0.000469366672847191,
2878/0.00046830715439832594,
178/0.000466188117500596,
426/0.000466188117500596,
1142/0.000466188117500596,
1360/0.000466188117500596,
1219/0.000465128599051731,
941/0.000464069080602866,
2442/0.000464069080602866,
465/0.000463009562154001,
1024/0.000461950043705136,
1316/0.000461950043705136,
1700/0.00046089052525627103,
1175/0.00045983100680740605,
964/0.00045983100680740605,
902/0.00045877148835854107,
1530/0.00045877148835854107,
1122/0.00045771196990967603,
1240/0.00045771196990967603,
2681/0.00045771196990967603,
447/0.00045771196990967603,
197/0.00045665245146081105,
181/0.00045665245146081105,
1744/0.00045665245146081105,
1386/0.00045665245146081105,
2642/0.0004555929330119461,
349/0.0004555929330119461,
1573/0.0004555929330119461,
738/0.0004545334145630811,
1089/0.0004545334145630811,
1362/0.0004534738961142161,
1891/0.0004524143776653511,
2267/0.0004524143776653511,
2612/0.0004513548592164861,
2093/0.0004513548592164861,
179/0.0004513548592164861,
2268/0.0004502953407676211,
935/0.00044923582231875614,
1420/0.00044923582231875614,
1102/0.0004481763038698911,
1555/0.0004481763038698911,
1985/0.0004481763038698911,
1194/0.0004481763038698911,
1303/0.00044711678542102613,
2422/0.00044605726697216115,
1285/0.00044499774852329617,
288/0.00044499774852329617,
434/0.0004439382300744312,
574/0.0004439382300744312,
410/0.0004439382300744312,
2380/0.0004439382300744312,
1409/0.00044287871162556616,
1476/0.00044287871162556616,
638/0.00044287871162556616,
601/0.0004397001562789712,
1172/0.00043864063783010624,
1205/0.00043864063783010624,
421/0.00043864063783010624,
1251/0.00043864063783010624,
1587/0.0004375811193812412,
2175/0.0004375811193812412,
1092/0.00043546208248351124,
1252/0.00043440256403464627,
1549/0.0004333430455857813,
2399/0.0004333430455857813,
1281/0.0004333430455857813,
333/0.00043228352713691625,
280/0.00043228352713691625,
631/0.00043122400868805127,
1935/0.00043122400868805127,
997/0.00043122400868805127,
1216/0.00043122400868805127,
1218/0.00043122400868805127,
2480/0.00043122400868805127,
243/0.0004301644902391863,
762/0.0004301644902391863,
1798/0.0004301644902391863,
1843/0.0004291049717903213,
2903/0.0004291049717903213,
1304/0.00042804545334145633,
1485/0.00042804545334145633,
1875/0.00042804545334145633,
754/0.0004269859348925913,
763/0.0004269859348925913,
2931/0.0004259264164437263,
2256/0.0004259264164437263,
1686/0.00042486689799486134,
205/0.00042486689799486134,
1458/0.00042486689799486134,
2444/0.00042486689799486134,
1784/0.00042380737954599636,
153/0.00042380737954599636,
484/0.00042380737954599636,
1984/0.0004227478610971314,
208/0.0004227478610971314,
923/0.0004227478610971314,
1705/0.0004227478610971314,
1221/0.00042168834264826635,
2989/0.00042168834264826635,
1590/0.0004195693057505364,
1475/0.0004185097873016714,
1133/0.0004185097873016714,
2597/0.0004185097873016714,
1602/0.0004185097873016714,
687/0.0004185097873016714,
248/0.0004153312319550764,
609/0.00041427171350621143,
529/0.00041427171350621143,
1506/0.00041427171350621143,
135/0.0004121526766084814,
713/0.0004121526766084814,
951/0.00041109315815961644,
2646/0.00041003363971075146,
2347/0.00041003363971075146,
1945/0.00041003363971075146,
1641/0.00041003363971075146,
329/0.00041003363971075146,
2156/0.0004089741212618865,
1249/0.0004089741212618865,
2779/0.0004089741212618865,
931/0.0004089741212618865,
1266/0.0004089741212618865,
885/0.0004089741212618865,
66/0.0004089741212618865,
2980/0.0004089741212618865,
146/0.0004079146028130215,
161/0.0004079146028130215,
180/0.0004079146028130215,
1627/0.0004079146028130215,
126/0.0004079146028130215,
444/0.00040685508436415647,
429/0.00040685508436415647,
2403/0.00040685508436415647,
2379/0.0004047360474664265,
1144/0.0004047360474664265,
2401/0.00040367652901756153,
1559/0.00040367652901756153,
547/0.00040367652901756153,
1654/0.00040261701056869655,
701/0.00040261701056869655,
858/0.00040261701056869655,
1592/0.0004015574921198315,
1789/0.0004015574921198315,
2519/0.0004015574921198315,
1647/0.00040049797367096654,
1854/0.00040049797367096654,
292/0.00040049797367096654,
1976/0.00040049797367096654,
2670/0.00039943845522210156,
880/0.0003983789367732366,
865/0.0003983789367732366,
19/0.0003983789367732366,
26/0.0003973194183243716,
1886/0.0003973194183243716,
1263/0.0003973194183243716,
163/0.00039625989987550656,
2961/0.00039625989987550656,
759/0.0003952003814266416,
1666/0.0003952003814266416,
831/0.0003941408629777766,
423/0.0003941408629777766,
284/0.0003930813445289116,
1759/0.0003930813445289116,
469/0.0003930813445289116,
496/0.0003930813445289116,
781/0.0003930813445289116,
3022/0.0003930813445289116,
1626/0.00039202182608004665,
330/0.00039202182608004665,
2741/0.00039202182608004665,
1635/0.0003909623076311816,
1746/0.0003909623076311816,
244/0.0003909623076311816,
151/0.00038990278918231663,
1651/0.00038990278918231663,
431/0.00038990278918231663,
542/0.00038990278918231663,
2144/0.00038884327073345165,
1564/0.00038884327073345165,
2649/0.00038884327073345165,
182/0.00038778375228458667,
400/0.00038778375228458667,
2332/0.00038778375228458667,
1707/0.00038778375228458667,
554/0.00038778375228458667,
1298/0.00038778375228458667,
1943/0.00038672423383572164,
1660/0.00038566471538685666,
498/0.00038566471538685666,
1192/0.00038566471538685666,
477/0.0003846051969379917,
1693/0.0003846051969379917,
127/0.0003835456784891267,
559/0.0003835456784891267,
1225/0.0003824861600402617,
1949/0.0003824861600402617,
2862/0.0003824861600402617,
1341/0.0003824861600402617,
1391/0.0003814266415913967,
495/0.0003803671231425317,
2006/0.0003803671231425317,
2066/0.0003803671231425317,
1193/0.0003803671231425317,
2361/0.0003803671231425317,
1385/0.0003803671231425317,
103/0.0003793076046936667,
1072/0.0003793076046936667,
656/0.0003793076046936667,
2847/0.0003793076046936667,
670/0.0003793076046936667,
602/0.00037824808624480175,
1560/0.00037824808624480175,
875/0.00037824808624480175,
599/0.00037824808624480175,
1370/0.00037824808624480175,
711/0.00037718856779593677,
1349/0.00037718856779593677,
1130/0.00037718856779593677,
1495/0.00037612904934707173,
1053/0.00037506953089820675,
993/0.0003740100124493418,
387/0.0003729504940004768,
2478/0.0003729504940004768,
2770/0.0003729504940004768,
1859/0.0003729504940004768,
131/0.0003718909755516118,
1343/0.0003718909755516118,
613/0.0003708314571027468,
47/0.0003708314571027468,
2856/0.0003708314571027468,
1064/0.0003708314571027468,
2706/0.0003697719386538818,
793/0.0003697719386538818,
1234/0.0003697719386538818,
720/0.0003697719386538818,
1758/0.0003687124202050168,
1077/0.0003687124202050168,
2430/0.0003687124202050168,
347/0.0003687124202050168,
587/0.00036765290175615184,
861/0.00036765290175615184,
2025/0.00036765290175615184,
2172/0.00036659338330728686,
2443/0.00036659338330728686,
2103/0.00036659338330728686,
1827/0.00036659338330728686,
382/0.00036659338330728686,
177/0.00036553386485842183,
2932/0.00036553386485842183,
1586/0.00036553386485842183,
1011/0.00036553386485842183,
1874/0.00036447434640955685,
1094/0.00036447434640955685,
1010/0.00036447434640955685,
2062/0.00036341482796069187,
1566/0.0003623553095118269,
2338/0.0003623553095118269,
2215/0.0003623553095118269,
368/0.0003612957910629619,
1161/0.0003602362726140969,
1930/0.0003602362726140969,
2313/0.0003602362726140969,
174/0.0003591767541652319,
1834/0.0003581172357163669,
187/0.0003581172357163669,
2787/0.00035705771726750194,
32/0.0003559981988186369,
1878/0.0003559981988186369,
628/0.0003549386803697719,
2560/0.00035387916192090694,
2094/0.00035281964347204196,
1087/0.00035281964347204196,
857/0.00035281964347204196,
864/0.00035281964347204196,
30/0.000351760125023177,
1703/0.000351760125023177,
2087/0.00035070060657431195,
1915/0.00035070060657431195,
1596/0.00035070060657431195,
827/0.00035070060657431195,
2962/0.00034964108812544697,
1073/0.00034964108812544697,
438/0.000348581569676582,
1313/0.000348581569676582,
1858/0.000348581569676582,
1282/0.000348581569676582,
876/0.000347522051227717,
28/0.000347522051227717,
164/0.000347522051227717,
386/0.000347522051227717,
1291/0.00034646253277885203,
630/0.00034646253277885203,
2073/0.00034646253277885203,
493/0.000345403014329987,
2609/0.000344343495881122,
897/0.00034328397743225704,
699/0.00034328397743225704,
2315/0.00034328397743225704,
2113/0.00034222445898339206,
48/0.00034222445898339206,
1714/0.0003411649405345271,
142/0.0003411649405345271,
2388/0.0003411649405345271,
37/0.0003411649405345271,
712/0.0003411649405345271,
2020/0.0003411649405345271,
527/0.00034010542208566205,
1761/0.00034010542208566205,
1066/0.00033904590363679707,
2718/0.00033904590363679707,
768/0.0003379863851879321,
2183/0.0003379863851879321,
275/0.0003379863851879321,
1632/0.0003379863851879321,
443/0.0003369268667390671,
87/0.0003369268667390671,
2536/0.00033586734829020213,
1235/0.00033586734829020213,
1084/0.00033586734829020213,
249/0.0003348078298413371,
841/0.0003348078298413371,
218/0.0003348078298413371,
2900/0.0003337483113924721,
1174/0.0003337483113924721,
452/0.0003337483113924721,
2053/0.0003337483113924721,
1769/0.0003337483113924721,
2220/0.0003337483113924721,
2869/0.00033268879294360713,
693/0.00033268879294360713,
930/0.00033268879294360713,
192/0.00033268879294360713,
833/0.00033162927449474215,
94/0.00033162927449474215,
2340/0.00033162927449474215,
2449/0.0003305697560458772,
615/0.00032951023759701214,
2292/0.00032951023759701214,
900/0.00032845071914814716,
2148/0.00032845071914814716,
855/0.0003273912006992822,
1325/0.0003273912006992822,
2769/0.0003263316822504172,
704/0.0003263316822504172,
777/0.0003263316822504172,
263/0.00032527216380155217,
2685/0.00032527216380155217,
392/0.00032527216380155217,
1365/0.00032527216380155217,
557/0.0003242126453526872,
3026/0.0003242126453526872,
1514/0.0003242126453526872,
3019/0.0003231531269038222,
718/0.0003231531269038222,
804/0.0003231531269038222,
511/0.0003231531269038222,
471/0.0003231531269038222,
1146/0.0003231531269038222,
350/0.00032209360845495723,
2433/0.00032209360845495723,
746/0.00032209360845495723,
913/0.00032209360845495723,
1890/0.0003199745715572272,
2966/0.0003199745715572272,
651/0.0003199745715572272,
580/0.0003199745715572272,
485/0.00031891505310836224,
1438/0.00031785553465949726,
2441/0.00031785553465949726,
91/0.00031785553465949726,
1025/0.0003167960162106323,
2104/0.0003167960162106323,
1882/0.0003167960162106323,
848/0.0003167960162106323,
1961/0.0003167960162106323,
1148/0.0003157364977617673,
2735/0.0003157364977617673,
2060/0.0003157364977617673,
1634/0.00031467697931290226,
533/0.00031467697931290226,
646/0.00031467697931290226,
2874/0.00031467697931290226,
122/0.00031467697931290226,
1846/0.00031467697931290226,
1768/0.00031467697931290226,
1711/0.0003136174608640373,
2990/0.0003136174608640373,
688/0.0003136174608640373,
1837/0.0003125579424151723,
773/0.0003125579424151723,
237/0.0003125579424151723,
1620/0.0003125579424151723,
1119/0.0003114984239663073,
355/0.0003114984239663073,
1363/0.0003114984239663073,
1730/0.0003114984239663073,
460/0.0003114984239663073,
1417/0.00031043890551744234,
714/0.00031043890551744234,
2074/0.00031043890551744234,
2130/0.0003093793870685773,
2686/0.0003093793870685773,
2114/0.0003093793870685773,
464/0.0003093793870685773,
348/0.0003093793870685773,
812/0.00030831986861971233,
971/0.00030831986861971233,
1489/0.00030726035017084735,
1215/0.00030726035017084735,
1127/0.00030726035017084735,
1046/0.00030620083172198237,
2080/0.00030620083172198237,
2805/0.00030620083172198237,
1157/0.00030620083172198237,
1810/0.00030620083172198237,
1518/0.00030620083172198237,
2688/0.0003051413132731174,
2374/0.0003051413132731174,
2327/0.0003051413132731174,
1953/0.00030408179482425236,
17/0.00030408179482425236,
2558/0.0003030222763753874,
2246/0.0003030222763753874,
2895/0.0003030222763753874,
2565/0.0003019627579265224,
830/0.0003019627579265224,
584/0.0003019627579265224,
215/0.0003019627579265224,
61/0.0003019627579265224,
1717/0.0003019627579265224,
143/0.0003019627579265224,
2572/0.0003019627579265224,
2331/0.0003009032394776574,
2606/0.0003009032394776574,
1410/0.00029984372102879244,
671/0.00029984372102879244,
1628/0.00029984372102879244,
1553/0.00029984372102879244,
1505/0.0002987842025799274,
1463/0.0002987842025799274,
344/0.0002987842025799274,
1289/0.0002977246841310624,
1980/0.0002977246841310624,
1630/0.00029666516568219745,
2727/0.00029666516568219745,
2690/0.00029560564723333247,
2736/0.00029454612878446743,
2237/0.00029454612878446743,
365/0.00029454612878446743,
158/0.00029454612878446743,
2915/0.00029454612878446743,
2005/0.00029454612878446743,
633/0.00029454612878446743,
1293/0.00029348661033560245,
2466/0.00029348661033560245,
2672/0.00029348661033560245,
2283/0.00029348661033560245,
1528/0.00029348661033560245,
1344/0.00029348661033560245,
1929/0.0002924270918867375,
491/0.0002924270918867375,
1318/0.0002924270918867375,
2299/0.0002924270918867375,
677/0.0002924270918867375,
1811/0.0002924270918867375,
2494/0.0002924270918867375,
771/0.0002924270918867375,
1149/0.0002913675734378725,
2625/0.0002913675734378725,
270/0.0002913675734378725,
842/0.0002913675734378725,
1096/0.0002913675734378725,
1124/0.0002903080549890075,
1083/0.0002903080549890075,
918/0.0002892485365401425,
130/0.0002892485365401425,
274/0.0002892485365401425,
1991/0.0002892485365401425,
2102/0.0002892485365401425,
2584/0.0002892485365401425,
141/0.0002892485365401425,
1231/0.0002892485365401425,
1912/0.0002881890180912775,
468/0.0002881890180912775,
2206/0.0002881890180912775,
780/0.0002871294996424125,
1605/0.0002871294996424125,
787/0.0002871294996424125,
2529/0.0002871294996424125,
1802/0.0002871294996424125,
1791/0.0002871294996424125,
1035/0.0002871294996424125,
2128/0.00028606998119354754,
612/0.00028606998119354754,
614/0.00028606998119354754,
1123/0.00028501046274468256,
1502/0.00028501046274468256,
1607/0.00028501046274468256,
2314/0.00028501046274468256,
954/0.00028395094429581753,
2225/0.00028395094429581753,
1659/0.00028395094429581753,
412/0.00028395094429581753,
2133/0.00028289142584695255,
1373/0.00028289142584695255,
1268/0.00028183190739808757,
1128/0.00028183190739808757,
351/0.00028183190739808757,
2155/0.0002807723889492226,
1201/0.0002807723889492226,
1903/0.0002807723889492226,
1294/0.0002807723889492226,
1319/0.0002797128705003576,
78/0.0002797128705003576,
217/0.0002797128705003576,
2028/0.0002786533520514926,
2746/0.0002786533520514926,
1441/0.0002775938336026276,
2367/0.0002775938336026276,
419/0.0002775938336026276,
1781/0.0002775938336026276,
1008/0.0002775938336026276,
1973/0.0002765343151537626,
2942/0.0002765343151537626,
936/0.0002765343151537626,
632/0.0002765343151537626,
1013/0.0002765343151537626,
416/0.0002765343151537626,
938/0.0002765343151537626,
1381/0.00027547479670489764,
1675/0.00027547479670489764,
1967/0.00027547479670489764,
2180/0.00027547479670489764,
957/0.00027441527825603266,
2537/0.0002733557598071676,
884/0.0002733557598071676,
643/0.00027229624135830264,
341/0.00027229624135830264,
2504/0.00027229624135830264,
393/0.00027229624135830264,
312/0.00027229624135830264,
534/0.00027123672290943766,
206/0.00027123672290943766,
1383/0.00027123672290943766,
973/0.0002701772044605727,
673/0.0002701772044605727,
1478/0.0002701772044605727,
3009/0.0002701772044605727,
796/0.0002701772044605727,
2520/0.0002691176860117077,
2072/0.0002691176860117077,
2710/0.0002691176860117077,
2603/0.0002691176860117077,
2243/0.0002691176860117077,
1698/0.00026805816756284267,
995/0.00026805816756284267,
2795/0.00026805816756284267,
1894/0.00026805816756284267,
1934/0.00026805816756284267,
926/0.00026805816756284267,
821/0.00026805816756284267,
2352/0.0002669986491139777,
1672/0.0002669986491139777,
1629/0.0002669986491139777,
1960/0.0002669986491139777,
2696/0.0002669986491139777,
262/0.0002659391306651127,
2610/0.0002659391306651127,
150/0.0002659391306651127,
862/0.0002659391306651127,
2393/0.0002659391306651127,
384/0.0002659391306651127,
2894/0.00026487961221624773,
635/0.00026487961221624773,
2464/0.00026487961221624773,
959/0.0002638200937673827,
983/0.0002638200937673827,
2043/0.0002638200937673827,
2708/0.0002638200937673827,
888/0.0002638200937673827,
1261/0.0002627605753185177,
1422/0.0002627605753185177,
1857/0.0002627605753185177,
1355/0.00026170105686965274,
3012/0.00026170105686965274,
2713/0.00026064153842078776,
1101/0.00026064153842078776,
1088/0.00026064153842078776,
1884/0.00026064153842078776,
1352/0.00025852250152305775,
1650/0.00025852250152305775,
1074/0.00025852250152305775,
537/0.00025746298307419277,
397/0.0002564034646253278,
2111/0.0002564034646253278,
1652/0.0002564034646253278,
945/0.0002564034646253278,
1674/0.0002564034646253278,
2131/0.0002553439461764628,
2423/0.0002542844277275978,
2566/0.0002542844277275978,
0/0.0002532249092787328,
2410/0.0002532249092787328,
2789/0.0002532249092787328,
2890/0.0002521653908298678,
548/0.0002521653908298678,
2792/0.0002521653908298678,
1715/0.0002521653908298678,
1797/0.00025110587238100283,
726/0.00025110587238100283,
2249/0.00025110587238100283,
1896/0.00025004635393213785,
2359/0.00025004635393213785,
346/0.00025004635393213785,
2484/0.00025004635393213785,
2884/0.00025004635393213785,
2823/0.0002489868354832729,
1595/0.0002489868354832729,
1419/0.0002489868354832729,
967/0.0002489868354832729,
2065/0.00024792731703440784,
788/0.00024792731703440784,
2047/0.00024792731703440784,
334/0.00024686779858554286,
2012/0.00024686779858554286,
1400/0.00024686779858554286,
2455/0.00024686779858554286,
665/0.00024686779858554286,
783/0.0002458082801366779,
733/0.0002458082801366779,
1642/0.0002458082801366779,
521/0.0002447487616878129,
54/0.0002447487616878129,
1830/0.0002447487616878129,
2912/0.0002447487616878129,
1336/0.0002447487616878129,
1633/0.0002447487616878129,
1214/0.0002436892432389479,
1739/0.0002436892432389479,
2836/0.0002436892432389479,
800/0.0002436892432389479,
2838/0.0002436892432389479,
1388/0.00024262972479008292,
886/0.00024262972479008292,
1996/0.00024262972479008292,
1016/0.00024262972479008292,
3023/0.0002415702063412179,
22/0.0002415702063412179,
2136/0.00024051068789235293,
1678/0.00024051068789235293,
791/0.00024051068789235293,
1049/0.00024051068789235293,
1940/0.00023945116944348792,
1850/0.00023839165099462294,
1182/0.00023839165099462294,
1963/0.00023839165099462294,
2406/0.00023839165099462294,
1154/0.00023839165099462294,
2086/0.00023733213254575796,
2760/0.00023733213254575796,
1222/0.00023733213254575796,
2781/0.00023733213254575796,
1610/0.00023733213254575796,
55/0.00023733213254575796,
2938/0.00023733213254575796,
2981/0.00023627261409689296,
1653/0.00023627261409689296,
1765/0.00023627261409689296,
2280/0.00023521309564802798,
789/0.00023521309564802798,
2679/0.00023521309564802798,
1043/0.00023521309564802798,
340/0.00023521309564802798,
2601/0.00023415357719916297,
2717/0.00023415357719916297,
1937/0.00023415357719916297,
1567/0.00023415357719916297,
1829/0.000233094058750298,
1579/0.000233094058750298,
1169/0.000233094058750298,
1058/0.000232034540301433,
1804/0.000232034540301433,
891/0.000232034540301433,
1330/0.000232034540301433,
968/0.00022991550340370302,
1055/0.00022991550340370302,
2654/0.00022991550340370302,
1615/0.00022991550340370302,
2719/0.00022991550340370302,
1657/0.00022885598495483802,
2/0.00022885598495483802,
856/0.00022885598495483802,
455/0.00022885598495483802,
2977/0.00022885598495483802,
2069/0.00022673694805710806,
2704/0.00022673694805710806,
358/0.00022673694805710806,
879/0.00022673694805710806,
1776/0.00022673694805710806,
1931/0.00022567742960824305,
1457/0.00022567742960824305,
52/0.00022567742960824305,
2738/0.00022461791115937807,
2634/0.00022461791115937807,
1020/0.00022355839271051306,
2499/0.00022355839271051306,
2202/0.00022355839271051306,
2860/0.00022355839271051306,
2542/0.00022355839271051306,
2214/0.00022355839271051306,
198/0.00022355839271051306,
723/0.00022355839271051306,
647/0.00022355839271051306,
2319/0.00022249887426164809,
2643/0.00022249887426164809,
2777/0.00022249887426164809,
2979/0.00022249887426164809,
2801/0.00022249887426164809,
2465/0.00022249887426164809,
2079/0.00022249887426164809,
1520/0.00022249887426164809,
128/0.00022143935581278308,
1136/0.00022143935581278308,
553/0.00022143935581278308,
2594/0.00022143935581278308,
735/0.00022143935581278308,
2210/0.00022143935581278308,
2802/0.0002203798373639181,
1257/0.0002203798373639181,
725/0.00021932031891505312,
2788/0.00021932031891505312,
979/0.00021932031891505312,
222/0.00021932031891505312,
1856/0.00021932031891505312,
2011/0.0002182608004661881,
2322/0.0002182608004661881,
606/0.0002182608004661881,
1581/0.0002182608004661881,
1367/0.00021720128201732313,
229/0.00021720128201732313,
2126/0.00021720128201732313,
1442/0.00021720128201732313,
1160/0.00021614176356845813,
2084/0.00021614176356845813,
474/0.00021614176356845813,
1450/0.00021508224511959315,
2026/0.00021508224511959315,
2493/0.00021508224511959315,
1286/0.00021508224511959315,
1237/0.00021508224511959315,
1906/0.00021402272667072817,
2101/0.00021402272667072817,
2121/0.00021402272667072817,
137/0.00021402272667072817,
