Topic 1,Topic 2
1279/0.0009705188991603317,1246/0.0016496435591595387
2522/0.0009683998622626016,2828/0.0016496435591595387
1212/0.0009631022700182767,1795/0.0016389315879961652
519/0.0009588641962228168,2207/0.0016282196168327914
446/0.0009588641962228168,2035/0.0016228636312511048
194/0.0009546261224273567,306/0.0016228636312511048
1512/0.0009535666039784918,2135/0.001617507645669418
1165/0.0009525070855296268,1242/0.001617507645669418
377/0.0009514475670807618,1862/0.001617507645669418
184/0.0009503880486318968,352/0.001617507645669418
508/0.0009503880486318968,338/0.001612151660087731
1816/0.0009493285301830319,1002/0.0016067956745060442
1436/0.0009482690117341669,593/0.0016067956745060442
2323/0.0009461499748364368,1297/0.0016067956745060442
740/0.0009461499748364368,2589/0.0015907277177609838
1063/0.0009450904563875718,2457/0.001585371732179297
326/0.0009429714194898419,252/0.00158001574659761
1033/0.0009429714194898419,1691/0.0015746597610159234
2725/0.000938733345694382,2418/0.0015746597610159234
199/0.000938733345694382,1188/0.0015693037754342365
522/0.000938733345694382,2933/0.0015639477898525497
566/0.000938733345694382,889/0.0015585918042708628
441/0.0009366143087966519,1881/0.0015585918042708628
1026/0.0009366143087966519,1578/0.0015585918042708628
851/0.0009366143087966519,2078/0.0015532358186891762
2858/0.0009355547903477869,1054/0.0015425238475258024
1838/0.000931316716552327,2330/0.0015371678619441156
9/0.000930257198103462,1522/0.001531811876362429
2290/0.000930257198103462,784/0.001526455890780742
183/0.000928138161205732,866/0.0015157439196173683
2162/0.000927078642756867,239/0.0015103879340356817
2476/0.0009217810505125421,934/0.0015103879340356817
319/0.000916483458268217,1726/0.001494319977290621
819/0.000916483458268217,528/0.0014889639917089344
2178/0.0009154239398193521,1900/0.0014836080061272476
927/0.0009143644213704871,175/0.0014782520205455607
2432/0.0009133049029216221,1271/0.0014782520205455607
982/0.0009090668291261622,196/0.0014728960349638738
111/0.0009090668291261622,942/0.0014354041358920662
339/0.0009080073106772972,987/0.0014300481503103793
2039/0.0009058882737795671,2843/0.0014246921647286925
1126/0.0009058882737795671,729/0.0014193361791470058
3010/0.0009048287553307022,1138/0.0014193361791470058
115/0.0009005906815352422,2875/0.0014193361791470058
1848/0.0009005906815352422,1401/0.0013979122368202586
117/0.0008995311630863773,1176/0.0013979122368202586
1107/0.0008995311630863773,1944/0.0013979122368202586
1068/0.0008984716446375123,2622/0.001381844280075198
1570/0.0008963526077397822,3005/0.001381844280075198
1999/0.0008952930892909172,1820/0.0013711323089118245
