Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
901/0.002131278562206693,1075/0.0021435722781766374,1662/0.0033653423796619793,2194/0.0034977367585679853,689/0.0036579034313494125,,
2612/0.002124447541173979,1429/0.0021221793412686866,1921/0.003331553801552923,178/0.003468344012697666,2302/0.003594971759412218,,
731/0.0021210320306576224,663/0.0021221793412686866,288/0.0033180383703093007,1298/0.0033507730292163893,22/0.0035792388414279197,,
430/0.002110785499108552,477/0.0021136221665055063,487/0.0032504612140911884,434/0.0029392745870319204,2652/0.003508440710498576,,
224/0.002107369988592195,74/0.0021050649917423265,1068/0.0031828840578730765,2428/0.002880489095291282,2334/0.003366844448639889,,
1354/0.002103954478075838,30/0.002100786404360736,1307/0.003169368626629454,2668/0.002733525365939686,2360/0.00335897798964774,,
1812/0.002097123457043124,2265/0.0020965078169791463,1536/0.003162610911007643,2085/0.0025571688907177707,2458/0.003303912776702695,,
1186/0.0020834614149776967,748/0.0020965078169791463,1099/0.0031490954797640204,1970/0.0024689906531068133,1623/0.0032960463177105458,,
1022/0.0020493063098141278,835/0.002092229229597556,822/0.003128822332898587,1377/0.0024102051613661747,915/0.003185915891820456,,
374/0.00202539773619963,2561/0.0020836720548343757,113/0.003095033754789531,2474/0.0023808124154958555,1981/0.0031072513018989634,,
270/0.0020219822256832727,1012/0.0020665577053080157,2464/0.00308827603916772,2425/0.0023220269237552173,1382/0.0030600525479460676,,
852/0.002011735694134202,694/0.0020665577053080157,1785/0.0030747606079240975,660/0.002292634177884898,2608/0.0030285867119774702,,
419/0.002011735694134202,1080/0.0020622791179264253,1333/0.0030544874610586637,2620/0.002292634177884898,2075/0.003012853793993172,,
661/0.0020083201836178454,2443/0.0020622791179264253,1047/0.0030139411673277966,1753/0.002292634177884898,2394/0.0029499221220559775,,
36/0.0020049046731014887,1703/0.002049443355781655,933/0.002993668020462363,1664/0.0020868849567926635,2195/0.00292632274507953,,
1931/0.0020014891625851315,2172/0.002028050418873705,557/0.002966637157975118,606/0.0020574922109223444,359/0.0028948569091109327,,
1139/0.001991242631036061,1881/0.0020237718314921145,1898/0.0029193331486224395,524/0.0020280994650520253,314/0.002761127106244395,,
2545/0.001984411610003347,1586/0.0020152146567289342,717/0.0028720291392697614,2182/0.0019987067191817058,2441/0.0026588631393464545,,
716/0.0019775805889706336,1937/0.002002378894584164,393/0.002831482845538894,444/0.001881135735700429,2515/0.0026509966803543055,,
1152/0.0019741650784542764,800/0.0019809859576762137,1808/0.0027706634049425934,1899/0.0018223502439597907,2219/0.0026273973033778576,,
2554/0.0019707495679379197,1501/0.0019724287829130335,809/0.00269632853310267,1332/0.0017929574980894715,1161/0.002556599172448514,,
807/0.0019707495679379197,227/0.001955314433386673,2242/0.0026490245237499916,1721/0.001704779260478514,2505/0.002525133336479917,,
1616/0.0019536720153561352,269/0.0019424786712419029,1963/0.002635509092506369,1935/0.001587208276997237,1771/0.0024936675005113196,,
943/0.0019468409943234216,2392/0.0019424786712419029,482/0.002621993661262747,1782/0.0015578155311269178,1706/0.002415002910589827,,
990/0.0019434254838070646,1402/0.0019339214964787226,2136/0.002594962798775502,490/0.0015578155311269178,2287/0.002352071238652633,,
228/0.0019434254838070646,1523/0.0019339214964787226,139/0.002594962798775502,1421/0.0015284227852565987,1974/0.0023127389436918867,,
1136/0.001933178952257994,163/0.0019296429090971325,909/0.0025882050831536906,1258/0.0015284227852565987,2104/0.002100344550903856,,
1263/0.001933178952257994,692/0.0019168071469523621,289/0.0025882050831536906,2475/0.0014990300393862795,618/0.0020846116329195576,,
1312/0.0019263479312252802,839/0.0018996927974260019,956/0.002540901073801012,1451/0.0014696372935159602,595/0.0020216799609823633,,
2578/0.0019263479312252802,91/0.0018996927974260019,1646/0.002500354780070145,1148/0.0013520663100346835,2333/0.0019430153710608706,,
281/0.0019161013996762096,900/0.0018911356226628216,421/0.0024868393488265226,567/0.0012344953265534067,1542/0.001872217240131527,,
370/0.001909270378643496,373/0.0018868570352812315,1446/0.002453050770717467,1477/0.001146317088942449,511/0.0018486178631550794,,
803/0.001909270378643496,925/0.0018782998605180513,837/0.0024125044769865993,1281/0.0008817823761095761,2208/0.0017148880602885417,,
734/0.001902439357610782,1302/0.0018782998605180513,334/0.002371958183255732,2018/0.0008817823761095761,2337/0.001526093044476959,,
654/0.001902439357610782,1603/0.0018740212731364612,1611/0.002297623311415809,2223/0.0007642113926282993,2267/0.001463161372539765,,
2205/0.001878530783996284,1334/0.0018654640983732811,365/0.0022841078801721865,2364/0.0007054259008876609,1667/0.0014159626185868692,,
2093/0.001875115273479927,571/0.001861185510991691,199/0.0022570770176849417,1058/0.0006760331550173418,1218/0.0010305061279715548,,
964/0.0018682842524472133,1305/0.001856906923610101,959/0.00213543813649234,1713/0.0006466404091470226,893/0.0009282421610736143,,
1743/0.0018682842524472133,2412/0.001856906923610101,568/0.0021219227052487175,452/0.0006172476632767033,123/0.0007001148503012854,,
1749/0.0018614532314144994,705/0.001856906923610101,446/0.002101649558383284,2581/0.0005584621715360649,,,
711/0.0018580377208981427,1489/0.0018526283362285108,989/0.002101649558383284,2276/0.00035271295044383044,,,
645/0.001847791189349072,1719/0.0018483497488469207,677/0.002101649558383284,,,,
110/0.0018409601683163582,1241/0.0018397925740837404,464/0.002088134127139662,,,,
886/0.0018409601683163582,1755/0.0018355139867021503,523/0.0020746186958960394,,,,
556/0.0018272981262509307,845/0.0018355139867021503,2264/0.0020746186958960394,,,,
1220/0.0018272981262509307,2149/0.0018312353993205604,1758/0.0020746186958960394,,,,
504/0.0018068050631527895,245/0.0018269568119389703,691/0.002061103264652417,,,,
2465/0.0018068050631527895,706/0.0018098424624126098,1274/0.0020543455490306057,,,,
2271/0.0017999740421200756,1368/0.0018055638750310197,709/0.002034072402165172,,,,
1289/0.001796558531603719,301/0.0017970067002678397,2426/0.002007041539677927,,,,
2257/0.001786312000054648,1026/0.0017927281128862496,1431/0.002000283824056116,,,,
540/0.0017760654685055775,248/0.0017884495255046594,1198/0.0019935261084343047,,,,
1017/0.0017555724054074363,1487/0.0017841709381230693,1936/0.0019732529615688714,,,,
939/0.0017384948528256518,715/0.0017841709381230693,2513/0.0019056758053507593,,,,
225/0.0017282483212765812,1326/0.0017798923507414792,1011/0.0018786449428635143,,,,
2061/0.0017248328107602243,387/0.0017670565885967088,1837/0.001865129511619892,,,,
330/0.00170775525817844,129/0.0017584994138335288,1593/0.0018516140803762696,,,,
2325/0.00170775525817844,316/0.0017542208264519387,48/0.0018448563647544584,,,,
2078/0.001704339747662083,1575/0.0017456636516887585,1716/0.001831340933510836,,,,
682/0.001704339747662083,287/0.0017413850643071683,2200/0.0018110677866454024,,,,
1817/0.0017009242371457262,846/0.0017371064769255782,437/0.0018110677866454024,,,,
2323/0.0016872621950802986,155/0.001732827889543988,261/0.00179755235540178,,,,
759/0.0016838466845639417,388/0.0017242707147808079,747/0.0017840369241581577,,,,
302/0.0016838466845639417,191/0.0017242707147808079,917/0.001770521492914535,,,,
1538/0.001677015663531228,1795/0.0017114349526360377,413/0.001763763777292724,,,,
1066/0.001673600153014871,257/0.0017028777778728575,313/0.0017570060616709127,,,,
2369/0.0016633536214658005,2137/0.0017028777778728575,54/0.0017502483460491015,,,,
815/0.0016599381109494436,242/0.0016985991904912674,2437/0.0017502483460491015,,,,
536/0.00165310708991673,82/0.0016985991904912674,588/0.0017232174835618568,,,,
88/0.00165310708991673,1825/0.0016900420157280871,2043/0.0017029443366964232,,,,
2611/0.00165310708991673,1532/0.001681484840964907,1733/0.0016894289054528008,,,,
1146/0.001649691579400373,1986/0.001677206253583317,1671/0.0016826711898309896,,,,
2629/0.0016428605583676593,929/0.0016686490788201367,2064/0.001669155758587367,,,,
583/0.0016394450478513024,2089/0.0016600919040569565,86/0.0016488826117219335,,,,
169/0.0016360295373349454,570/0.0016600919040569565,211/0.0016286094648565,,,,
585/0.0016326140268185885,2621/0.0016515347292937763,352/0.0016083363179910663,,,,
1911/0.0016326140268185885,1895/0.0016429775545305962,823/0.0016015786023692552,,,,
360/0.0016291985163022318,1283/0.0016386989671490061,579/0.0015745477398820102,,,,
2553/0.0016223674952695179,205/0.0016386989671490061,1560/0.001567790024260199,,,,
1527/0.0016223674952695179,1335/0.0016386989671490061,389/0.0015542745930165766,,,,
597/0.0016223674952695179,344/0.0016301417923858259,923/0.0015542745930165766,,,,
72/0.0016155364742368042,1233/0.0016301417923858259,1142/0.001534001446151143,,,,
1189/0.0016121209637204473,2206/0.0016258632050042358,2090/0.0015204860149075207,,,,
2472/0.0016087054532040903,375/0.0016258632050042358,60/0.0015069705836638983,,,,
696/0.0016087054532040903,473/0.0016215846176226457,1692/0.0015069705836638983,,,,
202/0.0016052899426877336,2343/0.0016215846176226457,1577/0.001493455152420276,,,,
2217/0.0016018744321713767,1276/0.0016215846176226457,1652/0.0014596665743112198,,,,
1998/0.0015984589216550197,189/0.0016215846176226457,112/0.0014461511430675974,,,,
862/0.0015984589216550197,1642/0.0016087488554778755,2489/0.0014393934274457862,,,,
366/0.0015950434111386628,519/0.0016087488554778755,882/0.0014258779962021638,,,,
382/0.0015950434111386628,2514/0.0016087488554778755,103/0.0014191202805803526,,,,
1224/0.0015847968795895922,372/0.0016001916807146953,1094/0.0014123625649585414,,,,
380/0.0015847968795895922,655/0.001591634505951515,1273/0.0014123625649585414,,,,
610/0.0015745503480405216,484/0.001587355918569925,1202/0.001398847133714919,,,,
2053/0.0015574727954587371,509/0.001587355918569925,1088/0.0013785739868494855,,,,
79/0.0015540572849423804,2378/0.0015745201564251548,1653/0.0013785739868494855,,,,
1517/0.0015540572849423804,2452/0.0015702415690435647,2246/0.0013583008399840517,,,,
954/0.0015301487113278823,184/0.0015659629816619745,2025/0.001331269977496807,,,,
895/0.0015199021797788115,1685/0.0015659629816619745,478/0.0013177545462531846,,,,
2125/0.0015130711587460978,1226/0.0015616843942803844,821/0.0013109968306313734,,,,
1187/0.0014959936061643133,336/0.0015574058068987943,1673/0.0013042391150095622,,,,
1034/0.0014891625851315997,742/0.001548848632135614,1321/0.0013042391150095622,,,,
70/0.0014857470746152427,2420/0.001548848632135614,1230/0.001297481399387751,,,,
1181/0.0014857470746152427,1378/0.001544570044754024,148/0.0012907236837659398,,,,
403/0.0014823315640988858,1285/0.0015402914573724338,1100/0.001270450536900506,,,,
672/0.001478916053582529,1926/0.0015402914573724338,596/0.0012501773900350725,,,,
1059/0.0014755005430661721,932/0.001536012869990844,1089/0.0012501773900350725,,,,
1465/0.0014720850325498152,627/0.0015317342826092538,2585/0.00123666195879145,,,,
290/0.0014652540115171015,1876/0.0015103413457013032,1722/0.0012028733806823942,,,,
1306/0.0014618385010007446,1516/0.001501784170938123,1156/0.0011826002338169606,,,,
1238/0.0014618385010007446,1430/0.001497505583556533,219/0.0011758425181951494,,,,
758/0.0014447609484189601,1525/0.0014889484087933528,1337/0.0011555693713297156,,,,
2295/0.0014413454379026032,1209/0.0014889484087933528,361/0.0011488116557079044,,,,
2335/0.0014413454379026032,95/0.0014761126466485825,2599/0.0011420539400860933,,,,
1767/0.0014345144168698895,2069/0.0014718340592669923,358/0.0011217807932206597,,,,
623/0.001420852374804462,630/0.0014675554718854022,6/0.001094749930733415,,,,
122/0.0014037748222226775,1896/0.0014632768845038123,599/0.001094749930733415,,,,
961/0.0014003593117063208,152/0.0014632768845038123,1442/0.0010879922151116037,,,,
608/0.0014003593117063208,762/0.0014589982971222222,770/0.00106771906824617,,,,
2174/0.001393528290673607,1765/0.0014589982971222222,2500/0.0010609613526243588,,,,
1222/0.0013901127801572502,1887/0.001454719709740632,515/0.0010609613526243588,,,,
26/0.0013901127801572502,891/0.001454719709740632,2071/0.0010609613526243588,,,,
1210/0.0013866972696408933,999/0.0014461625349774518,1243/0.0010542036370025476,,,,
144/0.0013866972696408933,609/0.0014418839475958617,537/0.0010474459213807364,,,,
2414/0.0013866972696408933,849/0.0014376053602142716,699/0.0010474459213807364,,,,
