i_doc,doc,Topic 1,Topic 2
73,farscape,1.0,0.0
74,transformersanimated,1.0,0.0
75,dragonball,0.8333333333333334,0.16666666666666666
76,glee,0.8333333333333334,0.16666666666666666
77,codenamekidsnextdoor,1.0,0.0
78,sesamestreet,0.8333333333333334,0.16666666666666666
79,theloudhouse,1.0,0.0
80,theflash2014,1.0,0.0
81,yuyuhakusho,1.0,0.0
82,startrekenterprise,1.0,0.0
83,mightymorphinpowerrangers,1.0,0.0
84,acertainmagicalindex,0.8333333333333334,0.16666666666666666
85,ducktales2017,0.8333333333333334,0.16666666666666666
86,puellamagimadokamagica,0.8333333333333334,0.16666666666666666
87,batmanthebraveandthebold,1.0,0.0
88,invaderzim,1.0,0.0
89,batmanbeyond,1.0,0.0
90,swordartonline,1.0,0.0
91,lawandorderspecialvictimsunit,1.0,0.0
92,attackontitan,1.0,0.0
93,dexterslaboratory,0.8333333333333334,0.16666666666666666
94,montypythonsflyingcircus,1.0,0.0
95,jojosbizarreadventure,1.0,0.0
96,starwarstheclonewars,0.8333333333333334,0.16666666666666666
97,rurounikenshin,1.0,0.0
98,thirtyrock,0.7142857142857143,0.2857142857142857
99,jackiechanadventures,0.8333333333333334,0.16666666666666666
100,cowboybebop,1.0,0.0
101,theofficeus,1.0,0.0
102,thegrimadventuresofbillyandmandy,1.0,0.0
103,darkwingduck,0.8333333333333334,0.16666666666666666
104,daredevil2015,1.0,0.0
105,starwarsrebels,1.0,0.0
106,tinytoonadventures,1.0,0.0
107,seinfeld,1.0,0.0
108,mash,1.0,0.0
109,ducktales1987,1.0,0.0
110,slayers,1.0,0.0
111,twentyfour,1.0,0.0
112,frasier,1.0,0.0
113,arrow,1.0,0.0
114,miraculousladybug,1.0,0.0
115,bobsburgers,1.0,0.0
116,marriedwithchildren,1.0,0.0
117,killlakill,0.8333333333333334,0.16666666666666666
118,arthur,0.7142857142857143,0.2857142857142857
119,chuck,1.0,0.0
120,blakesseven,1.0,0.0
121,theamazingworldofgumball,1.0,0.0
122,mythbusters,1.0,0.0
123,blackadder,1.0,0.0
124,rockosmodernlife,0.8333333333333334,0.16666666666666666
125,beastwars,1.0,0.0
126,parksandrecreation,1.0,0.0
127,samuraijack,0.8333333333333334,0.16666666666666666
128,yugiohgx,0.8333333333333334,0.16666666666666666
129,ededdneddy,1.0,0.0
130,cheers,1.0,0.0
131,dragonballsuper,1.0,0.0
132,haruhisuzumiya,1.0,0.0
133,recess,0.7142857142857143,0.2857142857142857
134,yugioh5ds,1.0,0.0
135,mobilesuitgundamwing,1.0,0.0
136,onceuponatime,1.0,0.0
137,caseclosed,0.8333333333333334,0.16666666666666666
138,itsalwayssunnyinphiladelphia,1.0,0.0
139,tokyoghoul,1.0,0.0
140,heyarnold,1.0,0.0
141,hunterxhunter,1.0,0.0
142,sherlock,1.0,0.0
143,kaguyasamaloveiswar,1.0,0.0
144,fringe,1.0,0.0
145,thewestwing,1.0,0.0
146,kaeloo,1.0,0.0
147,psych,1.0,0.0
148,mobilesuitgundam00,1.0,0.0
149,codelyoko,1.0,0.0
150,lawandorder,1.0,0.0
151,csiny,1.0,0.0
152,youngjustice,0.8333333333333334,0.16666666666666666
153,arresteddevelopment,0.8333333333333334,0.16666666666666666
154,themuppetshow,1.0,0.0
155,mobilesuitgundam,1.0,0.0
156,supermantheanimatedseries,1.0,0.0
157,teentitansgo,1.0,0.0
158,malcolminthemiddle,1.0,0.0
159,digimonadventure,0.7142857142857143,0.2857142857142857
160,blacklagoon,1.0,0.0
161,hellsing,0.8333333333333334,0.16666666666666666
162,teenagemutantninjaturtles2003,1.0,0.0
163,daria,1.0,0.0
164,trueblood,1.0,0.0
165,torchwood,0.8333333333333334,0.16666666666666666
166,ghostintheshellstandalonecomplex,1.0,0.0
167,castle,0.7142857142857143,0.2857142857142857
168,thetransformers,1.0,0.0
169,merlin2008,0.8333333333333334,0.16666666666666666
170,breakingbad,0.8333333333333334,0.16666666666666666
171,teenagemutantninjaturtles2012,1.0,0.0
172,ben10,1.0,0.0
173,that70sshow,1.0,0.0
174,garfieldandfriends,1.0,0.0
175,brooklynninenine,0.8333333333333334,0.16666666666666666
176,dexter,0.7142857142857143,0.2857142857142857
177,reboot,1.0,0.0
178,thegoldengirls,1.0,0.0
179,sheraandtheprincessesofpower,0.8333333333333334,0.16666666666666666
180,transformersprime,0.8333333333333334,0.16666666666666666
181,trigun,1.0,0.0
182,saintseiya,1.0,0.0
183,rosarioplusvampire,1.0,0.0
184,thesopranos,1.0,0.0
185,teenagemutantninjaturtles1987,1.0,0.0
186,theflintstones,0.8333333333333334,0.16666666666666666
187,thomasandfriends,1.0,0.0
188,agentsofshield,0.8333333333333334,0.16666666666666666
189,leverage,0.8333333333333334,0.16666666666666666
190,archer,1.0,0.0
191,xenawarriorprincess,1.0,0.0
192,digimontamers,0.8333333333333334,0.16666666666666666
193,theadventuresofjimmyneutronboygenius,1.0,0.0
194,thespectacularspiderman,1.0,0.0
195,grimm,1.0,0.0
196,inuyasha,1.0,0.0
197,fostershomeforimaginaryfriends,1.0,0.0
198,supergirl2015,0.8333333333333334,0.16666666666666666
199,therealghostbusters,1.0,0.0
200,thetwilightzone1959,0.8333333333333334,0.16666666666666666
201,fullmetalpanic,0.8333333333333334,0.16666666666666666
202,mynameisearl,1.0,0.0
203,jag,1.0,0.0
204,legendsoftomorrow,1.0,0.0
205,personofinterest,1.0,0.0
206,robotchicken,1.0,0.0
207,dangermouse,0.8333333333333334,0.16666666666666666
208,starvstheforcesofevil,1.0,0.0
209,therenandstimpyshow,1.0,0.0
210,doug,1.0,0.0
211,chipndalerescuerangers,1.0,0.0
212,ourmissbrooks,1.0,0.0
213,madmen,0.8333333333333334,0.16666666666666666
214,winxclub,0.8333333333333334,0.16666666666666666
215,baccano,1.0,0.0
216,ahmygoddess,0.8333333333333334,0.16666666666666666
217,gintama,1.0,0.0
218,aquateenhungerforce,1.0,0.0
219,twinpeaks,1.0,0.0
220,boardwalkempire,0.8333333333333334,0.16666666666666666
221,monk,1.0,0.0
222,wanderoveryonder,1.0,0.0
223,ouranhighschoolhostclub,1.0,0.0
224,claymore,1.0,0.0
225,dollhouse,1.0,0.0
226,thefreshprinceofbelair,1.0,0.0
227,coldcase,0.8333333333333334,0.16666666666666666
228,theworldgodonlyknows,1.0,0.0
229,gotham,0.8333333333333334,0.16666666666666666
230,happyheroes,1.0,0.0
231,warehouse13,1.0,0.0
232,xiaolinshowdown,1.0,0.0
233,fruitsbasket,1.0,0.0
234,icarly,1.0,0.0
235,beavisandbutthead,1.0,0.0
236,veronicamars,0.8333333333333334,0.16666666666666666
