i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38
10,southpark,0.059782608695652176,0.002717391304347826,0.03641304347826087,0.26657608695652174,0.044293478260869566,0.012771739130434783,0.013043478260869565,0.01358695652173913,0.030706521739130434,0.014945652173913044,0.057880434782608695,0.01657608695652174,0.005978260869565218,0.003532608695652174,0.02391304347826087,0.0019021739130434783,0.030706521739130434,0.006793478260869565,0.03342391304347826,0.02010869565217391,0.0016304347826086956,0.0024456521739130437,0.02010869565217391,0.010869565217391304,0.07038043478260869,0.003532608695652174,0.03206521739130435,0.07581521739130435,0.050271739130434784,0.010597826086956521,0.002717391304347826,0.0002717391304347826,0.007608695652173913,0.004076086956521739,0.002717391304347826,0.0038043478260869567,0.004347826086956522,0.0010869565217391304
11,gameofthrones,0.17418981481481483,0.004050925925925926,0.0720486111111111,0.15162037037037038,0.020543981481481483,0.027777777777777776,0.012152777777777778,0.009259259259259259,0.11689814814814815,0.006076388888888889,0.061342592592592594,0.0008680555555555555,0.008391203703703705,0.014756944444444444,0.0390625,0.015335648148148149,0.024016203703703703,0.01244212962962963,0.015625,0.0005787037037037037,0.046296296296296294,0.0011574074074074073,0.009548611111111112,0.013020833333333334,0.017361111111111112,0.009259259259259259,0.014467592592592593,0.03009259259259259,0.0,0.019097222222222224,0.001736111111111111,0.0014467592592592592,0.003761574074074074,0.004629629629629629,0.02141203703703704,0.008391203703703705,0.01070601851851852,0.0005787037037037037
12,bleach,0.10387547649301143,0.0044472681067344345,0.06575603557814486,0.0860864040660737,0.030177890724269376,0.0022236340533672173,0.01238881829733164,0.028907242693773826,0.15787801778907243,0.008259212198221092,0.03144853875476493,0.0022236340533672173,0.0022236340533672173,0.008894536213468869,0.028907242693773826,0.0038119440914866584,0.0015883100381194409,0.011435832274459974,0.033672172808132145,0.0022236340533672173,0.013024142312579416,0.0028589580686149934,0.016836086404066072,0.02255400254129606,0.004764930114358323,0.03780177890724269,0.044155019059720454,0.0044472681067344345,0.0012706480304955528,0.0063532401524777635,0.008259212198221092,0.0009529860228716646,0.005717916137229987,0.04510800508259212,0.05781448538754765,0.0019059720457433292,0.09974587039390088,0.0
13,startrekdeepspacenine,0.1185137732222934,0.0012812299807815502,0.037155669442664956,0.16335682254964767,0.017616912235746317,0.03651505445227418,0.014093529788597053,0.020179372197309416,0.08103779628443306,0.05028827674567585,0.06662395900064061,0.0006406149903907751,0.08360025624599615,0.002242152466367713,0.038757206918641894,0.02274183215887252,0.029468289557975657,0.05861627162075592,0.015054452274183215,0.003843689942344651,0.01889814221652787,0.0,0.004804612427930814,0.008007687379884689,0.020179372197309416,0.0032030749519538757,0.0064061499039077515,0.019538757206918642,0.007046764894298526,0.008648302370275465,0.0064061499039077515,0.00032030749519538755,0.0016015374759769379,0.0012812299807815502,0.009929532351057015,0.019218449711723255,0.0019218449711723255,0.0009609224855861628
14,fullmetalalchemist,0.14430960970810103,0.005247622171203673,0.06920301738274844,0.09740898655296819,0.0232863233847163,0.003935716628402755,0.014758937356510331,0.027550016398819287,0.1449655624795015,0.012463102656608724,0.027222040013119054,0.0029517874713020664,0.0055755985569039025,0.011479173499508036,0.027877992784519516,0.01574286651361102,0.008199409642505739,0.00754345687110528,0.025582158084617907,0.0029517874713020664,0.016726795670711708,0.01508691374221056,0.009511315185306658,0.013775008199409643,0.00787143325680551,0.013775008199409643,0.042308953755329615,0.005247622171203673,0.0016398819285011479,0.0088553624139062,0.005903574942604133,0.01508691374221056,0.009511315185306658,0.0344375204985241,0.033781567727123644,0.010167267956707117,0.051164316169235814,0.026894063627418825
15,startrekvoyager,0.08180026281208935,0.0009855453350854138,0.02956636005256242,0.18988173455978974,0.015440210249671484,0.035479632063074903,0.015440210249671484,0.026609724047306178,0.050919842312746384,0.06701708278580815,0.054862023653088045,0.001314060446780552,0.08409986859395532,0.0016425755584756898,0.03515111695137976,0.01445466491458607,0.015440210249671484,0.047963206307490146,0.024638633377135347,0.0045992115637319315,0.006241787122207621,0.02759526938239159,0.0009855453350854138,0.013140604467805518,0.020367936925098553,0.005584756898817346,0.00788436268068331,0.020696452036793694,0.005913272010512484,0.00788436268068331,0.007227332457293035,0.0164257555847569,0.005256241787122208,0.0016425755584756898,0.0075558475689881735,0.0164257555847569,0.0042706964520367935,0.02759526938239159
16,startrektheoriginalseries,0.09,0.0,0.030666666666666665,0.19366666666666665,0.02033333333333333,0.033,0.02,0.02266666666666667,0.06533333333333333,0.059666666666666666,0.04833333333333333,0.0016666666666666668,0.085,0.004333333333333333,0.030333333333333334,0.013666666666666667,0.012,0.05333333333333334,0.027333333333333334,0.0036666666666666666,0.012666666666666666,0.024,0.0013333333333333333,0.009333333333333334,0.018,0.005666666666666667,0.011333333333333334,0.013333333333333334,0.0033333333333333335,0.004,0.005666666666666667,0.017666666666666667,0.007666666666666666,0.0023333333333333335,0.008,0.013666666666666667,0.0036666666666666666,0.023333333333333334
17,stevenuniverse,0.05702647657841141,0.0,0.05329260013577732,0.21181262729124237,0.032247114731839784,0.01188051595383571,0.013917175831636116,0.023421588594704685,0.07807196198234895,0.02885268160217244,0.048200950441276307,0.019348268839103868,0.01493550577053632,0.010522742701968771,0.028173794976238967,0.0047522063815342835,0.006449422946367957,0.020366598778004074,0.04446707399864223,0.014596062457569586,0.022063815342837745,0.0016972165648336728,0.016632722335369995,0.012559402579769178,0.03428377460964019,0.022742701968771217,0.03598099117447386,0.01188051595383571,0.021045485403937542,0.005431093007467753,0.0047522063815342835,0.00033944331296673454,0.009843856076035303,0.015274949083503055,0.038357094365241005,0.0016972165648336728,0.022063815342837745,0.0010183299389002036
18,angel,0.15915593705293277,0.02682403433476395,0.044349070100143065,0.1301859799713877,0.013590844062947067,0.032188841201716736,0.015736766809728183,0.04041487839771102,0.10264663805436337,0.017525035765379112,0.06402002861230328,0.001072961373390558,0.000715307582260372,0.012875536480686695,0.04363376251788269,0.00357653791130186,0.029327610872675252,0.03612303290414878,0.02396280400572246,0.005007153075822604,0.011087267525035766,0.001072961373390558,0.007868383404864092,0.011802575107296138,0.028254649499284693,0.009298998569384835,0.005007153075822604,0.033977110157367665,0.002861230329041488,0.013948497854077254,0.001072961373390558,0.001072961373390558,0.002503576537911302,0.002145922746781116,0.03469241773962804,0.021816881258941344,0.008583690987124463,0.0
19,stargatesg1,0.11402877697841726,0.0007194244604316547,0.02410071942446043,0.14532374100719425,0.015467625899280576,0.03669064748201439,0.019784172661870502,0.030575539568345324,0.09136690647482014,0.06906474820143885,0.06366906474820144,0.0014388489208633094,0.08956834532374101,0.006474820143884892,0.03525179856115108,0.021223021582733814,0.02302158273381295,0.060431654676258995,0.02194244604316547,0.002517985611510791,0.01223021582733813,0.00035971223021582735,0.0035971223021582736,0.006834532374100719,0.020863309352517987,0.006115107913669065,0.007194244604316547,0.011151079136690648,0.003956834532374101,0.006115107913669065,0.006115107913669065,0.0014388489208633094,0.002158273381294964,0.0007194244604316547,0.016546762589928057,0.02050359712230216,0.0014388489208633094,0.0
20,babylonfive,0.12659204940177538,0.0007719027402547279,0.03589347742184485,0.14511771516788885,0.008490930142802007,0.031648012350443844,0.011964492473948282,0.023157082207641837,0.09725974527209572,0.052875337707448865,0.05326128907757623,0.0007719027402547279,0.12003087610961019,0.0011578541103820917,0.03550752605171748,0.021999228097259745,0.027016595908915475,0.05017367811655731,0.01273639521420301,0.0038595137012736396,0.02740254727904284,0.00038595137012736397,0.0011578541103820917,0.00887688151292937,0.016981860285604014,0.0042454650714010035,0.006947124662292551,0.015438054805094558,0.002701659590891548,0.006561173292165187,0.008104978772674644,0.0015438054805094559,0.0023157082207641835,0.0019297568506368198,0.014280200694712466,0.01736781165573138,0.0034735623311462757,0.0
21,neongenesisevangelion,0.10627450980392157,0.002352941176470588,0.06196078431372549,0.12117647058823529,0.02588235294117647,0.007450980392156863,0.01843137254901961,0.015294117647058824,0.11960784313725491,0.03529411764705882,0.02980392156862745,0.001176470588235294,0.022745098039215685,0.00823529411764706,0.0196078431372549,0.00784313725490196,0.006274509803921568,0.012549019607843137,0.0196078431372549,0.0027450980392156863,0.0035294117647058825,0.022745098039215685,0.0196078431372549,0.025098039215686273,0.006274509803921568,0.017254901960784313,0.04980392156862745,0.014509803921568627,0.00196078431372549,0.010980392156862745,0.025098039215686273,0.023137254901960783,0.008627450980392156,0.04274509803921569,0.024705882352941175,0.0058823529411764705,0.02,0.03372549019607843
22,deathnote,0.15378289473684212,0.0024671052631578946,0.06537828947368421,0.09827302631578948,0.028782894736842105,0.004934210526315789,0.013157894736842105,0.02055921052631579,0.11225328947368421,0.004523026315789474,0.05633223684210526,0.002055921052631579,0.002055921052631579,0.01274671052631579,0.03125,0.004111842105263158,0.044407894736842105,0.004111842105263158,0.011513157894736841,0.004934210526315789,0.004934210526315789,0.03453947368421053,0.011513157894736841,0.015213815789473685,0.013569078947368422,0.005756578947368421,0.038651315789473686,0.01274671052631579,0.00041118421052631577,0.008223684210526315,0.001644736842105263,0.02919407894736842,0.01850328947368421,0.032072368421052634,0.009868421052631578,0.014391447368421052,0.015213815789473685,0.05592105263157895
23,dragonballz,0.08384964890541098,0.0004130524576621231,0.05410987195373813,0.12556794712928543,0.02395704254440314,0.0020652622883106154,0.01734820322180917,0.027674514663362248,0.14456836018174307,0.0429574555968608,0.03056588186699711,0.00660883932259397,0.01486988847583643,0.020239570425444033,0.03841387856257745,0.0024783147459727386,0.0024783147459727386,0.014456836018174308,0.053696819496076,0.007021891780256092,0.011565468814539447,0.004130524576621231,0.008261049153242462,0.007434944237918215,0.00784799669558034,0.042544403139198675,0.048327137546468404,0.003304419661296985,0.0008261049153242462,0.0024783147459727386,0.00950020652622883,0.0024783147459727386,0.004543577034283354,0.01734820322180917,0.03593556381660471,0.0028913672036348617,0.0768277571251549,0.0004130524576621231
24,phineasandferb,0.01508169250104734,0.0008378718056137411,0.051110180142438205,0.2735651445328865,0.04189359028068706,0.006702974444909929,0.018852115626309174,0.007959782153330541,0.027649769585253458,0.016757436112274822,0.05446166736489317,0.04524507750314202,0.0020946795140343527,0.005865102639296188,0.033514872224549644,0.0008378718056137411,0.005446166736489317,0.009216589861751152,0.06074570590699623,0.03393380812735652,0.0,0.0016757436112274822,0.024717218265605363,0.007121910347716799,0.08588186007540846,0.0025136154168412233,0.034771679932970256,0.017595307917888565,0.07708420611646419,0.003770423125261835,0.0033514872224549644,0.0,0.006284038542103058,0.0041893590280687055,0.006702974444909929,0.009216589861751152,0.0025136154168412233,0.0008378718056137411
25,codegeass,0.15345485375158965,0.000423908435777872,0.06909707503179313,0.058499364137346334,0.024586689275116574,0.003391267486222976,0.013988978380669776,0.01526070368800339,0.14285714285714285,0.012293344637558287,0.039423484527342095,0.000423908435777872,0.020347604917337857,0.008902077151335312,0.03136922424756253,0.018228062738448497,0.007630351844001695,0.008054260279779568,0.01695633743111488,0.000423908435777872,0.025858414582450192,0.02161933022467147,0.014412886816447647,0.03433658329800763,0.003391267486222976,0.01695633743111488,0.037727850784230604,0.005934718100890208,0.000847816871555744,0.005934718100890208,0.03052140737600678,0.02628232301822806,0.014412886816447647,0.033488766426451884,0.01907587961000424,0.005510809665112336,0.022467147096227214,0.03560830860534125
26,firefly,0.1489543320529236,0.0004268032437046522,0.052923602219376864,0.1489543320529236,0.01792573623559539,0.02390098164746052,0.016645326504481434,0.00597524541186513,0.09133589415279555,0.026888604353393086,0.06017925736235595,0.0,0.06999573196756295,0.0012804097311139564,0.030303030303030304,0.014084507042253521,0.03158344003414426,0.009389671361502348,0.00810926163038839,0.0004268032437046522,0.011096884336320957,0.028595817328211693,0.008962868117797696,0.010243277848911651,0.02176696542893726,0.0012804097311139564,0.015364916773367477,0.020913358941527956,0.0008536064874093043,0.015364916773367477,0.0034144259496372174,0.026461801109688432,0.009816474605207,0.004268032437046522,0.0012804097311139564,0.016645326504481434,0.005548442168160478,0.03883909517712335
27,sailormoon,0.0569593147751606,0.0,0.05910064239828694,0.10963597430406852,0.03468950749464668,0.005139186295503212,0.022698072805139188,0.01670235546038544,0.1006423982869379,0.01670235546038544,0.03126338329764454,0.008565310492505354,0.003426124197002141,0.02569593147751606,0.032119914346895075,0.0017130620985010706,0.006852248394004282,0.008137044967880086,0.04925053533190578,0.011563169164882228,0.007708779443254818,0.027837259100642397,0.03340471092077088,0.02184154175588865,0.01841541755888651,0.041541755888650965,0.05310492505353319,0.00556745182012848,0.010706638115631691,0.006852248394004282,0.002569593147751606,0.016274089935760173,0.008137044967880086,0.047109207708779445,0.05139186295503212,0.007708779443254818,0.02184154175588865,0.017130620985010708
28,teentitans,0.03727785002167317,0.0008669267446900737,0.047247507585609014,0.13654096228868662,0.027741655830082357,0.009102730819245773,0.02080624187256177,0.02340702210663199,0.08842652795838751,0.02340702210663199,0.030775899436497615,0.012136974425661032,0.005201560468140442,0.032509752925877766,0.03987863025574339,0.003034243606415258,0.0008669267446900737,0.01517121803207629,0.06848721283051581,0.011270047680970958,0.0082358040745557,0.03857824013870828,0.015604681404421327,0.011703511053315995,0.021239705244906804,0.035110533159947985,0.03684438664932813,0.007802340702210663,0.012136974425661032,0.0013003901170351106,0.005201560468140442,0.03857824013870828,0.017771998266146512,0.018205461638491547,0.045947117468573904,0.007802340702210663,0.012570437798006068,0.031209362808842653
29,batmantheanimatedseries,0.06454426515481901,0.0013083296990841692,0.04099433057130397,0.18054949847361534,0.026602703881378108,0.009594417793283908,0.026166593981683386,0.008286088094199739,0.07239424334932403,0.01875272568687309,0.061927605756650676,0.012211077191452245,0.00436109899694723,0.0453554295682512,0.04971652856519843,0.0004361098996947231,0.0340165721761884,0.008286088094199739,0.05625817706061927,0.008286088094199739,0.0008722197993894462,0.03881378107283035,0.005233318796336677,0.0056694286960314,0.0340165721761884,0.00872219799389446,0.02398604448320977,0.01962494548626254,0.007849978194505015,0.00436109899694723,0.0030527692978630614,0.02878325337985172,0.01264718709114697,0.0034888791975577847,0.010466637592673354,0.02006105538595726,0.007413868294810292,0.03488879197557784
30,negimamagisternegimagi,0.09490333919156414,0.010984182776801407,0.06502636203866433,0.06546572934973638,0.02328646748681898,0.0017574692442882249,0.012741652021089631,0.028558875219683654,0.14015817223198593,0.025043936731107205,0.031195079086115993,0.0035149384885764497,0.0017574692442882249,0.007029876977152899,0.01977152899824253,0.003954305799648506,0.0008787346221441124,0.01054481546572935,0.035588752196836555,0.0048330404217926184,0.008347978910369069,0.003954305799648506,0.028119507908611598,0.04173989455184534,0.003954305799648506,0.03602811950790861,0.04130052724077329,0.005272407732864675,0.0013181019332161687,0.011862917398945518,0.009666080843585237,0.0004393673110720562,0.0021968365553602814,0.07337434094903339,0.06766256590509666,0.0057117750439367315,0.07205623901581722,0.0
31,thelegendofkorra,0.08131176999101528,0.0,0.06918238993710692,0.1316262353998203,0.019766397124887692,0.015274034141958671,0.013926325247079964,0.011680143755615454,0.1334231805929919,0.005840071877807727,0.04672057502246182,0.004941599281221923,0.014375561545372867,0.015274034141958671,0.044923629829290206,0.013477088948787063,0.0071877807726864335,0.012578616352201259,0.030548068283917342,0.0008984725965858042,0.05660377358490566,0.0013477088948787063,0.02605570530098832,0.013926325247079964,0.01752021563342318,0.022911051212938006,0.031446540880503145,0.0071877807726864335,0.0035938903863432167,0.0076370170709793355,0.006289308176100629,0.0008984725965858042,0.017969451931716084,0.011230907457322551,0.06334231805929919,0.01078167115902965,0.027852650494159928,0.0004492362982929021
32,mysterysciencetheater3000,0.04805077062556664,0.0,0.024478694469628286,0.2883046237533998,0.04941069809610154,0.02085222121486854,0.02130553037171351,0.01042611060743427,0.024478694469628286,0.02901178603807797,0.05893019038984588,0.010879419764279238,0.017225747960108794,0.0027198549410698096,0.02130553037171351,0.0022665457842248413,0.014052583862194016,0.0077062556663644605,0.03309156844968268,0.015412511332728921,0.0013599274705349048,0.056210335448776065,0.003626473254759746,0.006799637352674524,0.05439709882139619,0.005439709882139619,0.01813236627379873,0.034904805077062555,0.03626473254759746,0.006346328195829556,0.0013599274705349048,0.016772438803263828,0.006346328195829556,0.0022665457842248413,0.008159564823209429,0.009519492293744334,0.001813236627379873,0.030371713508612876
33,yugioh,0.08382687927107062,0.002277904328018223,0.06469248291571754,0.1143507972665148,0.024145785876993165,0.002277904328018223,0.018223234624145785,0.020045558086560365,0.13302961275626424,0.010933940774487472,0.026879271070615034,0.00592255125284738,0.0009111617312072893,0.010933940774487472,0.03416856492027335,0.0009111617312072893,0.0031890660592255125,0.007289293849658315,0.03553530751708428,0.004100227790432802,0.005466970387243736,0.0214123006833713,0.01275626423690205,0.01457858769931663,0.010478359908883827,0.0469248291571754,0.05056947608200456,0.0036446469248291574,0.0009111617312072893,0.002733485193621868,0.002277904328018223,0.029612756264236904,0.010933940774487472,0.03462414578587699,0.04783599088838269,0.005011389521640091,0.06150341685649203,0.03507972665148064
34,adventuretime,0.061473486625997185,0.007508212106992022,0.06241201313937119,0.22383857343969968,0.0342562177381511,0.008916001877053027,0.015485687470671047,0.0328484279680901,0.0685124354763022,0.02627874237447208,0.03847958704833412,0.02674800563115908,0.005631159080244017,0.00328484279680901,0.0328484279680901,0.0018770530267480056,0.004692632566870014,0.018301267010793053,0.05725011731581417,0.01642421398404505,0.017832003754106054,0.002346316283435007,0.015485687470671047,0.012670107930549039,0.0328484279680901,0.015485687470671047,0.0337869544814641,0.007977475363679024,0.024870952604411075,0.008916001877053027,0.002346316283435007,0.0004692632566870014,0.00656968559361802,0.008446738620366025,0.04692632566870014,0.0009385265133740028,0.014077897700610043,0.0009385265133740028
