Topic 1,Topic 2
1430/0.002618516193531887,98/0.002506332185703669
168/0.0026156099602427287,1672/0.0024703107700241155
2048/0.00259236009392946,2171/0.002468414906040981
1126/0.0025865476273511426,1203/0.0024513521301927715
680/0.002557485294459557,1212/0.002434289354344562
1439/0.0025197042617004953,323/0.0024323934903614274
1676/0.0025022668619655436,499/0.0024286017623951586
1487/0.0024848294622305924,1041/0.002415330714513218
487/0.002470298295784799,300/0.002392580346715605
395/0.0024615795959173235,194/0.0023546630670529174
653/0.002429611029736579,2588/0.0023319126992553045
2864/0.0024121736300016274,2162/0.002292099555609482
2039/0.0023743925972425656,578/0.002290203691626348
79/0.002359861430796773,891/0.002284516099676945
3024/0.0023482364976401384,1261/0.0022636615958624663
1150/0.00234533026435098,370/0.0022579740039130633
689/0.0023395177977726628,2525/0.0022560781399299287
1313/0.00232498663132687,1468/0.0022503905479805257
372/0.0022581432656762226,1003/0.002184035308570822
2042/0.0022290809327846365,1540/0.002111992477211715
606/0.0022087372997605264,1897/0.002102513157296043
598/0.0022058310664713676,129/0.002102513157296043
1104/0.0021942061333147336,1112/0.002093033837380371
2168/0.0021680500337123063,850/0.002089242109414102
35/0.0021680500337123063,396/0.0020664917416164893
588/0.0021651438004231475,112/0.0020589082856839517
2284/0.002162237567133989,357/0.00204942896576828
757/0.0021593313338448303,1081/0.002026678597970667
705/0.0021506126339773547,1493/0.002020991006021264
2263/0.0021477064006881963,2349/0.001967906814493501
3010/0.00211864406779661,200/0.001967906814493501
590/0.00211864406779661,169/0.001958427494577829
281/0.0021041129013508173,2077/0.0019546357666115604
444/0.0020953942014833413,698/0.0019527399026284258
31/0.0020953942014833413,286/0.0019508440386452914
2518/0.00205761316872428,97/0.0019394688547464851
160/0.002054706935435121,2329/0.0019375729907633507
1452/0.002054706935435121,1780/0.0019318853988139475
1244/0.002054706935435121,125/0.0019224060788982755
13/0.002048894468856804,2320/0.0019224060788982755
1591/0.002028550835832694,1361/0.0019167184869488723
224/0.002028550835832694,654/0.0019129267589826035
1031/0.002008207202808584,2015/0.0019110308949994693
1533/0.0020023947362302666,1332/0.0019015515750837972
2862/0.0019965822696519494,1098/0.0019015515750837972
1600/0.001987863569784474,124/0.0019015515750837972
1943/0.0019820511032061566,1205/0.001871217751353647
475/0.001964613703471205,1704/0.0018560508394885717
695/0.0019617074701820465,644/0.0018503632475391685
1596/0.0019529887703145707,801/0.0018503632475391685
55/0.0019413638371579363,175/0.0018351963356740934
1498/0.0019355513705796193,1610/0.001833300471690959
404/0.001929738904001302,727/0.0018295087437246902
2224/0.0019239264374229848,1059/0.001808654239910212
700/0.0019210202041338262,2639/0.001808654239910212
1571/0.0019123015042663504,2063/0.0017934873280451367
2325/0.0019035828043988748,359/0.0017915914640620023
1899/0.0018977703378205576,721/0.0017877997360957335
1326/0.0018861454046639231,2350/0.0017821121441463303
2935/0.0018687080049289717,1668/0.0017745286882137929
2592/0.0018541768384831786,522/0.0017669452322812552
1453/0.0018396456720373858,1105/0.001736611408551105
1032/0.0018280207388807514,384/0.0017138610407534923
1164/0.0018222082723024344,1713/0.0017138610407534923
1163/0.0018076771058566413,2507/0.0016967982649052826
1618/0.0018076771058566413,1926/0.0016930065369390138
172/0.0018047708725674827,1217/0.0016778396250739388
837/0.001801864639278324,1099/0.0016778396250739388
1268/0.0017902397061216899,1440/0.0016778396250739388
534/0.0017873334728325313,43/0.0016683603051582667
166/0.0017844272395433727,2370/0.0016569851212594603
2481/0.001781521006254214,318/0.001651297529310057
922/0.0017757085396758968,1547/0.0016494016653269229
1303/0.0017640836065192626,1624/0.0016475058013437885
2528/0.001761177373230104,2299/0.0016437140733775197
851/0.0017553649066517868,2123/0.0016304430254955788
792/0.0017408337402059937,960/0.0016171719776136382
58/0.0017350212736276767,1384/0.001602005065748563
2846/0.0017350212736276767,39/0.0016001092017654285
1797/0.0017233963404710423,1582/0.0015963174737991597
101/0.001717583873892725,1599/0.001592525745832891
362/0.001717583873892725,74/0.0015849422899003535
410/0.0017146776406035665,678/0.001583046425917219
1881/0.0017117714073144078,984/0.0015811505619340847
1920/0.0017059589407360908,890/0.001573567106001547
2863/0.0017001464741577736,1455/0.0015584001941364718
580/0.0017001464741577736,71/0.0015527126021870686
