Topic 1,Topic 2
1053/0.0010811264448958738,1103/0.0013770721866502938
353/0.001077423957070888,1410/0.0013770721866502938
1351/0.0010761897944625593,75/0.0013770721866502938
1492/0.001073721469245902,2473/0.0013712247463672778
1860/0.0010687848188125875,1822/0.0013712247463672778
535/0.001067550656204259,1974/0.0013683010262257698
77/0.001067550656204259,1244/0.0013653773060842615
2368/0.001067550656204259,307/0.0013653773060842615
506/0.0010663164935959303,2418/0.0013653773060842615
1152/0.0010663164935959303,349/0.0013653773060842615
2209/0.0010601456805542872,2323/0.0013595298658012455
374/0.0010601456805542872,1939/0.0013536824255182293
127/0.00105767735533763,867/0.0013536824255182293
1532/0.0010552090301209727,237/0.0013507587053767213
44/0.0010552090301209727,2361/0.0013478349852352133
1937/0.0010502723796876581,1795/0.0013478349852352133
937/0.0010416332414293578,634/0.0013449112650937053
360/0.0010391649162127005,1620/0.001341987544952197
1558/0.0010379307536043719,919/0.001341987544952197
1050/0.001034228265779386,1726/0.001339063824810689
1142/0.0010305257779544001,2057/0.001339063824810689
1458/0.0010292916153460715,1608/0.001339063824810689
1225/0.001024354964912757,1880/0.001336140104669181
2335/0.0010206524770877711,142/0.001333216384527673
1116/0.0010206524770877711,235/0.0013302926643861649
654/0.0010181841518711139,55/0.0013273689442446569
1577/0.0010169499892627853,2257/0.0013244452241031488
523/0.0010169499892627853,1602/0.0013244452241031488
1867/0.0010132475014377994,2612/0.0013215215039616408
547/0.0010120133388294707,893/0.0013215215039616408
458/0.0010095450136128135,739/0.0013185977838201328
295/0.0010095450136128135,1977/0.0013156740636786246
302/0.0010083108510044849,1744/0.0013127503435371166
2519/0.0010083108510044849,98/0.0013098266233956086
717/0.0010083108510044849,240/0.0013039791831125924
2228/0.0010058425257878276,809/0.0013039791831125924
181/0.001004608363179499,510/0.0012922843025465602
1731/0.0010033742005711704,1615/0.0012864368622635442
2671/0.0010033742005711704,2365/0.0012835131421220362
204/0.0010021400379628417,2345/0.001280589421980528
982/0.0010009058753545131,782/0.00127766570183902
1289/0.0009996717127461845,2448/0.001274741981697512
814/0.0009984375501378559,1997/0.001271818261556004
768/0.0009972033875295272,2579/0.001271818261556004
721/0.0009935008997045416,1909/0.0012688945414144957
1824/0.0009836275988379126,1445/0.0012630471011314797
29/0.000982393436229584,79/0.0012601233809899717
1285/0.0009811592736212553,2147/0.0012513522205654475
1709/0.0009799251110129267,1905/0.0012455047802824313
2015/0.0009737542979712835,2471/0.0012338098997163992
1561/0.0009725201353629548,2081/0.0012338098997163992
796/0.0009725201353629548,681/0.001230886179574891
187/0.0009712859727546262,674/0.001227962459433383
688/0.0009663493223213118,2263/0.001227962459433383
1442/0.0009638809971046546,1216/0.001225038739291875
2324/0.0009638809971046546,507/0.001225038739291875
1604/0.0009626468344963259,2517/0.0012191912990088588
1963/0.0009626468344963259,2670/0.0012162675788673508
2514/0.0009626468344963259,162/0.0012162675788673508
2273/0.0009614126718879973,2017/0.0012133438587258428
1487/0.0009577101840630114,1465/0.0012016489781598106
287/0.0009564760214546828,1686/0.0011958015378767943
56/0.0009527735336296969,403/0.0011928778177352863
757/0.0009527735336296969,802/0.0011899540975937783
1139/0.000949071045804711,929/0.0011870303774522703
1468/0.0009441343953713965,1520/0.0011870303774522703
1089/0.000939197744938082,1068/0.0011870303774522703
73/0.0009367294197214248,1311/0.0011841066573107621
393/0.0009330269318964389,82/0.0011782592170277461
60/0.0009317927692881103,2165/0.0011753354968862381
2386/0.0009280902814631244,2207/0.0011724117767447299
200/0.0009206853058131528,1044/0.0011694880566032219
197/0.0009182169805964955,1601/0.0011636406163202059
524/0.0009169828179881669,1651/0.0011636406163202059
2216/0.0009157486553798383,303/0.0011636406163202059
2372/0.0009157486553798383,836/0.0011607168961786979
103/0.0009145144927715096,1433/0.0011577931760371897
1276/0.000913280330163181,1624/0.0011577931760371897
2429/0.000913280330163181,846/0.0011577931760371897
1936/0.000913280330163181,1877/0.0011548694558956817
1236/0.0009095778423381951,2403/0.0011519457357541737
1164/0.0009095778423381951,572/0.0011490220156126657
426/0.0009095778423381951,404/0.0011490220156126657
1898/0.0009083436797298665,834/0.0011460982954711574
1060/0.0009058753545132093,401/0.0011431745753296494
1920/0.0009058753545132093,2432/0.0011402508551881414
15/0.000903407029296552,2356/0.0011344034149051252
355/0.000903407029296552,380/0.0011344034149051252
129/0.0009021728666882234,1837/0.0011285559746221092
61/0.0008997045414715661,959/0.0011256322544806012
2464/0.0008997045414715661,2249/0.001119784814197585
1500/0.0008997045414715661,2093/0.001119784814197585
2416/0.0008997045414715661,859/0.001116861094056077
135/0.0008947678910382516,2182/0.001116861094056077
1517/0.0008947678910382516,253/0.0011110136537730607
1733/0.0008947678910382516,2300/0.0011080899336315527
136/0.000893533728429923,2599/0.0011022424933485367
788/0.0008898312406049371,1193/0.0010993187732070285
275/0.000883660427563294,1356/0.0010993187732070285
487/0.0008811921023466367,186/0.0010993187732070285
792/0.0008787237771299795,732/0.0010993187732070285
2154/0.0008774896145216509,1906/0.0010905476127825045
965/0.0008774896145216509,1149/0.0010905476127825045
589/0.0008774896145216509,1513/0.0010876238926409965
289/0.0008774896145216509,1924/0.0010847001724994883
512/0.0008762554519133222,2392/0.0010847001724994883
762/0.0008750212893049937,1159/0.0010847001724994883
550/0.0008737871266966651,1056/0.0010847001724994883
223/0.0008713188014800078,2458/0.0010817764523579803
778/0.0008688504762633506,2373/0.0010788527322164723
201/0.0008663821510466933,2020/0.0010788527322164723
271/0.0008639138258300361,1372/0.0010788527322164723
1961/0.0008626796632217075,209/0.001070081571791948
1119/0.0008614455006133788,984/0.001070081571791948
1009/0.0008602113380050502,2522/0.00106715785165044
1305/0.0008602113380050502,2023/0.00106715785165044
2645/0.0008565088501800643,2014/0.001064234131508932
909/0.0008565088501800643,1191/0.0010613104113674238
2554/0.0008540405249634071,156/0.0010613104113674238
2124/0.0008540405249634071,1138/0.0010613104113674238
677/0.0008528063623550785,1579/0.0010583866912259158
1662/0.0008528063623550785,1262/0.0010583866912259158
2145/0.0008503380371384212,330/0.0010554629710844078
93/0.0008491038745300926,2312/0.0010525392509428998
2591/0.000847869711921764,775/0.0010496155308013916
5/0.0008466355493134353,218/0.0010466918106598836
2603/0.0008466355493134353,144/0.0010437680905183756
1321/0.0008454013867051067,522/0.0010408443703768676
1972/0.0008416988988801208,838/0.0010379206502353594
2144/0.0008416988988801208,2470/0.0010349969300938514
521/0.0008416988988801208,2133/0.0010349969300938514
265/0.0008404647362717922,644/0.0010320732099523434
86/0.0008392305736634636,518/0.0010320732099523434
41/0.000837996411055135,995/0.0010320732099523434
346/0.000837996411055135,1729/0.0010291494898108354
54/0.0008355280858384777,1529/0.0010291494898108354
2523/0.0008342939232301491,2143/0.0010262257696693272
392/0.0008330597606218204,630/0.0010262257696693272
219/0.0008305914354051632,491/0.0010262257696693272
199/0.0008293572727968346,1449/0.0010233020495278192
2224/0.000828123110188506,399/0.0010203783293863111
