i_doc,doc,Topic 1,Topic 2
65,acaratus,0.8571428571428571,0.14285714285714285
66,accounting,0.9183673469387755,0.08163265306122448
67,acecombat,0.8688524590163934,0.13114754098360656
68,acecombat04shatteredskies,0.8961748633879781,0.10382513661202186
69,acecombat2,0.8840579710144928,0.11594202898550725
70,acecombat3electrosphere,0.8524590163934426,0.14754098360655737
71,acecombat5theunsungwar,0.8707482993197279,0.1292517006802721
72,acecombat6firesofliberation,0.8839779005524862,0.11602209944751381
73,acecombat7skiesunknown,0.9038961038961039,0.09610389610389611
74,acecombatassaulthorizon,0.8618421052631579,0.13815789473684212
75,acecombatassaulthorizonlegacy,0.8857142857142857,0.11428571428571428
76,acecombatinfinity,0.9040404040404041,0.09595959595959595
77,acecombatjointassault,0.8507462686567164,0.14925373134328357
78,acecombatnorthernwings,0.875,0.125
79,acecombatxskiesofdeception,0.8921568627450981,0.10784313725490197
80,acecombatzerothebelkanwar,0.9007633587786259,0.09923664122137404
81,acefishing,0.9411764705882353,0.058823529411764705
82,aceonline,0.7938931297709924,0.20610687022900764
83,aceswildmanicbrawlingaction,0.75,0.25
84,achaea,0.9222222222222223,0.07777777777777778
85,achievementunlocked,0.9245283018867925,0.07547169811320754
86,aconcagua,1.0,0.0
87,acornstory,0.9375,0.0625
88,actofaggression,0.7741935483870968,0.22580645161290322
89,action52,0.9175824175824175,0.08241758241758242
90,actionfish,0.9047619047619048,0.09523809523809523
91,actionmax,0.0,1.0
92,adverbum,0.875,0.125
93,adr1ft,0.9166666666666666,0.08333333333333333
94,advancedvariablegeo,0.9423076923076923,0.057692307692307696
95,adventrising,0.8307692307692308,0.16923076923076924
96,adventure,0.9393939393939394,0.06060606060606061
97,adventureaplanetofdeath,0.9090909090909091,0.09090909090909091
98,adventureallinthegame,0.9375,0.0625
99,adventurebincacurse,0.8181818181818182,0.18181818181818182
100,adventurecshipofdoom,0.8235294117647058,0.17647058823529413
101,adventurefunpak,0.6666666666666666,0.3333333333333333
102,adventureisland,0.927710843373494,0.07228915662650602
103,adventurequest3d,0.9072164948453608,0.09278350515463918
104,adventurestory,0.7741935483870968,0.22580645161290322
105,adventuretheinsidejob,0.8888888888888888,0.1111111111111111
106,adventurewelcometothegenre,0.9375,0.0625
107,adventuresinthegalaxyoffantabulouswonderment,0.9655172413793104,0.034482758620689655
108,adventuresinthemagickingdom,0.7777777777777778,0.2222222222222222
109,adventuresofdinoriki,0.7692307692307693,0.23076923076923078
110,adventuresoflolo,0.8823529411764706,0.11764705882352941
111,adventuresofpip,0.875,0.125
112,adventuresoftron,0.5,0.5
113,adventurestogo,0.9565217391304348,0.043478260869565216
114,adventureswithanxiety,0.9154929577464789,0.08450704225352113
115,aegisofearthprotonovusassault,0.6363636363636364,0.36363636363636365
116,aegiswing,0.7,0.3
117,aeondrive,0.6,0.4
118,aerofighters,0.8625,0.1375
119,aerotheacrobat,0.8709677419354839,0.12903225806451613
120,aerobiz,0.7727272727272727,0.22727272727272727
121,aeternoblade,0.9210526315789473,0.07894736842105263
122,aetherion,0.972972972972973,0.02702702702702703
123,aetolia,0.9333333333333333,0.06666666666666667
124,affordablespaceadventures,0.8571428571428571,0.14285714285714285
125,afrikakorpsvsdesertrats,0.75,0.25
126,afterarmageddongaiden,0.8936170212765957,0.10638297872340426
127,afterburner,0.7666666666666667,0.23333333333333334
128,afterimetthatcatgirlmyquestlistgottoolong,0.8888888888888888,0.1111111111111111
129,afterprotocol,0.8,0.2
130,afterfallinsanity,0.8181818181818182,0.18181818181818182
131,afterlife1996,0.8823529411764706,0.11764705882352941
132,afterparty,0.9361702127659575,0.06382978723404255
133,agarestsenkimarriage,0.88,0.12
134,agario,1.0,0.0
135,ageofbarbarian,0.8787878787878788,0.12121212121212122
136,ageofconan,0.9130434782608695,0.08695652173913043
137,ageofempiresiv,0.8108108108108109,0.1891891891891892
138,ageofwonders,0.8771929824561403,0.12280701754385964
139,ageofwonders3,0.8583333333333333,0.14166666666666666
140,agenta,0.9361702127659575,0.06382978723404255
141,agentarmstrong,0.75,0.25
142,agentsofmayhem,0.8978102189781022,0.10218978102189781
