i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4
29,batmantheanimatedseries,0.11067809820732658,0.45518316445830087,0.426344505066251,0.00779423226812159
30,negimamagisternegimagi,0.11867088607594936,0.39082278481012656,0.4754746835443038,0.015031645569620253
31,thelegendofkorra,0.10436893203883495,0.43851132686084143,0.4449838187702265,0.012135922330097087
32,mysterysciencetheater3000,0.1430781129156999,0.44779582366589327,0.3990719257540603,0.010054137664346482
33,yugioh,0.09442724458204334,0.44891640866873067,0.44040247678018574,0.016253869969040248
34,adventuretime,0.11464968152866242,0.40923566878980894,0.464171974522293,0.01194267515923567
35,battlestargalactica2003,0.11936560934891485,0.44574290484140233,0.41819699499165275,0.01669449081803005
36,gravityfalls,0.11620553359683794,0.4442687747035573,0.4324110671936759,0.0071146245059288534
37,saturdaynightlive,0.14676616915422885,0.4461028192371476,0.4046434494195688,0.0024875621890547263
38,ncis,0.11690496215306981,0.48444070647603027,0.39444911690496215,0.004205214465937763
39,thexfiles,0.12550937245313773,0.4311328443357783,0.43357783211083945,0.009779951100244499
40,howimetyourmother,0.11811722912966252,0.4928952042628774,0.3845470692717584,0.004440497335701598
41,friends,0.11695376246600181,0.4605621033544878,0.42067089755213055,0.001813236627379873
42,ranmaonehalf,0.10526315789473684,0.41256366723259763,0.47283531409168084,0.00933786078098472
43,kingofthehill,0.1240506329113924,0.4860759493670886,0.3881856540084388,0.0016877637130801688
44,kimpossible,0.1328847771236333,0.4272497897392767,0.4306139613120269,0.009251471825063078
45,justiceleague,0.11551433389544688,0.43676222596964587,0.43844856661045534,0.00927487352445194
46,scrubs,0.11600719424460432,0.49010791366906475,0.3902877697841727,0.0035971223021582736
47,reddwarf,0.127838519764508,0.4373423044575273,0.4255677039529016,0.009251471825063078
48,community,0.12216404886561955,0.4781849912739965,0.39528795811518325,0.004363001745200698
49,fairytail,0.11237928007023705,0.3994732221246708,0.47673397717295873,0.01141352063213345
50,thefairlyoddparents,0.12943116240725475,0.42868920032976093,0.43940643033800497,0.00247320692497939
51,gargoyles,0.10829694323144105,0.45065502183406114,0.4314410480349345,0.00960698689956332
52,americandad,0.15126050420168066,0.419327731092437,0.4176470588235294,0.011764705882352941
53,theventurebrothers,0.13143872113676733,0.4493783303730018,0.41207815275310833,0.007104795737122558
54,smallville,0.11301989150090416,0.4376130198915009,0.43670886075949367,0.012658227848101266
