i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
9185,thespanishprincess,0.36792452830188677,0.009433962264150943,0.5094339622641509,0.03773584905660377,0.009433962264150943,0.0,0.0660377358490566
9186,thesparticlemystery,0.18,0.02,0.52,0.2,0.02,0.02,0.04
9187,thespoilsofbabylon,0.26153846153846155,0.07692307692307693,0.49230769230769234,0.09230769230769231,0.015384615384615385,0.0,0.06153846153846154
9188,thesproutsharingshow,0.15,0.25,0.2,0.15,0.15,0.05,0.05
9189,thestand2020,0.1987179487179487,0.02564102564102564,0.5384615384615384,0.11538461538461539,0.07051282051282051,0.02564102564102564,0.02564102564102564
9190,thestanleydynamic,0.3389830508474576,0.01694915254237288,0.5084745762711864,0.03389830508474576,0.05084745762711865,0.01694915254237288,0.03389830508474576
9191,thestarlost,0.08,0.08,0.42,0.1,0.22,0.1,0.0
9192,thestate,0.3482142857142857,0.09821428571428571,0.4642857142857143,0.044642857142857144,0.03571428571428571,0.008928571428571428,0.0
9193,thestatewithin,0.125,0.041666666666666664,0.5416666666666666,0.16666666666666666,0.125,0.0,0.0
9194,thesteamvideocompany,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.0,0.0,0.0,0.09090909090909091
9195,thesteveallenshow,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0
9196,thesteveharveyshow,0.37037037037037035,0.07407407407407407,0.42592592592592593,0.07407407407407407,0.018518518518518517,0.0,0.037037037037037035
9197,thestevewilkosshow,0.3619047619047619,0.047619047619047616,0.5714285714285714,0.01904761904761905,0.0,0.0,0.0
9198,thestoryofminglan,0.16666666666666666,0.0,0.25,0.16666666666666666,0.0,0.0,0.4166666666666667
9199,thestoryoftracybeaker,0.42105263157894735,0.039473684210526314,0.3815789473684211,0.11842105263157894,0.02631578947368421,0.0,0.013157894736842105
9200,thestoryteller,0.2677165354330709,0.015748031496062992,0.5039370078740157,0.08661417322834646,0.09448818897637795,0.015748031496062992,0.015748031496062992
9201,thestraintvseries,0.25161290322580643,0.03225806451612903,0.45806451612903226,0.14193548387096774,0.0967741935483871,0.012903225806451613,0.0064516129032258064
9202,thestraits,0.17391304347826086,0.043478260869565216,0.6086956521739131,0.043478260869565216,0.0,0.0,0.13043478260869565
