Topic 1,Topic 2
576/0.0014857691755914696,1695/0.004206149103205993
1663/0.0014845216783827447,357/0.004146402667080908
292/0.0014757891979216696,1734/0.00397911264593067
1728/0.0014720467062954946,2516/0.003967163358705653
312/0.0014683042146693198,1999/0.003919366209805585
1404/0.0014545817453733448,1555/0.003895467635355551
1193/0.0014458492649122698,947/0.0038357211992304657
363/0.0014421067732860947,2604/0.0038357211992304657
1888/0.001429631801198845,2400/0.0037998733375554147
812/0.0014233943151552198,2340/0.0037879240503303976
351/0.0014233943151552198,937/0.0037042790397552785
2099/0.0014221468179464948,673/0.0036803804653052444
2358/0.00141091934306797,481/0.0036445326036301934
486/0.00141091934306797,2315/0.0036086847419551423
1176/0.00141091934306797,1135/0.0035847861675051083
902/0.001409671845859245,2292/0.003548938305830057
381/0.00140093936539817,1366/0.003513090444155006
1158/0.00138846439331092,2651/0.003465293295254938
99/0.00138596939889347,1493/0.003453344008029921
1797/0.00137848441564112,892/0.003429445433579887
2674/0.00137598942122367,1851/0.003429445433579887
535/0.00137099943238877,1595/0.00341749614635487
1978/0.00135852446030152,1856/0.00341749614635487
1461/0.0013460494882142702,695/0.00341749614635487
1632/0.0013410594993793702,298/0.003393597571904836
1052/0.0013385645049619201,2444/0.003393597571904836
226/0.0013260895328746703,721/0.003381648284679819
1111/0.0013173570524135953,1809/0.003321901848554734
1231/0.0013111195663699702,1620/0.0032980032741046997
1535/0.0013098720691612452,984/0.0032741046996546657
1554/0.0013011395887001702,1534/0.0032024089763045636
408/0.0012986445942827203,639/0.0031904596890795466
514/0.0012961495998652702,1093/0.0031546118274044955
581/0.0012886646166129204,2300/0.0031307132529544614
46/0.0012736946501082204,1631/0.003047068242379342
2413/0.0012736946501082204,2164/0.003011220380704291
1219/0.0012724471528994955,2087/0.0029873218062542567
735/0.0012724471528994955,1474/0.0029873218062542567
77/0.0012711996556907703,1540/0.0028917275084541206
671/0.0012699521584820454,1154/0.0028439303595540525
38/0.0012637146724384205,2339/0.0028319810723290355
522/0.0012624671752296955,2273/0.0028200317851040184
264/0.0012612196780209704,364/0.0027841839234289674
1375/0.0012487447059337205,550/0.0027841839234289674
179/0.0012474972087249954,1252/0.0027722346362039504
2411/0.0012400122254726455,307/0.0027363867745288993
819/0.0012337747394290206,1169/0.002676640338403814
768/0.0012262897561766705,975/0.002664691051178797
866/0.0012237947617592206,2290/0.002664691051178797
2088/0.0012150622812981456,1257/0.002640792476728763
765/0.0011963498231672707,777/0.002604944615053712
1478/0.0011876173427061956,1271/0.002604944615053712
59/0.0011851223482887458,2492/0.002569096753378661
440/0.0011813798566625707,914/0.002569096753378661
239/0.0011801323594538458,1300/0.002569096753378661
2650/0.0011738948734102206,1462/0.002557147466153644
1796/0.0011713998789927708,948/0.002521299604478593
1781/0.0011713998789927708,560/0.002509350317253576
1976/0.0011676573873665957,2372/0.0024376545939034737
555/0.0011614199013229708,870/0.0024376545939034737
475/0.0011576774096967958,443/0.0024376545939034737
2019/0.0011576774096967958,2478/0.0024018067322284227
2536/0.0011526874208618958,441/0.0024018067322284227
236/0.0011514399236531709,1113/0.0023898574450034057
168/0.0011514399236531709,397/0.0023779081577783886
20/0.001150192426444446,1659/0.0023779081577783886
2183/0.001145202437609546,761/0.0023659588705533716
745/0.001141459945983371,2076/0.0023181617216533035
631/0.001140212448774646,1157/0.0022703645727532354
