Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
2110/0.0048040994982384965,,1036/0.004350118639599262,,1125/0.005064102564102564,,1976/0.004389402727700266,,1445/0.00440713536201469,,,,2658/0.002976781107362572,,1200/0.0029154518950437317,1402/0.003368947925690634,,2751/0.0019094091439482337,2698/0.0036730945821854912,2621/0.0031343868355752907,,,,,,,1298/0.0033498397902709002,,,
2104/0.004750720614924736,,1695/0.004218296862641709,,1853/0.004957264957264958,,1335/0.004337147933322882,,2017/0.00440713536201469,,,,634/0.002877555070450486,,1372/0.0029154518950437317,1804/0.003368947925690634,,2057/0.0019094091439482337,22/0.0036730945821854912,2883/0.002873187932610683,,,,,,,2409/0.0033498397902709002,,,
2029/0.004590583964983452,,120/0.004086475085684155,,2162/0.004957264957264958,,2156/0.004337147933322882,,584/0.004354669464847849,,,,924/0.002877555070450486,,2865/0.0029154518950437317,2035/0.0032726922706709017,,1801/0.0019094091439482337,2843/0.0036730945821854912,408/0.002742588481128379,,,,,,,2799/0.0033498397902709002,,,
2054/0.004537205081669692,,1352/0.004086475085684155,,1676/0.004935897435897436,,1999/0.004337147933322882,,56/0.004354669464847849,,,,352/0.002877555070450486,,467/0.0029154518950437317,920/0.003080180960631437,,1669/0.0019094091439482337,2608/0.0036730945821854912,2505/0.002742588481128379,,,,,,,2114/0.003204194581998252,,,
2173/0.004377068431728408,,2475/0.004086475085684155,,277/0.004914529914529914,,2640/0.004284893138945498,,840/0.004197271773347324,,,,2613/0.002877555070450486,,863/0.0029154518950437317,1598/0.003080180960631437,,1374/0.0019094091439482337,104/0.003443526170798898,1211/0.002742588481128379,,,,,,,2136/0.003204194581998252,,,
2515/0.004377068431728408,,1379/0.004086475085684155,,1524/0.004893162393162393,,782/0.004128128755813346,,1615/0.004197271773347324,,,,873/0.0027783290335384003,,1120/0.0029154518950437317,2860/0.003080180960631437,,1206/0.0019094091439482337,1773/0.003443526170798898,928/0.002350790126681468,,,,,,,2116/0.003204194581998252,,,
1249/0.004270310665100886,,2970/0.004086475085684155,,1600/0.004893162393162393,,2997/0.004128128755813346,,985/0.0040398740818468,,,,2337/0.0027783290335384003,,2386/0.002551020408163265,1169/0.002983925305611705,,2841/0.0015911742866235282,1013/0.003443526170798898,2501/0.0022201906751991643,,,,,,,1297/0.0030585493737256045,,,
1191/0.004270310665100886,,1412/0.003954653308726601,,487/0.004764957264957265,,2893/0.004128128755813346,,130/0.003987408184679958,,,,2541/0.0027783290335384003,,567/0.002551020408163265,806/0.002983925305611705,,1922/0.0015911742866235282,2003/0.003443526170798898,1448/0.0022201906751991643,,,,,,,989/0.0030585493737256045,,,
1771/0.004270310665100886,,434/0.003954653308726601,,2089/0.0044444444444444444,,799/0.004128128755813346,,2695/0.003882476390346275,,,,1980/0.0027783290335384003,,345/0.002551020408163265,397/0.0028876696505919725,,2506/0.0012729394292988225,2344/0.003443526170798898,2521/0.0022201906751991643,,,,,,,2180/0.0030585493737256045,,,
1964/0.004163552898473364,,1016/0.003822831531769048,,672/0.004423076923076923,,1082/0.004075873961435962,,2455/0.0038300104931794335,,,,461/0.002679102996626315,,1702/0.002551020408163265,1529/0.0028876696505919725,,2651/0.0012729394292988225,1795/0.0032139577594123047,2674/0.0020895912237168606,,,,,,,2578/0.0030585493737256045,,,
744/0.004163552898473364,,2407/0.003822831531769048,,1732/0.004423076923076923,,2160/0.003971364372681194,,856/0.0038300104931794335,,,,734/0.002579876959714229,,173/0.002551020408163265,1139/0.0028876696505919725,,2910/0.0012729394292988225,262/0.0032139577594123047,2659/0.0020895912237168606,,,,,,,2802/0.0030585493737256045,,,
2093/0.00400341624853208,,1482/0.003822831531769048,,195/0.004401709401709402,,2076/0.003971364372681194,,521/0.0038300104931794335,,,,2225/0.002579876959714229,,2906/0.0023688046647230322,2857/0.0028876696505919725,,1904/0.0004243131430996075,1292/0.0032139577594123047,732/0.0020895912237168606,,,,,,,2736/0.0030585493737256045,,,
2561/0.00395003736521832,,1697/0.003822831531769048,,1113/0.004401709401709402,,460/0.003971364372681194,,1834/0.003515215110178384,,,,3018/0.002579876959714229,,1437/0.0023688046647230322,968/0.002502647030513043,,2854/0.0004243131430996075,2707/0.0032139577594123047,2170/0.0019589917722345565,,,,,,,1691/0.0029129041654529565,,,
1829/0.00395003736521832,,2356/0.003691009754811495,,2123/0.004401709401709402,,2741/0.003919109578303809,,724/0.003515215110178384,,,,1083/0.0024806509228021433,,1955/0.0023688046647230322,1545/0.002502647030513043,,,1951/0.0032139577594123047,2983/0.0018283923207522527,,,,,,,1220/0.0029129041654529565,,,
2346/0.00395003736521832,,47/0.003691009754811495,,1591/0.004358974358974359,,1386/0.003919109578303809,,3002/0.003410283315844701,,,,2266/0.0024806509228021433,,1447/0.0023688046647230322,2668/0.0024063913754933104,,,1489/0.0032139577594123047,1187/0.0018283923207522527,,,,,,,2574/0.002767258957180309,,,
2892/0.00395003736521832,,320/0.0035591879778539416,,404/0.004337606837606838,,2432/0.003919109578303809,,2439/0.0033053515215110177,,,,1703/0.0023814248858900575,,2557/0.0023688046647230322,2479/0.002310135720473578,,,1288/0.0029843893480257116,1959/0.0018283923207522527,,,,,,,2514/0.0026216137489076608,,,
1745/0.00395003736521832,,247/0.0035591879778539416,,981/0.004294871794871795,,2724/0.0038668547839264254,,658/0.0032528856243441762,,,,1997/0.0023814248858900575,,505/0.0023688046647230322,2218/0.002117624410434113,,,456/0.0029843893480257116,2742/0.001697792869269949,,,,,,,1421/0.0026216137489076608,,,
421/0.00395003736521832,,1006/0.0035591879778539416,,814/0.004252136752136752,,2755/0.003814599989549041,,2464/0.0032004197271773348,,,,2900/0.002182972812065886,,1093/0.002186588921282799,1147/0.002117624410434113,,,1318/0.0029843893480257116,2068/0.0015671934177876453,,,,,,,1963/0.0026216137489076608,,,
1789/0.0038966584819045587,,2710/0.0035591879778539416,,2039/0.004230769230769231,,649/0.003710090400794273,,2925/0.002938090241343127,,,,2050/0.0020837467751538006,,2625/0.002186588921282799,128/0.002117624410434113,,,2197/0.0027548209366391185,2254/0.0014365939663053414,,,,,,,2099/0.0026216137489076608,,,
2368/0.0037899007152770365,,1931/0.003427366200896388,,2914/0.004230769230769231,,1133/0.003710090400794273,,66/0.002833158447009444,,,,934/0.001885294701329629,,1608/0.002186588921282799,2303/0.0017326017903551833,,,2808/0.0027548209366391185,2282/0.0014365939663053414,,,,,,,859/0.002475968540635013,,,
2558/0.0037899007152770365,,103/0.003427366200896388,,854/0.004209401709401709,,1660/0.003710090400794273,,2985/0.002833158447009444,,,,1693/0.0016868426275054573,,929/0.0020043731778425656,2913/0.0013475791702762538,,,737/0.0027548209366391185,1883/0.0010447956118584303,,,,,,,827/0.002475968540635013,,,
2012/0.003736521831963275,,2520/0.003427366200896388,,1267/0.004209401709401709,,1832/0.003710090400794273,,3021/0.002833158447009444,,,,1982/0.0016868426275054573,,1124/0.0020043731778425656,1426/0.0012513235152565214,,,53/0.0027548209366391185,2975/0.0009141961603761264,,,,,,,2938/0.002475968540635013,,,
833/0.003629764065335753,,1544/0.003427366200896388,,2618/0.004145299145299145,,2340/0.003710090400794273,,2011/0.002833158447009444,,,,2748/0.001488390553681286,,2822/0.0020043731778425656,2100/0.001155067860236789,,,1176/0.0027548209366391185,2636/0.0007835967088938227,,,,,,,2650/0.002330323332362365,,,
202/0.003629764065335753,,2422/0.0032955444239388346,,848/0.004145299145299145,,771/0.003657835606416889,,1894/0.002675760755508919,,,,2341/0.0008930343322087716,,1631/0.0020043731778425656,2234/0.0008663008951775916,,,2687/0.0027548209366391185,2448/0.0007835967088938227,,,,,,,1537/0.002330323332362365,,,
148/0.003523006298708231,,3008/0.0032955444239388346,,1798/0.004017094017094017,,424/0.003605580812039505,,2763/0.002570828961175236,,,,2743/0.0006945822583846001,,1839/0.0020043731778425656,2904/0.0008663008951775916,,,2896/0.0027548209366391185,546/0.0007835967088938227,,,,,,,2511/0.002330323332362365,,,
327/0.003523006298708231,,2065/0.0032955444239388346,,916/0.004017094017094017,,1285/0.003605580812039505,,2384/0.002570828961175236,,,,,,852/0.0020043731778425656,2251/0.0008663008951775916,,,1659/0.0025252525252525255,1625/0.0007835967088938227,,,,,,,942/0.002330323332362365,,,
1390/0.003523006298708231,,1195/0.0032955444239388346,,1987/0.003931623931623932,,2529/0.0035533260176621203,,767/0.0014690451206715634,,,,,,2936/0.0018221574344023323,1070/0.0008663008951775916,,,2186/0.0025252525252525255,2177/0.0007835967088938227,,,,,,,2688/0.002330323332362365,,,
847/0.003523006298708231,,1263/0.0032955444239388346,,2323/0.003931623931623932,,710/0.0035533260176621203,,962/0.0012591815320041973,,,,,,2058/0.0018221574344023323,,,,991/0.0025252525252525255,1504/0.0007835967088938227,,,,,,,2880/0.0021846781240897175,,,
1024/0.0034162485320807087,,2830/0.0032955444239388346,,678/0.0038675213675213676,,205/0.0035533260176621203,,917/0.001049317943336831,,,,,,591/0.0018221574344023323,,,,1306/0.0025252525252525255,1550/0.0002611989029646076,,,,,,,2392/0.0021846781240897175,,,
363/0.003362869648766948,,839/0.0032955444239388346,,160/0.0038675213675213676,,1530/0.0033965616345299683,,1575/0.0006820566631689402,,,,,,765/0.0018221574344023323,,,,2411/0.002295684113865932,969/0.0002611989029646076,,,,,,,2124/0.0021846781240897175,,,
2565/0.003362869648766948,,2275/0.0032955444239388346,,1243/0.0038675213675213676,,831/0.003344306840152584,,,,,,,,629/0.0018221574344023323,,,,2891/0.002295684113865932,1492/0.0002611989029646076,,,,,,,1824/0.0021846781240897175,,,
2895/0.0032027329988256648,,1946/0.003031900870023728,,2536/0.0038247863247863247,,576/0.003344306840152584,,,,,,,,2233/0.0018221574344023323,,,,504/0.002295684113865932,2815/0.0002611989029646076,,,,,,,1823/0.00203903291581707,,,
2002/0.0031493541155119035,,2596/0.003031900870023728,,1992/0.0038034188034188035,,2809/0.003344306840152584,,,,,,,,2886/0.0018221574344023323,,,,2797/0.002295684113865932,,,,,,,,803/0.00203903291581707,,,
777/0.0030425963488843813,,1707/0.003031900870023728,,414/0.0038034188034188035,,2399/0.003344306840152584,,,,,,,,1380/0.0016399416909620992,,,,2723/0.002295684113865932,,,,,,,,1765/0.00203903291581707,,,
2770/0.0030425963488843813,,2367/0.003031900870023728,,1042/0.0036752136752136754,,2643/0.003344306840152584,,,,,,,,2616/0.0014577259475218659,,,,2278/0.002066115702479339,,,,,,,,2463/0.00203903291581707,,,
2805/0.0030425963488843813,,2418/0.0029000790930661744,,1500/0.0036324786324786326,,1774/0.0032920520457751998,,,,,,,,1378/0.0014577259475218659,,,,752/0.002066115702479339,,,,,,,,1836/0.00203903291581707,,,
1219/0.002935838582256859,,2611/0.0029000790930661744,,2912/0.0036324786324786326,,2885/0.0032920520457751998,,,,,,,,1663/0.0012755102040816326,,,,2701/0.002066115702479339,,,,,,,,2965/0.0018933877075444218,,,
2792/0.0025621863990605317,,1761/0.0029000790930661744,,1671/0.0035897435897435897,,2915/0.0032920520457751998,,,,,,,,1741/0.0012755102040816326,,,,2766/0.002066115702479339,,,,,,,,2458/0.0018933877075444218,,,
2844/0.0025621863990605317,,878/0.0029000790930661744,,2831/0.0035683760683760685,,866/0.0032397972513978157,,,,,,,,321/0.0012755102040816326,,,,2261/0.002066115702479339,,,,,,,,2231/0.0018933877075444218,,,
1193/0.0025088075157467704,,1737/0.002768257316108621,,333/0.0034615384615384616,,2257/0.0032397972513978157,,,,,,,,2081/0.0012755102040816326,,,,2438/0.0018365472910927456,,,,,,,,1944/0.001747742499271774,,,
1355/0.0025088075157467704,,1414/0.002768257316108621,,1866/0.0034615384615384616,,2473/0.0031875424570204317,,,,,,,,2813/0.0010932944606413995,,,,40/0.0018365472910927456,,,,,,,,685/0.001747742499271774,,,
1300/0.0025088075157467704,,206/0.002768257316108621,,972/0.00344017094017094,,2364/0.0031352876626430477,,,,,,,,2391/0.0010932944606413995,,,,1861/0.0016069788797061523,,,,,,,,2121/0.001747742499271774,,,
2603/0.0024554286324330096,,986/0.002636435539151068,,2181/0.003418803418803419,,1092/0.0030830328682656632,,,,,,,,2919/0.0010932944606413995,,,,2589/0.0016069788797061523,,,,,,,,1661/0.001747742499271774,,,
1259/0.0024020497491192483,,485/0.002636435539151068,,1461/0.003311965811965812,,709/0.003030778073888279,,,,,,,,2920/0.0010932944606413995,,,,2987/0.0016069788797061523,,,,,,,,582/0.001747742499271774,,,
2931/0.0024020497491192483,,1831/0.002636435539151068,,2433/0.0032905982905982907,,1502/0.003030778073888279,,,,,,,,2265/0.0010932944606413995,,,,337/0.0013774104683195593,,,,,,,,2524/0.001602097290999126,,,
1420/0.0024020497491192483,,1647/0.002504613762193514,,1509/0.0032905982905982907,,2402/0.003030778073888279,,,,,,,,1017/0.0010932944606413995,,,,515/0.0013774104683195593,,,,,,,,2998/0.0013108068744538304,,,
1148/0.002188534215864204,,1811/0.002504613762193514,,809/0.003247863247863248,,2462/0.002978523279510895,,,,,,,,1239/0.0010932944606413995,,,,1323/0.0013774104683195593,,,,,,,,2004/0.0013108068744538304,,,
550/0.002188534215864204,,1778/0.002504613762193514,,519/0.003247863247863248,,640/0.002978523279510895,,,,,,,,2888/0.0010932944606413995,,,,2201/0.0013774104683195593,,,,,,,,1470/0.0013108068744538304,,,
2027/0.002188534215864204,,2415/0.002504613762193514,,586/0.003205128205128205,,1590/0.002926268485133511,,,,,,,,1807/0.0010932944606413995,,,,2242/0.0006887052341597796,,,,,,,,1156/0.0013108068744538304,,,
1561/0.002081776449236682,,1687/0.002504613762193514,,2509/0.003183760683760684,,601/0.002926268485133511,,,,,,,,607/0.0010932944606413995,,,,2971/0.0006887052341597796,,,,,,,,1236/0.0013108068744538304,,,
251/0.002028397565922921,,2209/0.002504613762193514,,1555/0.003141025641025641,,2020/0.0028740136907561267,,,,,,,,399/0.0010932944606413995,,,,107/0.0006887052341597796,,,,,,,,2000/0.001019516457908535,,,
1744/0.0019216397992953987,,1152/0.002504613762193514,,2716/0.003098290598290598,,926/0.0028740136907561267,,,,,,,,2819/0.0010932944606413995,,,,2861/0.0006887052341597796,,,,,,,,2298/0.000873871249635887,,,
2554/0.0017081242660403543,,683/0.0019773266543633007,,1281/0.003076923076923077,,2295/0.0028217588963787427,,,,,,,,2007/0.0010932944606413995,,,,1065/0.0006887052341597796,,,,,,,,2072/0.0007282260413632391,,,
1674/0.0014946087327853102,,2420/0.0019773266543633007,,1718/0.003012820512820513,,2494/0.0028217588963787427,,,,,,,,2044/0.0009110787172011661,,,,1351/0.0006887052341597796,,,,,,,,1451/0.0007282260413632391,,,
1906/0.0014946087327853102,,2832/0.0019773266543633007,,109/0.003012820512820513,,2087/0.0028217588963787427,,,,,,,,998/0.0009110787172011661,,,,1743/0.0006887052341597796,,,,,,,,1639/0.00029129041654529564,,,
872/0.0014412298494715491,,2842/0.0018455048774057474,,1534/0.0029914529914529917,,2980/0.0028217588963787427,,,,,,,,1007/0.0009110787172011661,,,,276/0.0006887052341597796,,,,,,,,2637/0.00029129041654529564,,,
2363/0.0014412298494715491,,2629/0.001713683100448194,,1511/0.00297008547008547,,788/0.0027695041020013586,,,,,,,,2702/0.0009110787172011661,,,,798/0.0006887052341597796,,,,,,,,,,,
2714/0.0014412298494715491,,2001/0.001713683100448194,,1011/0.002948717948717949,,895/0.0027695041020013586,,,,,,,,1546/0.0005466472303206997,,,,450/0.0006887052341597796,,,,,,,,,,,
1719/0.0014412298494715491,,1954/0.0015818613234906407,,2685/0.002927350427350427,,2916/0.0027695041020013586,,,,,,,,1496/0.00018221574344023323,,,,2934/0.0006887052341597796,,,,,,,,,,,
2436/0.0011743354329027437,,1842/0.0015818613234906407,,2041/0.002841880341880342,,123/0.0027695041020013586,,,,,,,,1604/0.00018221574344023323,,,,1612/0.0002295684113865932,,,,,,,,,,,
954/0.0010141987829614604,,1415/0.0014500395465330872,,242/0.0028205128205128207,,3015/0.0027695041020013586,,,,,,,,1204/0.00018221574344023323,,,,2184/0.0002295684113865932,,,,,,,,,,,
1852/0.0010141987829614604,,813/0.0014500395465330872,,1314/0.002799145299145299,,2705/0.0027695041020013586,,,,,,,,1766/0.00018221574344023323,,,,2523/0.0002295684113865932,,,,,,,,,,,
2712/0.0010141987829614604,,188/0.0014500395465330872,,1617/0.002799145299145299,,1694/0.0027172493076239746,,,,,,,,1818/0.00018221574344023323,,,,1819/0.0002295684113865932,,,,,,,,,,,
2583/0.0009074410163339383,,2312/0.0014500395465330872,,2593/0.002799145299145299,,918/0.0026649945132465906,,,,,,,,2759/0.00018221574344023323,,,,2169/0.0002295684113865932,,,,,,,,,,,
2559/0.0008540621330201772,,1847/0.0011863959926179805,,503/0.002799145299145299,,204/0.002612739718869206,,,,,,,,2721/0.00018221574344023323,,,,,,,,,,,,,,,
1054/0.0008540621330201772,,1376/0.0010545742156604272,,2260/0.002799145299145299,,2718/0.002612739718869206,,,,,,,,2849/0.00018221574344023323,,,,,,,,,,,,,,,
747/0.0006405465997651329,,2775/0.0010545742156604272,,538/0.002735042735042735,,1641/0.002560484924491822,,,,,,,,283/0.00018221574344023323,,,,,,,,,,,,,,,
,,2576/0.0010545742156604272,,1052/0.002564102564102564,,2769/0.002560484924491822,,,,,,,,1684/0.00018221574344023323,,,,,,,,,,,,,,,
,,2354/0.0010545742156604272,,61/0.002542735042735043,,1128/0.002455975335737054,,,,,,,,999/0.00018221574344023323,,,,,,,,,,,,,,,
,,2839/0.0010545742156604272,,1503/0.0023504273504273503,,1391/0.002455975335737054,,,,,,,,1028/0.00018221574344023323,,,,,,,,,,,,,,,
,,2388/0.0010545742156604272,,632/0.0022863247863247863,,599/0.0024037205413596696,,,,,,,,575/0.00018221574344023323,,,,,,,,,,,,,,,
,,2310/0.0010545742156604272,,1941/0.002264957264957265,,1064/0.0024037205413596696,,,,,,,,2336/0.00018221574344023323,,,,,,,,,,,,,,,
,,2964/0.0010545742156604272,,1074/0.0022222222222222222,,2825/0.0024037205413596696,,,,,,,,1135/0.00018221574344023323,,,,,,,,,,,,,,,
,,2605/0.0010545742156604272,,1678/0.0021794871794871794,,1714/0.0023514657469822856,,,,,,,,2488/0.00018221574344023323,,,,,,,,,,,,,,,
,,1988/0.0009227524387028737,,779/0.0021794871794871794,,1057/0.0023514657469822856,,,,,,,,1588/0.00018221574344023323,,,,,,,,,,,,,,,
,,822/0.0009227524387028737,,1620/0.002158119658119658,,2734/0.0023514657469822856,,,,,,,,,,,,,,,,,,,,,,,
,,778/0.0009227524387028737,,2859/0.00202991452991453,,2838/0.0023514657469822856,,,,,,,,,,,,,,,,,,,,,,,
,,1742/0.000659108884787767,,2543/0.0020085470085470084,,1748/0.0023514657469822856,,,,,,,,,,,,,,,,,,,,,,,
,,2360/0.000659108884787767,,1677/0.0019017094017094018,,1458/0.0023514657469822856,,,,,,,,,,,,,,,,,,,,,,,
,,2106/0.000659108884787767,,2546/0.0017735042735042734,,2155/0.0022992109526049015,,,,,,,,,,,,,,,,,,,,,,,
,,1993/0.000659108884787767,,2304/0.0017307692307692308,,870/0.0022992109526049015,,,,,,,,,,,,,,,,,,,,,,,
,,2778/0.000659108884787767,,1592/0.001623931623931624,,1882/0.0022992109526049015,,,,,,,,,,,,,,,,,,,,,,,
,,2150/0.000659108884787767,,1034/0.0015384615384615385,,1481/0.0022469561582275175,,,,,,,,,,,,,,,,,,,,,,,
,,2666/0.000659108884787767,,1653/0.0015384615384615385,,1960/0.0022469561582275175,,,,,,,,,,,,,,,,,,,,,,,
,,1942/0.000659108884787767,,1854/0.0012606837606837606,,2828/0.0022469561582275175,,,,,,,,,,,,,,,,,,,,,,,
,,2899/0.0005272871078302136,,2878/0.0012393162393162394,,2704/0.002194701363850133,,,,,,,,,,,,,,,,,,,,,,,
,,2353/0.0005272871078302136,,2947/0.0010897435897435897,,2717/0.002090191775095365,,,,,,,,,,,,,,,,,,,,,,,
,,2627/0.0005272871078302136,,2870/0.0009401709401709402,,1094/0.002037936980717981,,,,,,,,,,,,,,,,,,,,,,,
,,1956/0.0005272871078302136,,2894/0.0009401709401709402,,2034/0.002037936980717981,,,,,,,,,,,,,,,,,,,,,,,
,,2198/0.0005272871078302136,,2961/0.0007692307692307692,,1921/0.002037936980717981,,,,,,,,,,,,,,,,,,,,,,,
,,2699/0.0005272871078302136,,1215/0.000641025641025641,,1283/0.002037936980717981,,,,,,,,,,,,,,,,,,,,,,,
,,1491/0.0005272871078302136,,3011/0.0004487179487179487,,768/0.001985682186340597,,,,,,,,,,,,,,,,,,,,,,,
,,2739/0.0005272871078302136,,1618/0.00014957264957264957,,2730/0.0018811725975858284,,,,,,,,,,,,,,,,,,,,,,,
,,230/0.0005272871078302136,,1928/0.00014957264957264957,,2163/0.0017766630088310602,,,,,,,,,,,,,,,,,,,,,,,
,,1542/0.0005272871078302136,,,,2553/0.001672153420076292,,,,,,,,,,,,,,,,,,,,,,,
,,436/0.0002636435539151068,,,,2874/0.0016198986256989079,,,,,,,,,,,,,,,,,,,,,,,
,,2135/0.0002636435539151068,,,,2992/0.0015153890369441396,,,,,,,,,,,,,,,,,,,,,,,
,,2570/0.0002636435539151068,,,,2202/0.0014631342425667556,,,,,,,,,,,,,,,,,,,,,,,
,,2564/0.0002636435539151068,,,,2876/0.0013586246538119873,,,,,,,,,,,,,,,,,,,,,,,
,,1483/0.0002636435539151068,,,,978/0.0013586246538119873,,,,,,,,,,,,,,,,,,,,,,,
,,1532/0.0002636435539151068,,,,2951/0.001254115065057219,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1237/0.001254115065057219,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2293/0.001254115065057219,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1330/0.001254115065057219,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2067/0.001254115065057219,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2706/0.001254115065057219,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,137/0.0012018602706798348,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1567/0.0012018602706798348,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2604/0.0010973506819250665,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,933/0.0010450958875476825,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2122/0.0009405862987929142,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,903/0.0008883315044155301,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1808/0.000836076710038146,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1835/0.000836076710038146,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,810/0.000836076710038146,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,706/0.0005748027381512254,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1464/0.0005748027381512254,,,,,,,,,,,,,,,,,,,,,,,
