Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
858/0.04734379300853289,2295/0.004321546412824481,33/0.01202014443177499,263/0.0076877096270713645,244/0.025376747091434372,276/0.007834776130904981,1333/0.025401701323251417,2015/0.01890831252229754,91/0.030141843971631204,88/0.08011869436201781,734/0.013965087281795512,111/0.03380237402719912,1283/0.015504740658114892,124/0.03684123575086734,742/0.014370837714686295,2503/0.04032417473809053,514/0.054027504911591355,205/0.12852112676056338,2033/0.07930859176410777,292/0.014705882352941176,168/0.02588670364767188,402/0.060664730558244596,525/0.08179419525065963,1547/0.04587884806355511,2201/0.1419284940411701,2072/0.17872968980797638
357/0.04679328378750344,1527/0.004306946593862236,506/0.011877613074876473,2559/0.007637897253677813,2114/0.02225345514171937,548/0.0074494592720080145,136/0.0222117202268431,917/0.01855155190866928,752/0.02675693101225016,886/0.06312381980037766,385/0.013507896924355778,31/0.03230878075622986,1860/0.014723926380368098,1236/0.03320667437634231,1430/0.013582194181563267,278/0.03419648151808658,430/0.053290766208251475,1661/0.11443661971830986,2303/0.06609049313675648,2163/0.014458724666337124,498/0.024121701126239705,845/0.051306873184898356,1864/0.06420404573438875,560/0.03773584905660377,453/0.09967497291440953,573/0.1757754800590842
1610/0.04266446462978255,839/0.004292346774899991,1164/0.011687571265678449,1126/0.0075216683824261945,2391/0.021941125946747873,475/0.006987079041331655,1118/0.02138468809073724,937/0.017909382804138424,2454/0.02385557704706641,1792/0.05206366333962773,459/0.013258520365752285,1562/0.0321515604119173,290/0.01422197434467373,199/0.03254584503551958,1924/0.012355415352260778,1461/0.03380114647163471,227/0.050589390962671905,1216/0.0994718309859155,719/0.06558210472801221,387/0.014211566979733069,1605/0.023365271474197345,1943/0.03904485317844466,2382/0.06376429199648197,1397/0.03634558093346574,2638/0.09642470205850487,987/0.12259970457902511
1579/0.036608863198458574,883/0.004277746955937746,1888/0.011497529456480426,1170/0.007073357021884236,393/0.020457562270633247,1152/0.006935703460145393,171/0.021148393194706995,60/0.01691045308597931,1810/0.02192134107027724,78/0.04936606420285945,1928/0.012385702410640067,1588/0.028456882320572283,463/0.01422197434467373,1986/0.030232942342640012,959/0.012092534174553101,820/0.033603478948408774,1536/0.05034381139489195,2440/0.09330985915492958,676/0.057956278596847995,1404/0.014211566979733069,1857/0.023113128256849892,2047/0.03743142949338496,2249/0.06244503078276165,810/0.0349553128103277,1649/0.09100758396533044,2030/0.10782865583456426
1639/0.03495733553537022,270/0.004117148947353053,174/0.011354998099581909,1063/0.006957128150632617,306/0.018895916295775746,52/0.006910015669552262,283/0.02055765595463138,989/0.016696396717802355,1878/0.02192134107027724,1862/0.04909630428918263,868/0.012385702410640067,1074/0.028063831459790897,895/0.01411042944785276,433/0.029737320337022963,455/0.011216263582194182,507/0.03320814390195691,887/0.04960707269155206,332/0.08450704225352113,919/0.05490594814438231,2053/0.01384083044982699,853/0.022945032778618254,530/0.03743142949338496,142/0.05804749340369393,309/0.03455809334657398,2439/0.08775731310942579,1450/0.10782865583456426
727/0.03495733553537022,505/0.004102549128390808,716/0.01097491448118586,1176/0.006874107528310032,721/0.01850550480206137,1423/0.0068586400883659995,125/0.01973062381852552,204/0.015554762754191938,524/0.020793036750483558,1592/0.046938224979768,978/0.011637572734829594,1632/0.026570238188821635,1754/0.01411042944785276,48/0.029406905666611596,722/0.011216263582194182,110/0.03281280885550504,2473/0.047396856581532414,2345/0.08274647887323944,1199/0.05236400610066091,1825/0.01384083044982699,1052/0.022104555387460076,1318/0.03323652791222975,2670/0.05760773966578716,856/0.033962264150943396,971/0.08234019501625135,2593/0.09601181683899557
1149/0.03220478943022296,2130/0.0039857505766928494,2228/0.01097491448118586,581/0.0068408992793809985,1119/0.018427422503318497,1060/0.006755888925993475,1591/0.019139886578449904,446/0.015198002140563683,1331/0.020470664087685365,621/0.04316158618829242,795/0.011346633416458854,2183/0.026334407672352803,450/0.01388733965421082,66/0.02907649099620023,1720/0.011041009463722398,681/0.03162680371614943,939/0.0469056974459725,813/0.07746478873239436,1992/0.04880528723945094,2319/0.013593672763222936,267/0.021516221213649354,1138/0.03323652791222975,1620/0.055848724714160074,297/0.03118172790466733,1211/0.07367280606717226,546/0.07976366322008863
1145/0.030002752546105148,41/0.0039711507577306045,521/0.010452299505891296,80/0.0067246704081293796,112/0.018193175607089874,1961/0.006704513344807213,2558/0.018431001890359167,1577/0.014912593649661077,880/0.019825918762088973,134/0.042891826274615595,420/0.011305070656691604,2536/0.025784136467258863,362/0.013831567205800335,464/0.02907649099620023,700/0.010865755345250614,98/0.029650128483890096,2271/0.0469056974459725,1254/0.06778169014084508,2620/0.04880528723945094,664/0.013037567968363816,1824/0.02118003025718608,1726/0.03130041949015812,1788/0.051451187335092345,953/0.030983118172790466,2220/0.056338028169014086,1140/0.07533234859675036
679/0.028626479493531518,2144/0.00392735130084387,422/0.009692132269099202,207/0.006708066283664862,289/0.018115093308346996,295/0.006678825554214082,2667/0.018431001890359167,296/0.014056368176953264,434/0.019825918762088973,1465/0.0410035068788778,1561/0.011305070656691604,1618/0.025548305950790034,1073/0.013552704963747908,1399/0.028415661655377497,85/0.01069050122677883,2014/0.029057125914212296,221/0.04543222003929273,656/0.06426056338028169,2284/0.041687849517031014,610/0.012975778546712802,553/0.020759791561606993,743/0.030977734753146177,533/0.05013192612137203,1291/0.030585898709036743,2326/0.05308775731310943,1663/0.03545051698670606
1252/0.028626479493531518,1142/0.00389815166291938,130/0.009692132269099202,614/0.006691462159200345,1652/0.017490434918403998,516/0.00662744997302782,240/0.017840264650283554,64/0.013699607563325009,2157/0.019825918762088973,2612/0.03911518748314,758/0.01113881961762261,150/0.02476220422922726,2206/0.013385387618516454,830/0.028415661655377497,2550/0.01025236593059937,20/0.028464123344534492,2237/0.04469548133595285,670/0.061619718309859156,1340/0.041687849517031014,935/0.01272862086010875,1796/0.02059169608337536,640/0.030009680542110357,2432/0.04661389621811785,444/0.029592850049652432,1324/0.05308775731310943,976/0.0206794682422452
1553/0.028626479493531518,1175/0.0038397523870704,652/0.008931965032307108,26/0.0066748580347358285,406/0.017412352619661123,801/0.006576074391841558,970/0.01772211720226843,512/0.013485551195148056,1834/0.019825918762088973,644/0.03776638791475587,187/0.010806317539484621,180/0.024683594057070986,2224/0.013273842721695482,1685/0.028085246984966134,1981/0.009989484752891693,2020/0.028068788298082625,349/0.04273084479371316,2650/0.045774647887323945,2349/0.041179461108286734,196/0.012296094908551656,2401/0.01975121869221718,2051/0.030009680542110357,2012/0.04353562005277045,1615/0.029592850049652432,1411/0.04875406283856988,
2392/0.027800715661987337,982/0.0038397523870704,415/0.008646902318510072,318/0.006658253910271312,223/0.01725618802217537,374/0.006550386601248427,253/0.01724952741020794,133/0.013485551195148056,1702/0.019342359767891684,1897/0.037226868087402214,191/0.010764754779717374,90/0.0242905431962896,2519/0.012771890686001116,1776/0.027094002973732035,491/0.009989484752891693,1744/0.02727811820517889,269/0.04076620825147348,1206/0.04225352112676056,1251/0.04016268429079817,655/0.012110726643598616,386/0.019078836779290637,2566/0.02968699580509842,481/0.04177660510114336,449/0.02840119165839126,2526/0.0390032502708559,
121/0.02697495183044316,1225/0.0038251525681081556,1501/0.008646902318510072,744/0.006525420914555175,2429/0.016787694229718122,135/0.006550386601248427,1499/0.017013232514177693,2372/0.013414199072422405,1048/0.018052869116698903,834/0.03371998920960345,353/0.010764754779717374,1434/0.024211933024133322,1080/0.012437255995538203,1094/0.026928795638526352,710/0.009989484752891693,2517/0.026685115635501088,220/0.039047151277013754,2537/0.037852112676056336,2571/0.03914590747330961,1181/0.012048937221947602,869/0.018910741301059002,185/0.028718941594062602,2656/0.03342128408091469,1510/0.02840119165839126,1219/0.032502708559046585,
1277/0.02697495183044316,77/0.0038105527491459107,2185/0.008599391866210566,408/0.006508816790090658,470/0.016319200437260872,58/0.0064990110200621645,594/0.01677693761814745,1038/0.013414199072422405,1386/0.018052869116698903,71/0.032371189641219315,807/0.010473815461346634,226/0.024133322851977047,1689/0.012158393753485777,1701/0.026102758962497936,900/0.009989484752891693,1881/0.026092113065823284,829/0.03536345776031434,,1990/0.03812913065582105,115/0.011801779535343549,1099/0.01849050260547991,1241/0.027750887383026782,1736/0.031222515391380826,1712/0.027606752730883814,2560/0.02925243770314193,
1803/0.02559867877786953,767/0.0038105527491459107,1392/0.008219308247814519,486/0.006475608541161625,1116/0.01608495354103225,1998/0.0064990110200621645,2529/0.016658790170132325,1089/0.012986086336068499,910/0.018052869116698903,2086/0.032371189641219315,1009/0.010349127182044887,451/0.024054712679820768,448/0.012158393753485777,1165/0.02527672228646952,1469/0.009901857693655801,120/0.02530144297291955,1394/0.03266208251473477,,1383/0.03711235383833249,1082/0.011616411270390509,426/0.018322407127248277,1802/0.027750887383026782,1093/0.030782761653474055,1596/0.02740814299900695,1959/0.015167930660888408,
2366/0.025323424167354804,1123/0.003781353111221421,1243/0.008171797795515013,698/0.006409192043303556,1933/0.015538377449832124,2368/0.006473323229469034,165/0.016186200378071832,1321/0.012914734213342847,1153/0.01756931012250161,484/0.032101429727542485,61/0.01030756442227764,101/0.023425831302570553,21/0.01154489682097044,1531/0.02478110028085247,929/0.009726603575184017,1193/0.02490610792646768,1177/0.02824165029469548,,2453/0.03558718861209965,739/0.011492832427088482,715/0.01773407295343755,2236/0.027105517909002903,916/0.030782761653474055,2182/0.02423038728897716,,
1628/0.0242224057252959,1047/0.003781353111221421,273/0.008076776890916001,1955/0.006375983794374523,275/0.015538377449832124,2554/0.006319196485910247,582/0.016186200378071832,377/0.012843382090617196,702/0.017246937459703418,1098/0.03156190990018883,906/0.01030756442227764,2435/0.023425831302570553,1506/0.011489124372559955,43/0.024450685610441104,1037/0.009726603575184017,1997/0.02431310535678988,2265/0.02775049115913556,,331/0.03355363497712252,1563/0.010998517053880375,2633/0.016977643301395194,1449/0.026460148434979024,1697/0.02990325417766051,2255/0.023833167825223437,,
825/0.023947151114781174,86/0.003766753292259176,1947/0.008076776890916001,1931/0.006326171420980972,1558/0.015538377449832124,658/0.006293508695317116,2221/0.01606805293005671,436/0.012700677845165894,2110/0.016924564796905222,785/0.029134070677097383,122/0.010224438902743141,194/0.023347221130414274,2645/0.011042944785276074,1366/0.02378985626961837,1519/0.009638976515948125,198/0.02391777031033801,1670/0.025785854616895875,,2317/0.031011692933401117,1817/0.010874938210578349,2545/0.016473356866700286,1514/0.02484672474991933,2045/0.029463500439753737,1884/0.023634558093346573,,
2142/0.023947151114781174,252/0.003737553654334686,1420/0.00798175598631699,1322/0.006309567296516455,641/0.015147965956117749,315/0.006293508695317116,2278/0.01606805293005671,1693/0.012557973599714592,1464/0.01644100580270793,1231/0.026975991367682764,604/0.0100166251039069,236/0.023111390613945446,1593/0.010931399888455103,1560/0.02279861225838427,1003/0.009638976515948125,995/0.022929432694208343,862/0.025294695481335953,,2581/0.030503304524656837,2542/0.010751359367276322,985/0.01630526138846865,648/0.021619877379799937,2063/0.027264731750219876,1421/0.023634558093346573,,
397/0.02339664189375172,27/0.0036937541974479517,1041/0.007839224629418473,765/0.006309567296516455,1662/0.015147965956117749,231/0.006216445323537723,2376/0.015713610586011343,1462/0.012557973599714592,1246/0.016279819471308833,2533/0.024278392230914485,287/0.009933499584372403,2541/0.023111390613945446,2084/0.010931399888455103,280/0.022302990252767222,2507/0.009376095338240449,49/0.022731765170982406,2282/0.02504911591355599,,1713/0.027452974072191154,1608/0.010627780523974296,2641/0.016053118171121195,1091/0.01903839948370442,2009/0.021547933157431837,2050/0.023634558093346573,,
2479/0.021745114230663363,686/0.0036937541974479517,1871/0.007839224629418473,38/0.0062265466741938695,1064/0.015069883657374872,889/0.006113694161165198,68/0.015477315689981097,949/0.012129860863360684,8/0.016279819471308833,1902/0.024008632317237658,2216/0.00972568578553616,477/0.022403899064538952,234/0.010931399888455103,802/0.021476953576738806,1317/0.009200841219768665,2664/0.022138762601304606,2548/0.02480353634577603,,1694/0.02541942043721403,1832/0.010442412259021256,73/0.016053118171121195,210/0.018393030009680542,2194/0.01978891820580475,2007/0.023435948361469713,,
2109/0.021745114230663363,707/0.0036937541974479517,1342/0.007839224629418473,65/0.006160130176335802,2523/0.014835636761146248,1793/0.006062318579978936,2192/0.015477315689981097,173/0.01184445237245808,2356/0.016279819471308833,356/0.02185055300782304,1305/0.00968412302576891,545/0.022403899064538952,792/0.010819854991634133,849/0.02114653890632744,1300/0.009113214160532773,1065/0.02174342755485274,1470/0.02382121807465619,,2640/0.022877478393492627,2341/0.01031883341571923,1573/0.01588502269288956,1773/0.018393030009680542,1721/0.01978891820580475,206/0.02323733862959285,,
305/0.021745114230663363,1580/0.0036937541974479517,1707/0.007649182820220449,661/0.006093713678477734,778/0.014757554462403373,93/0.006062318579978936,1242/0.015004725897920604,2057/0.01184445237245808,508/0.016279819471308833,1079/0.019962233612085243,1337/0.009600997506234414,631/0.022246678720226398,2480/0.010764082543223648,2024/0.020816124235916073,359/0.008937960042060988,2035/0.02134809250840087,2649/0.023330058939096267,,1134/0.01728520589730554,2458/0.010071675729115175,958/0.015464783997310473,1360/0.018393030009680542,586/0.018469656992084433,1445/0.02323733862959285,,
1171/0.02119460500963391,942/0.0035769556457499927,333/0.007459141011022425,67/0.006077109554013217,2064/0.014679472163660497,1431/0.006010942998792674,1935/0.014886578449905482,1294/0.01184445237245808,1008/0.016118633139909737,1380/0.018883193957377933,1108/0.009517871986699917,1988/0.022246678720226398,557/0.010708310094813163,2599/0.020320502230299024,1756/0.008762705923589204,1004/0.02075508993872307,1390/0.023084479371316306,,154/0.012201321809862735,235/0.010071675729115175,735/0.015296688519078836,946/0.0180703452726686,637/0.01802990325417766,424/0.02224428997020854,,
1844/0.019267822736030827,54/0.0035769556457499927,1261/0.007316609654123907,351/0.0060605054295487,793/0.014601389864917623,1575/0.005908191836420149,1522/0.014650283553875236,1655/0.011773100249732429,1058/0.015635074145712444,2493/0.018343674130024277,1678/0.009476309226932668,1017/0.021853627859445012,1446/0.010708310094813163,934/0.020320502230299024,990/0.008675078864353312,2102/0.01937141727614153,2463/0.021856581532416503,,2411/0.011184544992374174,2361/0.010071675729115175,1837/0.015128593040847202,2049/0.0180703452726686,2587/0.012313104661389622,10/0.02125124131082423,,
1614/0.018992568125516102,1139/0.0035769556457499927,1718/0.007316609654123907,1343/0.006043901305084183,920/0.014601389864917623,558/0.005882504045827019,1367/0.014650283553875236,2124/0.011344987513378523,2298/0.015473887814313346,2213/0.01807391421634745,1183/0.00939318370739817,468/0.02169640751513246,1993/0.010652537646402676,2160/0.01999008755988766,488/0.008675078864353312,1178/0.01937141727614153,2253/0.0206286836935167,,,1601/0.010009886307464163,480/0.015128593040847202,1259/0.015488867376573089,,1072/0.020854021847070508,,
622/0.018717313515001378,219/0.003547756007825503,232/0.00717407829722539,897/0.005977484807226115,678/0.014367142968688998,282/0.005882504045827019,685/0.014650283553875236,2026/0.011273635390652872,1913/0.014345583494519665,409/0.01240895602913407,944/0.009268495428096426,355/0.021539187170819905,706/0.010540992749581706,1109/0.019659672889476294,898/0.00858745180511742,2279/0.019173749752915595,2162/0.018909626719056976,,,495/0.009762728620860108,588/0.014456211127920659,1425/0.015166182639561149,,1075/0.020854021847070508,,
1480/0.018166804293971925,1458/0.003547756007825503,212/0.00717407829722539,903/0.005977484807226115,2315/0.014367142968688998,925/0.005856816255233887,1966/0.014532136105860113,469/0.010988226899750268,1958/0.014345583494519665,2487/0.01240895602913407,687/0.009268495428096426,2388/0.021303356654351072,2482/0.010485220301171222,1265/0.01949446555427061,578/0.00858745180511742,756/0.018580747183237795,941/0.018664047151277015,,,1375/0.009639149777558082,933/0.014204067910573206,1090/0.01484349790254921,,2083/0.020059582919563057,,
1479/0.017616295072942472,1111/0.003547756007825503,1428/0.007079057392626378,617/0.005911068309368047,1459/0.014210978371203248,114/0.005856816255233887,873/0.014532136105860113,182/0.010988226899750268,2018/0.01402321083172147,1395/0.012139196115457242,2597/0.00918536990856193,1179/0.02083169562141341,1617/0.010317902955939765,494/0.018668428878242195,733/0.00858745180511742,1384/0.01798774461355999,1641/0.013015717092337918,,,964/0.009639149777558082,330/0.013951924693225752,1568/0.01484349790254921,,117/0.01926514399205561,,
1945/0.017616295072942472,1532/0.0034747569130142786,1930/0.00693652603572786,902/0.005911068309368047,1851/0.013820566877488873,1066/0.0057797528834544944,383/0.014177693761814745,921/0.010916874777024617,1768/0.013862024500322373,2674/0.009711356892365795,1441/0.009019118869492934,1019/0.020517254932788304,307/0.009871723368655884,2371/0.01734677019659673,872/0.008412197686645636,1648/0.017790077090334058,,,,399/0.00957736035590707,1551/0.013951924693225752,1684/0.01452081316553727,,490/0.018272095332671302,,
217/0.015964767409854114,1238/0.0034455572750897888,538/0.00693652603572786,1523/0.00589446418490353,1260/0.013664402280003124,2080/0.005754065092861363,636/0.013823251417769376,704/0.010845522654298966,1830/0.013700838168923275,1969/0.007823037496628,346/0.008935993349958437,1941/0.019888373555538085,1554/0.009704406023424428,2585/0.017181562861391046,19/0.008412197686645636,1071/0.016604071950978454,,,,2323/0.009453781512605041,336/0.013531685997646663,1764/0.013875443691513391,,2475/0.018272095332671302,,
1253/0.01568951279933939,313/0.0034455572750897888,188/0.006889015583428354,371/0.005861255935974496,137/0.013664402280003124,876/0.005728377302268232,1711/0.013823251417769376,1683/0.010702818408847663,1838/0.01337846550612508,,1487/0.00881130507065669,1497/0.01980976338338181,186/0.009648633575013943,1780/0.016520733520568313,1490/0.008324570627409744,2350/0.01640640442775252,,,,1877/0.009391992090954029,2413/0.013363590519415028,2187/0.013875443691513391,,2402/0.01807348560079444,,
728/0.015139003578309936,139/0.0034163576371652993,1719/0.006889015583428354,803/0.0058280476870454625,32/0.013586319981260248,1570/0.005651313930488839,2451/0.01358695652173913,662/0.010346057795219408,2068/0.013217279174725984,,2074/0.008728179551122194,528/0.01980976338338181,2058/0.009592861126603458,2241/0.01635552618536263,2285/0.00814931650893796,774/0.015813401858074717,,,,572/0.009391992090954029,2257/0.013363590519415028,2188/0.013230074217489512,,2167/0.01807348560079444,,
615/0.015139003578309936,388/0.0034017578182030544,2044/0.006746484226529836,345/0.0058280476870454625,1688/0.013430155383774497,423/0.005548562768116314,1095/0.013468809073724008,1105/0.010274705672493757,931/0.012733720180528691,,517/0.008728179551122194,1053/0.01925949217828787,482/0.009592861126603458,1323/0.01635552618536263,818/0.00814931650893796,1540/0.015220399288396916,,,,1602/0.009330202669303015,2436/0.013027399562951757,2443/0.012907389480477573,,2373/0.016881827209533268,,
1393/0.01486374896779521,4/0.0034017578182030544,241/0.0066989737742303304,99/0.005811443562580945,413/0.013430155383774497,566/0.005497187186930052,2137/0.013350661625708886,2258/0.010203353549768106,2296/0.012733720180528691,,1473/0.008686616791354946,731/0.018866441317506484,1755/0.009313998884551032,913/0.016025111514951264,1032/0.008061689449702068,2118/0.014627396718719115,,,,2535/0.009144834404349975,1989/0.01294335182383594,2344/0.012584704743465635,,943/0.01608738828202582,,
1644/0.014313239746765759,257/0.0034017578182030544,1020/0.006651463321930825,311/0.005778235313651911,1489/0.013430155383774497,1703/0.005471499396336921,2131/0.01311436672967864,1406/0.010203353549768106,2442/0.012250161186331399,,1389/0.008520365752285953,2165/0.018552000628881377,1964/0.009258226436140547,1234/0.015033867503717165,126/0.008061689449702068,1081/0.014429729195493181,,,,403/0.009021255561047948,14/0.012859304084720122,2527/0.011616650532429816,,1847/0.015888778550148957,,
1125/0.014037985136251032,103/0.0034017578182030544,2576/0.006603952869631319,476/0.005761631189187394,57/0.013430155383774497,360/0.005471499396336921,993/0.01311436672967864,1566/0.009917945058865502,1365/0.011766602192134107,,890/0.008478802992518703,701/0.017530068390849776,284/0.009258226436140547,1474/0.014868660168511481,797/0.007974062390466176,1325/0.014034394149041313,,,,2311/0.008959466139396936,189/0.012775256345604303,2107/0.011293965795417877,,2070/0.015292949354518371,,
2397/0.012661712083677402,596/0.0034017578182030544,952/0.006556442417331813,264/0.005745027064722877,1239/0.012961661591317248,368/0.005471499396336921,2661/0.01311436672967864,2459/0.009846592936139851,1279/0.01160541586073501,,15/0.008437240232751454,2468/0.017294237874380947,1545/0.009258226436140547,304/0.013216586816454651,1727/0.007886435331230283,1444/0.014034394149041313,,,,1821/0.008959466139396936,745/0.012186922171793579,2358/0.010971281058405937,,2117/0.014697120158887786,,
2544/0.011835948252133223,70/0.0034017578182030544,1582/0.006556442417331813,649/0.00572842294025836,2025/0.012961661591317248,583/0.005471499396336921,1132/0.012996219281663515,1842/0.009703888690688549,2178/0.011283043197936816,,1208/0.008437240232751454,527/0.0164295259806619,860/0.009202453987730062,2481/0.013216586816454651,2103/0.007886435331230283,9/0.014034394149041313,,,,2093/0.008959466139396936,1828/0.012186922171793579,1664/0.010325911584382058,,1899/0.014498510427010924,,
2002/0.011560693641618497,302/0.0033725581802785645,467/0.006556442417331813,39/0.00572842294025836,211/0.012649332396345749,395/0.0054201238151506586,811/0.01275992438563327,1782/0.009561184445237245,1717/0.011283043197936816,,2173/0.00831255195344971,316/0.0164295259806619,1067/0.009202453987730062,2421/0.012886172146043285,2038/0.007886435331230283,669/0.01383672662581538,,,,859/0.008959466139396936,128/0.01176668347621449,1594/0.00968054211035818,,233/0.013902681231380337,,
861/0.010459675199559593,138/0.0033579583613163196,260/0.0065089319650323075,901/0.00572842294025836,1984/0.012571250097602873,608/0.005343060443371265,1970/0.012405482041587902,2270/0.009561184445237245,893/0.011121856866537718,,2286/0.00827098919368246,1217/0.015093153054005189,574/0.009146681539319575,1798/0.012225342805220552,119/0.007798808271994392,794/0.012650721486459775,,,,2231/0.008959466139396936,437/0.011514540258867036,2127/0.00935785737334624,,2646/0.012512413108242304,,
1373/0.009633911368015413,1692/0.0033579583613163196,485/0.0065089319650323075,1412/0.005695214691329326,2289/0.012571250097602873,2513/0.005343060443371265,1000/0.011696597353497165,254/0.009418480199785943,1766/0.01096067053513862,,1920/0.00827098919368246,1905/0.014385661504598695,106/0.009035136642498606,2046/0.012060135470014869,1734/0.007798808271994392,812/0.012650721486459775,,,,782/0.008835887296094908,1221/0.01101025382417213,2299/0.00935785737334624,,1027/0.006951340615690168,,
759/0.007707129094412331,611/0.0033579583613163196,489/0.006366400608133789,1775/0.005695214691329326,2408/0.012258920902631374,487/0.005343060443371265,40/0.011224007561436673,1029/0.009418480199785943,2250/0.01096067053513862,,1306/0.008187863674147963,2365/0.014071220815973586,2146/0.00897936419408812,1870/0.012060135470014869,1809/0.0077111812127585,2381/0.012650721486459775,,,,784/0.008712308452792882,242/0.010758110606824677,2008/0.0090351726363343,,,,
2580/0.007707129094412331,1351/0.0033579583613163196,163/0.006366400608133789,587/0.005678610566864809,871/0.012102756305145623,1468/0.005343060443371265,1965/0.01110586011342155,1805/0.009347128077060292,214/0.01096067053513862,,720/0.008104738154613466,1898/0.0126562377171606,633/0.00897936419408812,177/0.009912440112340989,1147/0.007623554153522608,2452/0.010674046254200435,,,,344/0.008712308452792882,2126/0.01059001512859304,2360/0.008712487899322363,,,,
1915/0.006881365262868153,17/0.0033579583613163196,1361/0.006318890155834284,183/0.005645402317935775,2438/0.012102756305145623,1642/0.005343060443371265,2492/0.010633270321361058,1308/0.00920442383160899,2108/0.010799484203739523,,1190/0.008063175394846217,979/0.012027356339910384,2256/0.008812046848856664,1745/0.007434330084255741,539/0.007623554153522608,1460/0.009290373591618897,,,,786/0.00865051903114187,1607/0.010505967389477223,863/0.008067118425298484,,,,
,35/0.0033287587233918297,836/0.006318890155834284,1189/0.005612194069006741,537/0.011478097915202623,788/0.005317372652778134,877/0.010515122873345936,550/0.009133071708883339,2277/0.010477111540941329,,339/0.007813798836242726,2300/0.009276000314440688,1151/0.00875627440044618,2385/0.007103915413844374,1919/0.007623554153522608,363/0.005930025696778019,,,,630/0.008588729609490855,256/0.010337871911245588,1114/0.007744433688286544,,,,
,1733/0.0033141589044295853,1538/0.006271379703534778,1039/0.00556238169561319,2308/0.011400015616459749,2121/0.005265997071591873,1148/0.010515122873345936,1015/0.009061719586157688,2244/0.010477111540941329,,1180/0.007689110556940981,,1356/0.008700501952035694,1567/0.005947464067404593,799/0.007623554153522608,2301/0.00494168808064835,,,,2017/0.008341571922886802,1759/0.010337871911245588,2520/0.005485640529202969,,,,
,1285/0.0032995590854673403,266/0.006223869251235272,274/0.0055457775711486735,732/0.011321933317716873,2578/0.005163245909219348,1312/0.01027882797731569,2134/0.009061719586157688,1309/0.010154738878143133,,1408/0.007564422277639235,,411/0.008700501952035694,2666/0.0057822567321989095,1290/0.007535927094286716,1448/0.003162680371614944,,,,911/0.008279782501235788,2065/0.01025382417212977,1288/0.003226847370119393,,,,
,1110/0.0032703594475428505,674/0.0061763587989357655,1256/0.0055457775711486735,2596/0.011321933317716873,382/0.005163245909219348,2215/0.010160680529300567,2085/0.008847663217980735,1677/0.010154738878143133,,1402/0.007522859517871986,,1023/0.00864472950362521,1626/0.00528663472658186,695/0.007535927094286716,378/0.0017790077090334058,,,,2605/0.008094414236282748,222/0.01025382417212977,2653/0.003226847370119393,,,,
,1555/0.0032557596285806055,1233/0.0061763587989357655,585/0.005512569322219639,2229/0.011009604122745374,1635/0.005111870328033086,1025/0.009688090737240076,2508/0.008776311095255084,2665/0.009993552546744036,,554/0.007522859517871986,,562/0.00864472950362521,2651/0.004956220056170494,2400/0.007448300035050824,,,,,1191/0.008094414236282748,2340/0.009833585476550681,689/0.0016134236850596966,,,,
,1192/0.0032411598096183606,1163/0.0061763587989357655,2061/0.005495965197755122,1405/0.010697274927773873,1166/0.005111870328033086,1557/0.009215500945179584,518/0.008776311095255084,940/0.009832366215344938,,1007/0.007481296758104738,,2081/0.008533184606804238,2584/0.004625805385759128,2601/0.007448300035050824,,,,,2359/0.008032624814631736,2621/0.009833585476550681,,,,,
,2273/0.0032411598096183606,2380/0.00612884834663626,419/0.005479361073290606,2635/0.010697274927773873,1583/0.005111870328033086,1054/0.009097353497164461,1188/0.008633606849803781,888/0.009832366215344938,,699/0.007481296758104738,,1159/0.008533184606804238,1548/0.0031389393689079796,2292/0.007360672975814932,,,,,2538/0.008032624814631736,2568/0.00949739452008741,,,,,
,1202/0.003211960171693871,776/0.006081337894336754,1767/0.005462756948826088,1883/0.010541110330288124,1646/0.005086182537439954,1638/0.008861058601134215,2059/0.00856225472707813,1332/0.009832366215344938,,2589/0.0074397339983374895,,1096/0.008421639709983268,,628/0.007360672975814932,,,,,76/0.007785467128027681,473/0.00949739452008741,,,,,
,1314/0.0031973603527316262,2390/0.006081337894336754,556/0.005462756948826088,2428/0.010463028031545248,1876/0.005034806956253693,1503/0.008742911153119093,1278/0.008276846236175526,2530/0.009509993552546744,,2500/0.0074397339983374895,,2207/0.008198549916341327,,34/0.00727304591657904,,,,,2423/0.007723677706376668,1466/0.009161203563624138,,,,,
,623/0.0031973603527316262,1974/0.006081337894336754,998/0.0054295486998970546,1230/0.010463028031545248,166/0.005034806956253693,1374/0.008742911153119093,2588/0.008276846236175526,1811/0.009509993552546744,,928/0.0074397339983374895,,366/0.008198549916341327,,1595/0.00727304591657904,,,,,1781/0.007352941176470588,780/0.009077155824508321,,,,,
,2514/0.0031973603527316262,1129/0.006033827442037248,1364/0.0054295486998970546,1200/0.010463028031545248,16/0.00498343137506743,684/0.008152173913043478,1509/0.008205494113449875,2663/0.009348807221147646,,102/0.0074397339983374895,,571/0.008142777467930842,,1062/0.00727304591657904,,,,,1372/0.007291151754819575,2327/0.008993108085392503,,,,,
