Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
,601/0.0027301661459397902,854/0.003990877993158495,815/0.0043004682363099,,1301/0.003827480798376532,,,,,1427/0.004447215295095595,,1457/0.0027328499721137756,,1482/0.003943217665615142,,,,,1892/0.003398418190805734,,,,,,
,1739/0.0027301661459397902,172/0.003990877993158495,1772/0.004283864111845382,,1302/0.0038017930077834006,,,,,2540/0.004364089775561097,,1833/0.0026213050752928054,,2159/0.00385559060637925,,,,,2623/0.0033366287691547207,,,,,,
,1289/0.0027301661459397902,1835/0.003990877993158495,113/0.004267259987380865,,690/0.0038017930077834006,,,,,1804/0.0042809642560266,,1779/0.0026213050752928054,,2191/0.003680336487907466,,,,,1829/0.0032748393475037075,,,,,,
,2325/0.0027155663269775453,591/0.003943367540858989,1921/0.004267259987380865,,522/0.0037761052171902693,,,,,513/0.004197838736492103,,2075/0.0023982152816508645,,1518/0.003680336487907466,,,,,1836/0.0031512605042016808,,,,,,
,148/0.0027155663269775453,2177/0.003943367540858989,535/0.004217447613987314,,1249/0.0037761052171902693,,,,,1543/0.004197838736492103,,1917/0.002342442833240379,,2022/0.003592709428671574,,,,,2586/0.0031512605042016808,,,,,,
,334/0.0027155663269775453,1826/0.0038483466362599773,1442/0.004217447613987314,,1387/0.0037761052171902693,,,,,2522/0.004156275976724855,,1643/0.002342442833240379,,2369/0.003592709428671574,,,,,2424/0.0031512605042016808,,,,,,
,647/0.002700966508015301,1606/0.0038483466362599773,202/0.004200843489522797,,258/0.0037504174265971385,,,,,2066/0.003906899418121363,,2168/0.002230897936419409,,2097/0.0035050823694356818,,,,,1339/0.0031512605042016808,,,,,,
,2180/0.002700966508015301,986/0.0038483466362599773,2209/0.004200843489522797,,152/0.0037247296360040072,,,,,2275/0.0038653366583541147,,2379/0.002230897936419409,,1403/0.0034174553101997897,,,,,963/0.003089471082550667,,,,,,
,37/0.002700966508015301,672/0.0038483466362599773,2489/0.004184239365058281,,215/0.0037247296360040072,,,,,1747/0.0038653366583541147,,2353/0.002063580591187953,,1143/0.0033298282509638976,,,,,1669/0.003027681660899654,,,,,,
,848/0.002700966508015301,1760/0.0038483466362599773,654/0.004184239365058281,,1807/0.0036990418454108764,,,,,391/0.0038653366583541147,,824/0.002063580591187953,,600/0.0033298282509638976,,,,,2337/0.002965892239248641,,,,,,
,1273/0.002686366689053056,2122/0.003800836183960471,1198/0.004184239365058281,,1666/0.003673354054817745,,,,,564/0.0038653366583541147,,1845/0.002007808142777468,,1787/0.0032422011917280055,,,,,2398/0.002842313395946614,,,,,,
,389/0.002686366689053056,2101/0.0037533257316609654,1467/0.004167635240593763,,1297/0.003647666264224614,,,,,777/0.0038237738985868663,,1960/0.0016731734523145567,,1800/0.0032422011917280055,,,,,1763/0.002842313395946614,,,,,,
,718/0.002686366689053056,493/0.0037058152793614596,458/0.004101218742735695,,1247/0.003647666264224614,,,,,1453/0.0037822111388196174,,,,1680/0.0032422011917280055,,,,,2563/0.002718734552644587,,,,,,
,392/0.002671766870090811,1925/0.0037058152793614596,580/0.0040846146182711785,,2642/0.003621978473631483,,,,,899/0.003740648379052369,,,,783/0.0032422011917280055,,,,,657/0.002656945130993574,,,,,,
,390/0.002657167051128566,2485/0.0037058152793614596,1587/0.004068010493806662,,1491/0.003621978473631483,,,,,2564/0.0036159600997506237,,,,1770/0.0032422011917280055,,,,,1623/0.0025951557093425604,,,,,,
,262/0.002657167051128566,1656/0.0036583048270619535,2437/0.004051406369342145,,2170/0.003596290683038352,,,,,2332/0.0034081463009143806,,,,157/0.0032422011917280055,,,,,1369/0.0025333662876915472,,,,,,
,462/0.002657167051128566,28/0.0036107943747624477,2136/0.004034802244877627,,2647/0.003570602892445221,,,,,342/0.0032418952618453864,,,,973/0.0031545741324921135,,,,,2407/0.0025333662876915472,,,,,,
,653/0.002657167051128566,1637/0.0036107943747624477,1326/0.004034802244877627,,2608/0.003570602892445221,,,,,675/0.0032418952618453864,,,,2370/0.0031545741324921135,,,,,1335/0.002471576866040534,,,,,,
,2016/0.002642567232166321,1204/0.0036107943747624477,151/0.004034802244877627,,923/0.0035449151018520897,,,,,1344/0.0029093931837073984,,,,1524/0.0031545741324921135,,,,,2582/0.0023479980227385073,,,,,,
,149/0.002642567232166321,2291/0.0036107943747624477,2434/0.004001593995948594,,1127/0.0035449151018520897,,,,,398/0.002369077306733167,,,,1299/0.0030669470732562214,,,,,1658/0.0021008403361344537,,,,,,
,768/0.002627967413204076,2302/0.0036107943747624477,299/0.004001593995948594,,1571/0.0035449151018520897,,,,,2087/0.0019534497090606816,,,,561/0.0030669470732562214,,,,,754/0.0021008403361344537,,,,,,
,499/0.002627967413204076,1934/0.0036107943747624477,1310/0.003984989871484076,,2628/0.0035449151018520897,,,,,1377/0.001537822111388196,,,,1328/0.0030669470732562214,,,,,2105/0.0017301038062283738,,,,,,
,249/0.002613367594241831,354/0.0035157734701634358,563/0.003984989871484076,,1042/0.0035449151018520897,,,,,36/0.0010806317539484621,,,,1417/0.0029793200140203293,,,,,230/0.0016683143845773604,,,,,,
,865/0.002613367594241831,1396/0.0035157734701634358,1031/0.0039683857470195595,,209/0.0035449151018520897,,,,,2212/0.0010390689941812137,,,,1748/0.0029793200140203293,,,,,1814/0.001606524962926347,,,,,,
,1722/0.002613367594241831,1235/0.00346826301786393,2054/0.0039185733736260085,,478/0.0034935395206658277,,,,,1117/0.000997506234413965,,,,1893/0.0028916929547844372,,,,,531/0.001606524962926347,,,,,,
,300/0.0025987677752795867,577/0.00346826301786393,1621/0.0039019692491614917,,1370/0.0034935395206658277,,,,,,,,,1552/0.0028916929547844372,,,,,2307/0.001421156697973307,,,,,,
,936/0.0025987677752795867,763/0.00346826301786393,200/0.0038853651246969745,,2415/0.0034935395206658277,,,,,,,,,2404/0.0028040658955485456,,,,,1705/0.0012975778546712802,,,,,,
,1103/0.0025987677752795867,1107/0.00346826301786393,542/0.0038853651246969745,,2515/0.0034678517300726964,,,,,,,,,2106/0.0026288117770767614,,,,,1535/0.0011739990113692536,,,,,,
,639/0.002584167956317342,1612/0.0034207525655644243,83/0.003868761000232458,,1504/0.0034421639394795656,,,,,,,,,1667/0.0026288117770767614,,,,,427/0.0008650519031141869,,,,,,
,1156/0.002584167956317342,394/0.0034207525655644243,1517/0.0038521568757679406,,2512/0.0034421639394795656,,,,,,,,,2247/0.0024535576586049773,,,,,1613/0.0007414730598121602,,,,,,
,375/0.002584167956317342,1827/0.0034207525655644243,338/0.003835552751303424,,1046/0.0034164761488864343,,,,,,,,,1338/0.002365930599369085,,,,,1616/0.0007414730598121602,,,,,,
,738/0.002584167956317342,2469/0.0033257316609654124,757/0.003835552751303424,,1659/0.0034164761488864343,,,,,,,,,1885/0.002103049421661409,,,,,1853/0.0007414730598121602,,,,,,
,2246/0.002584167956317342,2600/0.0033257316609654124,1050/0.0038189486268389067,,915/0.0034164761488864343,,,,,,,,,1995/0.001927795303189625,,,,,2672/0.0006796836381611468,,,,,,
,1578/0.002569568137355097,1001/0.0032782212086659066,2386/0.00380234450237439,,1879/0.0034164761488864343,,,,,,,,,1794/0.001927795303189625,,,,,2223/0.00043252595155709344,,,,,,
,2342/0.002569568137355097,294/0.0032782212086659066,2145/0.00380234450237439,,1576/0.003390788358293303,,,,,,,,,1660/0.001927795303189625,,,,,1346/0.00030894710825506676,,,,,,
,472/0.002569568137355097,1502/0.0032782212086659066,201/0.00380234450237439,,822/0.0033651005677001722,,,,,,,,,559/0.001927795303189625,,,,,417/0.00030894710825506676,,,,,,
