i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
51,thelegendofzeldamajorasmask,0.14693534844668346,0.11586901763224182,0.31905961376994124,0.0436607892527288,0.22082283795130142,0.14609571788413098,0.007556675062972292
52,finalfantasyiv,0.10968294772922023,0.0805484147386461,0.34875749785775495,0.01456726649528706,0.28363324764353043,0.155955441302485,0.006855184233076264
53,papermariothethousandyeardoor,0.1762652705061082,0.08464223385689354,0.2591623036649215,0.027923211169284468,0.23472949389179756,0.19895287958115182,0.01832460732984293
54,theworldendswithyou,0.19352014010507881,0.05866900175131348,0.28458844133099825,0.025394045534150613,0.19176882661996497,0.23555166374781086,0.010507880910683012
55,portal2,0.27048458149779736,0.021145374449339206,0.18590308370044054,0.11365638766519824,0.10572687224669604,0.2801762114537445,0.02290748898678414
56,xenobladechronicles1,0.1166077738515901,0.06448763250883392,0.2773851590106007,0.03445229681978799,0.25176678445229683,0.24646643109540636,0.0088339222614841
57,thelegendofheroestrailsofcoldsteel,0.2242152466367713,0.03766816143497758,0.3022421524663677,0.03497757847533632,0.15515695067264573,0.22690582959641256,0.01883408071748879
58,talesoftheabyss,0.1532912533814247,0.059513074842200184,0.33363390441839497,0.020739404869251576,0.2037871956717764,0.2164111812443643,0.012623985572587917
59,grandtheftautosanandreas,0.18034265103697025,0.004508566275924256,0.14878268710550044,0.15058611361587015,0.0829576194770063,0.3056807935076646,0.12714156898106402
60,metalgearsolid3snakeeater,0.18157181571815717,0.018970189701897018,0.22673893405600723,0.12466124661246612,0.0966576332429991,0.25835591689250226,0.0930442637759711
61,devilmaycry,0.11373976342129208,0.050955414012738856,0.3184713375796178,0.056414922656960874,0.26933575978161967,0.16924476797088261,0.02183803457688808
62,megamanx,0.09927140255009108,0.039162112932604735,0.35154826958105645,0.023679417122040074,0.2795992714025501,0.18579234972677597,0.020947176684881604
63,minecraft,0.22518382352941177,0.05606617647058824,0.26286764705882354,0.10753676470588236,0.234375,0.10202205882352941,0.011948529411764705
64,pokemonsunandmoon,0.17463235294117646,0.13878676470588236,0.2849264705882353,0.02389705882352941,0.19209558823529413,0.17371323529411764,0.011948529411764705
65,superrobotwars,0.12639405204460966,0.028810408921933085,0.3104089219330855,0.06970260223048327,0.23048327137546468,0.20910780669144982,0.02509293680297398
66,thekingoffighters,0.18028169014084508,0.044131455399061034,0.3089201877934272,0.016901408450704224,0.28075117370892017,0.15211267605633802,0.016901408450704224
67,fireemblemfates,0.18685446009389672,0.13896713615023473,0.4225352112676056,0.018779342723004695,0.14460093896713616,0.07699530516431925,0.011267605633802818
68,metalgearsolid4gunsofthepatriots,0.16195856873822975,0.014124293785310734,0.2335216572504708,0.11864406779661017,0.1007532956685499,0.2749529190207156,0.096045197740113
69,tekken,0.18473138548539114,0.029217719132893498,0.26107445805843543,0.034872761545711596,0.27521206409048066,0.19227144203581528,0.022620169651272386
70,borderlands2,0.27882797731569,0.01984877126654064,0.2570888468809074,0.1937618147448015,0.1275992438563327,0.09546313799621928,0.027410207939508508
71,pokemonblackandwhite,0.13014354066985645,0.16937799043062202,0.3263157894736842,0.027751196172248804,0.19138755980861244,0.13875598086124402,0.016267942583732056
72,guiltygear,0.187015503875969,0.040697674418604654,0.30426356589147285,0.02616279069767442,0.27810077519379844,0.1501937984496124,0.013565891472868217
73,metalgearsolid2sonsofliberty,0.17745098039215687,0.0196078431372549,0.22549019607843138,0.09117647058823529,0.11176470588235295,0.2823529411764706,0.09215686274509804
74,finalfantasyix,0.153921568627451,0.10588235294117647,0.3637254901960784,0.01764705882352941,0.2607843137254902,0.09019607843137255,0.00784313725490196
75,residentevil4,0.1141732283464567,0.012795275590551181,0.24901574803149606,0.20078740157480315,0.1377952755905512,0.2529527559055118,0.03248031496062992
76,doom,0.14187192118226602,0.023645320197044337,0.23842364532019705,0.21280788177339902,0.17536945812807883,0.18817733990147784,0.019704433497536946
77,megamanbattlenetwork,0.12648221343873517,0.039525691699604744,0.29545454545454547,0.030632411067193676,0.2816205533596838,0.21146245059288538,0.014822134387351778
78,okami,0.13346613545816732,0.09661354581673307,0.301792828685259,0.03286852589641434,0.24701195219123506,0.18326693227091634,0.0049800796812749
79,finalfantasyv,0.075,0.089,0.36,0.008,0.308,0.155,0.005
80,soulseries,0.10220440881763528,0.052104208416833664,0.3106212424849699,0.03406813627254509,0.30060120240480964,0.18236472945891782,0.018036072144288578
