Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
,,,,,1649/0.0015288002446080392,,,,2152/0.0003050640634533252,,,,,,,,,,,,,,,,
,,,,,1213/0.0015288002446080392,,,,145/0.0003050640634533252,,,,,,,,,,,,,,,,
,,,,,1473/0.0015288002446080392,,,,1426/0.0003050640634533252,,,,,,,,,,,,,,,,
,,,,,420/0.0015288002446080392,,,,1839/0.00013074174147999652,,,,,,,,,,,,,,,,
,,,,,2121/0.0015288002446080392,,,,2518/0.00013074174147999652,,,,,,,,,,,,,,,,
,,,,,62/0.0015052802408448385,,,,,,,,,,,,,,,,,,,,
,,,,,2748/0.0015052802408448385,,,,,,,,,,,,,,,,,,,,
,,,,,734/0.001481760237081638,,,,,,,,,,,,,,,,,,,,
,,,,,940/0.001481760237081638,,,,,,,,,,,,,,,,,,,,
,,,,,1143/0.001481760237081638,,,,,,,,,,,,,,,,,,,,
,,,,,1589/0.001481760237081638,,,,,,,,,,,,,,,,,,,,
,,,,,2293/0.0014582402333184372,,,,,,,,,,,,,,,,,,,,
,,,,,1520/0.0014582402333184372,,,,,,,,,,,,,,,,,,,,
,,,,,2583/0.0014347202295552368,,,,,,,,,,,,,,,,,,,,
,,,,,635/0.0014112002257920362,,,,,,,,,,,,,,,,,,,,
,,,,,2521/0.0014112002257920362,,,,,,,,,,,,,,,,,,,,
,,,,,571/0.0014112002257920362,,,,,,,,,,,,,,,,,,,,
,,,,,1889/0.0014112002257920362,,,,,,,,,,,,,,,,,,,,
,,,,,1683/0.0014112002257920362,,,,,,,,,,,,,,,,,,,,
,,,,,34/0.0014112002257920362,,,,,,,,,,,,,,,,,,,,
,,,,,289/0.0013641602182656348,,,,,,,,,,,,,,,,,,,,
,,,,,1931/0.0013641602182656348,,,,,,,,,,,,,,,,,,,,
,,,,,2011/0.0013641602182656348,,,,,,,,,,,,,,,,,,,,
,,,,,1432/0.0013406402145024344,,,,,,,,,,,,,,,,,,,,
,,,,,1044/0.0013171202107392338,,,,,,,,,,,,,,,,,,,,
,,,,,1801/0.0012700802032128324,,,,,,,,,,,,,,,,,,,,
,,,,,1567/0.0011995201919232307,,,,,,,,,,,,,,,,,,,,
,,,,,1306/0.0011995201919232307,,,,,,,,,,,,,,,,,,,,
,,,,,878/0.0011995201919232307,,,,,,,,,,,,,,,,,,,,
,,,,,2684/0.00117600018816003,,,,,,,,,,,,,,,,,,,,
,,,,,2120/0.00117600018816003,,,,,,,,,,,,,,,,,,,,
,,,,,2992/0.00117600018816003,,,,,,,,,,,,,,,,,,,,
,,,,,2098/0.00117600018816003,,,,,,,,,,,,,,,,,,,,
,,,,,2880/0.00117600018816003,,,,,,,,,,,,,,,,,,,,
,,,,,2150/0.00117600018816003,,,,,,,,,,,,,,,,,,,,
,,,,,2615/0.00117600018816003,,,,,,,,,,,,,,,,,,,,
,,,,,1598/0.00117600018816003,,,,,,,,,,,,,,,,,,,,
,,,,,1779/0.0011524801843968294,,,,,,,,,,,,,,,,,,,,
,,,,,610/0.0011054401768704283,,,,,,,,,,,,,,,,,,,,
,,,,,2107/0.0011054401768704283,,,,,,,,,,,,,,,,,,,,
,,,,,2326/0.0011054401768704283,,,,,,,,,,,,,,,,,,,,
,,,,,2229/0.0010348801655808266,,,,,,,,,,,,,,,,,,,,
,,,,,2450/0.0008937601430016229,,,,,,,,,,,,,,,,,,,,
,,,,,1118/0.0008937601430016229,,,,,,,,,,,,,,,,,,,,
,,,,,2700/0.0008937601430016229,,,,,,,,,,,,,,,,,,,,
,,,,,1006/0.0008937601430016229,,,,,,,,,,,,,,,,,,,,
,,,,,2163/0.0008937601430016229,,,,,,,,,,,,,,,,,,,,
,,,,,2726/0.0008937601430016229,,,,,,,,,,,,,,,,,,,,
,,,,,2272/0.0007761601241856198,,,,,,,,,,,,,,,,,,,,
,,,,,1761/0.0007056001128960181,,,,,,,,,,,,,,,,,,,,
,,,,,2891/0.0006585601053696169,,,,,,,,,,,,,,,,,,,,
,,,,,2328/0.0006585601053696169,,,,,,,,,,,,,,,,,,,,
,,,,,1314/0.0006350401016064162,,,,,,,,,,,,,,,,,,,,
,,,,,1239/0.0006350401016064162,,,,,,,,,,,,,,,,,,,,
,,,,,478/0.000588000094080015,,,,,,,,,,,,,,,,,,,,
,,,,,1831/0.000588000094080015,,,,,,,,,,,,,,,,,,,,
,,,,,1639/0.000588000094080015,,,,,,,,,,,,,,,,,,,,
,,,,,2682/0.000588000094080015,,,,,,,,,,,,,,,,,,,,
,,,,,2259/0.0005174400827904133,,,,,,,,,,,,,,,,,,,,
,,,,,1342/0.00014112002257920362,,,,,,,,,,,,,,,,,,,,
,,,,,1378/0.00014112002257920362,,,,,,,,,,,,,,,,,,,,
,,,,,2872/0.00014112002257920362,,,,,,,,,,,,,,,,,,,,
,,,,,2325/0.00014112002257920362,,,,,,,,,,,,,,,,,,,,
,,,,,450/0.00014112002257920362,,,,,,,,,,,,,,,,,,,,
,,,,,2353/4.7040007526401205e-05,,,,,,,,,,,,,,,,,,,,
