Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
2382/0.004883824182329436,984/0.0043226058341234875,2803/0.00795593635250918,280/0.00632381660931833,2703/0.005579490076982838,2972/0.003786720605875297,1292/0.006418338108882522,2287/0.006996931826685624,,633/0.004706702693279875,1829/0.006579462677214694,2185/0.0076052125614185,2364/0.007766990291262136,2761/0.002936857562408223,2753/0.0065564687413426906,,2848/0.004581673306772908,,,,,,,,,
1993/0.004587834837945834,396/0.0043226058341234875,1874/0.007789028596862134,1010/0.006277317957779224,2604/0.005579490076982838,2731/0.0037396805983488956,2407/0.006418338108882522,271/0.006959515078949338,,1712/0.00461954153229321,2676/0.006501135740581186,2167/0.007519760734885708,2449/0.007766990291262136,1001/0.0024473813020068525,425/0.006279434850863423,,978/0.004581673306772908,,,,,,,,,
2301/0.004587834837945834,1718/0.004294718054548497,1941/0.007677756759764104,1485/0.006277317957779224,50/0.005579490076982838,2550/0.0037396805983488956,1542/0.006303724928366762,1122/0.006922098331213051,,91/0.00461954153229321,454/0.006501135740581186,1725/0.007434308908352916,434/0.007558945908460472,874/0.0024473813020068525,1333/0.006279434850863423,,2930/0.0041832669322709164,,,,,,,,,
2524/0.0044398401657540325,2227/0.004294718054548497,1836/0.0076221208412150885,32/0.0060448247000836975,2097/0.005579490076982838,993/0.003716160594585695,456/0.006189111747851003,1309/0.0068846815834767644,,466/0.00461954153229321,2933/0.006501135740581186,2127/0.007348857081820124,1606/0.007212205270457697,1897/0.0024473813020068525,1040/0.006279434850863423,,2876/0.0041832669322709164,,,,,,,,,
2312/0.004291845493562232,488/0.004294718054548497,1397/0.007399577167019027,1566/0.0060448247000836975,173/0.005508863620312169,2380/0.003716160594585695,986/0.006074498567335243,2042/0.0068846815834767644,,1388/0.004575960951799878,2587/0.006422808803947678,1052/0.007263405255287332,1726/0.007212205270457697,1926/0.0024473813020068525,1739/0.00609474559054391,,2469/0.0041832669322709164,,,,,,,,,
1550/0.0038478614769868287,490/0.004280774164761002,2409/0.007232669411371981,2478/0.0059518273970054865,1156/0.005508863620312169,996/0.0036926405908224947,2273/0.006074498567335243,1635/0.0068846815834767644,,150/0.004575960951799878,2601/0.006422808803947678,1555/0.00717795342875454,1294/0.007142857142857143,2137/0.0022026431718061676,795/0.006002400960384154,,1527/0.0041832669322709164,,,,,,,,,
2122/0.0036998668047950275,2525/0.004238942495398516,1834/0.007177033492822967,864/0.0059518273970054865,998/0.0054382371636415,2442/0.003669120587059294,629/0.005845272206303725,1540/0.0068846815834767644,,492/0.0044452192103198816,2119/0.006422808803947678,2851/0.00717795342875454,2979/0.0070041608876560335,1455/0.0022026431718061676,2628/0.005910056330224398,,1376/0.0041832669322709164,,,,,,,,,
1932/0.0035518721326032263,114/0.004224998605611021,1719/0.006898853900077891,2148/0.005905328745466382,2072/0.0054382371636415,711/0.003669120587059294,2559/0.0056160458452722065,282/0.006809848088004191,,1094/0.0044452192103198816,2499/0.006344481867314169,1454/0.00717795342875454,1580/0.0070041608876560335,2289/0.0022026431718061676,634/0.005910056330224398,,2742/0.0041832669322709164,,,,,,,,,
2850/0.0035518721326032263,77/0.004197110826036031,182/0.006898853900077891,2104/0.005905328745466382,2157/0.005367610706970831,766/0.0036456005832960934,2999/0.0056160458452722065,1142/0.006772431340267904,,1855/0.0044452192103198816,662/0.006187827994047153,29/0.0070925016022217475,2311/0.0070041608876560335,1853/0.0022026431718061676,823/0.005910056330224398,,1060/0.0031872509960159364,,,,,,,,,
236/0.002959893443836022,551/0.004197110826036031,1614/0.006731946144430845,855/0.005905328745466382,1176/0.005296984250300163,2646/0.0036456005832960934,1835/0.005501432664756447,1167/0.0066975978447953305,,405/0.00440163862982655,1214/0.006187827994047153,2248/0.007007049775688955,2898/0.0070041608876560335,2637/0.0022026431718061676,1962/0.005817711700064641,,2733/0.00298804780876494,,,,,,,,,
2629/0.001479946721918011,1332/0.004183166936248536,602/0.006731946144430845,382/0.005905328745466382,560/0.005226357793629494,599/0.0036456005832960934,1437/0.005501432664756447,586/0.006660181097059043,,951/0.00440163862982655,2648/0.006109501057413645,1796/0.006878872035889767,1201/0.0070041608876560335,2019/0.0019579050416054823,767/0.005817711700064641,,577/0.00199203187250996,,,,,,,,,
1447/0.001479946721918011,1788/0.00416922304646104,1978/0.006731946144430845,754/0.005858830093927276,1716/0.005085104880288156,645/0.0036456005832960934,1535/0.005272206303724929,792/0.006622764349322757,,2622/0.00440163862982655,2877/0.006109501057413645,2403/0.006750694296090579,2194/0.0068654646324549234,176/0.0019579050416054823,2967/0.005725367069904885,,2489/0.00199203187250996,,,,,,,,,
589/0.0002959893443836022,1500/0.004155279156673545,945/0.006008679203293646,1355/0.005858830093927276,1749/0.005085104880288156,2073/0.0036220805795328928,2711/0.005272206303724929,2424/0.00658534760158647,,647/0.00440163862982655,2146/0.005952847184146628,2903/0.006750694296090579,1996/0.0068654646324549234,1904/0.0019579050416054823,2554/0.005633022439745129,,283/0.00099601593625498,,,,,,,,,
,870/0.004155279156673545,2770/0.005953043284744631,1744/0.00571933413930996,2228/0.005085104880288156,1391/0.0036220805795328928,929/0.005157593123209169,2077/0.00658534760158647,,879/0.004358058049333217,2378/0.005952847184146628,95/0.006750694296090579,1810/0.006726768377253814,2115/0.0019579050416054823,1852/0.005540677809585373,,2071/0.00099601593625498,,,,,,,,,
,195/0.004127391377098556,505/0.005786135529097586,614/0.005672835487770854,2975/0.005014478423617487,1092/0.003598560575769692,2564/0.004928366762177651,2041/0.006547930853850184,,603/0.004314477468839885,2728/0.005952847184146628,1651/0.006707968382824183,1586/0.006588072122052704,2969/0.0019579050416054823,407/0.005448333179425616,,2549/0.00099601593625498,,,,,,,,,
,952/0.004127391377098556,2299/0.005007232669411372,37/0.005533339533153539,2917/0.00487322551027615,1948/0.003598560575769692,2971/0.004813753581661891,990/0.006435680610641323,,938/0.004314477468839885,2762/0.005796193310879612,698/0.006665242469557787,2067/0.006310679611650485,2934/0.0017131669114047968,2040/0.005263643919106104,,2013/0.00039840637450199205,,,,,,,,,
,70/0.0041134474873110605,776/0.004339601646823189,2006/0.005533339533153539,2282/0.00487322551027615,895/0.003598560575769692,2888/0.004813753581661891,672/0.006398263862905036,,2889/0.004270896888346553,2319/0.005796193310879612,2765/0.006622516556291391,2465/0.005963938973647711,59/0.0017131669114047968,2908/0.005078954658786591,,1204/0.00039840637450199205,,,,,,,,,
,1047/0.0041134474873110605,,142/0.005486840881614433,2459/0.00487322551027615,26/0.0035750405720064915,2032/0.004584527220630372,2271/0.006286013619696176,,334/0.004270896888346553,2295/0.005561212500979087,1662/0.006622516556291391,2363/0.005825242718446602,667/0.0017131669114047968,1091/0.004986610028626835,,1971/0.00039840637450199205,,,,,,,,,
,1816/0.004099503597523565,,2464/0.005440342230075328,2198/0.004802599053605481,1025/0.0035750405720064915,1988/0.004469914040114613,2445/0.006286013619696176,,2944/0.004270896888346553,685/0.005561212500979087,2444/0.006579790643024995,1177/0.005686546463245492,1981/0.0012236906510034262,2947/0.004801920768307323,,2624/0.00039840637450199205,,,,,,,,,
,757/0.004099503597523565,,387/0.0053473449269971175,1106/0.0047319725969348116,699/0.0035750405720064915,2278/0.004469914040114613,935/0.006248596871959889,,612/0.004270896888346553,295/0.00540455862771207,1494/0.006537064729758599,1528/0.004715672676837725,2496/0.0012236906510034262,2470/0.004801920768307323,,618/0.00039840637450199205,,,,,,,,,
,749/0.004099503597523565,,651/0.005300846275458012,1232/0.0047319725969348116,493/0.0035750405720064915,2186/0.004355300859598854,286/0.006211180124223602,,642/0.00422731630785322,1913/0.00540455862771207,333/0.006537064729758599,2333/0.004715672676837725,1871/0.0012236906510034262,863/0.004709576138147566,,1818/0.00039840637450199205,,,,,,,,,
