i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17
10,agirladrift,0.025,0.25,0.05,0.0,0.075,0.2,0.0,0.05,0.0,0.025,0.075,0.025,0.1,0.075,0.0,0.0,0.05
11,ahatintime,0.17391304347826086,0.2391304347826087,0.06521739130434782,0.13695652173913042,0.07608695652173914,0.04782608695652174,0.06956521739130435,0.03695652173913044,0.04565217391304348,0.002173913043478261,0.004347826086956522,0.013043478260869565,0.05,0.017391304347826087,0.002173913043478261,0.013043478260869565,0.006521739130434782
12,ahintofatint,0.016129032258064516,0.14516129032258066,0.0967741935483871,0.11290322580645161,0.03225806451612903,0.06451612903225806,0.1774193548387097,0.0967741935483871,0.016129032258064516,0.03225806451612903,0.016129032258064516,0.0,0.04838709677419355,0.08064516129032258,0.0,0.06451612903225806,0.0
13,ahomefaraway,0.09859154929577464,0.19718309859154928,0.15492957746478872,0.11267605633802817,0.014084507042253521,0.09859154929577464,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0,0.014084507042253521,0.0,0.056338028169014086,0.15492957746478872,0.0,0.056338028169014086,0.0
14,ahouseofmanydoors,0.024390243902439025,0.08943089430894309,0.12195121951219512,0.21951219512195122,0.024390243902439025,0.06504065040650407,0.0975609756097561,0.13008130081300814,0.0,0.07317073170731707,0.0,0.008130081300813009,0.10569105691056911,0.04065040650406504,0.0,0.0,0.0
15,aidungeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,aidungeon2,0.030864197530864196,0.13580246913580246,0.04938271604938271,0.15432098765432098,0.1111111111111111,0.14814814814814814,0.10493827160493827,0.04938271604938271,0.030864197530864196,0.018518518518518517,0.006172839506172839,0.006172839506172839,0.08024691358024691,0.018518518518518517,0.012345679012345678,0.018518518518518517,0.024691358024691357
17,aithesomniumfiles,0.031578947368421054,0.0912280701754386,0.09824561403508772,0.21052631578947367,0.1649122807017544,0.03508771929824561,0.1649122807017544,0.03508771929824561,0.014035087719298246,0.007017543859649123,0.03508771929824561,0.014035087719298246,0.05964912280701754,0.0035087719298245615,0.017543859649122806,0.0035087719298245615,0.014035087719298246
18,ajugglerstale,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
19,akingstalefinalfantasyxv,0.2,0.13333333333333333,0.0,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.1,0.0,0.16666666666666666,0.0
20,alegionarystale,0.023809523809523808,0.0,0.047619047619047616,0.23809523809523808,0.07142857142857142,0.0,0.07142857142857142,0.30952380952380953,0.0,0.07142857142857142,0.0,0.14285714285714285,0.023809523809523808,0.0,0.0,0.0,0.0
21,amindforevervoyaging,0.022988505747126436,0.05747126436781609,0.04597701149425287,0.19540229885057472,0.05747126436781609,0.06896551724137931,0.1724137931034483,0.06896551724137931,0.034482758620689655,0.08045977011494253,0.022988505747126436,0.022988505747126436,0.08045977011494253,0.0,0.022988505747126436,0.0,0.04597701149425287
22,anewbeginning,0.029411764705882353,0.17647058823529413,0.08823529411764706,0.14705882352941177,0.058823529411764705,0.0,0.17647058823529413,0.08823529411764706,0.0,0.0,0.0,0.029411764705882353,0.08823529411764706,0.0,0.08823529411764706,0.0,0.029411764705882353
23,anightmareonelmstreetnes,0.06666666666666667,0.4,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.0
24,anightmareonelmstreetpc,0.11764705882352941,0.35294117647058826,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.17647058823529413,0.0,0.058823529411764705,0.058823529411764705,0.0
25,anoblecircle,0.1,0.2,0.03333333333333333,0.16666666666666666,0.1,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.1,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333
26,anormallostphone,0.09523809523809523,0.0,0.14285714285714285,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.14285714285714285,0.0,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.0,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0
27,aplaguetaleinnocence,0.016666666666666666,0.06666666666666667,0.05,0.21666666666666667,0.12777777777777777,0.044444444444444446,0.17777777777777778,0.07222222222222222,0.0,0.03333333333333333,0.011111111111111112,0.07222222222222222,0.08888888888888889,0.011111111111111112,0.005555555555555556,0.005555555555555556,0.0
28,aprestigetreemodaboutmerging,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.1
29,arksurvivalevolved,0.1039426523297491,0.18996415770609318,0.021505376344086023,0.1039426523297491,0.053763440860215055,0.0967741935483871,0.007168458781362007,0.053763440860215055,0.0,0.0035842293906810036,0.0035842293906810036,0.010752688172043012,0.035842293906810034,0.035842293906810034,0.12544802867383512,0.12186379928315412,0.03225806451612903
30,arms,0.3433734939759036,0.15060240963855423,0.10240963855421686,0.09036144578313253,0.04819277108433735,0.03614457831325301,0.024096385542168676,0.024096385542168676,0.03614457831325301,0.006024096385542169,0.0,0.006024096385542169,0.030120481927710843,0.03614457831325301,0.0,0.060240963855421686,0.006024096385542169
31,arobotnamedfight,0.09090909090909091,0.24242424242424243,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.09090909090909091,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.06060606060606061,0.0,0.0,0.06060606060606061,0.030303030303030304,0.0,0.06060606060606061,0.06060606060606061
32,aroseinthetwilight,0.027777777777777776,0.16666666666666666,0.1388888888888889,0.16666666666666666,0.0,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.08333333333333333,0.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.0
33,asecondface,0.04,0.04,0.08,0.12,0.04,0.08,0.08,0.16,0.0,0.04,0.04,0.04,0.16,0.0,0.04,0.0,0.04
34,aseriesofunfortunateevents2004,0.037037037037037035,0.25925925925925924,0.0,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.037037037037037035,0.18518518518518517,0.0,0.07407407407407407,0.0,0.037037037037037035,0.0,0.0,0.0,0.0
35,ashorthike,0.125,0.16666666666666666,0.0,0.125,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.0,0.0
36,asmallfavor,0.0,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0
37,asmalltalkatthebackofbeyond,0.0,0.038461538461538464,0.0,0.23076923076923078,0.0,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,0.19230769230769232,0.0,0.07692307692307693,0.0,0.11538461538461539
38,aspacefortheunbound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,astoryaboutmyuncle,0.15,0.25,0.05,0.05,0.025,0.075,0.0,0.05,0.125,0.0,0.0,0.0,0.15,0.025,0.05,0.0,0.0
40,astudyinsteampunk,0.0125,0.025,0.0375,0.1625,0.0875,0.0625,0.1875,0.15,0.0,0.15,0.0,0.025,0.0,0.0625,0.0125,0.0125,0.0125
41,ataleoftwokingdoms,0.009708737864077669,0.1650485436893204,0.10679611650485436,0.1941747572815534,0.07766990291262135,0.10679611650485436,0.0970873786407767,0.04854368932038835,0.0,0.019417475728155338,0.02912621359223301,0.009708737864077669,0.05825242718446602,0.038834951456310676,0.02912621359223301,0.009708737864077669,0.0
42,atechcybernetic,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,0.08333333333333333
43,atimelessstory,0.0,0.022727272727272728,0.18181818181818182,0.25,0.06818181818181818,0.022727272727272728,0.29545454545454547,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.06818181818181818,0.0,0.0,0.0,0.0
44,avalleywithoutwind,0.04918032786885246,0.18032786885245902,0.01639344262295082,0.11475409836065574,0.03278688524590164,0.19672131147540983,0.06557377049180328,0.11475409836065574,0.06557377049180328,0.0,0.0,0.01639344262295082,0.04918032786885246,0.01639344262295082,0.0,0.06557377049180328,0.01639344262295082
45,avalleywithoutwind2,0.11428571428571428,0.11428571428571428,0.02857142857142857,0.2,0.0,0.11428571428571428,0.11428571428571428,0.08571428571428572,0.0,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.11428571428571428,0.0
46,avampyrestory,0.0,0.10434782608695652,0.12173913043478261,0.2608695652173913,0.10434782608695652,0.09565217391304348,0.10434782608695652,0.02608695652173913,0.0,0.017391304347826087,0.008695652173913044,0.008695652173913044,0.08695652173913043,0.02608695652173913,0.034782608695652174,0.0,0.0
47,averylongropetothetopofthesky,0.060897435897435896,0.14743589743589744,0.125,0.08653846153846154,0.057692307692307696,0.060897435897435896,0.0641025641025641,0.07692307692307693,0.009615384615384616,0.035256410256410256,0.035256410256410256,0.01282051282051282,0.019230769230769232,0.14102564102564102,0.003205128205128205,0.038461538461538464,0.02564102564102564
48,avirusnamedtom,0.0,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.1111111111111111
49,awalkinthewoods,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.5,0.07142857142857142,0.0,0.0,0.0
50,awayout,0.037383177570093455,0.07476635514018691,0.06542056074766354,0.3177570093457944,0.12149532710280374,0.009345794392523364,0.205607476635514,0.06542056074766354,0.009345794392523364,0.0,0.0,0.04672897196261682,0.037383177570093455,0.009345794392523364,0.0,0.0,0.0
51,awaytobedead,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0
52,awitchstale,0.1717171717171717,0.23232323232323232,0.1717171717171717,0.1111111111111111,0.010101010101010102,0.06060606060606061,0.04040404040404041,0.04040404040404041,0.0,0.020202020202020204,0.0,0.0,0.050505050505050504,0.06060606060606061,0.0,0.030303030303030304,0.0
53,aaaaaaaaaaaaaaaaaaaaaaaaaarecklessdisregardforgravity,0.11764705882352941,0.20588235294117646,0.058823529411764705,0.2647058823529412,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
54,abadox,0.17777777777777778,0.3111111111111111,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.0,0.13333333333333333,0.0,0.0,0.0,0.08888888888888889,0.022222222222222223,0.0,0.08888888888888889,0.044444444444444446
55,abalaburn,0.28,0.24,0.04,0.16,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.12,0.0
56,abandonship,0.0,0.125,0.05357142857142857,0.125,0.03571428571428571,0.08928571428571429,0.10714285714285714,0.19642857142857142,0.0,0.017857142857142856,0.0,0.017857142857142856,0.05357142857142857,0.08928571428571429,0.0,0.03571428571428571,0.05357142857142857
57,aberoth,0.04,0.2,0.0,0.04,0.0,0.08,0.04,0.08,0.04,0.0,0.0,0.0,0.04,0.12,0.0,0.32,0.0
58,abmneshitheprophecy,0.3333333333333333,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0,0.03333333333333333,0.13333333333333333,0.0
59,abominationthenemesisproject,0.027777777777777776,0.1111111111111111,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.0,0.027777777777777776,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666,0.027777777777777776,0.0,0.05555555555555555,0.1111111111111111
60,absolutepinball,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.5,0.0,0.0
61,absolver,0.2,0.17777777777777778,0.022222222222222223,0.08888888888888889,0.0,0.06666666666666667,0.044444444444444446,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.06666666666666667,0.044444444444444446,0.0,0.24444444444444444,0.0
62,abuse,0.07692307692307693,0.23076923076923078,0.0,0.015384615384615385,0.015384615384615385,0.046153846153846156,0.015384615384615385,0.18461538461538463,0.2,0.0,0.0,0.0,0.12307692307692308,0.015384615384615385,0.0,0.046153846153846156,0.03076923076923077
63,abyssodyssey,0.07692307692307693,0.18461538461538463,0.046153846153846156,0.13846153846153847,0.07692307692307693,0.06153846153846154,0.16923076923076924,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.0,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.0,0.09230769230769231,0.0
64,abzu,0.16666666666666666,0.22727272727272727,0.045454545454545456,0.06060606060606061,0.015151515151515152,0.015151515151515152,0.06060606060606061,0.030303030303030304,0.015151515151515152,0.0,0.015151515151515152,0.045454545454545456,0.18181818181818182,0.015151515151515152,0.045454545454545456,0.0,0.06060606060606061
65,acaratus,0.0,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.0,0.045454545454545456,0.0,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.0,0.22727272727272727,0.045454545454545456
66,accounting,0.0196078431372549,0.13725490196078433,0.058823529411764705,0.39215686274509803,0.0392156862745098,0.0196078431372549,0.09803921568627451,0.0392156862745098,0.0392156862745098,0.0196078431372549,0.0,0.0,0.13725490196078433,0.0,0.0,0.0,0.0
67,acecombat,0.13617886178861788,0.1443089430894309,0.028455284552845527,0.08536585365853659,0.024390243902439025,0.024390243902439025,0.07317073170731707,0.11585365853658537,0.014227642276422764,0.008130081300813009,0.02032520325203252,0.08943089430894309,0.026422764227642278,0.008130081300813009,0.0040650406504065045,0.06504065040650407,0.13211382113821138
68,acecombat04shatteredskies,0.13953488372093023,0.14883720930232558,0.05116279069767442,0.13023255813953488,0.027906976744186046,0.03255813953488372,0.06511627906976744,0.12558139534883722,0.004651162790697674,0.0,0.018604651162790697,0.06976744186046512,0.03255813953488372,0.009302325581395349,0.004651162790697674,0.037209302325581395,0.10232558139534884
69,acecombat2,0.20512820512820512,0.1794871794871795,0.02564102564102564,0.07692307692307693,0.038461538461538464,0.02564102564102564,0.05128205128205128,0.0641025641025641,0.0,0.0,0.0,0.08974358974358974,0.02564102564102564,0.0,0.0,0.07692307692307693,0.14102564102564102
70,acecombat3electrosphere,0.1201923076923077,0.10576923076923077,0.028846153846153848,0.1778846153846154,0.04326923076923077,0.019230769230769232,0.12980769230769232,0.08653846153846154,0.004807692307692308,0.0,0.009615384615384616,0.04326923076923077,0.038461538461538464,0.004807692307692308,0.0,0.04326923076923077,0.14423076923076922
71,acecombat5theunsungwar,0.13031161473087818,0.0906515580736544,0.031161473087818695,0.12464589235127478,0.059490084985835696,0.0169971671388102,0.09915014164305949,0.11614730878186968,0.0,0.0028328611898017,0.025495750708215296,0.12181303116147309,0.028328611898016998,0.014164305949008499,0.0,0.039660056657223795,0.09915014164305949
72,acecombat6firesofliberation,0.10679611650485436,0.0825242718446602,0.04854368932038835,0.16019417475728157,0.02912621359223301,0.038834951456310676,0.10194174757281553,0.12135922330097088,0.0048543689320388345,0.0,0.019417475728155338,0.11165048543689321,0.009708737864077669,0.014563106796116505,0.0,0.06310679611650485,0.08737864077669903
73,acecombat7skiesunknown,0.07692307692307693,0.11226611226611227,0.033264033264033266,0.17463617463617465,0.05405405405405406,0.02286902286902287,0.11850311850311851,0.12266112266112267,0.004158004158004158,0.008316008316008316,0.010395010395010396,0.06444906444906445,0.02286902286902287,0.016632016632016633,0.002079002079002079,0.05405405405405406,0.10187110187110188
74,acecombatassaulthorizon,0.12571428571428572,0.13142857142857142,0.017142857142857144,0.12,0.05714285714285714,0.03428571428571429,0.08571428571428572,0.07428571428571429,0.017142857142857144,0.0,0.005714285714285714,0.12571428571428572,0.02857142857142857,0.017142857142857144,0.0,0.04,0.12
75,acecombatassaulthorizonlegacy,0.19658119658119658,0.13675213675213677,0.008547008547008548,0.1282051282051282,0.03418803418803419,0.03418803418803419,0.09401709401709402,0.11965811965811966,0.017094017094017096,0.0,0.0,0.042735042735042736,0.042735042735042736,0.008547008547008548,0.008547008547008548,0.03418803418803419,0.09401709401709402
76,acecombatinfinity,0.09292035398230089,0.10619469026548672,0.05752212389380531,0.18141592920353983,0.02654867256637168,0.07079646017699115,0.06637168141592921,0.11504424778761062,0.008849557522123894,0.004424778761061947,0.022123893805309734,0.04424778761061947,0.01327433628318584,0.008849557522123894,0.0,0.09292035398230089,0.08849557522123894
77,acecombatjointassault,0.15492957746478872,0.19718309859154928,0.04225352112676056,0.056338028169014086,0.0,0.028169014084507043,0.1267605633802817,0.07042253521126761,0.028169014084507043,0.0,0.0,0.11267605633802817,0.04225352112676056,0.0,0.0,0.056338028169014086,0.08450704225352113
78,acecombatnorthernwings,0.16,0.08,0.04,0.2,0.0,0.08,0.16,0.0,0.0,0.0,0.0,0.12,0.04,0.0,0.0,0.12,0.0
79,acecombatxskiesofdeception,0.12037037037037036,0.12037037037037036,0.06481481481481481,0.16666666666666666,0.009259259259259259,0.027777777777777776,0.06481481481481481,0.16666666666666666,0.009259259259259259,0.0,0.0,0.037037037037037035,0.018518518518518517,0.009259259259259259,0.009259259259259259,0.08333333333333333,0.09259259259259259
80,acecombatzerothebelkanwar,0.13988095238095238,0.11011904761904762,0.044642857142857144,0.15773809523809523,0.041666666666666664,0.017857142857142856,0.08630952380952381,0.1130952380952381,0.002976190476190476,0.01488095238095238,0.002976190476190476,0.08035714285714286,0.026785714285714284,0.01488095238095238,0.002976190476190476,0.050595238095238096,0.09226190476190477
81,acefishing,0.11428571428571428,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.0,0.05714285714285714,0.0,0.05714285714285714,0.02857142857142857,0.0,0.05714285714285714,0.0
82,aceonline,0.0728476821192053,0.152317880794702,0.026490066225165563,0.07947019867549669,0.0,0.07947019867549669,0.006622516556291391,0.08609271523178808,0.006622516556291391,0.0,0.0,0.013245033112582781,0.006622516556291391,0.11920529801324503,0.0,0.2052980132450331,0.1456953642384106
83,aceswildmanicbrawlingaction,0.2,0.2,0.04,0.04,0.0,0.0,0.04,0.04,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.24,0.04
84,achaea,0.061855670103092786,0.07216494845360824,0.09278350515463918,0.09278350515463918,0.020618556701030927,0.13402061855670103,0.05154639175257732,0.10309278350515463,0.0,0.061855670103092786,0.020618556701030927,0.020618556701030927,0.041237113402061855,0.13402061855670103,0.0,0.09278350515463918,0.0
85,achievementunlocked,0.05,0.26666666666666666,0.06666666666666667,0.1,0.08333333333333333,0.16666666666666666,0.0,0.016666666666666666,0.08333333333333333,0.0,0.0,0.016666666666666666,0.11666666666666667,0.0,0.03333333333333333,0.0,0.0
86,aconcagua,0.125,0.1875,0.125,0.1875,0.0,0.0,0.125,0.0625,0.0,0.0,0.0,0.125,0.0625,0.0,0.0,0.0,0.0
87,acornstory,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
88,actofaggression,0.029411764705882353,0.07352941176470588,0.014705882352941176,0.1323529411764706,0.0,0.014705882352941176,0.029411764705882353,0.17647058823529413,0.014705882352941176,0.0,0.0,0.1323529411764706,0.014705882352941176,0.0,0.0,0.10294117647058823,0.2647058823529412
89,action52,0.20270270270270271,0.2702702702702703,0.02252252252252252,0.07657657657657657,0.04504504504504504,0.05855855855855856,0.009009009009009009,0.009009009009009009,0.19369369369369369,0.0,0.0,0.0,0.05405405405405406,0.0045045045045045045,0.009009009009009009,0.03153153153153153,0.013513513513513514
90,actionfish,0.09090909090909091,0.13636363636363635,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.18181818181818182,0.045454545454545456,0.0,0.0,0.045454545454545456
91,actionmax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92,adverbum,0.11764705882352941,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0,0.0
93,adr1ft,0.0,0.08333333333333333,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.08333333333333333,0.16666666666666666
94,advancedvariablegeo,0.18497109826589594,0.06358381502890173,0.27167630057803466,0.12716763005780346,0.06936416184971098,0.011560693641618497,0.08092485549132948,0.017341040462427744,0.005780346820809248,0.011560693641618497,0.08092485549132948,0.017341040462427744,0.005780346820809248,0.023121387283236993,0.0,0.028901734104046242,0.0
95,adventrising,0.07462686567164178,0.13432835820895522,0.04477611940298507,0.19402985074626866,0.0,0.029850746268656716,0.14925373134328357,0.13432835820895522,0.014925373134328358,0.0,0.0,0.014925373134328358,0.04477611940298507,0.0,0.0,0.1044776119402985,0.05970149253731343
96,adventure,0.19718309859154928,0.23943661971830985,0.04225352112676056,0.056338028169014086,0.028169014084507043,0.1267605633802817,0.0,0.014084507042253521,0.08450704225352113,0.0,0.0,0.0,0.09859154929577464,0.028169014084507043,0.056338028169014086,0.014084507042253521,0.014084507042253521
97,adventureaplanetofdeath,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091
98,adventureallinthegame,0.0625,0.1875,0.0,0.1875,0.0625,0.0,0.25,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625
99,adventurebincacurse,0.18181818181818182,0.18181818181818182,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
100,adventurecshipofdoom,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.11764705882352941,0.23529411764705882,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941
101,adventurefunpak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
102,adventureisland,0.3384615384615385,0.22564102564102564,0.06666666666666667,0.06153846153846154,0.020512820512820513,0.046153846153846156,0.010256410256410256,0.005128205128205128,0.17435897435897435,0.0,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.020512820512820513,0.0
103,adventurequest3d,0.10047846889952153,0.1674641148325359,0.11004784688995216,0.11961722488038277,0.03827751196172249,0.1339712918660287,0.07655502392344497,0.0430622009569378,0.004784688995215311,0.014354066985645933,0.0,0.0,0.019138755980861243,0.12440191387559808,0.0,0.04784688995215311,0.0
104,adventurestory,0.11764705882352941,0.38235294117647056,0.0,0.0,0.0,0.14705882352941177,0.029411764705882353,0.0,0.17647058823529413,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.08823529411764706,0.0
105,adventuretheinsidejob,0.05263157894736842,0.21052631578947367,0.0,0.15789473684210525,0.05263157894736842,0.0,0.21052631578947367,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.15789473684210525,0.0,0.05263157894736842
106,adventurewelcometothegenre,0.0625,0.1875,0.0,0.1875,0.0625,0.0,0.25,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625
107,adventuresinthegalaxyoffantabulouswonderment,0.034482758620689655,0.13793103448275862,0.034482758620689655,0.1724137931034483,0.06896551724137931,0.1724137931034483,0.034482758620689655,0.06896551724137931,0.0,0.0,0.034482758620689655,0.0,0.0,0.06896551724137931,0.06896551724137931,0.0,0.10344827586206896
108,adventuresinthemagickingdom,0.15789473684210525,0.3157894736842105,0.10526315789473684,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.2631578947368421,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0
