Topic 1,Topic 2,Topic 3,Topic 4
2203/0.002863114998858267,1938/0.001317390180715677,71/0.005534188034188034,1497/0.004382328556200403
2476/0.002845549876165885,254/0.001304783576115527,2320/0.0054487179487179484,513/0.004382328556200403
1080/0.002827984753473503,698/0.001304783576115527,1098/0.005427350427350428,2230/0.0042638872438706624
1121/0.002827984753473503,2862/0.001304783576115527,801/0.0052991452991453,769/0.0042638872438706624
1459/0.002827984753473503,36/0.001304783576115527,1205/0.005277777777777778,1889/0.0042638872438706624
2227/0.002810419630781121,145/0.001298480273815452,1816/0.005277777777777778,1628/0.004145445931540922
1078/0.002810419630781121,2042/0.001292176971515377,1361/0.005235042735042735,2055/0.004027004619211181
240/0.002792854508088739,722/0.001292176971515377,2082/0.005192307692307692,1833/0.004027004619211181
73/0.002792854508088739,1127/0.001292176971515377,805/0.005170940170940171,1377/0.004027004619211181
556/0.002792854508088739,792/0.001292176971515377,1547/0.005170940170940171,610/0.004027004619211181
689/0.002775289385396357,2660/0.001292176971515377,552/0.005170940170940171,1874/0.004027004619211181
2167/0.002740159140011593,1439/0.001279570366915227,113/0.00514957264957265,1580/0.00390856330688144
536/0.002740159140011593,1075/0.001279570366915227,2525/0.005128205128205128,957/0.00390856330688144
77/0.002722594017319211,2060/0.001279570366915227,598/0.005128205128205128,2986/0.0037901219945516997
990/0.002722594017319211,2623/0.001279570366915227,1125/0.005064102564102564,2382/0.0037901219945516997
604/0.002705028894626829,1943/0.0012732670646151518,1853/0.004957264957264958,379/0.003671680682221959
1552/0.002705028894626829,1729/0.0012732670646151518,2162/0.004957264957264958,2850/0.003671680682221959
2161/0.002705028894626829,350/0.0012732670646151518,1676/0.004935897435897436,1932/0.0035532393698922186
86/0.002687463771934447,2528/0.0012732670646151518,277/0.004914529914529914,385/0.003434798057562478
892/0.002669898649242065,2582/0.0012669637623150768,1524/0.004893162393162393,2419/0.003434798057562478
1137/0.002669898649242065,210/0.0012669637623150768,1600/0.004893162393162393,1456/0.003434798057562478
235/0.002634768403857301,2653/0.0012543571577149268,487/0.004764957264957265,2023/0.003434798057562478
1170/0.002634768403857301,534/0.0012543571577149268,2089/0.0044444444444444444,1864/0.003434798057562478
818/0.002617203281164919,606/0.0012480538554148519,672/0.004423076923076923,824/0.003434798057562478
269/0.002617203281164919,435/0.0012417505531147769,1732/0.004423076923076923,1043/0.003434798057562478
1757/0.0025996381584725368,398/0.0012354472508147019,195/0.004401709401709402,820/0.003316356745232737
1189/0.0025996381584725368,2159/0.0012354472508147019,1113/0.004401709401709402,970/0.003316356745232737
1513/0.0025996381584725368,2518/0.0012354472508147019,2123/0.004401709401709402,2097/0.003316356745232737
2036/0.002564507913087773,2168/0.001229143948514627,1591/0.004358974358974359,1067/0.003316356745232737
1129/0.002564507913087773,475/0.001229143948514627,404/0.004337606837606838,1787/0.003316356745232737
287/0.002564507913087773,79/0.001229143948514627,981/0.004294871794871795,2092/0.003079474120573256
140/0.002564507913087773,1870/0.001229143948514627,814/0.004252136752136752,2229/0.0029610328082435152
966/0.002564507913087773,580/0.0012228406462145517,2039/0.004230769230769231,1177/0.0029610328082435152
1425/0.002529377667703009,2772/0.0012228406462145517,2914/0.004230769230769231,1350/0.0029610328082435152
10/0.002529377667703009,1313/0.0012228406462145517,854/0.004209401709401709,1792/0.0028425914959137747
507/0.002529377667703009,2445/0.0012228406462145517,1267/0.004209401709401709,3001/0.0028425914959137747
201/0.002511812545010627,2127/0.0012165373439144767,2618/0.004145299145299145,2009/0.0028425914959137747
2118/0.002511812545010627,543/0.0012165373439144767,848/0.004145299145299145,1998/0.002724150183584034
2572/0.002511812545010627,880/0.0012102340416144017,1798/0.004017094017094017,643/0.0026057088712542935
723/0.0024766822996258628,24/0.0012102340416144017,916/0.004017094017094017,2259/0.0026057088712542935
898/0.0024766822996258628,452/0.0012102340416144017,1987/0.003931623931623932,2773/0.0026057088712542935
1019/0.0024591171769334807,416/0.0012102340416144017,2323/0.003931623931623932,1023/0.0023688262465948124
432/0.0024591171769334807,291/0.0012102340416144017,678/0.0038675213675213676,2503/0.002250384934265072
2258/0.0024591171769334807,1268/0.0012102340416144017,160/0.0038675213675213676,2387/0.002250384934265072
23/0.0024591171769334807,1000/0.0012102340416144017,1243/0.0038675213675213676,2607/0.002250384934265072
2191/0.002441552054241099,1303/0.0012039307393143267,2536/0.0038247863247863247,2602/0.002250384934265072
1825/0.002441552054241099,1342/0.0012039307393143267,1992/0.0038034188034188035,2482/0.002250384934265072
203/0.002441552054241099,2079/0.0011976274370142518,414/0.0038034188034188035,600/0.0021319436219353312
1507/0.002423986931548717,55/0.0011913241347141768,1042/0.0036752136752136754,1910/0.0021319436219353312
2268/0.002423986931548717,2708/0.0011913241347141768,1500/0.0036324786324786326,2753/0.0021319436219353312
2758/0.002406421808856335,116/0.0011913241347141768,2912/0.0036324786324786326,1767/0.0020135023096055906
90/0.002371291563471571,2481/0.0011850208324141018,1671/0.0035897435897435897,1348/0.0018950609972758499
250/0.002371291563471571,2224/0.0011850208324141018,2831/0.0035683760683760685,482/0.0018950609972758499
2352/0.0023537264407791888,1638/0.0011850208324141018,333/0.0034615384615384616,1224/0.0017766196849461093
211/0.0023537264407791888,1032/0.0011787175301140268,1866/0.0034615384615384616,2107/0.0017766196849461093
2383/0.0023537264407791888,540/0.0011724142278139518,972/0.00344017094017094,1022/0.0017766196849461093
648/0.0023537264407791888,447/0.0011724142278139518,2181/0.003418803418803419,411/0.0017766196849461093
691/0.0023537264407791888,1326/0.0011724142278139518,1461/0.003311965811965812,1933/0.0016581783726163685
1443/0.0023361613180868067,2305/0.0011724142278139518,2433/0.0032905982905982907,1927/0.0016581783726163685
819/0.0023361613180868067,1004/0.0011724142278139518,1509/0.0032905982905982907,2538/0.0016581783726163685
1726/0.0023361613180868067,1001/0.0011724142278139518,809/0.003247863247863248,336/0.0016581783726163685
544/0.0023361613180868067,1163/0.0011724142278139518,519/0.003247863247863248,2820/0.0016581783726163685
136/0.0023185961953944246,2172/0.0011724142278139518,586/0.003205128205128205,1754/0.0016581783726163685
681/0.0023185961953944246,227/0.0011661109255138766,2509/0.003183760683760684,2924/0.001539737060286628
1068/0.0023185961953944246,32/0.0011598076232138016,1555/0.003141025641025641,2486/0.0014212957479568873
912/0.002301031072702043,2875/0.0011598076232138016,2716/0.003098290598290598,2253/0.0014212957479568873
280/0.002301031072702043,751/0.0011598076232138016,1281/0.003076923076923077,2945/0.0014212957479568873
3022/0.002301031072702043,2935/0.0011472010186136517,1718/0.003012820512820513,2318/0.0013028544356271468
1968/0.002301031072702043,2328/0.0011472010186136517,109/0.003012820512820513,1312/0.0011844131232974062
1334/0.002283465950009661,665/0.0011472010186136517,1534/0.0029914529914529917,1179/0.0011844131232974062
255/0.002283465950009661,2255/0.0011408977163135767,1511/0.00297008547008547,1806/0.0009475304986379249
1122/0.002265900827317279,16/0.0011408977163135767,1011/0.002948717948717949,816/0.0009475304986379249
2549/0.002265900827317279,430/0.0011408977163135767,2685/0.002927350427350427,2973/0.0008290891863081842
1322/0.002265900827317279,1756/0.0011345944140135017,2041/0.002841880341880342,2711/0.0008290891863081842
37/0.002248335704624897,641/0.0011345944140135017,242/0.0028205128205128207,2567/0.0008290891863081842
828/0.0022307705819325147,1924/0.0011345944140135017,1314/0.002799145299145299,2134/0.0007106478739784437
2847/0.0022307705819325147,1150/0.0011345944140135017,1617/0.002799145299145299,2428/0.0005922065616487031
1002/0.0022307705819325147,583/0.0011282911117134267,2593/0.002799145299145299,1403/0.00047376524931896246
1568/0.0022307705819325147,266/0.0011282911117134267,503/0.002799145299145299,2720/0.00047376524931896246
