i_doc,doc,Topic 1,Topic 2
45,avalleywithoutwind2,0.1875,0.8125
46,avampyrestory,0.34615384615384615,0.6538461538461539
47,averylongropetothetopofthesky,0.4496124031007752,0.5503875968992248
48,avirusnamedtom,0.3888888888888889,0.6111111111111112
49,awalkinthewoods,0.5,0.5
50,awayout,0.25252525252525254,0.7474747474747475
51,awaytobedead,0.6153846153846154,0.38461538461538464
52,awitchstale,0.5,0.5
53,aaaaaaaaaaaaaaaaaaaaaaaaaarecklessdisregardforgravity,0.15625,0.84375
54,abadox,0.5263157894736842,0.47368421052631576
55,abalaburn,0.625,0.375
56,abandonship,0.3888888888888889,0.6111111111111112
57,aberoth,0.391304347826087,0.6086956521739131
58,abmneshitheprophecy,0.4583333333333333,0.5416666666666666
59,abominationthenemesisproject,0.5161290322580645,0.4838709677419355
60,absolutepinball,0.42857142857142855,0.5714285714285714
61,absolver,0.46153846153846156,0.5384615384615384
62,abuse,0.41935483870967744,0.5806451612903226
63,abyssodyssey,0.3770491803278688,0.6229508196721312
64,abzu,0.3389830508474576,0.6610169491525424
65,acaratus,0.45454545454545453,0.5454545454545454
66,accounting,0.19148936170212766,0.8085106382978723
67,acecombat,0.38285714285714284,0.6171428571428571
68,acecombat04shatteredskies,0.3891891891891892,0.6108108108108108
69,acecombat2,0.4166666666666667,0.5833333333333334
70,acecombat3electrosphere,0.38461538461538464,0.6153846153846154
71,acecombat5theunsungwar,0.3611111111111111,0.6388888888888888
72,acecombat6firesofliberation,0.35359116022099446,0.6464088397790055
73,acecombat7skiesunknown,0.33962264150943394,0.660377358490566
74,acecombatassaulthorizon,0.3464052287581699,0.6535947712418301
75,acecombatassaulthorizonlegacy,0.41346153846153844,0.5865384615384616
76,acecombatinfinity,0.37373737373737376,0.6262626262626263
77,acecombatjointassault,0.328125,0.671875
78,acecombatnorthernwings,0.36363636363636365,0.6363636363636364
79,acecombatxskiesofdeception,0.37894736842105264,0.6210526315789474
80,acecombatzerothebelkanwar,0.36727272727272725,0.6327272727272727
81,acefishing,0.35294117647058826,0.6470588235294118
82,aceonline,0.48854961832061067,0.5114503816793893
83,aceswildmanicbrawlingaction,0.43478260869565216,0.5652173913043478
84,achaea,0.449438202247191,0.550561797752809
85,achievementunlocked,0.24528301886792453,0.7547169811320755
86,aconcagua,0.6875,0.3125
87,acornstory,0.35294117647058826,0.6470588235294118
88,actofaggression,0.5737704918032787,0.4262295081967213
89,action52,0.37714285714285717,0.6228571428571429
90,actionfish,0.47619047619047616,0.5238095238095238
91,actionmax,0.0,1.0
92,adverbum,0.375,0.625
93,adr1ft,0.36363636363636365,0.6363636363636364
94,advancedvariablegeo,0.5578231292517006,0.4421768707482993
95,adventrising,0.2786885245901639,0.7213114754098361
96,adventure,0.4,0.6
97,adventureaplanetofdeath,0.36363636363636365,0.6363636363636364
