i_doc,doc,Topic 1,Topic 2,Topic 3
45,allisonandlillia,0.23469387755102042,0.7653061224489796,0.0
46,alpsstoriesmyannette,0.16483516483516483,0.8131868131868132,0.02197802197802198
47,amagibrilliantpark,0.18556701030927836,0.7869415807560137,0.027491408934707903
48,amatsuki,0.37857142857142856,0.6214285714285714,0.0
49,andyetthetownmoves,0.38235294117647056,0.5588235294117647,0.058823529411764705
50,andersenmonogatari,0.4117647058823529,0.5882352941176471,0.0
51,androidannouncermaico2010,0.38461538461538464,0.6153846153846154,0.0
52,andromedastories,0.8888888888888888,0.0,0.1111111111111111
53,angevierge,0.5555555555555556,0.4444444444444444,0.0
54,angelbeats,0.23651452282157676,0.7489626556016598,0.014522821576763486
55,angelcop,0.3723404255319149,0.6170212765957447,0.010638297872340425
56,angelheart,0.38636363636363635,0.6136363636363636,0.0
57,angellinks,0.4915254237288136,0.5084745762711864,0.0
58,angelsanctuary,0.5061728395061729,0.48148148148148145,0.012345679012345678
59,angeltales,0.24,0.76,0.0
60,angeliclayer,0.36,0.6342857142857142,0.005714285714285714
61,animaldetectiveskiruminzoo,0.2967032967032967,0.6703296703296703,0.03296703296703297
62,animalyokocho,0.25,0.7142857142857143,0.03571428571428571
63,animegataris,0.14925373134328357,0.7985074626865671,0.05223880597014925
64,annehappy,0.4,0.6,0.0
65,anohanatheflowerwesawthatday,0.1695906432748538,0.8011695906432749,0.029239766081871343
66,aoharuxmachinegun,0.1836734693877551,0.8061224489795918,0.01020408163265306
67,aquarionevol,0.2845849802371542,0.7114624505928854,0.003952569169960474
68,arabiannightsadventuresofsinbad,0.2682926829268293,0.5365853658536586,0.1951219512195122
69,arakawaunderthebridge,0.19696969696969696,0.803030303030303,0.0
70,argentosoma,0.3023255813953488,0.6744186046511628,0.023255813953488372
71,ariathescarletammo,0.307909604519774,0.6694915254237288,0.022598870056497175
72,armitageiii,0.4838709677419355,0.4967741935483871,0.01935483870967742
