i_doc,doc,Topic 1,Topic 2,Topic 3
43,atimelessstory,0.2727272727272727,0.6363636363636364,0.09090909090909091
44,avalleywithoutwind,0.3442622950819672,0.6229508196721312,0.03278688524590164
45,avalleywithoutwind2,0.42857142857142855,0.4857142857142857,0.08571428571428572
46,avampyrestory,0.3652173913043478,0.5652173913043478,0.06956521739130435
47,averylongropetothetopofthesky,0.2948717948717949,0.592948717948718,0.11217948717948718
48,avirusnamedtom,0.4444444444444444,0.4444444444444444,0.1111111111111111
49,awalkinthewoods,0.0,0.9285714285714286,0.07142857142857142
50,awayout,0.42990654205607476,0.5233644859813084,0.04672897196261682
51,awaytobedead,0.3076923076923077,0.6923076923076923,0.0
52,awitchstale,0.5151515151515151,0.46464646464646464,0.020202020202020204
53,aaaaaaaaaaaaaaaaaaaaaaaaaarecklessdisregardforgravity,0.5882352941176471,0.35294117647058826,0.058823529411764705
54,abadox,0.5111111111111111,0.4444444444444444,0.044444444444444446
55,abalaburn,0.68,0.32,0.0
56,abandonship,0.25,0.6607142857142857,0.08928571428571429
57,aberoth,0.28,0.72,0.0
58,abmneshitheprophecy,0.6333333333333333,0.3,0.06666666666666667
59,abominationthenemesisproject,0.2222222222222222,0.5555555555555556,0.2222222222222222
60,absolutepinball,0.14285714285714285,0.21428571428571427,0.6428571428571429
61,absolver,0.4666666666666667,0.5333333333333333,0.0
62,abuse,0.3230769230769231,0.6461538461538462,0.03076923076923077
63,abyssodyssey,0.4,0.5538461538461539,0.046153846153846156
64,abzu,0.45454545454545453,0.3787878787878788,0.16666666666666666
65,acaratus,0.22727272727272727,0.5909090909090909,0.18181818181818182
66,accounting,0.5490196078431373,0.43137254901960786,0.0196078431372549
67,acecombat,0.36585365853658536,0.3800813008130081,0.2540650406504065
68,acecombat04shatteredskies,0.4186046511627907,0.386046511627907,0.19534883720930232
69,acecombat2,0.46153846153846156,0.3076923076923077,0.23076923076923078
70,acecombat3electrosphere,0.40384615384615385,0.39903846153846156,0.1971153846153846
71,acecombat5theunsungwar,0.34560906515580736,0.40509915014164305,0.24929178470254956
72,acecombat6firesofliberation,0.34951456310679613,0.4320388349514563,0.21844660194174756
73,acecombat7skiesunknown,0.36382536382536385,0.4490644490644491,0.18711018711018712
74,acecombatassaulthorizon,0.37714285714285717,0.37142857142857144,0.25142857142857145
75,acecombatassaulthorizonlegacy,0.46153846153846156,0.39316239316239315,0.1452991452991453
76,acecombatinfinity,0.3805309734513274,0.46017699115044247,0.1592920353982301
77,acecombatjointassault,0.4084507042253521,0.39436619718309857,0.19718309859154928
78,acecombatnorthernwings,0.44,0.44,0.12
79,acecombatxskiesofdeception,0.4074074074074074,0.4537037037037037,0.1388888888888889
80,acecombatzerothebelkanwar,0.40773809523809523,0.39880952380952384,0.19345238095238096
81,acefishing,0.4,0.5428571428571428,0.05714285714285714
82,aceonline,0.304635761589404,0.5364238410596026,0.15894039735099338
83,aceswildmanicbrawlingaction,0.44,0.52,0.04
84,achaea,0.2268041237113402,0.6701030927835051,0.10309278350515463
85,achievementunlocked,0.4166666666666667,0.5333333333333333,0.05
86,aconcagua,0.5,0.375,0.125
87,acornstory,0.2222222222222222,0.7777777777777778,0.0
88,actofaggression,0.23529411764705882,0.36764705882352944,0.39705882352941174
89,action52,0.5495495495495496,0.42792792792792794,0.02252252252252252
90,actionfish,0.4090909090909091,0.5454545454545454,0.045454545454545456
91,actionmax,0.0,0.0,1.0
92,adverbum,0.47058823529411764,0.4117647058823529,0.11764705882352941
