i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
2974,mylifeasateenagerobot,0.004484304932735426,0.04035874439461883,0.08071748878923767,0.13153961136023917,0.11210762331838565,0.1210762331838565,0.11659192825112108,0.09118086696562033,0.017937219730941704,0.013452914798206279,0.03736920777279522,0.02391629297458894,0.014947683109118086,0.04932735426008968,0.06576980568011959,0.03736920777279522,0.01943198804185351,0.004484304932735426,0.017937219730941704,0.0
2975,mylifeme,0.0,0.02040816326530612,0.1836734693877551,0.02040816326530612,0.14285714285714285,0.04081632653061224,0.0,0.2653061224489796,0.02040816326530612,0.0,0.0,0.02040816326530612,0.12244897959183673,0.0,0.0,0.02040816326530612,0.0,0.061224489795918366,0.08163265306122448,0.0
2976,mylittleponyandfriends,0.0024154589371980675,0.024154589371980676,0.028985507246376812,0.07971014492753623,0.10869565217391304,0.11352657004830918,0.12560386473429952,0.12318840579710146,0.004830917874396135,0.021739130434782608,0.08454106280193237,0.016908212560386472,0.012077294685990338,0.12077294685990338,0.04106280193236715,0.024154589371980676,0.0024154589371980675,0.0,0.06521739130434782,0.0
2977,mylittleponyfriendshipismagic,0.011517828968128748,0.07210476491006626,0.008520037866834964,0.17592300410224046,0.10728936573051435,0.2003786683496371,0.06516251183338592,0.06516251183338592,0.011517828968128748,0.021300094667087408,0.081571473650994,0.034237929946355314,0.03455348690438624,0.038971284316819184,0.03644682865257179,0.004260018933417482,0.007100031555695803,0.005206689807510255,0.018775639002840013,0.0
2978,mylittleponyponylife,0.0,0.012195121951219513,0.12804878048780488,0.12195121951219512,0.1402439024390244,0.054878048780487805,0.04878048780487805,0.15853658536585366,0.0,0.006097560975609756,0.018292682926829267,0.0,0.024390243902439025,0.12195121951219512,0.03048780487804878,0.054878048780487805,0.012195121951219513,0.012195121951219513,0.054878048780487805,0.0
2979,mylittleponytales,0.011278195488721804,0.03759398496240601,0.16165413533834586,0.12030075187969924,0.08270676691729323,0.08270676691729323,0.04887218045112782,0.10902255639097744,0.0037593984962406013,0.007518796992481203,0.04887218045112782,0.03759398496240601,0.018796992481203006,0.045112781954887216,0.018796992481203006,0.06390977443609022,0.0037593984962406013,0.011278195488721804,0.08646616541353383,0.0
2980,mypetmonster,0.0,0.0,0.08823529411764706,0.058823529411764705,0.14705882352941177,0.029411764705882353,0.08823529411764706,0.058823529411764705,0.0,0.0,0.0,0.0,0.029411764705882353,0.2647058823529412,0.029411764705882353,0.0,0.0,0.029411764705882353,0.17647058823529413,0.0
2981,mytimewithjesus,0.0,0.0,0.05,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.05,0.0,0.05,0.25,0.05
2982,mysticons,0.0,0.0053475935828877,0.10695187165775401,0.0213903743315508,0.12299465240641712,0.06951871657754011,0.06417112299465241,0.0374331550802139,0.016042780748663103,0.0427807486631016,0.10695187165775401,0.0374331550802139,0.016042780748663103,0.08021390374331551,0.12299465240641712,0.10695187165775401,0.0053475935828877,0.0053475935828877,0.03208556149732621,0.0
2983,mythicwarriorsguardiansofthelegend,0.0,0.0,0.25,0.0,0.0,0.0,0.0625,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0625,0.0625,0.0,0.0625,0.1875,0.0
2984,nascarracers,0.0,0.017543859649122806,0.22807017543859648,0.0,0.08771929824561403,0.017543859649122806,0.08771929824561403,0.12280701754385964,0.0,0.017543859649122806,0.017543859649122806,0.08771929824561403,0.0,0.07017543859649122,0.10526315789473684,0.08771929824561403,0.017543859649122806,0.0,0.03508771929824561,0.0
2985,nflrushzoneguardiansofthecore,0.0,0.0,0.3333333333333333,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.1111111111111111,0.0
2986,nanooksgreathunt,0.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
2987,napoleondynamite,0.03571428571428571,0.05357142857142857,0.14285714285714285,0.08928571428571429,0.10714285714285714,0.0,0.017857142857142856,0.07142857142857142,0.017857142857142856,0.05357142857142857,0.017857142857142856,0.03571428571428571,0.05357142857142857,0.017857142857142856,0.0,0.16071428571428573,0.0,0.017857142857142856,0.10714285714285714,0.0
2988,nateislate,0.0,0.01282051282051282,0.14102564102564102,0.02564102564102564,0.05128205128205128,0.0641025641025641,0.1794871794871795,0.11538461538461539,0.01282051282051282,0.0,0.08974358974358974,0.01282051282051282,0.01282051282051282,0.0641025641025641,0.038461538461538464,0.05128205128205128,0.0,0.01282051282051282,0.11538461538461539,0.0
2989,naturecat,0.0,0.007518796992481203,0.18045112781954886,0.18045112781954886,0.16541353383458646,0.045112781954887216,0.0,0.13533834586466165,0.0,0.0,0.007518796992481203,0.015037593984962405,0.03759398496240601,0.022556390977443608,0.022556390977443608,0.045112781954887216,0.0,0.007518796992481203,0.12781954887218044,0.0
2990,nedsnewt,0.0,0.00819672131147541,0.1885245901639344,0.16393442622950818,0.1885245901639344,0.05737704918032787,0.02459016393442623,0.09836065573770492,0.0,0.00819672131147541,0.01639344262295082,0.02459016393442623,0.03278688524590164,0.04918032786885246,0.00819672131147541,0.05737704918032787,0.02459016393442623,0.00819672131147541,0.040983606557377046,0.0
2991,neighborsfromhell,0.0,0.02702702702702703,0.16216216216216217,0.04054054054054054,0.1891891891891892,0.013513513513513514,0.05405405405405406,0.16216216216216217,0.0,0.013513513513513514,0.013513513513513514,0.02702702702702703,0.04054054054054054,0.0,0.05405405405405406,0.12162162162162163,0.013513513513513514,0.013513513513513514,0.05405405405405406,0.0
2992,nellatheprincessknight,0.0,0.0,0.19298245614035087,0.14035087719298245,0.08771929824561403,0.0,0.017543859649122806,0.14035087719298245,0.0,0.03508771929824561,0.05263157894736842,0.0,0.05263157894736842,0.017543859649122806,0.017543859649122806,0.10526315789473684,0.0,0.017543859649122806,0.12280701754385964,0.0
2993,nellietheelephant,0.0,0.04,0.32,0.0,0.16,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.08,0.0,0.04,0.2,0.0
2994,neoyokio,0.02666666666666667,0.04666666666666667,0.1,0.06666666666666667,0.08666666666666667,0.16,0.06,0.08666666666666667,0.05333333333333334,0.02666666666666667,0.03333333333333333,0.02666666666666667,0.03333333333333333,0.0,0.05333333333333334,0.08,0.04,0.006666666666666667,0.013333333333333334,0.0
2995,nerdsandmonsters,0.0,0.0,0.14893617021276595,0.10638297872340426,0.1702127659574468,0.0851063829787234,0.0425531914893617,0.10638297872340426,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0425531914893617,0.0425531914893617,0.0851063829787234,0.0425531914893617,0.10638297872340426,0.0
2996,nestorthelongearedchristmasdonkey,0.03125,0.03125,0.125,0.0625,0.03125,0.09375,0.09375,0.1875,0.0,0.0,0.0,0.0,0.03125,0.0,0.125,0.09375,0.0,0.0,0.09375,0.0
2997,newkidsontheblock,0.0,0.0,0.2564102564102564,0.05128205128205128,0.1794871794871795,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.07692307692307693,0.05128205128205128,0.0,0.0,0.15384615384615385,0.0
2998,nihaokailan,0.0,0.021052631578947368,0.18947368421052632,0.10526315789473684,0.08421052631578947,0.021052631578947368,0.0,0.24210526315789474,0.0,0.010526315789473684,0.0,0.0,0.031578947368421054,0.010526315789473684,0.031578947368421054,0.07368421052631578,0.0,0.010526315789473684,0.16842105263157894,0.0
2999,nickandnoel,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.23529411764705882,0.0
3000,nighthood,0.011235955056179775,0.011235955056179775,0.15730337078651685,0.0,0.12359550561797752,0.10112359550561797,0.011235955056179775,0.06741573033707865,0.0,0.02247191011235955,0.02247191011235955,0.07865168539325842,0.0,0.07865168539325842,0.1797752808988764,0.0898876404494382,0.0,0.02247191011235955,0.02247191011235955,0.0
3001,nightmarened,0.0,0.015873015873015872,0.14285714285714285,0.1111111111111111,0.23809523809523808,0.047619047619047616,0.031746031746031744,0.09523809523809523,0.0,0.0,0.015873015873015872,0.0,0.0,0.047619047619047616,0.06349206349206349,0.06349206349206349,0.0,0.015873015873015872,0.1111111111111111,0.0
3002,nikoandtheswordoflight,0.0,0.0,0.11320754716981132,0.006289308176100629,0.09433962264150944,0.07547169811320754,0.14465408805031446,0.05660377358490566,0.012578616352201259,0.025157232704402517,0.1509433962264151,0.025157232704402517,0.0,0.05660377358490566,0.11949685534591195,0.06918238993710692,0.006289308176100629,0.006289308176100629,0.03773584905660377,0.0
3003,ninaandtheguardians,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3004,ninasworld,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.375,0.0
3005,ninjaexpress,0.0,0.0,0.04,0.04,0.08,0.0,0.0,0.2,0.0,0.0,0.08,0.0,0.0,0.08,0.16,0.24,0.0,0.0,0.08,0.0
3006,ninjago,0.0015748031496062992,0.02047244094488189,0.07716535433070866,0.04251968503937008,0.08818897637795275,0.09448818897637795,0.13385826771653545,0.047244094488188976,0.015748031496062992,0.023622047244094488,0.16062992125984252,0.023622047244094488,0.012598425196850394,0.07874015748031496,0.09133858267716535,0.06299212598425197,0.0015748031496062992,0.007874015748031496,0.015748031496062992,0.0
3007,nopintheool,0.0,0.0,0.3333333333333333,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.09523809523809523,0.047619047619047616,0.0,0.047619047619047616,0.0,0.14285714285714285,0.0,0.0,0.047619047619047616,0.0
3008,noahsisland,0.0,0.04,0.12,0.1,0.02,0.02,0.02,0.08,0.0,0.0,0.02,0.08,0.0,0.04,0.04,0.18,0.0,0.0,0.24,0.0
3009,noddystoylandadventures,0.0,0.0,0.16580310880829016,0.10362694300518134,0.16580310880829016,0.031088082901554404,0.0,0.14507772020725387,0.010362694300518135,0.0,0.010362694300518135,0.0,0.05699481865284974,0.09326424870466321,0.04145077720207254,0.03626943005181347,0.010362694300518135,0.0051813471502590676,0.12435233160621761,0.0
3010,normanpicklestripes,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.4,0.0
3011,noveltoons,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.12903225806451613,0.12903225806451613,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.03225806451612903,0.3548387096774194,0.0
3012,numbchucks,0.0,0.0136986301369863,0.1095890410958904,0.2054794520547945,0.2191780821917808,0.0547945205479452,0.0,0.0958904109589041,0.0,0.0,0.0136986301369863,0.0136986301369863,0.0,0.0136986301369863,0.0136986301369863,0.1643835616438356,0.0136986301369863,0.0136986301369863,0.0547945205479452,0.0
3013,numberblocks,0.0,0.041666666666666664,0.25,0.0,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.125,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0
3014,numberjacks,0.0,0.027777777777777776,0.1527777777777778,0.2222222222222222,0.18055555555555555,0.027777777777777776,0.013888888888888888,0.16666666666666666,0.013888888888888888,0.013888888888888888,0.0,0.027777777777777776,0.0,0.041666666666666664,0.013888888888888888,0.041666666666666664,0.0,0.0,0.05555555555555555,0.0
3015,nutriventuresthequestforthesevenkingdoms,0.0,0.0,0.21875,0.0,0.078125,0.046875,0.0625,0.0625,0.015625,0.03125,0.046875,0.03125,0.015625,0.03125,0.1875,0.125,0.015625,0.0,0.03125,0.0
3016,ogrady,0.0,0.075,0.1,0.05,0.225,0.025,0.025,0.075,0.025,0.0,0.025,0.075,0.0,0.0,0.0,0.1,0.1,0.025,0.075,0.0
3017,okkoletsbeheroes,0.01155115511551155,0.0462046204620462,0.07095709570957096,0.12706270627062707,0.09735973597359736,0.11221122112211221,0.07755775577557755,0.08415841584158416,0.03135313531353135,0.01485148514851485,0.054455445544554455,0.034653465346534656,0.026402640264026403,0.04950495049504951,0.07260726072607261,0.0462046204620462,0.00825082508250825,0.006600660066006601,0.028052805280528052,0.0
3018,ooglies,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.3,0.0
3019,obanstarracers,0.003355704697986577,0.02348993288590604,0.09060402684563758,0.0,0.06375838926174497,0.06375838926174497,0.15100671140939598,0.1174496644295302,0.02348993288590604,0.04697986577181208,0.10738255033557047,0.026845637583892617,0.013422818791946308,0.03355704697986577,0.13087248322147652,0.05704697986577181,0.02348993288590604,0.013422818791946308,0.010067114093959731,0.0
3020,octonautsaboveandbeyond,0.0,0.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.0,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857,0.0
3021,oddjobjack,0.030303030303030304,0.07575757575757576,0.10606060606060606,0.09090909090909091,0.07575757575757576,0.10606060606060606,0.09090909090909091,0.09090909090909091,0.0,0.015151515151515152,0.06060606060606061,0.0,0.045454545454545456,0.015151515151515152,0.06060606060606061,0.045454545454545456,0.015151515151515152,0.030303030303030304,0.045454545454545456,0.0
