i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
258,devilmaycry5,0.050100200400801605,0.052104208416833664,0.03006012024048096,0.052104208416833664,0.03406813627254509,0.23847695390781562,0.1062124248496994,0.07214428857715431,0.04408817635270541,0.050100200400801605,0.11422845691382766,0.002004008016032064,0.08016032064128256,0.006012024048096192,0.002004008016032064,0.01603206412825651,0.014028056112224449,0.028056112224448898,0.008016032064128256
259,fallout1,0.010245901639344262,0.045081967213114756,0.08811475409836066,0.10040983606557377,0.0860655737704918,0.23975409836065573,0.06352459016393443,0.04918032786885246,0.036885245901639344,0.0389344262295082,0.07377049180327869,0.010245901639344262,0.05327868852459016,0.030737704918032786,0.00819672131147541,0.01639344262295082,0.004098360655737705,0.045081967213114756,0.0
260,shadowrunreturns,0.015810276679841896,0.04743083003952569,0.07509881422924901,0.12450592885375494,0.05533596837944664,0.2450592885375494,0.09288537549407115,0.05928853754940711,0.05533596837944664,0.023715415019762844,0.06719367588932806,0.001976284584980237,0.041501976284584984,0.039525691699604744,0.003952569169960474,0.003952569169960474,0.011857707509881422,0.03162055335968379,0.003952569169960474
261,shinmegamitenseistrangejourney,0.03177966101694915,0.04449152542372881,0.06567796610169492,0.1059322033898305,0.06567796610169492,0.2584745762711864,0.07203389830508475,0.07203389830508475,0.07415254237288135,0.02754237288135593,0.036016949152542374,0.012711864406779662,0.06567796610169492,0.00847457627118644,0.00423728813559322,0.00847457627118644,0.012711864406779662,0.025423728813559324,0.00847457627118644
262,nier,0.04421052631578947,0.06947368421052631,0.056842105263157895,0.08210526315789474,0.04,0.2631578947368421,0.08421052631578947,0.06315789473684211,0.037894736842105266,0.04,0.05052631578947368,0.004210526315789474,0.07789473684210527,0.00631578947368421,0.008421052631578947,0.004210526315789474,0.02526315789473684,0.031578947368421054,0.010526315789473684
263,discoelysium,0.03614457831325301,0.09839357429718876,0.07228915662650602,0.142570281124498,0.0321285140562249,0.22690763052208834,0.05622489959839357,0.020080321285140562,0.02208835341365462,0.01606425702811245,0.08835341365461848,0.008032128514056224,0.04417670682730924,0.07429718875502007,0.002008032128514056,0.004016064257028112,0.02610441767068273,0.020080321285140562,0.010040160642570281
264,puyopuyo,0.0899581589958159,0.10669456066945607,0.07740585774058577,0.043933054393305436,0.02301255230125523,0.20920502092050208,0.04811715481171548,0.029288702928870293,0.0502092050209205,0.02510460251046025,0.0794979079497908,0.0,0.11506276150627615,0.0041841004184100415,0.01882845188284519,0.008368200836820083,0.0502092050209205,0.0020920502092050207,0.01882845188284519
265,farcry3,0.018329938900203666,0.03665987780040733,0.05702647657841141,0.12219959266802444,0.048879837067209775,0.2729124236252546,0.0814663951120163,0.054989816700611,0.002036659877800407,0.020366598778004074,0.0855397148676171,0.0,0.038696537678207736,0.05702647657841141,0.010183299389002037,0.014256619144602852,0.024439918533604887,0.05295315682281059,0.002036659877800407
266,residentevil2,0.04375,0.04375,0.05,0.08333333333333333,0.0375,0.25833333333333336,0.075,0.05416666666666667,0.00625,0.029166666666666667,0.10416666666666667,0.004166666666666667,0.07291666666666667,0.029166666666666667,0.00625,0.014583333333333334,0.016666666666666666,0.06458333333333334,0.00625
267,dragonquestix,0.047311827956989246,0.06881720430107527,0.1032258064516129,0.06236559139784946,0.030107526881720432,0.24946236559139784,0.05591397849462366,0.07526881720430108,0.08817204301075268,0.02795698924731183,0.03870967741935484,0.0,0.08172043010752689,0.0064516129032258064,0.017204301075268817,0.008602150537634409,0.012903225806451613,0.002150537634408602,0.023655913978494623
268,halo2,0.011013215859030838,0.015418502202643172,0.028634361233480177,0.06828193832599119,0.07048458149779736,0.2687224669603524,0.046255506607929514,0.05726872246696035,0.004405286343612335,0.06167400881057269,0.0947136563876652,0.015418502202643172,0.10572687224669604,0.011013215859030838,0.006607929515418502,0.030837004405286344,0.019823788546255508,0.07709251101321586,0.006607929515418502
