Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95
270/0.039029535864978905,,2645/0.0362227602905569,262/0.01981132075471698,1860/0.05305423022646327,345/0.03237075853867023,921/0.05160692212608158,,,940/0.039794786466999445,2064/0.009826152683295541,2382/0.02139076209121891,158/0.04380768700922992,1365/0.010950642755118235,2468/0.027942840973401245,1412/0.03282900371110477,1926/0.0424228140466651,2194/0.03306474020561267,2657/0.04,95/0.039523427654943294,429/0.01779730434135081,2436/0.03743961352657005,76/0.02810683540578324,276/0.025176039355647727,849/0.0436817472698908,2162/0.03526734926052332,1017/0.04086825157032679,302/0.040304120340091565,1709/0.034873188405797104,366/0.03407764156450671,241/0.028630257868418472,2193/0.025798304167418365,2042/0.03707170941771204,797/0.02892135163051498,2541/0.03734490807092257,1286/0.030190588632147075,2629/0.0448067070330694,1352/0.027043488853697163,,982/0.036965339233038345,2641/0.04381883503150951,2294/0.03883645365929135,2224/0.036049474796444776,1701/0.03163163163163163,,11/0.04384297791467331,1651/0.03629524196827979,,1062/0.025661496350364965,178/0.03725923586990843,1220/0.0563989036474805,1636/0.04465462438948756,432/0.04937795882417703,1787/0.03626316698324987,,320/0.0413770809762405,2007/0.040917726143504314,2369/0.039940949725252195,356/0.03384518959573801,2608/0.03182344189122169,722/0.034535156789611825,1680/0.024024872809496892,773/0.0371672526368659,145/0.035696266397578204,,,,2009/0.05273202799180038,2132/0.03451455671189567,110/0.04216867469879518,,2651/0.04016620498614958,1649/0.04564387365498091,1985/0.03980099502487562,1003/0.033647718582717305,133/0.04051495645588792,1377/0.02322288303596715,384/0.03891760413499544,2440/0.03848346636259977,,380/0.03862803862803863,,,2032/0.03639718215363972,,66/0.03896103896103896,1510/0.0382414151925078,1118/0.029090430433065684,1480/0.02656801748780898,,549/0.035852372583479786,,,1004/0.05537720706260032,899/0.04019968470835523
852/0.03883175105485232,,1410/0.03108958837772397,1792/0.01968553459119497,1868/0.04835024527921511,1775/0.031218641989073474,2192/0.0407911001236094,,,792/0.03632834165280089,579/0.009269204757926563,1928/0.02124573997534624,234/0.04091472654635625,,778/0.027801358234295415,1580/0.03116376439242554,1592/0.03865189724251709,1451/0.013892747985551542,16/0.0398406374501992,152/0.03917974567533509,64/0.017350510090103508,2173/0.035024154589371984,137/0.027959679199470237,1060/0.02421144014661908,2176/0.040431617264690585,2595/0.034698521046643914,1817/0.03959608809732051,360/0.038996075866579466,2186/0.03215579710144927,1034/0.03181552831290134,593/0.025198548877340916,1391/0.025708100306693127,1056/0.033233476876989326,1232/0.00826324332300428,180/0.035993612055198396,1832/0.029853263619497385,1059/0.04024219841639497,494/0.02290169326349129,,279/0.036135693215339236,2517/0.04081512456563991,1207/0.028933931610707102,786/0.034557772391074645,1777/0.028028028028028028,,430/0.04050068811848745,1388/0.029585197234648232,,1317/0.02509124087591241,1664/0.02241869276918219,2472/0.04965211891208096,230/0.04294906581905574,1974/0.016184080149730266,2047/0.03436366776031773,,650/0.03992241797316955,979/0.040917726143504314,862/0.03838267858607398,185/0.03342734774887705,1771/0.0262026781286163,428/0.03425887553529493,,2631/0.036564540431943744,1035/0.03266902119071645,,,,2664/0.04948045522018803,1774/0.03398761691476749,2553/0.037161633547175714,,298/0.03933518005540166,1495/0.04338771259979174,2671/0.039445628997867806,502/0.03097119551363752,488/0.03918970087088224,,1044/0.03253268470659775,1266/0.03263968072976055,,2053/0.03796203796203796,,,1526/0.036061724253606174,,1627/0.028200371057513916,1710/0.03720083246618106,934/0.028037383177570093,1950/0.025390953421893393,,1686/0.03561804335090803,,,2652/0.04474317817014446,955/0.032842879663688915
645/0.035667194092827,,510/0.03002421307506053,808/0.018742138364779875,957/0.042369464417713866,450/0.031069981789125508,827/0.040173053152039555,,,787/0.030643372157515253,389/0.009149858773918924,687/0.02081067362772823,1342/0.04022592643614823,,197/0.02440577249575552,53/0.03030735559996194,2316/0.0345274569879802,2223/0.007224228952486802,1867/0.03856573705179283,762/0.03906518501546569,1364/0.017201578673021075,2408/0.03351449275362319,988/0.027738944890000734,1662/0.02401852030481335,829/0.0374414976599064,1504/0.034698521046643914,1066/0.03896000636081737,382/0.0381785480706344,40/0.030797101449275364,1465/0.03145067133683596,1361/0.024120011765859397,2572/0.024715857838715497,2659/0.031642014604006743,,1434/0.0354612833217313,838/0.028841288581548323,4/0.03195156031672101,1520/0.020465342916311365,,390/0.035398230088495575,75/0.03969609517639437,1001/0.0219712207952963,2302/0.028404499968922865,1295/0.027227227227227226,,36/0.038469100203158794,404/0.025213501423342822,,2119/0.024406934306569344,1721/0.01831386169876855,688/0.04237824161922834,2660/0.03992557562601752,,674/0.032291486789846315,,1149/0.03959915952804267,1756/0.0398947829899167,672/0.03551217911916674,941/0.03206936174657892,,2446/0.03343003177234424,,2309/0.028729281767955802,951/0.032164480322906155,,,,2056/0.037463773238142366,805/0.02884995389276775,608/0.0320763573775622,,2444/0.03933518005540166,1362/0.040437348143005904,1641/0.03304904051172708,2511/0.03084374203415753,2239/0.03710715638015903,,1543/0.03162055335968379,347/0.0314994298745724,,2080/0.03305028305028305,,,291/0.03354579000335458,,2259/0.027581941867656154,2327/0.036160249739854315,138/0.027510859549822297,2198/0.024382041365394316,,1473/0.034094903339191567,,,2287/0.029995987158908506,1024/0.025748817656332107
556/0.03527162447257384,,1707/0.02479418886198547,2367/0.018553459119496855,1310/0.04075666957865735,181/0.02999219533950273,1459/0.040173053152039555,,,414/0.030088740987243484,1692/0.008871384811234435,604/0.020448118338046554,2375/0.03595536575285852,,1050/0.022990945104697225,466/0.029213055476258444,2538/0.032052792835258075,,2542/0.03521912350597609,321/0.03574292587925307,61/0.016233524461985255,2450/0.03260869565217391,572/0.027665366786844236,288/0.023680910581653322,483/0.03653146125845034,547/0.03431930223739098,610/0.03665421006599348,2125/0.03621648136036625,1242/0.029211956521739132,260/0.024883245767659077,2448/0.02323757231101088,273/0.02462565397799026,156/0.028084628346751545,,1179/0.03365955530076573,368/0.028672626075223476,796/0.027480204937121566,2417/0.020099890364234377,,249/0.03438421828908555,507/0.039578302609105366,1508/0.02073340553922327,2360/0.026539871962210207,994/0.02702702702702703,,220/0.022544072350743825,,,2456/0.023608576642335767,,326/0.014969428631667722,689/0.036049306147763395,,843/0.03142807805214989,,825/0.03846775497009859,1610/0.03799503141896829,1138/0.024030181251537767,308/0.03144259897628748,,750/0.028733250448957037,,406/0.027624309392265192,1873/0.03165993945509586,,,,1122/0.03555524139393511,894/0.02766433934922935,24/0.028946956657800033,,2478/0.0278393351800554,1418/0.03366886497743839,1227/0.02914001421464108,656/0.028804486362477694,628/0.03653918970087088,,2016/0.028884159318941928,2586/0.030359179019384265,,2461/0.031385281385281384,,,1991/0.03186850050318685,,1120/0.02683982683982684,131/0.034079084287200835,611/0.025668026852705014,2353/0.023373129308895242,,2403/0.033626244874048035,,,123/0.008928571428571428,1745/0.02023121387283237
2078/0.03289820675105485,,35/0.024697336561743343,1689/0.018364779874213838,1219/0.03427189032995094,476/0.029806370089567772,1405/0.037082818294190356,,,2098/0.028840820854132,60/0.008871384811234435,876/0.020230585164237546,141/0.03416448546631767,,1583/0.022354272778720995,1039/0.02816633361880293,2407/0.02109356587320292,,977/0.03394422310756972,2370/0.03322259136212625,32/0.015488867376573089,1933/0.03185386473429952,399/0.027591788683687734,487/0.023198610977139,1607/0.030551222048881957,1237/0.0335608646188851,1082/0.0289417190108929,1238/0.03499018966644866,1547/0.028532608695652172,159/0.023715703444249853,1943/0.023139523482694383,33/0.021288111131156414,1212/0.026774012357236473,,426/0.032349207649154416,2144/0.027238994771462303,29/0.02664182580344667,1863/0.015592642221951517,,1040/0.032264011799410026,120/0.03575004417221273,1939/0.008819433699520346,2458/0.02610479209397725,1272/0.023223223223223222,,,,,1962/0.023266423357664233,,,2334/0.03318086673385534,,2101/0.023830081160421342,,648/0.034750282851139486,251/0.03697208826538068,1318/0.023948166981054703,71/0.030293533897419827,,1124/0.0280425473131648,,84/0.024008036162732296,1023/0.027371342078708377,,,,1981/0.0279211140171061,1518/0.017915953102358054,1609/0.028634016585823815,,1626/0.013157894736842105,1854/0.032974661575841724,2103/0.02914001421464108,416/0.028167218965077748,741/0.03597122302158273,,492/0.028124049863180296,1944/0.027936145952109463,,1190/0.028971028971028972,,,913/0.03069439785306944,,1109/0.024860853432282004,1336/0.031477627471383975,1110/0.024746610504146373,1788/0.02185976122414663,,1617/0.030697129466900997,,,,2247/0.01602732527588019
682/0.03289820675105485,,601/0.023922518159806297,480/0.017861635220125786,317/0.018177541831866137,781/0.02828260304010109,2085/0.02688504326328801,,,971/0.026067665002773157,1577/0.00879182082189601,769/0.019287941411065188,174/0.029893924783027964,,306/0.02221279003961517,730/0.02750023789133124,1613/0.01920810747112892,,718/0.03266932270916335,69/0.03253522740290984,1009/0.01541440166803187,551/0.03155193236714976,1708/0.02575233610477522,1333/0.02179994212404746,1127/0.026781071242849713,1630/0.031095942358740993,2504/0.027828575972012402,2414/0.033191628515369526,919/0.02740036231884058,2365/0.022475189725627554,1726/0.02255123051279537,415/0.02083709182753022,785/0.02050177869312863,,355/0.032103517464477295,814/0.02580536346770113,2237/0.0231951560316721,1858/0.012425386770617615,,369/0.0293141592920354,2445/0.03427763708110018,2305/0.007272164629429058,915/0.025172478090620922,68/0.023223223223223222,,,,,1203/0.023266423357664233,,,2441/0.026203581672997907,,2409/0.02106717319979278,,1048/0.03394213673832229,816/0.03419552827707146,1778/0.02312802427622406,303/0.030189073435704587,,2203/0.027904406686006356,,1284/0.023907584128578605,644/0.026109989909182642,,,,2195/0.026295327631299922,,2207/0.028399311531841654,,,18/0.027768136063866713,1718/0.02736318407960199,2383/0.027275044608717817,1199/0.03502461188943582,,2110/0.025843721495895408,2557/0.02394526795895097,,1069/0.02514152514152514,,,1037/0.0296880241529688,,1919/0.024242424242424242,2661/0.030957336108220605,1141/0.02395682506252468,529/0.02051454514881453,,1877/0.027065026362038665,,,,2619/0.008933263268523384
1187/0.028876582278481014,,1441/0.020435835351089587,311/0.017044025157232703,151/0.01794234258450373,44/0.027576467090348236,660/0.024103831891223733,,,1698/0.02468108707709373,1652/0.008592910848549946,1602/0.018852875063447176,402/0.027827524452403912,,2351/0.02037351443123939,23/0.026453516033875725,2049/0.005892057506481263,,2269/0.030916334661354582,1740/0.03253522740290984,793/0.015339935959490654,1822/0.028834541062801932,431/0.02464866455742771,933/0.021365872479984567,1301/0.02249089963598544,2306/0.027303754266211604,1828/0.02273992207998728,1159/0.032455853499018965,1160/0.02717391304347826,1681/0.021380618797431406,2431/0.022159035199529366,425/0.01975464549882735,1904/0.02040816326530612,,1074/0.031653085459235904,1727/0.025552369708213864,2228/0.02095947834187238,1530/0.009989036423437691,,367/0.025165929203539824,1206/0.032334059720831615,,2075/0.023805084219031637,856/0.01981981981981982,,,,,19/0.02281021897810219,,,1542/0.01845104271648965,,2291/0.019685719219478502,,1196/0.028285113948601906,1565/0.0131521262604121,1449/0.020913638973181332,530/0.028308785124830253,,1724/0.026246719160104987,,1844/0.023606228026117528,2002/0.025605449041372352,,,,314/0.02481091397469428,,265/0.028399311531841654,,,1488/0.02620617841027421,1403/0.02540867093105899,1949/0.026765230690797857,703/0.025937145020825444,,652/0.025539677713590756,2537/0.023232611174458382,,2268/0.024808524808524808,,,2415/0.02666890305266689,,2030/0.02350030921459493,684/0.01716961498439126,436/0.02290377780702909,2190/0.019673785101731966,,142/0.024956063268892794,,,,
1767/0.027689873417721517,,2166/0.020338983050847456,633/0.016540880503144655,1785/0.01528795107855655,1754/0.025904039840933587,524/0.021322620519159455,,,1737/0.021353300055463115,112/0.008513346859211521,1982/0.018345297657892827,1355/0.02176608348257336,,1116/0.02037351443123939,1890/0.025739842040156058,,,1546/0.029800796812749004,218/0.03253522740290984,906/0.015042073125325787,1819/0.028834541062801932,1007/0.02236774335957619,393/0.02020835342915019,602/0.0187207488299532,2384/0.025597269624573378,2350/0.015504492327264053,56/0.026160889470241987,434/0.022644927536231884,2447/0.021015761821366025,2142/0.022060986371212864,1177/0.01966444163810211,1794/0.019659239842726082,,1182/0.029196183612464684,944/0.025552369708213864,2548/0.018444340940847695,,,884/0.025165929203539824,1932/0.03168620060074209,,2394/0.02330785008390826,1996/0.01961961961961962,,,,,1032/0.022125912408759125,,,2208/0.016900534925187997,,2077/0.016232084268692798,,1691/0.02796185550347503,2390/0.012421452579278094,1083/0.019683424915935374,104/0.02809986420139977,,1848/0.025832297278629644,,871/0.022903063787041687,2496/0.024596367305751765,,,,2337/0.01371315473245211,,43/0.022062275074323266,,,2029/0.020652551197500868,2649/0.02185501066098081,2562/0.02549069589599796,1954/0.022150700492237788,,130/0.024779568257829128,675/0.02266248574686431,,1624/0.024142524142524144,,,841/0.026501174102650116,,1280/0.023252937538651826,1598/0.016389177939646202,635/0.02066605238910096,613/0.017655960988733815,,859/0.023550087873462213,,,,
961/0.027030590717299578,,2519/0.019951573849878935,2165/0.01641509433962264,365/0.011356763658356294,127/0.02512357379120675,2475/0.0157601977750309,,,766/0.020521353300055462,2489/0.008473564864542309,27/0.016387499093611774,1435/0.019424163107866096,,379/0.020019807583474818,1570/0.025501950708916168,,,2289/0.028525896414342628,1909/0.023599495933096574,296/0.013999553205748753,1739/0.0276268115942029,625/0.02133764991538518,2242/0.018906144496961513,2079/0.018330733229329172,2439/0.024459613196814563,2396/0.014232328854257773,1260/0.02444408109875736,1970/0.019021739130434784,1912/0.020213076474022183,203/0.02196293754289636,1878/0.01966444163810211,28/0.01891031642014604,,1824/0.026657385037467753,505/0.02504638218923933,1650/0.017140195621797857,,,51/0.023875368731563422,2129/0.03127392661523058,,359/0.022872770215675305,424/0.01881881881881882,,,,,751/0.021099452554744526,,,,,878/0.015023312035917804,,1816/0.02699208016809439,,2127/0.019519396374969245,2424/0.026010654967094954,,42/0.024865312888520515,,1614/0.020291310899045706,2566/0.024217961654894045,,,,2267/0.013147663815649961,,798/0.02159286496635894,,,146/0.01770218674071503,1960/0.0216773276474769,727/0.024471068060158044,1379/0.019878833775085196,,400/0.022651261781696564,1940/0.022519954389965794,,1102/0.023393273393273392,,,1178/0.02314659510231466,,1455/0.02312925170068027,503/0.011186264308012487,1105/0.020271159668290115,2625/0.015469984866319153,,2345/0.022847100175746926,,,,
26/0.026832805907172994,,1900/0.019757869249394672,1578/0.016352201257861635,6/0.005443182581815738,2319/0.024714758241349836,,,,,103/0.00835421888053467,2432/0.016242476977739104,1363/0.016668962667034028,,566/0.018887945670628185,1225/0.023931867922732896,,,908/0.026932270916334662,192/0.023484935273227175,2015/0.013999553205748753,2521/0.021890096618357488,757/0.02126407181222868,139/0.018520304813350052,2230/0.0171606864274571,1298/0.02161547212741752,,924/0.022563767168083716,2620/0.017663043478260868,723/0.018607705779334502,1079/0.021766839886263357,1164/0.01786036442359733,2051/0.01834862385321101,,196/0.02317677408787519,258/0.024287400910777534,,,,740/0.02359882005899705,1623/0.02467754284704635,,2515/0.02094598794207222,1875/0.018418418418418417,,,,,872/0.020985401459854013,,,,,435/0.013641858055603523,,2607/0.022304832713754646,,2213/0.016238825555646683,2582/0.02413036665622062,,2135/0.02389832849841138,,376/0.020090406830738324,1544/0.022956609485368314,,,,1667/0.012723545628048349,,2197/0.01987169457048975,,,2404/0.016834432488719193,840/0.020966595593461264,2226/0.022559265867958197,1211/0.019121544869367665,,2387/0.020674977196716328,1128/0.022377423033067275,,495/0.022644022644022644,,,1829/0.021133847702113386,,1539/0.02300556586270872,,280/0.019481374226668423,1948/0.010257272574407264,,1229/0.022378441710603398,,,,
1322/0.025843881856540084,,1969/0.017627118644067796,2495/0.016163522012578615,1245/0.0024863920435454607,2591/0.021778719292377447,,,,,1094/0.008314436885865457,187/0.016242476977739104,997/0.011571841851494697,,2/0.01867572156196944,2401/0.02383671139023694,,,2642/0.023107569721115537,1140/0.02268301065414137,2523/0.013850621788666318,182/0.021739130434782608,1436/0.020749025090133176,2136/0.018520304813350052,1512/0.01547061882475299,2428/0.018581721653394008,,2673/0.013489208633093525,1753/0.017663043478260868,1419/0.01802393461762989,651/0.020786351603098344,983/0.016777918094894463,2623/0.018255008425388505,,135/0.022644445354408092,401/0.023106763366503625,,,,87/0.023137905604719764,2219/0.019671358737263677,,1161/0.02020013673938716,493/0.01821821821821822,,,,,1349/0.02052919708029197,,,,,2549/0.013123812812985667,,577/0.02133505737837401,,1049/0.01418846879357008,1892/0.023294682962498696,,1401/0.02237878159966846,,474/0.016875941737820192,2138/0.02194752774974773,,,,,,2160/0.01666405883273353,,,1893/0.012322110378340854,896/0.019722814498933903,1290/0.022559265867958197,1800/0.01817493373722075,,683/0.015810276679841896,398/0.021664766248574687,,2361/0.021894771894771896,,,304/0.01744381080174438,,546/0.021768707482993196,,582/0.01750691062261419,861/0.008407600470825626,,2423/0.021558289396602225,,,,
1351/0.025580168776371308,,1752/0.017239709443099275,1483/0.015849056603773583,,1608/0.01984613669305385,,,,,1202/0.008234872896527032,1370/0.0160249438039301,297/0.010607521697203472,,1751/0.018604980192416524,1307/0.022314206870301646,,,1208/0.02247011952191235,1028/0.017986023599495932,541/0.013850621788666318,1804/0.021588164251207728,594/0.020675446986976674,289/0.01847207485289862,2613/0.01170046801872075,2668/0.01763367463026166,,2248/0.007112491824722041,2182/0.015398550724637682,960/0.0161266783420899,272/0.020296107461515833,2471/0.01614649106981779,1471/0.01675716158022842,,889/0.021702632979812456,1647/0.02201045707539214,,,,96/0.020095870206489674,2505/0.018905707049885152,,1706/0.019081359935359563,1629/0.01761761761761762,,,,,1995/0.02041514598540146,,,,,1259/0.010360904852357106,,2525/0.010829157911750445,,2493/0.013204297547773313,967/0.018593962185312857,,266/0.020306672192291753,,1000/0.016373681567051733,2463/0.021442986881937437,,,,,,1112/0.015412298544828664,,,1204/0.010065949323151684,2293/0.01687988628287136,1482/0.022304358908998217,177/0.01609238924649754,,1513/0.013986013986013986,1590/0.01909920182440137,,2072/0.021145521145521144,,,1324/0.01677289500167729,,501/0.021645021645021644,,2151/0.017112017901803344,2639/0.00790314444257609,,1946/0.021441124780316345,,,,
935/0.020371835443037976,,1902/0.015012106537530266,1618/0.015345911949685535,,293/0.019288660943248968,,,,,1088/0.008115526912519393,392/0.015589877456312087,615/0.010469761675161868,,1604/0.018534238822863612,113/0.021790845941573888,,,,1114/0.015694810402107916,25/0.013776156080125102,465/0.020531400966183576,552/0.01986608785225517,956/0.018134465129738594,350/0.011440457618304731,2474/0.015358361774744027,,,444/0.014492753623188406,2068/0.01598073555166375,485/0.0182370820668693,1840/0.014342413855313008,1427/0.01675716158022842,,1573/0.021661684615699603,1807/0.02201045707539214,,,,1823/0.019819321533923302,618/0.015607515165793038,,2104/0.016595189259742682,2658/0.016816816816816817,,,,,2602/0.02041514598540146,,,,,2260/0.008288723881885684,,1770/0.008566348795862292,,3/0.00992372672845075,1369/0.018385041261882378,,1143/0.019063406547865726,,2210/0.014163736815670517,2606/0.020686175580221997,,,,,,2421/0.011265842591143795,,,2644/0.007809788267962513,2255/0.014747690120824448,250/0.02026510323731838,2560/0.014388489208633094,,,1162/0.01895667046750285,,569/0.021062271062271064,,,1589/0.016269708151626972,,1531/0.019542362399505256,,1167/0.016848756087929444,2108/0.007398688414326551,,2023/0.021206795547744583,,,,
2146/0.0201081223628692,,2573/0.014624697336561743,212/0.015283018867924528,,942/0.019251495893261975,,,,,2025/0.007837052949834904,200/0.015372344282503081,2013/0.010332001653120265,,603/0.017968307866440294,2464/0.02174326767532591,,,,1173/0.0020620918776492153,978/0.013180430411795369,642/0.0196256038647343,911/0.01979250974909867,421/0.017748625446127136,2377/0.010530421216848674,2425/0.014979142965491089,,,1899/0.014039855072463768,447/0.01598073555166375,1906/0.018139033238552798,2050/0.01407180227313729,1150/0.016663546152405916,,277/0.02129314933868392,1731/0.0195648507336819,,,,479/0.019081858407079644,2333/0.014547382060192002,,595/0.015973646590838463,993/0.016816816816816817,,,,,2491/0.01916058394160584,,,,,2509/0.004144361940942842,,,,1845/0.009185598294103174,2022/0.017862738953306173,,1054/0.01892526592070728,,1956/0.012656956303365142,143/0.020055499495459133,,,,,,966/0.010170552339227038,,,,910/0.01083866382373845,2189/0.015039510578638797,534/0.012305944717909882,,,2355/0.01767388825541619,,2568/0.020562770562770564,,,531/0.015095605501509561,,1741/0.019542362399505256,,811/0.016322232460181652,592/0.0013452160753321001,,108/0.020152314001171647,,,,
238/0.019251054852320676,,2147/0.01414043583535109,1166/0.014528301886792452,,1068/0.01750473854387334,,,,,821/0.007717706965827267,1104/0.015372344282503081,45/0.007163521146163383,,936/0.017119411431805318,1047/0.021219906746598155,,,,2354/0.0011456065986940084,204/0.013105964703254152,1270/0.017814009661835748,2438/0.01890957251122066,837/0.017218095881161376,1957/0.004550182007280291,606/0.013272658323852863,,,1332/0.01381340579710145,2066/0.014448336252189142,1980/0.018139033238552798,1408/0.013530579108785856,160/0.014978468451600824,,958/0.02121125261045821,1151/0.0195648507336819,,,,2179/0.01733038348082596,1218/0.007715413157429766,,511/0.014606252719249176,1712/0.016616616616616616,,,,,2662/0.01893248175182482,,,,,,,,,1396/0.005576970392848356,1654/0.01744489710644521,,729/0.01892526592070728,,2457/0.012255148166750376,1528/0.019298688193743693,,,,,,,,,,2140/0.01083866382373845,1836/0.014784603619678817,1340/0.012305944717909882,,,1460/0.01710376282782212,,697/0.020562770562770564,,,1106/0.01341831600134183,,2352/0.017316017316017316,,1655/0.016190601553244702,,,2539/0.018277680140597538,,,,
2158/0.019053270042194093,,1293/0.013559322033898305,186/0.013962264150943397,,1536/0.017393243393912364,,,,,1321/0.007677924971158054,1456/0.015299833224566746,2240/0.005648160903705745,,2055/0.017119411431805318,717/0.020220763155390616,,,,,720/0.012659170452006851,2091/0.01570048309178744,2622/0.018320947685968654,199/0.016108806790778432,,452/0.003981797497155859,,,1935/0.012228260869565218,883/0.014229422066549912,2156/0.017060496127071282,607/0.012899152083709182,2487/0.014697622168133308,,1921/0.02018754350763687,647/0.019311856974194637,,,,1316/0.013550884955752213,,,,1668/0.016416416416416415,,,,,1339/0.01813412408759124,,,,,,,,,,1380/0.0164002924892928,,188/0.018234562784915042,,489/0.012154696132596685,2494/0.018415741675075682,,,,,,,,,,1296/0.006751954513148543,2038/0.01287280142747897,1016/0.011737978038621734,,,2159/0.016818700114025087,,2231/0.019563769563769564,,,1763/0.012244213351224421,,1735/0.0163265306122449,,2250/0.014874292483875213,,,209/0.016520210896309315,,,,
83/0.014899789029535865,,472/0.012784503631961259,1325/0.013836477987421384,,557/0.01631545694428959,,,,,1673/0.007677924971158054,2211/0.01493727793488507,,,1905/0.017119411431805318,1963/0.01855552383671139,,,,,1389/0.012137910492218334,2527/0.015096618357487922,2178/0.01545140166286513,464/0.01490305777949262,,,,,490/0.012001811594202898,2128/0.012769994162288382,1440/0.015589763702323758,2157/0.012267725058632509,1244/0.014042314173375772,,1099/0.01908193767658982,1387/0.019058863214707372,,,,2615/0.012813421828908555,,,,1163/0.015815815815815815,,,,,2593/0.01802007299270073,,,,,,,,,,1917/0.015669069257286117,,746/0.01671501588617212,,753/0.011752887995981919,1360/0.015893037336024218,,,,,,,,,,,1850/0.012108080550599032,2590/0.01079136690647482,,,1299/0.016248574686431014,,2634/0.019064269064269064,,,1267/0.011741026501174102,,2336/0.01595547309833024,,2466/0.014874292483875213,,,92/0.016403046280023433,,,,
2359/0.01193301687763713,,974/0.012300242130750606,1561/0.013207547169811321,,1898/0.016055301594380643,,,,,148/0.007598360981819628,554/0.014574722645203394,,,2067/0.016553480475382003,909/0.018222475972975546,,,,,2286/0.011914513366594683,2636/0.014794685990338164,1194/0.01405341770289162,2264/0.014806597858589756,,,,,1782/0.012001811594202898,1411/0.011310566258026853,2321/0.014119031277576233,167/0.01208731733718203,1779/0.0127316981838607,,822/0.01895909258425126,2241/0.016781919379321976,,,,1121/0.01198377581120944,,,,1918/0.012412412412412413,,,,,539/0.01802007299270073,,,,,,,,,,1894/0.01472892510184895,,2073/0.01478104710595386,,1833/0.011752887995981919,1107/0.015388496468213926,,,,,,,,,,,286/0.009304104002039256,1313/0.010602044680045438,,,670/0.015108323831242873,,454/0.017066267066267068,,,2347/0.00872190540087219,,2647/0.014347557204700061,,1639/0.014874292483875213,,,1736/0.014059753954305799,,,,
1500/0.01173523206751055,,2380/0.010944309927360774,1973/0.012515723270440251,,809/0.014828854944809901,,,,,1089/0.007359669013804352,1600/0.014284678413458053,,,2550/0.016411997736276173,2513/0.013417071081929775,,,,,1920/0.01131878769826495,1889/0.011322463768115942,2005/0.01287616805238761,523/0.014806597858589756,,,,,1421/0.01177536231884058,804/0.011237594862813777,854/0.012844396509461712,1454/0.01208731733718203,1549/0.012076390189103165,,1808/0.016788829286270013,252/0.01644459436667229,,,,2418/0.011707227138643068,,,,206/0.012012012012012012,,,,,679/0.017221715328467155,,,,,,,,,,409/0.012744176329259376,,2199/0.014504765851636967,,1637/0.011652435961828227,322/0.015010090817356206,,,,,,,,,,,1643/0.006882487891919449,980/0.009276789095039758,,,2283/0.014538198403648802,,1559/0.015734265734265736,,,,,783/0.013481756338899196,,2402/0.014874292483875213,,,1485/0.01335676625659051,,,,
624/0.007713607594936709,,1545/0.010750605326876514,2086/0.012452830188679246,,482/0.014420039394952986,,,,,596/0.007359669013804352,411/0.014212167355521717,,,2512/0.015633842671194113,313/0.01237034922447426,,,,,1119/0.011095390572641299,2297/0.011020531400966184,685/0.01287616805238761,709/0.01451721809588116,,,,,1258/0.01177536231884058,1309/0.010726795096322241,1533/0.012256103539562703,743/0.011816705755006315,2532/0.010765774199588091,,1646/0.015150894721755867,667/0.01619160060718502,,,,1171/0.011154129793510324,,,,2669/0.010810810810810811,,,,,799/0.01699361313868613,,,,,,,,,,1625/0.01201295309725269,,873/0.012985218952894046,,1738/0.010145655449522853,2344/0.011478304742684157,,,,,,,,,,,2389/0.0025490695895997962,1537/0.003786444528587656,,,2326/0.011972633979475485,,2035/0.012903762903762904,,,,,600/0.012739641311069883,,1711/0.01434776885612742,,,1760/0.011599297012302284,,,,
