Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
24/0.003254539860699763,689/0.00012704327941051919,716/0.0018205735916919678,681/0.0034071688126704595,1651/0.0036005391762183483,1478/0.002687120085570426,
1053/0.0032471263302653675,,516/0.0018187234152776466,2263/0.0033990757751106724,846/0.0035824460145288087,1574/0.0026088544520101223,
353/0.0032360060346137737,,1941/0.0018076223567917201,674/0.0033990757751106724,1877/0.0035733994336840393,286/0.0025305888184498186,
1351/0.003232299269396576,,11/0.0018076223567917201,1686/0.003310052361953012,2403/0.0035643528528392695,2374/0.0025305888184498186,
77/0.0032063519128761905,,53/0.0018002216511344357,1520/0.00328577324927365,404/0.0035553062719944997,2138/0.002426234640369414,
374/0.003184111321573003,,925/0.0017595177700193713,1068/0.00328577324927365,572/0.0035553062719944997,1623/0.0023479690068091102,
44/0.0031692842607042113,,122/0.0017576675936050502,2165/0.0032534010990345006,834/0.00354625969114973,1377/0.002243614828728705,
1050/0.0031062692520118468,,1754/0.0017558174171907292,2207/0.0032453080614747135,2432/0.0035281665294601906,2650/0.002217526284208604,
2335/0.00306549483462267,,382/0.0017465665351191237,303/0.0032210289487953512,380/0.003510073367770651,754/0.0020609950170879967,
654/0.003058081304188274,,2468/0.0017410160058761602,836/0.003212935911235564,2093/0.0034648404635468024,363/0.0018001095718869844,
1867/0.003043254243319482,,542/0.0017262145945615914,1433/0.0032048428736757765,2249/0.0034648404635468024,2526/0.0017479324828467819,
295/0.003032133947667889,,293/0.0017225142417329493,1624/0.0032048428736757765,859/0.003455793882702033,2240/0.001643578304766377,
458/0.003032133947667889,,423/0.001718813888904307,1837/0.0031239124980779035,1193/0.0034015143976334145,2587/0.0016174897602462758,
302/0.0030284271824506906,,989/0.0017151135360756649,959/0.0031158194605181164,1149/0.0033743746550991055,2344/0.0016174897602462758,
2519/0.0030284271824506906,,52/0.0016947615955181326,732/0.0030429821224800305,1513/0.0033653280742543356,1748/0.0015914012157261747,
2228/0.003021013652016295,,1389/0.0016947615955181326,1356/0.0030429821224800305,1159/0.003356281493409566,154/0.001513135582165871,
181/0.0030173068867990972,,2391/0.0016910612426894905,186/0.0030429821224800305,1924/0.003356281493409566,1613/0.0013826928595653649,
2671/0.003013600121581899,,961/0.0016873608898608481,1906/0.0030187030098006683,1056/0.003356281493409566,230/0.0013826928595653649,
982/0.0030061865911475034,,364/0.0016818103606178849,2522/0.00295395870932237,2458/0.003347234912564796,2301/0.0013826928595653649,
1289/0.0030024798259303052,,257/0.001665158772888995,1138/0.0029377726342027953,2020/0.0033381883317200266,1814/0.0010435417808040488,
29/0.002950585112889535,,1217/0.0016522075379887472,1579/0.002929679596643008,1372/0.0033381883317200266,2534/0.0008609219691633404,
1285/0.0029468783476723367,,1921/0.0016392563030884996,218/0.0028973074464038588,209/0.003311048589185717,976/0.0008087448801231379,
2015/0.0029246377563691495,,2578/0.0016355559502598573,838/0.002873028333724497,2023/0.0033020020083409474,2287/0.0007565677910829355,
796/0.0029209309911519513,,767/0.0016226047153596096,2470/0.0028649352961647094,2014/0.003292955427496178,1853/0.0004956823458819233,
1561/0.0029209309911519513,,815/0.0016226047153596096,1729/0.0028487492210451347,1191/0.003283908846651408,2223/0.0004435052568417208,
688/0.002902397165065962,,1492/0.0016096534804593617,491/0.0028406561834853476,156/0.003283908846651408,1728/0.0004435052568417208,
1442/0.002894983634631566,,1860/0.0016022527748020773,241/0.0028163770708059858,330/0.0032658156849618685,1704/0.0004174167123216196,
2324/0.002894983634631566,,2368/0.0016004025983877563,1828/0.0028163770708059858,2312/0.003256769104117099,1679/0.0004174167123216196,
1963/0.002891276869414368,,535/0.0016004025983877563,189/0.0027435397327679,144/0.0032296293615827897,1346/0.0002608854452010122,
1604/0.002891276869414368,,1152/0.0015985524219734352,328/0.002694981507409176,522/0.00322058278073802,2445/0.00018261981164070858,
2514/0.002891276869414368,,506/0.0015985524219734352,683/0.0026868884698493887,2133/0.0032024896190484806,2607/5.217708904020245e-05,
1487/0.0028764498085455765,,2209/0.0015893015399018296,685/0.002678795432289601,644/0.003193443038203711,,
287/0.0028727430433283787,,127/0.0015856011870731875,530/0.0026545163196102393,1529/0.003184396457358941,,
757/0.002861622747676785,,1532/0.0015819008342445452,2648/0.0026545163196102393,630/0.0031753498765141716,,
1139/0.002850502452025191,,1937/0.0015745001285872608,1491/0.002646423282050452,2231/0.003157256714824632,,
1089/0.002820848330287608,,937/0.0015615488936870131,2515/0.0026383302444906646,399/0.003157256714824632,,
200/0.0027652468520296394,,360/0.0015578485408583708,2012/0.002614051131811303,2079/0.0031120238106007833,,
524/0.0027541265563780456,,1558/0.0015559983644440497,772/0.002614051131811303,1419/0.0030486977446873955,,
2216/0.002750419791160848,,1142/0.0015448973059581231,222/0.002589772019131941,20/0.0030215580021530864,,
1276/0.002743006260726452,,1458/0.001543047129543802,1569/0.002589772019131941,1543/0.002994418259618777,,
1936/0.002743006260726452,,1225/0.0015356464238865176,619/0.0025816789815721534,1150/0.002994418259618777,,
1164/0.002731885965074858,,1116/0.0015300958946435543,741/0.0025816789815721534,1821/0.002985371678774007,,
1500/0.002702231843337275,,523/0.0015245453654005908,1657/0.0025735859440123663,1378/0.002967278517084468,,
2464/0.002702231843337275,,1577/0.0015245453654005908,242/0.0025735859440123663,120/0.0029491853553949283,,
1733/0.0026874047824684832,,547/0.0015171446597433064,152/0.00253312075621343,2423/0.002940138774550159,,
275/0.002654043895513702,,717/0.0015115941305003432,536/0.002516934681093855,1661/0.0029129990320158495,,
589/0.0026355100694277125,,1731/0.0015041934248430588,2043/0.0025007486059742804,1759/0.00290395245117108,,
762/0.002628096538993317,,204/0.0015023432484287376,2320/0.002492655568414493,1746/0.0028949058703263103,,
223/0.002616976243341723,,814/0.0014967927191857743,864/0.0024845625308547057,2551/0.002840626385257692,,
1119/0.00258732212160414,,768/0.0014949425427714532,2265/0.002476469493294918,722/0.0028225332235681526,,
1009/0.0025836153563869417,,721/0.00148939201352849,1237/0.002460283418175344,784/0.002768253738499534,,
1305/0.0025836153563869417,,1824/0.001474590602213921,1456/0.0024360043054959817,900/0.002741113995965225,,
1662/0.0025613747650837545,,1709/0.0014690400729709579,2396/0.002419818230376407,344/0.0027230208342756855,,
2145/0.0025539612346493585,,187/0.00145608883807071,2516/0.002395539117697045,71/0.0027139742534309157,,
521/0.002528013878128973,,2273/0.0014412874267561411,391/0.002395539117697045,2505/0.0027139742534309157,,
1972/0.002528013878128973,,56/0.0014283361918558935,1481/0.002395539117697045,2378/0.0026596947683622976,,
41/0.0025168935824773793,,1468/0.0014153849569556458,1436/0.0023793530425774705,881/0.0026596947683622976,,
346/0.0025168935824773793,,73/0.001404283898469719,1122/0.0023469808923383215,1714/0.0026596947683622976,,
392/0.0025020665216085878,,393/0.0013987333692267558,85/0.0023227017796589593,1756/0.002650648187517528,,
315/0.002487239460739796,,60/0.0013968831928124347,1600/0.0023227017796589593,2399/0.002641601606672758,,
2224/0.002487239460739796,,2386/0.0013913326635694714,1474/0.0023227017796589593,1098/0.002632555025827988,,
687/0.0024835326955225984,,197/0.0013765312522549026,786/0.002314608742099172,1300/0.0026235084449832188,,
425/0.002457585339002213,,2372/0.0013728308994262603,175/0.002314608742099172,2605/0.00258732212160414,,
1108/0.002457585339002213,,103/0.001370980723011939,1525/0.0023065157045393846,733/0.00257827554075937,,
541/0.002450171808567817,,2429/0.0013691305465976182,904/0.0022984226669795975,1720/0.0025601823790698305,,
1224/0.0024427582781334214,,1236/0.0013635800173546547,184/0.0022741435543002357,2604/0.0025511357982250607,,
1202/0.0024316379824818276,,426/0.0013635800173546547,1914/0.002266050516740448,2426/0.0025511357982250607,,
1320/0.002420517686830234,,1898/0.0013617298409403338,1666/0.0022498644416208734,2566/0.0025511357982250607,,
596/0.002416810921613036,,1060/0.0013580294881116914,2201/0.0022417714040610863,1881/0.0025420892173802913,,
2173/0.0023945703303098484,,1920/0.0013580294881116914,2548/0.0022417714040610863,1494/0.0025239960556907516,,
112/0.0023537959129206715,,15/0.0013543291352830493,1631/0.0022417714040610863,2662/0.0025059028940012124,,
936/0.002327848556400286,,355/0.0013543291352830493,1303/0.0022336783665012987,1327/0.0025059028940012124,,
2384/0.0023241417911830883,,129/0.0013524789588687282,1786/0.0022255853289415116,544/0.0024968563131564426,,
2351/0.0023204350259658905,,2416/0.0013487786060400859,2562/0.0022255853289415116,1788/0.002469716570622133,,
2003/0.0023130214955314945,,61/0.0013487786060400859,609/0.0022013062162621498,533/0.0024606699897773638,,
1192/0.0022759538433595153,,1517/0.0013413779003828015,198/0.0022013062162621498,1177/0.002451623408932594,,
1238/0.002257420017273526,,135/0.0013413779003828015,1315/0.002193213178702362,1228/0.002451623408932594,,
527/0.00225000648683913,,136/0.0013395277239684803,2359/0.0021770271035827875,618/0.002415437085553515,,
801/0.0022388861911875365,,788/0.001333977194725517,573/0.0021527479909034257,2282/0.0024063905047087453,,
2074/0.0022203523651015467,,487/0.0013210259598252694,1252/0.0021203758406642763,1649/0.0024063905047087453,,
2121/0.002209232069449953,,792/0.001317325606996627,1946/0.0021203758406642763,1037/0.0024063905047087453,,
2174/0.002172164417277974,,2154/0.0013154754305823061,367/0.002104189765544702,453/0.002388297343019206,,
565/0.0021573373564091826,,965/0.0013154754305823061,2502/0.0020880036904251274,1949/0.0023611576004848966,,
2375/0.0021536305911919844,,289/0.0013154754305823061,1516/0.0020718176153055527,2533/0.0023430644387953574,,
1441/0.0021499238259747866,,512/0.001313625254167985,2024/0.002063724577745765,911/0.0023430644387953574,,
944/0.002146217060757589,,550/0.0013099249013393426,81/0.002055631540185978,1087/0.0023430644387953574,,
255/0.0021425102955403906,,778/0.0013025241956820582,340/0.002031352427506616,710/0.002324971277105818,,
147/0.0021425102955403906,,201/0.0012988238428534161,743/0.0020232593899468286,2400/0.002324971277105818,,
1183/0.0021425102955403906,,271/0.0012951234900247738,2188/0.0020232593899468286,1440/0.0022978315345715088,,
800/0.0021202697042372034,,1961/0.0012932733136104527,577/0.002007073314827254,2202/0.0022706917920371997,,
193/0.0021091494085856096,,909/0.0012840224315388473,2194/0.001998980277267467,1254/0.00225259863034766,,
1040/0.0021017358781512136,,2645/0.0012840224315388473,1065/0.001950422051908743,1490/0.0022345054686581205,,
2513/0.0021017358781512136,,2124/0.001280322078710205,1353/0.0019423290143489556,1856/0.0022345054686581205,,
166/0.0020906155824996202,,2554/0.001280322078710205,1241/0.0019423290143489556,780/0.0022164123069685813,,
652/0.002086908817282422,,677/0.0012784719022958838,628/0.0019099568641098063,694/0.0022164123069685813,,
850/0.0020757885216308282,,93/0.0012729213730529206,185/0.0019099568641098063,372/0.0021983191452790416,,
1463/0.0020720817564136304,,2591/0.0012710711966385994,1519/0.0018856777514304444,2664/0.0021983191452790416,,
1022/0.002057254695544839,,5/0.0012692210202242785,591/0.0018856777514304444,818/0.0021892725644342722,,
179/0.002057254695544839,,2603/0.0012692210202242785,1071/0.0018694916763108698,2198/0.0021802259835895024,,
605/0.0020313073390244535,,1321/0.0012673708438099573,13/0.0018694916763108698,1470/0.0021711794027447326,,
641/0.002023893808590058,,2144/0.001261820314566994,332/0.0018613986387510824,1231/0.0021349930793656538,,
1198/0.0020201870433728597,,265/0.001259970138152673,1727/0.001853305601191295,1010/0.0021349930793656538,,
1243/0.002009066747721266,,86/0.0012581199617383518,511/0.0018452125636315077,675/0.002116899917676114,,
2635/0.0020016532172868703,,54/0.0012525694324953885,931/0.0018371195260717206,569/0.002116899917676114,,
1583/0.0019942396868524743,,2523/0.0012507192560810673,2213/0.001820933450952146,1382/0.0021078533368313447,,
2597/0.0019905329216352765,,219/0.001245168726838104,2268/0.0017885613007129965,2051/0.0021078533368313447,,
277/0.0019905329216352765,,199/0.001243318550423783,595/0.0017804682631532092,2568/0.002098806755986575,,
384/0.0019905329216352765,,421/0.0012396181975951406,1030/0.0017642821880336347,862/0.002098806755986575,,
