Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
,,1105/0.0006475617450123869,,,,
,,1619/0.0006475617450123869,,,,
,,418/0.0006475617450123869,,,,
,,2025/0.0006457115685980659,,,,
,,205/0.0006457115685980659,,,,
,,1096/0.0006457115685980659,,,,
,,22/0.0006457115685980659,,,,
,,216/0.0006438613921837447,,,,
,,8/0.0006438613921837447,,,,
,,926/0.0006438613921837447,,,,
,,321/0.0006420112157694237,,,,
,,1571/0.0006420112157694237,,,,
,,2436/0.0006401610393551025,,,,
,,188/0.0006401610393551025,,,,
,,2293/0.0006383108629407814,,,,
,,2558/0.0006383108629407814,,,,
,,826/0.0006383108629407814,,,,
,,1865/0.0006364606865264603,,,,
,,1240/0.0006364606865264603,,,,
,,365/0.0006364606865264603,,,,
,,2642/0.0006346105101121392,,,,
,,1673/0.0006346105101121392,,,,
,,284/0.0006327603336978181,,,,
,,2308/0.0006327603336978181,,,,
,,856/0.000630910157283497,,,,
,,87/0.000630910157283497,,,,
,,643/0.000630910157283497,,,,
,,2270/0.000630910157283497,,,,
,,994/0.0006290599808691759,,,,
,,1352/0.0006272098044548547,,,,
,,1454/0.0006272098044548547,,,,
,,1810/0.0006272098044548547,,,,
,,594/0.0006235094516262125,,,,
,,1647/0.0006216592752118915,,,,
,,1092/0.0006216592752118915,,,,
,,84/0.0006216592752118915,,,,
,,798/0.0006198090987975703,,,,
,,428/0.0006179589223832493,,,,
,,1160/0.0006179589223832493,,,,
,,2467/0.0006179589223832493,,,,
,,1765/0.0006179589223832493,,,,
,,1188/0.0006161087459689281,,,,
,,1269/0.0006161087459689281,,,,
,,719/0.0006161087459689281,,,,
,,1247/0.0006161087459689281,,,,
,,1979/0.0006161087459689281,,,,
,,213/0.0006161087459689281,,,,
,,540/0.000614258569554607,,,,
,,1058/0.000614258569554607,,,,
,,1956/0.0006124083931402859,,,,
,,1100/0.0006105582167259648,,,,
,,1484/0.0006105582167259648,,,,
,,913/0.0006087080403116437,,,,
,,711/0.0006068578638973226,,,,
,,816/0.0006068578638973226,,,,
,,873/0.0006050076874830015,,,,
,,2298/0.0006050076874830015,,,,
,,1629/0.0006031575110686804,,,,
,,2085/0.0005994571582400382,,,,
,,1055/0.0005976069818257171,,,,
,,335/0.0005976069818257171,,,,
,,705/0.0005976069818257171,,,,
,,1778/0.0005976069818257171,,,,
,,352/0.000595756805411396,,,,
,,726/0.000595756805411396,,,,
,,1155/0.000595756805411396,,,,
,,2098/0.0005939066289970749,,,,
,,2005/0.0005939066289970749,,,,
,,1553/0.0005939066289970749,,,,
,,1302/0.0005920564525827538,,,,
,,1141/0.0005920564525827538,,,,
,,2428/0.0005902062761684327,,,,
,,1230/0.0005902062761684327,,,,
,,1464/0.0005902062761684327,,,,
,,1582/0.0005902062761684327,,,,
,,740/0.0005883560997541116,,,,
,,2269/0.0005883560997541116,,,,
,,1452/0.0005883560997541116,,,,
,,986/0.0005865059233397904,,,,
,,691/0.0005865059233397904,,,,
,,1385/0.0005865059233397904,,,,
,,2647/0.0005865059233397904,,,,
,,1807/0.0005865059233397904,,,,
,,434/0.0005865059233397904,,,,
,,1194/0.0005846557469254694,,,,
,,842/0.0005846557469254694,,,,
,,2134/0.0005846557469254694,,,,
,,1048/0.0005828055705111482,,,,
,,635/0.0005828055705111482,,,,
,,1485/0.0005828055705111482,,,,
,,602/0.0005809553940968271,,,,
,,690/0.0005809553940968271,,,,
,,847/0.0005809553940968271,,,,
,,590/0.000579105217682506,,,,
,,256/0.000579105217682506,,,,
,,1813/0.0005772550412681849,,,,
,,646/0.0005772550412681849,,,,
,,1301/0.0005754048648538638,,,,
,,2529/0.0005754048648538638,,,,
,,638/0.0005735546884395427,,,,
,,2595/0.0005735546884395427,,,,
,,598/0.0005735546884395427,,,,
,,2126/0.0005717045120252216,,,,
,,1249/0.0005717045120252216,,,,
,,1261/0.0005717045120252216,,,,
,,1088/0.0005698543356109005,,,,
,,1952/0.0005680041591965794,,,,
,,2190/0.0005680041591965794,,,,
,,1682/0.0005680041591965794,,,,
,,2056/0.0005680041591965794,,,,
,,2131/0.0005661539827822583,,,,
,,1146/0.0005643038063679372,,,,
,,1566/0.0005643038063679372,,,,
,,968/0.0005643038063679372,,,,
,,1394/0.0005643038063679372,,,,
,,2506/0.000562453629953616,,,,
,,2149/0.000562453629953616,,,,
,,1000/0.000560603453539295,,,,
,,1607/0.000560603453539295,,,,
,,441/0.0005587532771249738,,,,
,,457/0.0005587532771249738,,,,
,,1163/0.0005569031007106528,,,,
,,1109/0.0005550529242963316,,,,
,,383/0.0005550529242963316,,,,
,,2309/0.0005550529242963316,,,,
,,2628/0.0005550529242963316,,,,
,,2402/0.0005513525714676894,,,,
,,808/0.0005513525714676894,,,,
,,280/0.0005476522186390472,,,,
,,465/0.0005476522186390472,,,,
,,192/0.0005476522186390472,,,,
,,612/0.0005476522186390472,,,,
,,1559/0.0005458020422247262,,,,
,,1029/0.0005458020422247262,,,,
,,1242/0.0005458020422247262,,,,
,,2179/0.000542101689396084,,,,
,,2278/0.000542101689396084,,,,
,,1121/0.0005402515129817628,,,,
,,424/0.0005347009837387994,,,,
,,1627/0.0005347009837387994,,,,
,,555/0.0005328508073244784,,,,
,,2160/0.0005328508073244784,,,,
,,1246/0.0005328508073244784,,,,
,,96/0.0005310006309101572,,,,
,,2508/0.0005291504544958362,,,,
,,1201/0.0005291504544958362,,,,
,,140/0.000527300278081515,,,,
,,2440/0.000527300278081515,,,,
,,488/0.000525450101667194,,,,
,,884/0.0005235999252528728,,,,
,,2177/0.0005235999252528728,,,,
,,1199/0.0005235999252528728,,,,
,,1223/0.0005235999252528728,,,,
,,1274/0.0005217497488385518,,,,
,,2621/0.0005217497488385518,,,,
,,1401/0.0005217497488385518,,,,
,,68/0.0005217497488385518,,,,
,,1702/0.0005217497488385518,,,,
,,2200/0.0005198995724242306,,,,
,,1439/0.0005198995724242306,,,,
,,1278/0.0005198995724242306,,,,
,,1145/0.0005198995724242306,,,,
,,1812/0.0005198995724242306,,,,
,,1507/0.0005198995724242306,,,,
,,247/0.0005180493960099096,,,,
,,564/0.0005180493960099096,,,,
,,974/0.0005161992195955884,,,,
,,2340/0.0005161992195955884,,,,
,,2139/0.0005161992195955884,,,,
,,1200/0.0005143490431812674,,,,
,,1715/0.0005143490431812674,,,,
,,1659/0.0005124988667669462,,,,
,,405/0.0005124988667669462,,,,
,,1407/0.0005106486903526252,,,,
,,2466/0.0005106486903526252,,,,
,,2197/0.000508798513938304,,,,
,,2086/0.000506948337523983,,,,
,,1875/0.000506948337523983,,,,
,,2327/0.000506948337523983,,,,
,,195/0.000506948337523983,,,,
,,254/0.000506948337523983,,,,
,,1522/0.0005050981611096618,,,,
,,1112/0.0005050981611096618,,,,
,,636/0.0005032479846953407,,,,
,,1095/0.0005032479846953407,,,,
,,1367/0.0005032479846953407,,,,
,,763/0.0005013978082810196,,,,
,,993/0.0005013978082810196,,,,
,,59/0.0005013978082810196,,,,
,,454/0.0004995476318666985,,,,
,,1628/0.0004995476318666985,,,,
,,1996/0.0004976974554523774,,,,
,,746/0.0004976974554523774,,,,
,,1172/0.0004976974554523774,,,,
,,934/0.0004976974554523774,,,,
,,1453/0.0004958472790380563,,,,
,,840/0.0004958472790380563,,,,
,,972/0.0004958472790380563,,,,
,,724/0.0004939971026237352,,,,
,,500/0.0004939971026237352,,,,
,,2004/0.000492146926209414,,,,
,,1280/0.000490296749795093,,,,
,,2585/0.000490296749795093,,,,
,,2238/0.000490296749795093,,,,
,,1780/0.000490296749795093,,,,
,,145/0.0004884465733807718,,,,
,,2072/0.0004884465733807718,,,,
,,1981/0.0004884465733807718,,,,
,,2540/0.0004884465733807718,,,,
,,443/0.0004884465733807718,,,,
,,69/0.00048659639696645076,,,,
,,2048/0.00048659639696645076,,,,
,,2618/0.00048659639696645076,,,,
,,1882/0.00048474622055212966,,,,
,,1167/0.00048289604413780855,,,,
,,880/0.00048289604413780855,,,,
,,2494/0.00048289604413780855,,,,
,,400/0.00048104586772348745,,,,
,,1132/0.00048104586772348745,,,,
,,285/0.00048104586772348745,,,,
,,1210/0.00047734551489484524,,,,
,,2007/0.00047734551489484524,,,,
,,494/0.00047734551489484524,,,,
,,1221/0.00047549533848052414,,,,
,,2673/0.00047549533848052414,,,,
,,1782/0.00047549533848052414,,,,
,,1427/0.00047364516206620304,,,,
,,2565/0.00047364516206620304,,,,
,,642/0.00047364516206620304,,,,
,,1250/0.00047364516206620304,,,,
,,2362/0.00047179498565188193,,,,
,,1784/0.0004699448092375608,,,,
,,910/0.0004680946328232397,,,,
,,667/0.00046624445640891857,,,,
,,668/0.00046439427999459747,,,,
,,841/0.00046439427999459747,,,,
,,1072/0.00046254410358027636,,,,
,,92/0.00046069392716595526,,,,
,,1923/0.00046069392716595526,,,,
,,2219/0.00045884375075163416,,,,
,,10/0.00045884375075163416,,,,
,,2203/0.00045884375075163416,,,,
,,2065/0.00045699357433731305,,,,
,,143/0.00045514339792299195,,,,
,,1330/0.00045514339792299195,,,,
,,2376/0.00045514339792299195,,,,
,,697/0.00045514339792299195,,,,
,,1077/0.00045329322150867085,,,,
,,1284/0.00045329322150867085,,,,
,,1874/0.00045144304509434974,,,,
,,1760/0.00044959286868002864,,,,
,,1740/0.00044959286868002864,,,,
,,1761/0.00044959286868002864,,,,
,,1297/0.00044959286868002864,,,,
,,1599/0.00044959286868002864,,,,
,,723/0.00044774269226570754,,,,
,,2067/0.00044589251585138643,,,,
,,100/0.00044589251585138643,,,,
,,2255/0.00044589251585138643,,,,
,,2169/0.00044589251585138643,,,,
,,2594/0.00044589251585138643,,,,
,,167/0.00044219216302274423,,,,
,,2395/0.0004403419866084231,,,,
,,164/0.0004403419866084231,,,,
,,529/0.0004366416337797809,,,,
,,2306/0.0004347914573654598,,,,
,,2661/0.0004347914573654598,,,,
,,874/0.0004347914573654598,,,,
,,1414/0.0004329412809511387,,,,
,,501/0.0004310911045368176,,,,
,,1234/0.0004292409281224965,,,,
,,2083/0.0004292409281224965,,,,
,,1757/0.0004292409281224965,,,,
,,2018/0.0004273907517081754,,,,
,,811/0.0004273907517081754,,,,
,,2511/0.00042554057529385424,,,,
,,1341/0.00042184022246521204,,,,
,,659/0.00042184022246521204,,,,
,,2314/0.00041999004605089093,,,,
,,2035/0.00041999004605089093,,,,
,,1925/0.00041813986963656983,,,,
,,2317/0.00041813986963656983,,,,
,,2632/0.00041813986963656983,,,,
,,2598/0.0004162896932222487,,,,
,,322/0.0004162896932222487,,,,
,,2137/0.0004144395168079276,,,,
,,1218/0.0004125893403936065,,,,
,,2330/0.0004125893403936065,,,,
,,1028/0.0004107391639792854,,,,
,,1368/0.0004107391639792854,,,,
,,104/0.0004088889875649643,,,,
,,2616/0.0004051886347363221,,,,
,,18/0.0004051886347363221,,,,
,,1879/0.0004051886347363221,,,,
,,2431/0.000403338458322001,,,,
,,2479/0.000403338458322001,,,,
,,2167/0.0004014882819076799,,,,
,,2297/0.0004014882819076799,,,,
,,2214/0.0004014882819076799,,,,
,,1747/0.0004014882819076799,,,,
,,1097/0.0003996381054933588,,,,
,,2475/0.0003996381054933588,,,,
,,1323/0.0003977879290790377,,,,
,,1711/0.0003959377526647166,,,,
,,2457/0.0003940875762503955,,,,
,,170/0.0003940875762503955,,,,
,,2285/0.0003903872234217533,,,,
,,1215/0.0003903872234217533,,,,
,,960/0.0003885370470074322,,,,
,,2073/0.0003885370470074322,,,,
,,1265/0.0003885370470074322,,,,
,,1637/0.0003811363413501477,,,,
,,1581/0.0003792861649358266,,,,
,,2425/0.0003792861649358266,,,,
,,650/0.0003774359885215055,,,,
,,1443/0.0003774359885215055,,,,
,,1376/0.0003774359885215055,,,,
,,2421/0.0003755858121071844,,,,
,,1674/0.0003755858121071844,,,,
,,2333/0.0003755858121071844,,,,
,,1973/0.0003755858121071844,,,,
,,1495/0.0003755858121071844,,,,
,,1476/0.0003737356356928633,,,,
,,40/0.0003737356356928633,,,,
,,1001/0.0003737356356928633,,,,
,,2571/0.0003718854592785422,,,,
,,1614/0.0003700352828642211,,,,
,,1980/0.0003700352828642211,,,,
,,1340/0.0003700352828642211,,,,
,,2140/0.0003681851064499,,,,
,,766/0.0003681851064499,,,,
,,999/0.0003681851064499,,,,
,,2451/0.0003681851064499,,,,
,,2031/0.0003681851064499,,,,
,,877/0.0003681851064499,,,,
,,1766/0.0003663349300355789,,,,
,,2371/0.0003663349300355789,,,,
,,2275/0.0003663349300355789,,,,
,,1130/0.0003626345772069367,,,,
,,1750/0.0003607844007926156,,,,
,,1084/0.0003607844007926156,,,,
,,1384/0.00035893422437829447,,,,
,,1266/0.00035708404796397337,,,,
,,1498/0.00035708404796397337,,,,
,,1633/0.00035523387154965226,,,,
,,1455/0.00035523387154965226,,,,
,,640/0.00035338369513533116,,,,
,,1698/0.00035338369513533116,,,,
,,2427/0.00035338369513533116,,,,
,,1521/0.00035153351872101006,,,,
,,2492/0.00034783316589236785,,,,
,,1965/0.00034783316589236785,,,,
,,304/0.00034598298947804675,,,,
,,2092/0.00034598298947804675,,,,
,,1295/0.00034598298947804675,,,,
,,1312/0.00034228263664940454,,,,
,,1546/0.00034228263664940454,,,,
,,2184/0.00034228263664940454,,,,
,,1650/0.00033858228382076233,,,,
,,2215/0.0003367321074064412,,,,
,,971/0.0003367321074064412,,,,
,,1869/0.0003348819309921201,,,,
,,922/0.0003348819309921201,,,,
,,2524/0.00033303175457779897,,,,
,,672/0.00033303175457779897,,,,
,,251/0.00033303175457779897,,,,
,,1769/0.00033118157816347787,,,,
,,1534/0.00033118157816347787,,,,
,,1332/0.00032933140174915676,,,,
,,1374/0.00032933140174915676,,,,
,,1277/0.00032748122533483566,,,,
,,1124/0.00032748122533483566,,,,
,,940/0.00032748122533483566,,,,
,,1309/0.00032563104892051456,,,,
,,843/0.00032378087250619345,,,,
,,1907/0.00032378087250619345,,,,
,,943/0.00032193069609187235,,,,
,,2363/0.00032008051967755125,,,,
,,606/0.00032008051967755125,,,,
,,1638/0.00032008051967755125,,,,
,,980/0.00032008051967755125,,,,
,,1271/0.00031823034326323014,,,,
,,1826/0.00031823034326323014,,,,
,,870/0.00031823034326323014,,,,
,,1144/0.00031638016684890904,,,,
,,2409/0.00031638016684890904,,,,
,,1640/0.00030897946119162463,,,,
,,1045/0.00030897946119162463,,,,
,,2510/0.00030897946119162463,,,,
,,951/0.0003071292847773035,,,,
,,2422/0.0003052791083629824,,,,
,,2336/0.0003052791083629824,,,,
,,2296/0.0003052791083629824,,,,
,,2544/0.0003052791083629824,,,,
,,1855/0.0003034289319486613,,,,
,,2383/0.0003034289319486613,,,,
,,1409/0.0003034289319486613,,,,
,,2463/0.0003034289319486613,,,,
,,2493/0.0003015787555343402,,,,
,,1742/0.000297878402705698,,,,
,,2234/0.000297878402705698,,,,
,,1336/0.0002960282262913769,,,,
,,2485/0.0002941780498770558,,,,
,,1282/0.0002941780498770558,,,,
,,490/0.0002941780498770558,,,,
,,131/0.00029047769704841354,,,,
,,1738/0.00029047769704841354,,,,
,,1801/0.00028862752063409244,,,,
,,1083/0.00028862752063409244,,,,
,,1184/0.00028677734421977133,,,,
,,1612/0.00028492716780545023,,,,
,,1542/0.00028492716780545023,,,,
,,1171/0.00028492716780545023,,,,
,,966/0.00028492716780545023,,,,
,,2592/0.00028307699139112913,,,,
,,567/0.00028307699139112913,,,,
,,1279/0.000281226814976808,,,,
,,1257/0.000281226814976808,,,,
,,2310/0.000281226814976808,,,,
,,2095/0.000281226814976808,,,,
,,2141/0.0002793766385624869,,,,
,,1069/0.0002793766385624869,,,,
,,2532/0.0002793766385624869,,,,
,,1713/0.0002793766385624869,,,,
,,684/0.0002775264621481658,,,,
,,1477/0.0002756762857338447,,,,
,,2164/0.0002756762857338447,,,,
,,2469/0.0002756762857338447,,,,
,,2034/0.0002738261093195236,,,,
,,1362/0.0002738261093195236,,,,
,,177/0.0002719759329052025,,,,
,,2627/0.0002701257564908814,,,,
,,2581/0.0002701257564908814,,,,
,,1886/0.0002701257564908814,,,,
,,2377/0.0002701257564908814,,,,
,,398/0.0002701257564908814,,,,
,,1811/0.0002682755800765603,,,,
,,214/0.0002682755800765603,,,,
,,2476/0.0002682755800765603,,,,
,,1844/0.0002682755800765603,,,,
,,1565/0.0002682755800765603,,,,
,,1281/0.0002664254036622392,,,,
,,828/0.0002664254036622392,,,,
,,2530/0.0002664254036622392,,,,
,,233/0.0002645752272479181,,,,
,,397/0.0002645752272479181,,,,
,,1460/0.000262725050833597,,,,
,,2410/0.000262725050833597,,,,
,,1480/0.000262725050833597,,,,
,,1054/0.000262725050833597,,,,
,,2076/0.0002608748744192759,,,,
,,546/0.0002608748744192759,,,,
,,888/0.0002608748744192759,,,,
,,1025/0.0002590246980049548,,,,
,,2204/0.0002590246980049548,,,,
,,1753/0.0002553243451763126,,,,
,,414/0.0002534741687619915,,,,
,,1557/0.0002534741687619915,,,,
,,1922/0.0002534741687619915,,,,
,,2100/0.0002534741687619915,,,,
,,2658/0.0002534741687619915,,,,
,,1783/0.00025162399234767037,,,,
,,1945/0.00025162399234767037,,,,
,,2277/0.00024977381593334927,,,,
,,1870/0.00024977381593334927,,,,
,,2655/0.00024792363951902817,,,,
,,1741/0.000246073463104707,,,,
,,2646/0.000246073463104707,,,,
,,1564/0.0002442232866903859,,,,
,,2355/0.0002442232866903859,,,,
,,2353/0.00024052293386174373,,,,
,,2069/0.00024052293386174373,,,,
,,1987/0.00024052293386174373,,,,
,,2583/0.00023867275744742262,,,,
,,1622/0.00023682258103310152,,,,
,,1735/0.00023682258103310152,,,,
,,2046/0.0002349724046187804,,,,
,,1831/0.00023312222820445928,,,,
,,312/0.00023312222820445928,,,,
,,1732/0.00023127205179013818,,,,
,,1918/0.00023127205179013818,,,,
,,1691/0.00022942187537581708,,,,
,,2281/0.00022757169896149598,,,,
,,1140/0.00022572152254717487,,,,
,,2643/0.00022572152254717487,,,,
,,2478/0.00022572152254717487,,,,
,,2481/0.00022572152254717487,,,,
,,1106/0.00022572152254717487,,,,
,,2248/0.00022387134613285377,,,,
,,1694/0.00022387134613285377,,,,
,,1304/0.00022387134613285377,,,,
,,1479/0.00022202116971853267,,,,
,,1644/0.00022202116971853267,,,,
,,1425/0.00022202116971853267,,,,
,,656/0.00021832081688989046,,,,
,,1438/0.00021647064047556936,,,,
,,2153/0.00021462046406124825,,,,
,,1967/0.00021277028764692712,,,,
,,1324/0.00021277028764692712,,,,
,,2260/0.00021277028764692712,,,,
,,324/0.00021277028764692712,,,,
,,2232/0.00021092011123260602,,,,
,,615/0.00021092011123260602,,,,
,,1668/0.00020906993481828492,,,,
,,2575/0.00020906993481828492,,,,
,,1016/0.00020906993481828492,,,,
,,1954/0.0002053695819896427,,,,
,,1798/0.0002035194055753216,,,,
,,2644/0.0002016692291610005,,,,
,,1916/0.0002016692291610005,,,,
,,804/0.0001998190527466794,,,,
,,2487/0.0001979688763323583,,,,
,,1641/0.0001979688763323583,,,,
,,2430/0.0001942685235037161,,,,
,,2346/0.00019241834708939499,,,,
,,1745/0.00019056817067507386,,,,
,,2075/0.00018871799426075275,,,,
,,2613/0.00018686781784643165,,,,
,,217/0.00018686781784643165,,,,
,,2029/0.00018686781784643165,,,,
,,1457/0.00018686781784643165,,,,
,,1313/0.00018686781784643165,,,,
,,2040/0.00018501764143211055,,,,
,,1524/0.00018316746501778944,,,,
,,1018/0.00018316746501778944,,,,
,,350/0.00018316746501778944,,,,
,,1253/0.00018131728860346834,,,,
,,2094/0.00017946711218914724,,,,
,,1508/0.00017946711218914724,,,,
,,2087/0.00017761693577482613,,,,
,,1868/0.00017761693577482613,,,,
,,2304/0.00017391658294618393,,,,
,,1929/0.00017391658294618393,,,,
,,1829/0.00017021623011754172,,,,
,,1833/0.00016651587728889949,,,,
,,1995/0.00016466570087457838,,,,
,,561/0.00016281552446025728,,,,
,,347/0.00016096534804593618,,,,
,,2549/0.00015726499521729397,,,,
,,2280/0.00015541481880297287,,,,
,,2560/0.00015171446597433066,,,,
,,2385/0.00014801411314568845,,,,
,,1012/0.00014431376031704622,,,,
,,575/0.00014431376031704622,,,,
,,2022/0.00014246358390272512,,,,
,,1373/0.000140613407488404,,,,
,,1173/0.000140613407488404,,,,
,,1645/0.0001369130546597618,,,,
,,2640/0.0001369130546597618,,,,
,,2580/0.0001350628782454407,,,,
,,1432/0.0001350628782454407,,,,
,,2364/0.0001350628782454407,,,,
,,2666/0.0001350628782454407,,,,
,,1846/0.0001313625254167985,,,,
,,1816/0.0001295123490024774,,,,
,,1417/0.0001276621725881563,,,,
,,2498/0.0001276621725881563,,,,
,,1544/0.0001276621725881563,,,,
,,94/0.00012581199617383519,,,,
,,2205/0.00012581199617383519,,,,
,,526/0.00012581199617383519,,,,
,,663/0.00012396181975951408,,,,
,,2531/0.00012396181975951408,,,,
,,576/0.00012396181975951408,,,,
,,1948/0.00012211164334519295,,,,
,,2569/0.00012211164334519295,,,,
,,2115/0.00012211164334519295,,,,
,,2465/0.00012026146693087186,,,,
,,2486/0.00012026146693087186,,,,
,,1134/0.00012026146693087186,,,,
,,2651/0.00012026146693087186,,,,
,,1447/0.00011471093768790854,,,,
,,1777/0.00011286076127358744,,,,
,,2155/0.00010546005561630301,,,,
,,1255/0.0001017597027876608,,,,
,,2584/9.99095263733397e-05,,,,
,,1794/9.80593499590186e-05,,,,
,,1915/9.435899713037638e-05,,,,
,,2547/9.435899713037638e-05,,,,
,,1552/9.250882071605527e-05,,,,
,,2411/9.250882071605527e-05,,,,
,,1472/9.065864430173417e-05,,,,
,,1626/8.880846788741307e-05,,,,
,,1598/8.695829147309196e-05,,,,
,,1548/7.955758581580754e-05,,,,
,,1448/6.84565273298809e-05,,,,
,,2528/6.105582167259648e-05,,,,
,,1700/5.920564525827538e-05,,,,
,,2357/5.180493960099095e-05,,,,
,,2288/4.8104586772348746e-05,,,,
,,2455/4.070388111506432e-05,,,,
,,947/3.8853704700743216e-05,,,,
,,1288/3.5153351872101e-05,,,,
,,1158/3.33031754577799e-05,,,,
,,1101/3.1452999043458796e-05,,,,
,,2447/9.250882071605528e-06,,,,
,,2294/1.8501764143211056e-06,,,,
