i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
390,stargateuniverse,0.021052631578947368,0.24842105263157896,0.031578947368421054,0.021052631578947368,0.008421052631578947,0.08421052631578947,0.008421052631578947,0.09894736842105263,0.02736842105263158,0.0863157894736842,0.06947368421052631,0.06315789473684211,0.061052631578947365,0.004210526315789474,0.035789473684210524,0.014736842105263158,0.061052631578947365,0.0,0.004210526315789474,0.02526315789473684,0.002105263157894737,0.018947368421052633,0.0,0.0,0.002105263157894737,0.002105263157894737
391,houseofmouse,0.006085192697768763,0.2413793103448276,0.10953346855983773,0.09127789046653144,0.06490872210953347,0.16227180527383367,0.04056795131845842,0.038539553752535496,0.004056795131845842,0.038539553752535496,0.004056795131845842,0.032454361054766734,0.030425963488843813,0.002028397565922921,0.02231237322515213,0.02028397565922921,0.006085192697768763,0.014198782961460446,0.004056795131845842,0.016227180527383367,0.018255578093306288,0.002028397565922921,0.0,0.030425963488843813,0.0,0.0
392,couragethecowardlydog,0.009881422924901186,0.1442687747035573,0.037549407114624504,0.1007905138339921,0.06521739130434782,0.18379446640316205,0.021739130434782608,0.05731225296442688,0.005928853754940711,0.05928853754940711,0.029644268774703556,0.04940711462450593,0.03162055335968379,0.015810276679841896,0.06126482213438735,0.009881422924901186,0.01383399209486166,0.01383399209486166,0.011857707509881422,0.019762845849802372,0.019762845849802372,0.005928853754940711,0.0,0.029644268774703556,0.0,0.001976284584980237
393,greatteacheronizuka,0.028112449799196786,0.25100401606425704,0.06827309236947791,0.05220883534136546,0.06224899598393574,0.12248995983935743,0.020080321285140562,0.07028112449799197,0.014056224899598393,0.024096385542168676,0.014056224899598393,0.04216867469879518,0.04417670682730924,0.006024096385542169,0.012048192771084338,0.03815261044176707,0.004016064257028112,0.006024096385542169,0.004016064257028112,0.04417670682730924,0.03815261044176707,0.020080321285140562,0.006024096385542169,0.002008032128514056,0.002008032128514056,0.004016064257028112
394,ninjago,0.006097560975609756,0.20121951219512196,0.06097560975609756,0.06097560975609756,0.022357723577235773,0.07723577235772358,0.008130081300813009,0.08739837398373984,0.01016260162601626,0.08943089430894309,0.044715447154471545,0.10772357723577236,0.022357723577235773,0.012195121951219513,0.06097560975609756,0.0020325203252032522,0.026422764227642278,0.0,0.052845528455284556,0.012195121951219513,0.012195121951219513,0.0020325203252032522,0.0,0.008130081300813009,0.008130081300813009,0.0040650406504065045
395,toloveru,0.0022624434389140274,0.27601809954751133,0.06561085972850679,0.08823529411764706,0.00904977375565611,0.07918552036199095,0.006787330316742082,0.05429864253393665,0.006787330316742082,0.027149321266968326,0.024886877828054297,0.05429864253393665,0.011312217194570135,0.004524886877828055,0.04524886877828054,0.042986425339366516,0.0,0.006787330316742082,0.01583710407239819,0.07692307692307693,0.058823529411764705,0.011312217194570135,0.011312217194570135,0.004524886877828055,0.0022624434389140274,0.013574660633484163
396,ultimatespiderman,0.006198347107438017,0.27892561983471076,0.06818181818181818,0.0743801652892562,0.01652892561983471,0.1012396694214876,0.010330578512396695,0.1012396694214876,0.010330578512396695,0.04338842975206612,0.028925619834710745,0.11776859504132231,0.030991735537190084,0.0,0.022727272727272728,0.004132231404958678,0.008264462809917356,0.002066115702479339,0.026859504132231406,0.008264462809917356,0.014462809917355372,0.004132231404958678,0.0,0.012396694214876033,0.004132231404958678,0.004132231404958678
397,thenanny,0.012738853503184714,0.26963906581740976,0.09554140127388536,0.04883227176220807,0.05732484076433121,0.1592356687898089,0.055201698513800426,0.03821656050955414,0.0021231422505307855,0.021231422505307854,0.006369426751592357,0.014861995753715499,0.04246284501061571,0.0,0.006369426751592357,0.06794055201698514,0.0,0.0,0.0,0.03397027600849257,0.027600849256900213,0.036093418259023353,0.0,0.004246284501061571,0.0,0.0
398,mobilesuitgundamironbloodedorphans,0.014028056112224449,0.22645290581162325,0.026052104208416832,0.04008016032064128,0.006012024048096192,0.050100200400801605,0.004008016032064128,0.11422845691382766,0.050100200400801605,0.06012024048096192,0.06813627254509018,0.11823647294589178,0.018036072144288578,0.014028056112224449,0.026052104208416832,0.006012024048096192,0.028056112224448898,0.004008016032064128,0.02404809619238477,0.036072144288577156,0.018036072144288578,0.012024048096192385,0.004008016032064128,0.002004008016032064,0.02404809619238477,0.006012024048096192
399,megasxlr,0.01050420168067227,0.20588235294117646,0.06092436974789916,0.07352941176470588,0.031512605042016806,0.09873949579831932,0.01050420168067227,0.058823529411764705,0.01050420168067227,0.07142857142857142,0.05042016806722689,0.10084033613445378,0.031512605042016806,0.0063025210084033615,0.046218487394957986,0.0063025210084033615,0.03571428571428571,0.004201680672268907,0.031512605042016806,0.01680672268907563,0.01050420168067227,0.0021008403361344537,0.0,0.0063025210084033615,0.012605042016806723,0.0063025210084033615
400,kamenriderexaid,0.022357723577235773,0.21341463414634146,0.024390243902439025,0.06504065040650407,0.01016260162601626,0.06097560975609756,0.0020325203252032522,0.08536585365853659,0.036585365853658534,0.06707317073170732,0.06910569105691057,0.0975609756097561,0.02032520325203252,0.034552845528455285,0.024390243902439025,0.0040650406504065045,0.012195121951219513,0.0040650406504065045,0.04065040650406504,0.036585365853658534,0.018292682926829267,0.0020325203252032522,0.0020325203252032522,0.008130081300813009,0.032520325203252036,0.006097560975609756
401,castlevania2017,0.010660980810234541,0.232409381663113,0.021321961620469083,0.042643923240938165,0.010660980810234541,0.05970149253731343,0.0021321961620469083,0.1257995735607676,0.03837953091684435,0.06183368869936034,0.0511727078891258,0.1023454157782516,0.046908315565031986,0.021321961620469083,0.02771855010660981,0.017057569296375266,0.014925373134328358,0.0021321961620469083,0.023454157782515993,0.03411513859275053,0.0042643923240938165,0.019189765458422176,0.0,0.006396588486140725,0.019189765458422176,0.0042643923240938165
402,midsomermurders,0.07258064516129033,0.18346774193548387,0.04032258064516129,0.03024193548387097,0.038306451612903226,0.1592741935483871,0.06854838709677419,0.09274193548387097,0.024193548387096774,0.05846774193548387,0.014112903225806451,0.03225806451612903,0.0907258064516129,0.0,0.006048387096774193,0.036290322580645164,0.0,0.008064516129032258,0.0,0.010080645161290322,0.008064516129032258,0.018145161290322582,0.0,0.004032258064516129,0.004032258064516129,0.0
403,fatherted,0.016913319238900635,0.2452431289640592,0.12050739957716702,0.04439746300211417,0.07822410147991543,0.17124735729386892,0.042283298097251586,0.048625792811839326,0.006342494714587738,0.03382663847780127,0.004228329809725159,0.03171247357293869,0.05708245243128964,0.0,0.008456659619450317,0.02536997885835095,0.0,0.004228329809725159,0.0,0.019027484143763214,0.012684989429175475,0.02536997885835095,0.0021141649048625794,0.0,0.0021141649048625794,0.0
404,sonicx,0.004032258064516129,0.22580645161290322,0.05443548387096774,0.08064516129032258,0.018145161290322582,0.10887096774193548,0.010080645161290322,0.10080645161290322,0.010080645161290322,0.04233870967741935,0.03024193548387097,0.0907258064516129,0.036290322580645164,0.0020161290322580645,0.04838709677419355,0.010080645161290322,0.008064516129032258,0.006048387096774193,0.020161290322580645,0.03225806451612903,0.036290322580645164,0.0,0.006048387096774193,0.006048387096774193,0.008064516129032258,0.004032258064516129
405,qi,0.008403361344537815,0.24369747899159663,0.07983193277310924,0.04831932773109244,0.0819327731092437,0.16176470588235295,0.04201680672268908,0.03571428571428571,0.0021008403361344537,0.06722689075630252,0.012605042016806723,0.04831932773109244,0.03991596638655462,0.008403361344537815,0.01680672268907563,0.029411764705882353,0.0021008403361344537,0.008403361344537815,0.0,0.0273109243697479,0.01050420168067227,0.018907563025210083,0.0,0.0063025210084033615,0.0,0.0
406,dragonballgt,0.0,0.2,0.04742268041237113,0.07628865979381444,0.01443298969072165,0.041237113402061855,0.002061855670103093,0.08453608247422681,0.012371134020618556,0.07216494845360824,0.06391752577319587,0.12164948453608247,0.024742268041237112,0.02268041237113402,0.05154639175257732,0.010309278350515464,0.020618556701030927,0.004123711340206186,0.041237113402061855,0.03917525773195876,0.02268041237113402,0.002061855670103093,0.002061855670103093,0.006185567010309278,0.012371134020618556,0.004123711340206186
407,macrossfrontier,0.002079002079002079,0.20374220374220375,0.029106029106029108,0.04781704781704782,0.018711018711018712,0.04365904365904366,0.002079002079002079,0.09147609147609148,0.0395010395010395,0.05405405405405406,0.062370062370062374,0.09355509355509356,0.029106029106029108,0.014553014553014554,0.04781704781704782,0.02494802494802495,0.04365904365904366,0.0,0.02079002079002079,0.058212058212058215,0.031185031185031187,0.004158004158004158,0.004158004158004158,0.004158004158004158,0.02079002079002079,0.008316008316008316
408,thebackyardigans,0.007905138339920948,0.21146245059288538,0.07509881422924901,0.08498023715415019,0.05928853754940711,0.12450592885375494,0.01383399209486166,0.041501976284584984,0.011857707509881422,0.06126482213438735,0.011857707509881422,0.06324110671936758,0.029644268774703556,0.01383399209486166,0.05138339920948617,0.005928853754940711,0.025691699604743084,0.011857707509881422,0.021739130434782608,0.015810276679841896,0.017786561264822136,0.001976284584980237,0.0,0.029644268774703556,0.005928853754940711,0.001976284584980237
409,thesmurfs1981,0.0,0.16569200779727095,0.07992202729044834,0.10331384015594541,0.056530214424951264,0.13840155945419103,0.017543859649122806,0.04873294346978557,0.005847953216374269,0.06627680311890838,0.031189083820662766,0.04483430799220273,0.021442495126705652,0.01949317738791423,0.07797270955165692,0.01949317738791423,0.011695906432748537,0.011695906432748537,0.009746588693957114,0.015594541910331383,0.015594541910331383,0.0,0.001949317738791423,0.029239766081871343,0.003898635477582846,0.003898635477582846
410,foodwars,0.0021551724137931034,0.3168103448275862,0.06465517241379311,0.05603448275862069,0.028017241379310345,0.07327586206896551,0.021551724137931036,0.06896551724137931,0.008620689655172414,0.017241379310344827,0.01293103448275862,0.08620689655172414,0.010775862068965518,0.010775862068965518,0.008620689655172414,0.03017241379310345,0.0,0.0,0.008620689655172414,0.07758620689655173,0.05387931034482758,0.00646551724137931,0.017241379310344827,0.0,0.010775862068965518,0.008620689655172414
411,scandal,0.041304347826086954,0.29130434782608694,0.05217391304347826,0.017391304347826087,0.010869565217391304,0.10869565217391304,0.02608695652173913,0.11956521739130435,0.03695652173913044,0.03260869565217391,0.03260869565217391,0.05652173913043478,0.06304347826086956,0.004347826086956522,0.002173913043478261,0.030434782608695653,0.0,0.0,0.002173913043478261,0.02391304347826087,0.013043478260869565,0.03260869565217391,0.0,0.0,0.0,0.002173913043478261
412,sliders,0.02553191489361702,0.19361702127659575,0.03829787234042553,0.03404255319148936,0.02127659574468085,0.13829787234042554,0.023404255319148935,0.07021276595744681,0.00425531914893617,0.12340425531914893,0.059574468085106386,0.05531914893617021,0.04893617021276596,0.00851063829787234,0.04042553191489362,0.01702127659574468,0.06808510638297872,0.0,0.0,0.014893617021276596,0.00425531914893617,0.006382978723404255,0.0,0.00425531914893617,0.0,0.0
413,bigcitygreens,0.0102880658436214,0.2674897119341564,0.08847736625514403,0.08024691358024691,0.08024691358024691,0.14609053497942387,0.024691358024691357,0.05761316872427984,0.006172839506172839,0.03292181069958848,0.0205761316872428,0.047325102880658436,0.026748971193415638,0.00205761316872428,0.02263374485596708,0.012345679012345678,0.00411522633744856,0.0102880658436214,0.00205761316872428,0.012345679012345678,0.018518518518518517,0.00411522633744856,0.0,0.018518518518518517,0.0,0.00411522633744856
414,roseanne,0.011737089201877934,0.3004694835680751,0.10328638497652583,0.035211267605633804,0.056338028169014086,0.1619718309859155,0.04225352112676056,0.04225352112676056,0.004694835680751174,0.011737089201877934,0.007042253521126761,0.02112676056338028,0.05868544600938967,0.0,0.002347417840375587,0.056338028169014086,0.002347417840375587,0.002347417840375587,0.0,0.03286384976525822,0.011737089201877934,0.03286384976525822,0.0,0.002347417840375587,0.0,0.0
415,powerrangersinspace,0.01327433628318584,0.23008849557522124,0.024336283185840708,0.05309734513274336,0.00663716814159292,0.06858407079646017,0.0022123893805309734,0.10619469026548672,0.024336283185840708,0.061946902654867256,0.048672566371681415,0.14601769911504425,0.0420353982300885,0.008849557522123894,0.04424778761061947,0.004424778761061947,0.024336283185840708,0.0,0.028761061946902654,0.028761061946902654,0.015486725663716814,0.0,0.0,0.004424778761061947,0.011061946902654867,0.0022123893805309734
416,samuraisentaishinkenger,0.006493506493506494,0.23376623376623376,0.04112554112554113,0.07142857142857142,0.012987012987012988,0.05194805194805195,0.0,0.09740259740259741,0.021645021645021644,0.06060606060606061,0.04329004329004329,0.12337662337662338,0.017316017316017316,0.01948051948051948,0.03463203463203463,0.010822510822510822,0.008658008658008658,0.0,0.04112554112554113,0.03463203463203463,0.02813852813852814,0.0021645021645021645,0.008658008658008658,0.0021645021645021645,0.023809523809523808,0.004329004329004329
417,toriko,0.004291845493562232,0.1888412017167382,0.045064377682403435,0.060085836909871244,0.012875536480686695,0.07081545064377683,0.002145922746781116,0.09656652360515021,0.03648068669527897,0.055793991416309016,0.06866952789699571,0.08798283261802575,0.015021459227467811,0.023605150214592276,0.05150214592274678,0.008583690987124463,0.017167381974248927,0.006437768240343348,0.0407725321888412,0.034334763948497854,0.017167381974248927,0.004291845493562232,0.006437768240343348,0.02145922746781116,0.017167381974248927,0.006437768240343348
418,duckman,0.014553014553014554,0.2661122661122661,0.09147609147609148,0.06860706860706861,0.060291060291060294,0.15592515592515593,0.033264033264033266,0.056133056133056136,0.006237006237006237,0.04365904365904366,0.006237006237006237,0.04158004158004158,0.037422037422037424,0.002079002079002079,0.010395010395010396,0.02702702702702703,0.006237006237006237,0.006237006237006237,0.0,0.018711018711018712,0.016632016632016633,0.014553014553014554,0.0,0.014553014553014554,0.0,0.002079002079002079
419,assassinationclassroom,0.008385744234800839,0.2641509433962264,0.050314465408805034,0.050314465408805034,0.023060796645702306,0.0859538784067086,0.012578616352201259,0.07337526205450734,0.027253668763102725,0.029350104821802937,0.027253668763102725,0.10272536687631027,0.033542976939203356,0.0041928721174004195,0.033542976939203356,0.014675052410901468,0.0041928721174004195,0.0041928721174004195,0.014675052410901468,0.05660377358490566,0.041928721174004195,0.008385744234800839,0.008385744234800839,0.0020964360587002098,0.010482180293501049,0.008385744234800839
