Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
,2371/0.002344785401162198,2457/0.002178870027869268,1130/0.0023827058874496382,,1703/0.0029297359927170407,,,,,1319/0.0020132028653026828,,,,,,,,
,590/0.002344785401162198,2544/0.002178870027869268,703/0.0023827058874496382,,1066/0.0029297359927170407,,,,,1235/0.0020132028653026828,,,,,,,,
,851/0.002293811805484759,2291/0.002178870027869268,2615/0.002339383962223281,,626/0.0029131838119672267,,,,,2656/0.0020132028653026828,,,,,,,,
,1589/0.002293811805484759,2384/0.002178870027869268,1710/0.002339383962223281,,23/0.0028966316312174127,,,,,350/0.0020132028653026828,,,,,,,,
,1320/0.002293811805484759,1769/0.002178870027869268,1952/0.002339383962223281,,1026/0.0027973185467185303,,,,,1385/0.001966384194016574,,,,,,,,
,2124/0.002293811805484759,534/0.002178870027869268,790/0.002339383962223281,,430/0.002764214185218903,,,,,1485/0.0019195655227304648,,,,,,,,
,1883/0.00224283820980732,2073/0.002178870027869268,2226/0.002339383962223281,,943/0.002764214185218903,,,,,2190/0.0019195655227304648,,,,,,,,
,2258/0.00224283820980732,1669/0.002128198631872308,546/0.002296062036996924,,2056/0.0027145576429694613,,,,,974/0.0019195655227304648,,,,,,,,
,1445/0.00224283820980732,1913/0.002128198631872308,164/0.0022527401117705672,,716/0.0026980054622196474,,,,,50/0.001872746851444356,,,,,,,,
,1509/0.00224283820980732,1625/0.002128198631872308,2170/0.00220941818654421,,342/0.002681453281469834,,,,,1345/0.001872746851444356,,,,,,,,
,1757/0.00224283820980732,2404/0.0020775272358753484,1218/0.00220941818654421,,1608/0.00266490110072002,,,,,402/0.0018259281801582471,,,,,,,,
,1422/0.00224283820980732,1893/0.0020268558398783888,1813/0.00220941818654421,,1832/0.00266490110072002,,,,,2573/0.0017791095088721383,,,,,,,,
,1729/0.00224283820980732,1675/0.0019255130478844692,1711/0.00220941818654421,,279/0.002648348919970206,,,,,2527/0.0017322908375860292,,,,,,,,
,2275/0.00224283820980732,1267/0.0019255130478844692,280/0.00220941818654421,,904/0.002648348919970206,,,,,2636/0.0016854721662999204,,,,,,,,
,1874/0.0021918646141298806,2057/0.0019255130478844692,1650/0.00220941818654421,,2172/0.002648348919970206,,,,,2297/0.0016854721662999204,,,,,,,,
,1254/0.0021918646141298806,2409/0.0019255130478844692,632/0.00220941818654421,,1749/0.0026317967392203924,,,,,2263/0.0016854721662999204,,,,,,,,
,629/0.0021918646141298806,2470/0.0018748416518875096,2416/0.002166096261317853,,759/0.002598692377720765,,,,,1508/0.0016854721662999204,,,,,,,,
,2518/0.0021408910184524416,1853/0.0018241702558905498,8/0.002166096261317853,,316/0.002598692377720765,,,,,1250/0.0016854721662999204,,,,,,,,
,1494/0.0021408910184524416,1855/0.00177349885989359,1379/0.002166096261317853,,1222/0.002565588016221137,,,,,2417/0.0016854721662999204,,,,,,,,
,2235/0.0021408910184524416,873/0.00177349885989359,2222/0.002166096261317853,,228/0.0025490358354713235,,,,,1606/0.0016854721662999204,,,,,,,,
,2229/0.0021408910184524416,1137/0.00177349885989359,1910/0.002166096261317853,,1354/0.0025324836547215095,,,,,760/0.0016854721662999204,,,,,,,,
,1522/0.0021408910184524416,2184/0.00177349885989359,237/0.002166096261317853,,390/0.0024662749317222545,,,,,305/0.0015918348237277027,,,,,,,,
,2338/0.0021408910184524416,1204/0.00177349885989359,2647/0.002122774336091496,,1501/0.0024662749317222545,,,,,636/0.0014981974811554848,,,,,,,,
,1683/0.0021408910184524416,1783/0.00177349885989359,2488/0.002122774336091496,,2616/0.0024331705702226266,,,,,2390/0.0014981974811554848,,,,,,,,
,105/0.0021408910184524416,460/0.00177349885989359,1367/0.002122774336091496,,36/0.0024331705702226266,,,,,2013/0.001451378809869376,,,,,,,,
,1843/0.0021408910184524416,946/0.00177349885989359,2558/0.002122774336091496,,1238/0.0024331705702226266,,,,,1414/0.001451378809869376,,,,,,,,
,2011/0.0020899174227750027,2590/0.0017228274638966304,1833/0.002122774336091496,,1047/0.0023669618472233716,,,,,6/0.001451378809869376,,,,,,,,
,2626/0.0020899174227750027,1789/0.0017228274638966304,827/0.002036130485638782,,838/0.0023504096664735577,,,,,828/0.0013109227960110491,,,,,,,,
,2148/0.0020899174227750027,2168/0.0017228274638966304,377/0.002036130485638782,,887/0.0023504096664735577,,,,,2232/0.0011704667821527226,,,,,,,,
,2428/0.0020899174227750027,927/0.0017228274638966304,1406/0.002036130485638782,,961/0.00231730530497393,,,,,1916/0.0011236481108666135,,,,,,,,
,1055/0.0020899174227750027,2563/0.0017228274638966304,1639/0.001992808560412425,,2464/0.00231730530497393,,,,,763/0.0011236481108666135,,,,,,,,
,1405/0.0020389438270975633,1753/0.0016721560678996706,2613/0.001992808560412425,,372/0.00231730530497393,,,,,2187/0.0011236481108666135,,,,,,,,
,1693/0.0020389438270975633,2583/0.0016721560678996706,1211/0.001992808560412425,,1036/0.0023007531242241167,,,,,1392/0.0011236481108666135,,,,,,,,
,2085/0.0020389438270975633,1717/0.0016721560678996706,1630/0.001992808560412425,,37/0.0023007531242241167,,,,,508/0.0010300107682943958,,,,,,,,
,1400/0.0020389438270975633,178/0.0015708132759057513,1945/0.0018195208595069964,,956/0.0023007531242241167,,,,,2483/0.0010300107682943958,,,,,,,,
,2095/0.0019879702314201243,217/0.0015708132759057513,1889/0.0017761989342806395,,1224/0.0022676487627244887,,,,,2108/0.0008895547544360691,,,,,,,,
,2419/0.0019879702314201243,326/0.0015708132759057513,2627/0.0017761989342806395,,382/0.0022510965819746752,,,,,7/0.0007959174118638513,,,,,,,,
,1437/0.0019879702314201243,1530/0.0015708132759057513,1574/0.0017761989342806395,,1527/0.0022510965819746752,,,,,1296/0.0007490987405777424,,,,,,,,
,1979/0.0019879702314201243,354/0.0015201418799087915,966/0.0017761989342806395,,2207/0.0022510965819746752,,,,,1948/0.0007490987405777424,,,,,,,,
,2628/0.0019879702314201243,1077/0.0014694704839118317,1619/0.0017761989342806395,,24/0.00218488785897542,,,,,,,,,,,,,
,898/0.0019879702314201243,1677/0.0014694704839118317,177/0.0017761989342806395,,1963/0.0021683356782256063,,,,,,,,,,,,,
,1502/0.0019879702314201243,910/0.0014694704839118317,254/0.0017761989342806395,,1647/0.002135231316725979,,,,,,,,,,,,,
,1084/0.0019879702314201243,657/0.0014694704839118317,1242/0.0017328770090542824,,265/0.002118679135976165,,,,,,,,,,,,,
,1805/0.0019369966357426853,2331/0.0014694704839118317,564/0.0017328770090542824,,1050/0.002118679135976165,,,,,,,,,,,,,
,1951/0.0019369966357426853,2502/0.001418799087914872,896/0.0016895550838279252,,362/0.001969709509227841,,,,,,,,,,,,,
,2598/0.0019369966357426853,1705/0.0013174562959209527,1637/0.0016462331586015683,,2132/0.001969709509227841,,,,,,,,,,,,,
,2141/0.0019369966357426853,1633/0.0011654421079300736,2402/0.001516267382922497,,2174/0.001953157328478027,,,,,,,,,,,,,
,1195/0.0019369966357426853,724/0.0011654421079300736,2377/0.001516267382922497,,909/0.0019200529669783995,,,,,,,,,,,,,
,2395/0.0019369966357426853,1025/0.0011147707119331138,2376/0.001516267382922497,,2287/0.0018207398824795166,,,,,,,,,,,,,
,2668/0.0018860230400652462,1409/0.001064099315936154,1810/0.001516267382922497,,697/0.0016883224364810064,,,,,,,,,,,,,
,2433/0.0018860230400652462,2644/0.001064099315936154,1841/0.0013863016072434258,,2069/0.0016883224364810064,,,,,,,,,,,,,
,2293/0.0018860230400652462,2041/0.001064099315936154,2248/0.0013863016072434258,,63/0.0016552180749813787,,,,,,,,,,,,,
,1298/0.0018860230400652462,1472/0.0010134279199391944,1723/0.001342979682017069,,2351/0.0015890093519821237,,,,,,,,,,,,,
,2139/0.0018350494443878072,931/0.0010134279199391944,1374/0.001342979682017069,,479/0.0015393528097326823,,,,,,,,,,,,,
,1347/0.0018350494443878072,1232/0.0010134279199391944,214/0.0012996577567907118,,220/0.0015393528097326823,,,,,,,,,,,,,
,2153/0.0018350494443878072,2639/0.0009120851279452749,659/0.0012996577567907118,,960/0.0015228006289828685,,,,,,,,,,,,,
,1613/0.0018350494443878072,992/0.0009120851279452749,874/0.0012996577567907118,,1671/0.0015062484482330548,,,,,,,,,,,,,
,2204/0.0018350494443878072,526/0.0008614137319483152,2620/0.0012130139063379977,,2472/0.0014565919059836134,,,,,,,,,,,,,
,949/0.0018350494443878072,2498/0.0008107423359513554,1638/0.0012130139063379977,,2550/0.001406935363734172,,,,,,,,,,,,,
,2594/0.001784075848710368,1197/0.0006080567519635166,2356/0.0012130139063379977,,650/0.001406935363734172,,,,,,,,,,,,,
,1278/0.001784075848710368,824/0.0005573853559665569,2669/0.0012130139063379977,,502/0.001406935363734172,,,,,,,,,,,,,
,2425/0.001784075848710368,1184/0.0005573853559665569,140/0.0012130139063379977,,1877/0.001406935363734172,,,,,,,,,,,,,
,1968/0.001784075848710368,2569/0.00045604256397263745,2140/0.0011263700558852836,,1628/0.0013572788214847307,,,,,,,,,,,,,
,704/0.001784075848710368,1925/0.00045604256397263745,2379/0.0011263700558852836,,2197/0.001324174459985103,,,,,,,,,,,,,
,1665/0.0017331022530329288,1173/0.00045604256397263745,2281/0.0011263700558852836,,313/0.0012745179177356617,,,,,,,,,,,,,
,2381/0.0017331022530329288,,324/0.0010397262054325693,,1844/0.0012745179177356617,,,,,,,,,,,,,
,1045/0.0017331022530329288,,2033/0.0010397262054325693,,1008/0.001158652652486965,,,,,,,,,,,,,
,1858/0.0017331022530329288,,1016/0.0010397262054325693,,1113/0.001158652652486965,,,,,,,,,,,,,
,2059/0.0016821286573554899,,1581/0.0010397262054325693,,2449/0.0011089961102375239,,,,,,,,,,,,,
,2533/0.0016821286573554899,,980/0.0009964042802062124,,1966/0.0011089961102375239,,,,,,,,,,,,,
,2123/0.0016311550616780507,,2576/0.0009530823549798554,,1791/0.0011089961102375239,,,,,,,,,,,,,
,1103/0.0016311550616780507,,2481/0.0009530823549798554,,2396/0.0010758917487378962,,,,,,,,,,,,,
,2332/0.0016311550616780507,,2560/0.0009530823549798554,,365/0.0010593395679880824,,,,,,,,,,,,,
,612/0.0016311550616780507,,1359/0.0009530823549798554,,1112/0.0010593395679880824,,,,,,,,,,,,,
,1513/0.0016311550616780507,,1958/0.0006931508036217129,,1394/0.001009683025738641,,,,,,,,,,,,,
,606/0.0015801814660006117,,2169/0.0006931508036217129,,1121/0.0008276090374906894,,,,,,,,,,,,,
,2508/0.0015801814660006117,,877/0.0006931508036217129,,2198/0.0006124306877431101,,,,,,,,,,,,,
,683/0.0015801814660006117,,2617/0.0006498288783953559,,2366/0.000546221964743855,,,,,,,,,,,,,
,309/0.0015801814660006117,,2322/0.0005631850279426418,,,,,,,,,,,,,,,
,2347/0.0015801814660006117,,1872/0.0004765411774899277,,,,,,,,,,,,,,,
,2092/0.0015801814660006117,,1790/0.0004332192522635706,,,,,,,,,,,,,,,
,2063/0.0015292078703231726,,1281/0.00038989732703721355,,,,,,,,,,,,,,,
,2194/0.0015292078703231726,,1994/0.00038989732703721355,,,,,,,,,,,,,,,
,2477/0.0015292078703231726,,2373/0.00038989732703721355,,,,,,,,,,,,,,,
,1761/0.0015292078703231726,,,,,,,,,,,,,,,,,
,1742/0.0014782342746457336,,,,,,,,,,,,,,,,,
,875/0.0014782342746457336,,,,,,,,,,,,,,,,,
,2614/0.0014782342746457336,,,,,,,,,,,,,,,,,
,518/0.0014782342746457336,,,,,,,,,,,,,,,,,
,170/0.0014782342746457336,,,,,,,,,,,,,,,,,
,1188/0.0014782342746457336,,,,,,,,,,,,,,,,,
,2540/0.0014272606789682944,,,,,,,,,,,,,,,,,
,1439/0.0014272606789682944,,,,,,,,,,,,,,,,,
,1682/0.0014272606789682944,,,,,,,,,,,,,,,,,
,383/0.0014272606789682944,,,,,,,,,,,,,,,,,
,1234/0.0014272606789682944,,,,,,,,,,,,,,,,,
,1246/0.0013762870832908552,,,,,,,,,,,,,,,,,
,1556/0.0013762870832908552,,,,,,,,,,,,,,,,,
,1584/0.0013762870832908552,,,,,,,,,,,,,,,,,
,2191/0.0013762870832908552,,,,,,,,,,,,,,,,,
,2330/0.0013762870832908552,,,,,,,,,,,,,,,,,
,2026/0.0013762870832908552,,,,,,,,,,,,,,,,,
,2474/0.0013253134876134163,,,,,,,,,,,,,,,,,
,1201/0.0013253134876134163,,,,,,,,,,,,,,,,,
,2451/0.0013253134876134163,,,,,,,,,,,,,,,,,
,173/0.0013253134876134163,,,,,,,,,,,,,,,,,
,1827/0.0013253134876134163,,,,,,,,,,,,,,,,,
,1521/0.0013253134876134163,,,,,,,,,,,,,,,,,
,1674/0.0013253134876134163,,,,,,,,,,,,,,,,,
,2632/0.0013253134876134163,,,,,,,,,,,,,,,,,
,1798/0.0013253134876134163,,,,,,,,,,,,,,,,,
,1407/0.0013253134876134163,,,,,,,,,,,,,,,,,
,2318/0.001274339891935977,,,,,,,,,,,,,,,,,
,1702/0.001274339891935977,,,,,,,,,,,,,,,,,
,442/0.0012233662962585381,,,,,,,,,,,,,,,,,
,1806/0.0012233662962585381,,,,,,,,,,,,,,,,,
,335/0.0012233662962585381,,,,,,,,,,,,,,,,,
,1397/0.0012233662962585381,,,,,,,,,,,,,,,,,
,986/0.0012233662962585381,,,,,,,,,,,,,,,,,
,1550/0.001172392700581099,,,,,,,,,,,,,,,,,
,2362/0.001172392700581099,,,,,,,,,,,,,,,,,
,1656/0.00112141910490366,,,,,,,,,,,,,,,,,
,1373/0.00112141910490366,,,,,,,,,,,,,,,,,
,1866/0.00112141910490366,,,,,,,,,,,,,,,,,
,1730/0.0010704455092262208,,,,,,,,,,,,,,,,,
,2310/0.0010704455092262208,,,,,,,,,,,,,,,,,
,1882/0.0010704455092262208,,,,,,,,,,,,,,,,,
,1849/0.0010704455092262208,,,,,,,,,,,,,,,,,
,2648/0.0010704455092262208,,,,,,,,,,,,,,,,,
,2083/0.0010194719135487816,,,,,,,,,,,,,,,,,
,1308/0.0010194719135487816,,,,,,,,,,,,,,,,,
,2600/0.0010194719135487816,,,,,,,,,,,,,,,,,
,1451/0.0010194719135487816,,,,,,,,,,,,,,,,,
,2459/0.0010194719135487816,,,,,,,,,,,,,,,,,
,2298/0.0010194719135487816,,,,,,,,,,,,,,,,,
,2506/0.0010194719135487816,,,,,,,,,,,,,,,,,
,2666/0.0010194719135487816,,,,,,,,,,,,,,,,,
,1564/0.0009684983178713427,,,,,,,,,,,,,,,,,
,1253/0.0009684983178713427,,,,,,,,,,,,,,,,,
,888/0.0009684983178713427,,,,,,,,,,,,,,,,,
,323/0.0009684983178713427,,,,,,,,,,,,,,,,,
,1085/0.0009684983178713427,,,,,,,,,,,,,,,,,
,2317/0.0009684983178713427,,,,,,,,,,,,,,,,,
,1934/0.0009684983178713427,,,,,,,,,,,,,,,,,
,1511/0.0009684983178713427,,,,,,,,,,,,,,,,,
,1095/0.0009684983178713427,,,,,,,,,,,,,,,,,
,2610/0.0009175247221939036,,,,,,,,,,,,,,,,,
,1835/0.0009175247221939036,,,,,,,,,,,,,,,,,
,1615/0.0009175247221939036,,,,,,,,,,,,,,,,,
,2655/0.0009175247221939036,,,,,,,,,,,,,,,,,
,1386/0.0009175247221939036,,,,,,,,,,,,,,,,,
,2177/0.0009175247221939036,,,,,,,,,,,,,,,,,
,1884/0.0009175247221939036,,,,,,,,,,,,,,,,,
,1871/0.0008665511265164644,,,,,,,,,,,,,,,,,
,2588/0.0008665511265164644,,,,,,,,,,,,,,,,,
,524/0.0008155775308390254,,,,,,,,,,,,,,,,,
,1914/0.0007646039351615863,,,,,,,,,,,,,,,,,
,1826/0.0007646039351615863,,,,,,,,,,,,,,,,,
,2565/0.0007646039351615863,,,,,,,,,,,,,,,,,
,1027/0.0007646039351615863,,,,,,,,,,,,,,,,,
,1331/0.0007646039351615863,,,,,,,,,,,,,,,,,
,2349/0.0007646039351615863,,,,,,,,,,,,,,,,,
,2643/0.0007646039351615863,,,,,,,,,,,,,,,,,
,1938/0.0007136303394841472,,,,,,,,,,,,,,,,,
,719/0.0007136303394841472,,,,,,,,,,,,,,,,,
,2385/0.0007136303394841472,,,,,,,,,,,,,,,,,
,2031/0.0006626567438067081,,,,,,,,,,,,,,,,,
,2469/0.0006626567438067081,,,,,,,,,,,,,,,,,
,2397/0.0006626567438067081,,,,,,,,,,,,,,,,,
,861/0.0006626567438067081,,,,,,,,,,,,,,,,,
,1029/0.0006626567438067081,,,,,,,,,,,,,,,,,
,2284/0.0006626567438067081,,,,,,,,,,,,,,,,,
,2422/0.0006626567438067081,,,,,,,,,,,,,,,,,
,467/0.0006116831481292691,,,,,,,,,,,,,,,,,
,755/0.0006116831481292691,,,,,,,,,,,,,,,,,
,2398/0.0006116831481292691,,,,,,,,,,,,,,,,,
,1279/0.0006116831481292691,,,,,,,,,,,,,,,,,
,1965/0.0006116831481292691,,,,,,,,,,,,,,,,,
,2223/0.0006116831481292691,,,,,,,,,,,,,,,,,
,1967/0.0006116831481292691,,,,,,,,,,,,,,,,,
,2551/0.0006116831481292691,,,,,,,,,,,,,,,,,
,2567/0.00056070955245183,,,,,,,,,,,,,,,,,
,1865/0.00056070955245183,,,,,,,,,,,,,,,,,
,1537/0.00056070955245183,,,,,,,,,,,,,,,,,
,1959/0.0005097359567743908,,,,,,,,,,,,,,,,,
,1058/0.0005097359567743908,,,,,,,,,,,,,,,,,
,1990/0.0005097359567743908,,,,,,,,,,,,,,,,,
,2314/0.0004587623610969518,,,,,,,,,,,,,,,,,
,2571/0.0004587623610969518,,,,,,,,,,,,,,,,,
,1922/0.0004587623610969518,,,,,,,,,,,,,,,,,
,329/0.0004587623610969518,,,,,,,,,,,,,,,,,
,2510/0.0004587623610969518,,,,,,,,,,,,,,,,,
,2574/0.0004587623610969518,,,,,,,,,,,,,,,,,
,1304/0.0004077887654195127,,,,,,,,,,,,,,,,,
,2304/0.0004077887654195127,,,,,,,,,,,,,,,,,
,2663/0.0004077887654195127,,,,,,,,,,,,,,,,,
,1438/0.0004077887654195127,,,,,,,,,,,,,,,,,
,2346/0.0004077887654195127,,,,,,,,,,,,,,,,,
,1552/0.0004077887654195127,,,,,,,,,,,,,,,,,
,922/0.0004077887654195127,,,,,,,,,,,,,,,,,
,2039/0.0004077887654195127,,,,,,,,,,,,,,,,,
,2584/0.0003568151697420736,,,,,,,,,,,,,,,,,
,1413/0.0003568151697420736,,,,,,,,,,,,,,,,,
,2261/0.0003568151697420736,,,,,,,,,,,,,,,,,
,2243/0.00030584157406463453,,,,,,,,,,,,,,,,,
,2528/0.00030584157406463453,,,,,,,,,,,,,,,,,
,1766/0.00030584157406463453,,,,,,,,,,,,,,,,,
,452/0.00030584157406463453,,,,,,,,,,,,,,,,,
,2252/0.0002548679783871954,,,,,,,,,,,,,,,,,
,1915/0.0002548679783871954,,,,,,,,,,,,,,,,,
,2212/0.00020389438270975634,,,,,,,,,,,,,,,,,
,2640/0.00010194719135487817,,,,,,,,,,,,,,,,,
,2575/0.00010194719135487817,,,,,,,,,,,,,,,,,
,2520/0.00010194719135487817,,,,,,,,,,,,,,,,,
