Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1306/0.009733011876060363,32/0.004791517993679274,482/0.006435267291613884,570/0.00589178183078456,1430/0.01054719192283422,1868/0.0056773979971861295,421/0.008190131645060798,2445/0.013057883453517832,771/0.010834236186348862,862/0.011527873365450792,1213/0.0067418886651996815,,450/0.010029017970778395,919/0.00870170553428472,435/0.011426806670784434,,2471/0.009028071660318803,638/0.011029838616045513,
1706/0.009554424502187695,1886/0.004791517993679274,69/0.006435267291613884,2631/0.00589178183078456,126/0.010276751104300009,498/0.0056773979971861295,246/0.008139885438649382,2554/0.012862989670629507,2440/0.010637250073869791,1346/0.011527873365450792,2367/0.0067418886651996815,,525/0.010029017970778395,970/0.008353637312913331,2001/0.011426806670784434,,1943/0.009028071660318803,934/0.010913735051666085,
511/0.009375837128315028,112/0.004791517993679274,519/0.006283253103623005,283/0.005848459905558203,1924/0.010186604164788605,2099/0.005644293635686502,1186/0.007989146819415134,75/0.01273306048203729,1007/0.010637250073869791,834/0.011441844459738473,860/0.0067418886651996815,,1998/0.009927200529450696,1295/0.008179603202227636,591/0.009573810994441012,,2493/0.008745944420933842,2000/0.010913735051666085,
1592/0.009375837128315028,1982/0.004791517993679274,321/0.006283253103623005,17/0.005848459905558203,656/0.010186604164788605,1404/0.005594637093437061,137/0.007989146819415134,1004/0.012603131293445072,2268/0.010538757017630258,762/0.011183757742601514,808/0.006601432651341355,,1221/0.009876291808786845,1484/0.008179603202227636,1395/0.008956145768993206,,1149/0.008745944420933842,816/0.01044932079414838,
769/0.009375837128315028,27/0.004740544398001835,1495/0.006283253103623005,767/0.005805137980331846,314/0.010096457225277201,31/0.005594637093437061,2217/0.007888654406592302,610/0.012408237510556747,2659/0.010440263961390722,185/0.010753613214039918,689/0.006554613980055246,,468/0.009876291808786845,1875/0.007831534980856248,2188/0.008029647930821495,,2494/0.00860488080124136,1540/0.010333217229768954,
2670/0.009375837128315028,795/0.004638597206646957,2195/0.006283253103623005,2553/0.005805137980331846,858/0.010096457225277201,879/0.005544980551187619,2629/0.007838408200180886,1444/0.012148379133372312,2542/0.010440263961390722,2452/0.01049552649690296,1517/0.006554613980055246,,2348/0.009825383088122995,1838/0.007657500870170553,1721/0.0077208153180975915,,216/0.00860488080124136,2651/0.010333217229768954,
238/0.009286543441378695,793/0.004638597206646957,2333/0.006181910311629085,677/0.005761816055105489,1491/0.010006310285765799,1632/0.005544980551187619,113/0.00778816199376947,1932/0.011433768596115118,1266/0.010440263961390722,900/0.010237439779766001,1046/0.006554613980055246,,1563/0.009825383088122995,1336/0.007657500870170553,2455/0.00586781964175417,,1726/0.008463817181548879,441/0.010333217229768954,
925/0.009286543441378695,1009/0.004587623610969518,1532/0.006029896123638206,288/0.005631850279426418,959/0.009916163346254395,49/0.005511876189687992,572/0.007536930961712391,423/0.011368804001819008,1436/0.010440263961390722,145/0.009807295251204405,1603/0.006367339294910811,,370/0.009825383088122995,1272/0.007483466759484859,1768/0.0030883261272390363,,1411/0.008322753561856397,1284/0.010333217229768954,
1686/0.009286543441378695,429/0.00448567641961464,2414/0.005979224727641247,778/0.005631850279426418,2516/0.009826016406742992,1941/0.005412563105189109,1051/0.007486684755300975,330/0.011368804001819008,618/0.010243277848911651,700/0.009807295251204405,1487/0.006367339294910811,,1139/0.009774474367459146,1547/0.007483466759484859,,,2548/0.008181689942163915,1809/0.009984906536630674,
1035/0.00919724975444236,1688/0.00448567641961464,2480/0.005979224727641247,849/0.005631850279426418,87/0.009826016406742992,343/0.005346354382189854,287/0.007436438548889559,2517/0.0113038394075229,2586/0.009947798680193047,119/0.009291121816930488,1175/0.006367339294910811,,1931/0.009723565646795296,68/0.007483466759484859,,,1486/0.008040626322471435,84/0.009752699407871821,
