i_doc,doc,Topic 1,Topic 2
133,recess,0.6472125435540069,0.352787456445993
134,yugioh5ds,0.6556233653007847,0.34437663469921537
135,mobilesuitgundamwing,0.6299559471365639,0.3700440528634361
136,onceuponatime,0.666077738515901,0.3339222614840989
137,caseclosed,0.5858407079646017,0.41415929203539825
138,itsalwayssunnyinphiladelphia,0.5932504440497336,0.4067495559502664
139,tokyoghoul,0.6779359430604982,0.3220640569395018
140,heyarnold,0.5658362989323843,0.43416370106761565
141,hunterxhunter,0.6539145907473309,0.34608540925266906
142,sherlock,0.7214285714285714,0.2785714285714286
143,kaguyasamaloveiswar,0.6356311548791406,0.36436884512085943
144,fringe,0.6540880503144654,0.34591194968553457
145,thewestwing,0.6370170709793351,0.36298292902066487
146,kaeloo,0.6423423423423423,0.35765765765765767
147,psych,0.6097560975609756,0.3902439024390244
148,mobilesuitgundam00,0.654891304347826,0.3451086956521739
149,codelyoko,0.6569872958257713,0.3430127041742287
150,lawandorder,0.5186873290793071,0.4813126709206928
151,csiny,0.5711678832116789,0.42883211678832117
152,youngjustice,0.6129917657822507,0.3870082342177493
153,arresteddevelopment,0.5643382352941176,0.43566176470588236
154,themuppetshow,0.6672811059907834,0.3327188940092166
155,mobilesuitgundam,0.5662650602409639,0.43373493975903615
156,supermantheanimatedseries,0.65237651444548,0.34762348555452005
157,teentitansgo,0.6744621141253508,0.3255378858746492
158,malcolminthemiddle,0.5533707865168539,0.44662921348314605
159,digimonadventure,0.6185567010309279,0.38144329896907214
160,blacklagoon,0.7448405253283302,0.2551594746716698
161,hellsing,0.6704225352112676,0.3295774647887324
162,teenagemutantninjaturtles2003,0.6701225259189444,0.3298774740810556
163,daria,0.5827814569536424,0.41721854304635764
164,trueblood,0.631031220435194,0.36896877956480606
165,torchwood,0.6240530303030303,0.3759469696969697
166,ghostintheshellstandalonecomplex,0.6720532319391636,0.3279467680608365
167,castle,0.4584527220630373,0.5415472779369628
168,thetransformers,0.6494746895893028,0.35052531041069723
169,merlin2008,0.6653883029721956,0.3346116970278044
170,breakingbad,0.6734496124031008,0.32655038759689925
171,teenagemutantninjaturtles2012,0.7222222222222222,0.2777777777777778
172,ben10,0.5726829268292682,0.4273170731707317
173,that70sshow,0.5029411764705882,0.4970588235294118
174,garfieldandfriends,0.6573705179282868,0.3426294820717131
175,brooklynninenine,0.6093906093906094,0.3906093906093906
176,dexter,0.6753507014028056,0.3246492985971944
177,reboot,0.7194388777555111,0.280561122244489
178,thegoldengirls,0.528169014084507,0.47183098591549294
179,sheraandtheprincessesofpower,0.6344410876132931,0.36555891238670696
180,transformersprime,0.6296670030272452,0.3703329969727548
181,trigun,0.7386478304742684,0.2613521695257316
182,saintseiya,0.6190476190476191,0.38095238095238093
183,rosarioplusvampire,0.5689655172413793,0.43103448275862066
184,thesopranos,0.7114989733059548,0.28850102669404515
