i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42
431,zoneoftheenders,0.08541666666666667,0.004166666666666667,0.00625,0.004166666666666667,0.03958333333333333,0.025,0.04791666666666667,0.0020833333333333333,0.027083333333333334,0.06666666666666667,0.0,0.00625,0.00625,0.11875,0.03958333333333333,0.01875,0.03125,0.075,0.00625,0.00625,0.004166666666666667,0.004166666666666667,0.0375,0.004166666666666667,0.01875,0.010416666666666666,0.004166666666666667,0.0020833333333333333,0.020833333333333332,0.05416666666666667,0.041666666666666664,0.008333333333333333,0.0,0.0020833333333333333,0.1,0.0125,0.0020833333333333333,0.00625,0.004166666666666667,0.0020833333333333333,0.0,0.04375
432,armoredcore,0.06289308176100629,0.0020964360587002098,0.0,0.008385744234800839,0.029350104821802937,0.012578616352201259,0.04821802935010482,0.008385744234800839,0.0440251572327044,0.014675052410901468,0.010482180293501049,0.010482180293501049,0.010482180293501049,0.12578616352201258,0.05241090146750524,0.010482180293501049,0.029350104821802937,0.0880503144654088,0.0041928721174004195,0.006289308176100629,0.0041928721174004195,0.0020964360587002098,0.041928721174004195,0.006289308176100629,0.016771488469601678,0.0041928721174004195,0.006289308176100629,0.0,0.0440251572327044,0.041928721174004195,0.05870020964360587,0.020964360587002098,0.0041928721174004195,0.016771488469601678,0.09433962264150944,0.012578616352201259,0.0,0.023060796645702306,0.0,0.0020964360587002098,0.0,0.020964360587002098
433,sonicforces,0.08176100628930817,0.0,0.016771488469601678,0.0020964360587002098,0.008385744234800839,0.010482180293501049,0.1111111111111111,0.0020964360587002098,0.008385744234800839,0.031446540880503145,0.0020964360587002098,0.008385744234800839,0.012578616352201259,0.1320754716981132,0.025157232704402517,0.0020964360587002098,0.031446540880503145,0.018867924528301886,0.006289308176100629,0.023060796645702306,0.008385744234800839,0.0,0.06289308176100629,0.0,0.031446540880503145,0.0041928721174004195,0.12159329140461216,0.0020964360587002098,0.012578616352201259,0.0649895178197065,0.008385744234800839,0.008385744234800839,0.0,0.012578616352201259,0.0880503144654088,0.0020964360587002098,0.0020964360587002098,0.0020964360587002098,0.010482180293501049,0.008385744234800839,0.0,0.014675052410901468
434,commandandconquerredalert2,0.15126050420168066,0.004201680672268907,0.014705882352941176,0.014705882352941176,0.018907563025210083,0.0021008403361344537,0.03361344537815126,0.0021008403361344537,0.03991596638655462,0.01050420168067227,0.0063025210084033615,0.029411764705882353,0.0021008403361344537,0.11974789915966387,0.06302521008403361,0.004201680672268907,0.014705882352941176,0.04831932773109244,0.01680672268907563,0.008403361344537815,0.0063025210084033615,0.0021008403361344537,0.0273109243697479,0.0063025210084033615,0.01050420168067227,0.012605042016806723,0.014705882352941176,0.0021008403361344537,0.031512605042016806,0.012605042016806723,0.06092436974789916,0.02100840336134454,0.0,0.0063025210084033615,0.08823529411764706,0.025210084033613446,0.0,0.04831932773109244,0.004201680672268907,0.004201680672268907,0.004201680672268907,0.0063025210084033615
435,tomodachilife,0.26526315789473687,0.002105263157894737,0.018947368421052633,0.010526315789473684,0.00631578947368421,0.004210526315789474,0.02736842105263158,0.004210526315789474,0.01263157894736842,0.061052631578947365,0.004210526315789474,0.004210526315789474,0.002105263157894737,0.13052631578947368,0.04,0.00631578947368421,0.02736842105263158,0.004210526315789474,0.004210526315789474,0.016842105263157894,0.021052631578947368,0.002105263157894737,0.021052631578947368,0.018947368421052633,0.002105263157894737,0.002105263157894737,0.037894736842105266,0.004210526315789474,0.002105263157894737,0.035789473684210524,0.0,0.01263157894736842,0.0,0.014736842105263158,0.06315789473684211,0.002105263157894737,0.01263157894736842,0.0,0.056842105263157895,0.0,0.008421052631578947,0.029473684210526315
436,talesofberseria,0.1431578947368421,0.023157894736842106,0.023157894736842106,0.004210526315789474,0.010526315789473684,0.02526315789473684,0.05894736842105263,0.029473684210526315,0.05263157894736842,0.07578947368421053,0.0,0.004210526315789474,0.04,0.07157894736842105,0.01263157894736842,0.01263157894736842,0.031578947368421054,0.010526315789473684,0.0,0.002105263157894737,0.02736842105263158,0.0,0.016842105263157894,0.05052631578947368,0.0,0.004210526315789474,0.010526315789473684,0.00631578947368421,0.004210526315789474,0.035789473684210524,0.002105263157894737,0.02526315789473684,0.014736842105263158,0.016842105263157894,0.10105263157894737,0.002105263157894737,0.004210526315789474,0.0,0.010526315789473684,0.002105263157894737,0.004210526315789474,0.029473684210526315
437,grandiaii,0.1368421052631579,0.016842105263157894,0.056842105263157895,0.008421052631578947,0.008421052631578947,0.04,0.06315789473684211,0.04631578947368421,0.031578947368421054,0.042105263157894736,0.00631578947368421,0.004210526315789474,0.03368421052631579,0.07789473684210527,0.014736842105263158,0.004210526315789474,0.037894736842105266,0.01263157894736842,0.00631578947368421,0.0,0.05052631578947368,0.0,0.008421052631578947,0.061052631578947365,0.00631578947368421,0.0,0.014736842105263158,0.00631578947368421,0.0,0.04421052631578947,0.014736842105263158,0.018947368421052633,0.014736842105263158,0.004210526315789474,0.07368421052631578,0.004210526315789474,0.00631578947368421,0.00631578947368421,0.004210526315789474,0.0,0.002105263157894737,0.010526315789473684
438,nomoreheroes2desperatestruggle,0.16455696202531644,0.0,0.008438818565400843,0.035864978902953586,0.02531645569620253,0.012658227848101266,0.05907172995780591,0.006329113924050633,0.027426160337552744,0.03375527426160337,0.0,0.0,0.002109704641350211,0.10970464135021098,0.03375527426160337,0.04219409282700422,0.04008438818565401,0.02109704641350211,0.004219409282700422,0.0189873417721519,0.006329113924050633,0.008438818565400843,0.023206751054852322,0.002109704641350211,0.03164556962025317,0.006329113924050633,0.012658227848101266,0.002109704641350211,0.02109704641350211,0.06329113924050633,0.0,0.006329113924050633,0.004219409282700422,0.010548523206751054,0.10126582278481013,0.004219409282700422,0.0,0.002109704641350211,0.008438818565400843,0.0,0.014767932489451477,0.02531645569620253
439,crashteamracingnitrofueled,0.22784810126582278,0.002109704641350211,0.02109704641350211,0.006329113924050633,0.012658227848101266,0.016877637130801686,0.029535864978902954,0.0189873417721519,0.006329113924050633,0.023206751054852322,0.010548523206751054,0.0,0.002109704641350211,0.14978902953586498,0.0379746835443038,0.004219409282700422,0.0189873417721519,0.016877637130801686,0.006329113924050633,0.029535864978902954,0.004219409282700422,0.014767932489451477,0.05063291139240506,0.0,0.008438818565400843,0.006329113924050633,0.06540084388185655,0.006329113924050633,0.008438818565400843,0.023206751054852322,0.008438818565400843,0.016877637130801686,0.008438818565400843,0.02109704641350211,0.06118143459915612,0.002109704641350211,0.002109704641350211,0.010548523206751054,0.016877637130801686,0.006329113924050633,0.002109704641350211,0.014767932489451477
440,needforspeed,0.09936575052854123,0.0021141649048625794,0.012684989429175475,0.05708245243128964,0.021141649048625793,0.0,0.035940803382663845,0.0,0.023255813953488372,0.019027484143763214,0.004228329809725159,0.0,0.0,0.14799154334038056,0.09302325581395349,0.0,0.035940803382663845,0.006342494714587738,0.014799154334038054,0.014799154334038054,0.008456659619450317,0.06553911205073996,0.04439746300211417,0.0021141649048625794,0.012684989429175475,0.004228329809725159,0.02536997885835095,0.0,0.023255813953488372,0.02536997885835095,0.004228329809725159,0.014799154334038054,0.0,0.010570824524312896,0.11627906976744186,0.0,0.0,0.019027484143763214,0.0021141649048625794,0.004228329809725159,0.006342494714587738,0.023255813953488372
