Topic 1,Topic 2,Topic 3,Topic 4
728/0.0021979028343788636,525/0.0014199938010422898,1182/0.003972523379955309,1340/0.0031064412973960715
742/0.0021826396202512324,75/0.001412785710681669,789/0.003972523379955309,591/0.002832343535861124
2369/0.0021826396202512324,1417/0.0014055776203210483,938/0.003939419018455682,2116/0.002740977615349475
1282/0.0021826396202512324,1998/0.0014055776203210483,1467/0.003922866837705868,1395/0.0026496116948378254
1399/0.0021521131919959705,1004/0.0013983695299604275,181/0.003906314656956054,2188/0.0023755139333028782
764/0.0021368499778683394,1824/0.0013983695299604275,535/0.0038732102954564264,2484/0.0022841480127912287
2334/0.0021368499778683394,1221/0.0013983695299604275,1310/0.0038566581147066125,1721/0.0022841480127912287
655/0.0021215867637407087,468/0.0013983695299604275,553/0.003840105933956799,2106/0.0021014161717679307
1080/0.0021063235496130775,661/0.0013983695299604275,1975/0.003823553753206985,1043/0.0021014161717679307
2028/0.0020910603354854463,736/0.0013983695299604275,1101/0.003823553753206985,1643/0.0019186843307446323
2652/0.0020910603354854463,370/0.0013911614395998068,2388/0.003807001572457171,2455/0.001735952489721334
1578/0.0020910603354854463,2348/0.0013911614395998068,1152/0.0037904493917073575,1644/0.0013704888076747374
260/0.0020910603354854463,901/0.0013911614395998068,172/0.0037738972109575435,1768/0.0009136592051164915
455/0.0020910603354854463,1563/0.0013911614395998068,1096/0.003724240668708102,2619/0.0005481955230698949
2412/0.0020605339072301844,1139/0.001383953349239186,1908/0.003724240668708102,1839/0.0005481955230698949
151/0.0020605339072301844,1931/0.0013767452588785653,2121/0.003724240668708102,1070/0.0005481955230698949
30/0.0020452706931025537,1181/0.0013767452588785653,53/0.0037076884879582886,2556/0.00027409776153494746
862/0.0020452706931025537,2325/0.0013767452588785653,1412/0.0037076884879582886,
1346/0.0020452706931025537,610/0.0013767452588785653,1014/0.0036911363072084746,
107/0.0020452706931025537,73/0.0013767452588785653,1775/0.0036911363072084746,
88/0.0020300074789749226,1582/0.0013695371685179445,1371/0.0036911363072084746,
834/0.0020300074789749226,396/0.0013623290781573237,476/0.0036911363072084746,
1069/0.0020300074789749226,1060/0.0013623290781573237,580/0.0036249275842092196,
1989/0.0020147442648472914,380/0.001355120987796703,1219/0.0036083754034594057,
2399/0.0020147442648472914,889/0.001355120987796703,2254/0.0035256144997103367,
403/0.0019994810507196607,954/0.001355120987796703,2065/0.0035256144997103367,
762/0.0019842178365920295,195/0.0013479128974360822,58/0.003509062318960523,
1678/0.0019842178365920295,1431/0.0013479128974360822,527/0.003509062318960523,
2262/0.0019689546224643984,1444/0.0013479128974360822,1743/0.0034925101382107093,
1685/0.0019689546224643984,1429/0.0013407048070754614,855/0.0034594057767110818,
2129/0.0019689546224643984,1657/0.0013407048070754614,407/0.0034594057767110818,
2218/0.0019536914083367676,801/0.0013407048070754614,1580/0.003442853595961268,
162/0.0019536914083367676,782/0.0013334967167148407,1179/0.003442853595961268,
341/0.0019536914083367676,374/0.0013334967167148407,2209/0.0034097492344616403,
915/0.0019536914083367676,1061/0.0013334967167148407,2386/0.0033931970537118264,
2360/0.0019536914083367676,2653/0.0013334967167148407,1087/0.0033931970537118264,
359/0.0019231649800815055,2368/0.0013334967167148407,832/0.003376644872962013,
2394/0.0019231649800815055,1523/0.0013334967167148407,2272/0.0033269883307125714,
669/0.0019231649800815055,1017/0.00132628862635422,1343/0.0033269883307125714,
1652/0.0019079017659538746,800/0.00132628862635422,1621/0.0033269883307125714,
988/0.0019079017659538746,91/0.00132628862635422,654/0.0033269883307125714,
185/0.0019079017659538746,597/0.00132628862635422,1022/0.0033104361499627574,
809/0.0018926385518262436,213/0.00132628862635422,791/0.0033104361499627574,
630/0.0018926385518262436,110/0.0013190805359935991,281/0.00327733178846313,
2149/0.0018773753376986125,44/0.0013190805359935991,2324/0.0032607796077133164,
95/0.0018773753376986125,1586/0.0013118724456329784,707/0.0032607796077133164,
1012/0.0018773753376986125,715/0.0013046643552723576,2225/0.0032607796077133164,
