Topic 1,Topic 2,Topic 3,Topic 4
66/0.004281925893487093,617/0.0021234841842182176,545/0.0018931971117119152,1206/0.017543859649122806
464/0.004281925893487093,1523/0.0021175193410041216,2114/0.0018931971117119152,1411/0.01644736842105263
1592/0.004233267644697467,371/0.0021055896545759296,631/0.0018799115179455159,2537/0.015716374269005847
349/0.004233267644697467,345/0.002093659968147737,1988/0.0018799115179455159,2526/0.013157894736842105
309/0.004233267644697467,803/0.002093659968147737,2391/0.0018666259241791163,1219/0.010964912280701754
278/0.004208938520302654,99/0.002087695124933641,978/0.0018599831272959166,2560/0.009868421052631578
858/0.004184609395907841,311/0.0020757654385054488,1283/0.0018466975335295172,1663/0.008771929824561403
830/0.004184609395907841,476/0.0020698005952913528,1017/0.0018466975335295172,976/0.005116959064327485
1399/0.004184609395907841,264/0.002063835752077257,1605/0.0018466975335295172,1959/0.005116959064327485
856/0.004160280271513028,39/0.0020578709088631604,468/0.0018334119397631179,
1461/0.004160280271513028,901/0.0020578709088631604,1857/0.0018267691428799182,
820/0.004135951147118215,649/0.0020578709088631604,355/0.0018201263459967185,
1685/0.004135951147118215,1775/0.0020459412224349684,853/0.0018134835491135188,
357/0.004135951147118215,1412/0.0020459412224349684,795/0.0018134835491135188,
507/0.004087292898328589,587/0.0020399763792208724,420/0.0018068407522303191,
110/0.004038634649538963,183/0.00202804669279268,1561/0.0018068407522303191,
269/0.004038634649538963,1189/0.002016117006364488,2388/0.0018001979553471192,
752/0.004038634649538963,1039/0.0019982224767221995,758/0.0017802695646975202,
1776/0.003989976400749337,274/0.001992257633508103,1179/0.0017603411740479212,
1094/0.003965647276354524,1256/0.001992257633508103,2015/0.0017603411740479212,
681/0.003892659903170085,585/0.001980327947079911,1860/0.0017536983771647215,
621/0.003892659903170085,2061/0.001974363103865815,1052/0.0017470555802815218,
845/0.003868330778775272,419/0.0019683982606517186,393/0.0017404127833983221,
134/0.003868330778775272,556/0.0019624334174376226,1019/0.0017337699865151224,
220/0.003868330778775272,1767/0.0019624334174376226,187/0.0017271271896319225,
1701/0.0038440016543804588,998/0.0019505037310094304,917/0.0017271271896319225,
297/0.0038196725299856457,1364/0.0019505037310094304,353/0.0017204843927487229,
953/0.0037953434055908327,2217/0.0019445388877953342,191/0.0017204843927487229,
2033/0.0037953434055908327,1136/0.001926644358153046,267/0.0017005560020991238,
1610/0.0037710142811960196,456/0.0019206795149389498,290/0.0016939132052159241,
1291/0.0037466851568012066,866/0.0019206795149389498,463/0.0016939132052159241,
1165/0.0037223560324063936,819/0.0019206795149389498,895/0.0016806276114495248,
1465/0.0036980269080115805,789/0.0018968201420825653,1754/0.0016806276114495248,
98/0.0036493686592219544,466/0.0018968201420825653,1941/0.0016806276114495248,
1531/0.0036493686592219544,1275/0.0018968201420825653,33/0.0016806276114495248,
444/0.0036250395348271414,852/0.0018848904556543731,1824/0.001673984814566325,
1615/0.0036250395348271414,708/0.0018848904556543731,1497/0.001673984814566325,
43/0.0036007104104323283,981/0.001878925612440277,807/0.001673984814566325,
2454/0.0036007104104323283,519/0.001878925612440277,528/0.001673984814566325,
2014/0.0035763812860375157,2225/0.001872960769226181,937/0.0016673420176831254,
1864/0.0035520521616427027,1371/0.0018669959260120847,506/0.0016606992207999255,
2612/0.0035277230372478896,2629/0.0018669959260120847,1009/0.0016540564239167258,
2382/0.0035277230372478896,938/0.0018669959260120847,450/0.0016540564239167258,
829/0.0035033939128530766,1187/0.0018550662395838925,362/0.0016474136270335261,
20/0.0035033939128530766,781/0.0018550662395838925,906/0.0016474136270335261,
1366/0.0035033939128530766,396/0.001831206866727508,61/0.0016474136270335261,
449/0.0034790647884582636,440/0.0018252420235134118,553/0.0016407708301503265,
1510/0.0034790647884582636,1797/0.0018252420235134118,122/0.0016341280332671268,
2020/0.0034547356640634505,276/0.0018192771802993158,1164/0.0016341280332671268,
2249/0.0034547356640634505,579/0.0018073474938711236,1796/0.001627485236383927,
644/0.0034060774152738244,665/0.0018073474938711236,1053/0.001627485236383927,
1712/0.0033817482908790114,682/0.0018073474938711236,1073/0.0016141996426175277,
1596/0.0033574191664841983,624/0.0018013826506570274,1888/0.001607556845734328,
1897/0.0033574191664841983,747/0.0017954178074429314,306/0.001607556845734328,
1744/0.0033574191664841983,1/0.0017834881210147392,604/0.0016009140488511284,
1560/0.0033574191664841983,1597/0.0017834881210147392,731/0.0015942712519679285,
1810/0.0033087609176945722,1222/0.001771558434586547,2206/0.0015942712519679285,
1878/0.0033087609176945722,769/0.001771558434586547,287/0.0015876284550847288,
280/0.003284431793299759,224/0.0017655935913724508,174/0.0015876284550847288,
2517/0.003284431793299759,2295/0.0017655935913724508,2224/0.0015809856582015291,
1394/0.003235773544510133,1527/0.0017596287481583546,292/0.0015809856582015291,
1579/0.003235773544510133,461/0.0017596287481583546,60/0.0015743428613183294,
1881/0.00321144442011532,839/0.0017536639049442586,721/0.0015743428613183294,
142/0.00321144442011532,883/0.0017476990617301623,2165/0.0015677000644351298,
2670/0.003187115295720507,1975/0.0017476990617301623,1119/0.0015677000644351298,
